C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\westnortamernatu\input.txt
41717010|Animals|C0003062|55879|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41717556|Adolescent|C0205653|32488|CT|RtM via: Juvenile|TI|MM|1245^9^0
41717556|Pregnancy|C0032961|32488|CT|Forced Non-Leaf Node Lookup:pregnant||MM|848^8^0
41717556|*Dipodomys|C0012570|31488|MH|RtM via: Genus Dipodomys;Forced Leaf Node Lookup:kangaroo rats;Forced Leaf Node Lookup:dipodomys;checkForceMH Boosted|TI|MM;RC|1039^13^0;489^9^0;107^9^0
41717556|*Seasons|C0036497|12894|MH|RtM via: Seasonal Variation;Forced Leaf Node Lookup:seasonal variations|TI|MM|324^18^0
41717556|*Testis|C0039597|11664|MH|RtM via: Testis;Forced Leaf Node Lookup:testes|TI|MM;RC|701^6^0
41717556|*Museums|C0026863|3996|MH|RtM via: Museums;Forced Leaf Node Lookup:museums|TI|MM|461^6^0
41717556|*Reproduction|C0035150|8718|MH|RtM via: Reproduction|TI|MM|362^12^0
41717556|*Climate|C0008946|6846|MH|RtM via: Seasonal variation (climate)|TI|MM|324^18^0
41717556|*Inferior Colliculi|C0021358|3231|MH|RtM via: Inferior Colliculus|TI|MM|701^6^0
41717556|*Postpartum|C0086839|2892|ET|Entry Term Replacement for "Postpartum Period";RtM via: Postpartum Period;Forced Non-Leaf Node Lookup:postpartum|TI|MM|784^10^0
41717557|*Conifers|C0682475|79625|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM;RC|719^7^0;861^10^0;585^8^0
41717557|*Herbivory|C0562691|50177|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivory|TI|MM;RC|970^9^0;690^9^0;838^9^0;679^9^0;558^9^0;547^9^0;388^9^0;338^9^0;21^9^0
41717557|Washington|C0043038|22937|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM;RC|182^16^0
41717557|*Wind|C0043187|22670|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM|155^4^0
41717557|*Rivers|C0337050|16292|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|160^5^0
41717557|*Forests|C0086312|79398|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|994^6^0;727^6^0;775^7^0;259^6^0;69^6^0;872^7^0
41717557|*Plant Leaves|C0242724|14460|MH|RtM via: Plant Leaves|TI|MM;RC|613^6^0;503^6^0;423^4^0
41717558|Animals|C0003062|281639|CT|Sciuridae;CT Treecode Lookup: B01.050.150.900.649.313.992 (Sciuridae);Raptors;CT Treecode Lookup: B01.050.150.900.248 (Raptors);Saimiri;CT Treecode Lookup: B01.050.150.900.649.313.988.400.600 (Saimiri);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
41717558|Horses|C0019944|281639|CT|RtM via: Yearling horse|TI|MM|814^8^0;683^9^0
41717558|*Sciuridae|C0036409|280639|MH|RtM via: Squirrels;RtM via: Susliks;RtM via: Spermophilus mollis;Forced Lookup:spermophilus;checkForceMH Boosted|TI|MM;RC|1778^9^0;1331^8^0;1437^8^0;1300^9^0;1123^9^0;1005^9^0;833^9^0;726^9^0;1879^15^0;334^16^0;966^22^0;591^22^0;21^22^0;45^19^0;34^9^0;341^9^0;604^9^0;979^9^0;1886^8^0
41717558|*Poa|C1135862|135513|MH|RtM via: Poa plant;RtM via: Poa secunda;Forced Leaf Node Lookup:bluegrass;Forced Leaf Node Lookup:poa;checkForceMH Boosted|TI|MM|1507^9^0;1518^11^0
41717558|*Plague|C0032064|123782|MH|RtM via: Plague;Forced Leaf Node Lookup:plague|TI|MM;RC|638^6^0
41717558|*Climate Change|C2718051|60950|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|1191^14^0
41717558|*Sagebrush|C0331308|54503|ET|Entry Term Replacement for "Artemisia";RtM via: Artemisia (plant);RtM via: Artemisia spinescens;RtM via: Artemisia tridentata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisias|TI|MM|1389^9^0;1560^20^0;1545^13^0;1549^9^0
41717558|*Droughts|C0013140|52157|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|1762^7^0;1074^7^0
41717558|*Seasons|C0036497|49775|MH|RtM via: Winter;RtM via: spring (season);Forced Leaf Node Lookup:seasonal|TI|MM;RC|801^6^0;1067^6^0;1023^8^0
41717558|*Raptors|C0600536|44918|MH|RtM via: Raptors;checkForceMH Boosted|TI|MM|1941^7^0;363^7^0
41717558|*Rivers|C0337050|44177|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|164^5^0
41717558|Idaho|C0020787|28772|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM;RC|227^5^0
41717558|*Grassland|C0442534|28313|MH|Forced Leaf Node Lookup:grasslands|TI|MM|1710^9^0
41717558|*Torpor|C0235193|48921|MH|RtM via: Torpor;Forced Non-Leaf Node Lookup:torpor|TI|MM|1032^6^0
41717558|*Habitat|C0871648|43647|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1849^8^0;1239^8^0;1213^7^0
41717558|*Saimiri|C0036055|17685|MH|RtM via: Genus Saimiri|TI|MM|1778^9^0;1331^8^0;1437^8^0;1300^9^0;1123^9^0;1005^9^0;833^9^0;726^9^0
41717558|*Birds|C0005595|13419|MH|RtM via: Genus Anhinga (organism);Forced Non-Leaf Node Lookup:birds|TI|MM;RC|158^5^1;170^5^1
41717558|*Breeding|C0006159|7443|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1895^8^0;1100^8^0
41717559|Animals|C0003062|138776|CT|Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda);Pupa;CT Treecode Lookup: B05.500 (Pupa);Pupa;CT Treecode Lookup: G07.345.500.550.500 (Pupa);Chironomidae;CT Treecode Lookup: B01.050.500.131 (Chironomidae);Ostracods;CT Treecode Lookup: B01.050.500.131 (Ostracods);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Invertebrate;CT Treecode Lookup: B01.050.500 (Invertebrate)||MM;RC
41717559|*Copepoda|C0323853|137776|MH|RtM via: Copepoda;Forced Leaf Node Lookup:copepods;checkForceMH Boosted|TI|MM;RC|1418^8^0;1488^8^0
41717559|*Pupa|C0034120|121366|MH|RtM via: Pupa;Forced Leaf Node Lookup:pupae;checkForceMH Boosted|TI|MM|1398^5^0;1231^5^0
41717559|*Chironomidae|C0008135|75264|MH|RtM via: Tanytarsini;Forced Leaf Node Lookup:chironomids;checkForceMH Boosted|TI|MM;RC|1176^11^0;403^11^0;483^11^0;1065^11^0;1220^10^0;1376^10^0
41717559|*Lakes|C0337049|67976|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|929^4^0;152^4^0
41717559|*Larvae|C0023047|67124|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|1387^6^0;1058^6^0;951^6^0;730^6^0;476^6^0
41717559|*Plankton|C0032071|39461|MH|RtM via: Plankton;checkForceMH Boosted|TI|MM|827^10^0;221^10^0
41717559|*Rivers|C0337050|20714|MH|Forced Leaf Node Lookup:rivers|TI|MM|89^5^0;1197^5^0
41717559|*Habitat|C0871648|30333|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1560^7^0;1291^7^0
41717559|*Diet|C0012155|28203|MH|RtM via: Diet;RtM via: Basal Diet;Forced Non-Leaf Node Lookup:diets|TI|MM;RC|1321^4^0;1101^5^0;61^5^0
41717559|*Invertebrate|C0021948|22896|ET|Entry Term Replacement for "Invertebrates";RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM|1501^12^0
41717559|*Pollen|C0032385|3648|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM|549^6^0;659^13^0;432^6^0
41717560|Animals|C0003062|37264|CT|Livestock;CT Treecode Lookup: B01.050.050 (Livestock)||MM;RC
41717560|*Sagebrush|C0331308|32739|ET|Entry Term Replacement for "Artemisia";RtM via: Artemisia (plant);RtM via: Artemisia spinescens;RtM via: Artemisia tridentata;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sagebrushs|TI|MM;RC|1630^9^0;220^9^0
41717560|*Climate Change|C2718051|31608|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM;RC|1384^14^0
41717560|*Livestock|C2936506|19602|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM|173^9^0
41717560|Idaho|C0020787|6567|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM|475^5^0
41717560|*Fire|C0016141|36264|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|1328^4^0;195^4^0
41717560|*Plant Development|C0597252|31206|MH|RtM via: Plant Development|TI|MM;RC|1038^12^0
41717560|*Biological Phenomena|C0005520|2142|MH|RtM via: Tissue Growth|TI|MM|1260^6^0
41717569|*Wildfires|C2963164|194401|MH|RtM via: Wildfires;Forced Leaf Node Lookup:wildfires|TI|MM;RC|294^8^0
41717569|*Quercus|C0330302|83727|MH|RtM via: Quercus gambelii;Forced Leaf Node Lookup:quercus;Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM;RC|328^10^0;94^10^0;106^16^0;101^3^0;335^3^0
41717569|Utah|C0042124|22855|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM|151^4^0
41717569|*Woodland|C0086312|140055|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM;RC|339^8^0;124^8^0
41717569|*Fire|C0016141|130719|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|1371^4^0;894^4^0;762^4^0;540^4^0;416^4^0;86^4^0
41717569|*Habitat|C0871648|81279|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1434^7^0
41717570|Animals|C0003062|158092|CT|Coyotes;CT Treecode Lookup: B01.050.150.900.649.313.750 (Coyotes);Lynx;CT Treecode Lookup: B01.050.150.900.649.313.750 (Lynx);Lagomorphs;CT Treecode Lookup: B01.050.150.900.649.313.968 (Lagomorphs);Rodents;CT Treecode Lookup: B01.050.150.900.649.313.992 (Rodents)||MM;RC
41717570|*Coyotes|C0325005|157092|MH|RtM via: Coyotes;Forced Leaf Node Lookup:coyotes;checkForceMH Boosted|TI|MM;RC|1791^6^0;1982^7^0;1657^7^0;1334^7^0;1114^7^0;942^7^0;715^6^0;809^7^0;429^7^0;301^7^0;94^7^0;442^7^0;994^7^0;1398^7^0
41717570|*Lynx|C0325104|142724|MH|RtM via: Bobcats;Forced Leaf Node Lookup:bobcats;Forced Leaf Node Lookup:lynx;checkForceMH Boosted|TI|MM;RC|1754^6^0;1970^7^0;1576^7^0;1351^7^0;908^7^0;532^6^0;395^7^0;289^7^0;69^7^0;78^10^0;508^7^0;1031^7^0;1378^7^0
41717570|*Seasons|C0036497|77758|MH|RtM via: Seasons;RtM via: Autumn;RtM via: spring (season);RtM via: Summer;RtM via: Winter;Forced Leaf Node Lookup:seasonal;Forced Leaf Node Lookup:seasons|TI|MM;RC|1105^7^0;1245^6^0;960^6^0;797^6^0;643^6^0;1420^6^0;1171^6^0;978^6^0;880^6^0;675^6^0;1238^6^0;953^6^0;790^6^0;636^6^0;1413^6^0;1164^6^0;971^6^0;873^6^0;668^6^0;611^8^0;1184^8^0;1258^8^0;1453^8^0;1904^8^0
41717570|*Lagomorphs|C0022962|51374|ET|Entry Term Replacement for "Lagomorpha";RtM via: Lagomorpha;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lagomorphs|TI|MM|1146^10^0;1011^10^0;459^10^0
41717570|*Rodents|C0035804|46493|ET|Entry Term Replacement for "Rodentia";RtM via: Rodent;checkForceMH Boosted|TI|MM|925^7^0;847^7^0;412^7^0
41717570|*Droughts|C0013140|43250|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|1957^7^0;1427^7^0;752^7^0;887^7^0
41717570|*Fruit|C0016767|38342|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|1223^5^0;1085^5^0;487^5^0
41717570|Arizona|C0003787|17153|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM|374^7^0;199^7^0
41717570|*Diets|C0012155|28083|ET|Entry Term Replacement for "Diet";RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM;RC|1798^5^0;1500^5^0;1300^5^0;722^5^0;539^5^0;280^5^0
41717570|*Sympatry|C3179134|6579|MH|RtM via: Sympatry|TI|MM|59^9^0
41717570|*Feces|C0015733|2013|MH|RtM via: Feces|TI|MM|34^5^0
41717571|Animals|C0003062|118653|CT|Forced Lookup:deer;Arthropod;CT Treecode Lookup: B01.050.500.131 (Arthropod);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild);Deer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Deer)|TI|MM;RC|319^4^0;572^4^0
41717571|*Herbivory|C0562691|117653|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivory|TI|MM;RC|1658^9^0;1278^9^0;1321^9^0;1759^9^0;1808^9^0
41717571|*Ecosystem|C0162358|105284|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM;RC|69^10^0
41717571|*Nitrogen|C0028158|86141|MH|RtM via: Nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM;RC|407^8^0
41717571|*Soil|C0037592|82724|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|402^4^0
41717571|*Biomass|C0005535|81758|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|1457^7^0;1413^7^0;908^7^0;684^7^0;365^7^0
41717571|*Phosphorus|C0031705|61667|MH|RtM via: Phosphorus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phosphorus|TI|MM|482^10^0
41717571|*Nitrification|C0597069|49907|MH|RtM via: Nitrification;Forced Leaf Node Lookup:nitrifications|TI|MM|1149^13^0;443^13^0
41717571|*Arthropod|C0003903|49718|ET|Entry Term Replacement for "Arthropods";RtM via: Arthropods;checkForceMH Boosted;Forced Non-Leaf Node Lookup:arthropods|TI|MM|1749^9^0;1349^9^0;1268^9^0;523^9^0
41717571|*Quercus|C0330302|47734|MH|Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM|825^3^0
41717571|*Deer|C0011133|3579|MH|Forced Lookup:deer|TI|MM;RC|319^4^0;572^4^0
41717571|*Plants|C0032098|35193|MH|RtM via: Plants|TI|MM;RC|1671^6^0;1514^5^0;1407^5^0;1238^6^0;359^5^0
41717571|*Cold Climate|C0009267|30714|MH|RtM via: Cold Climate|TI|MM|614^15^0
41717571|*Climate|C0008946|28104|MH|RtM via: dry climate|TI|MM;RC|980^15^0
41717571|*Animals, Wild|C0003070|13038|MH|RtM via: Animals, Wild|TI|MM|1020^8^0;845^8^0;642^8^0
41717572|*Geographic Information Systems|C0815319|50838|MH|RtM via: Geographic Information Systems;Forced Leaf Node Lookup:geographic information system;Forced Leaf Node Lookup:gis|TI|MM;RC|778^29^0;809^3^0
41717572|*Soils|C0037592|26769|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|851^5^0
41717572|*Habitat|C0871648|54240|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1381^7^0;165^7^0
41717572|*Process, Geological|C2350454|21906|ET|Entry Term Replacement for "Geological Phenomena";RtM via: Geological Processes|TI|MM|1443^16^0
41717572|*Plant|C0032098|16485|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|295^5^0;159^5^0
41717572|*Geology|C0017448|11676|MH|RtM via: Geology|TI|MM|862^8^0
41717572|*Probability|C0033204|6159|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probabilities;Forced Non-Leaf Node Lookup:probability|TI|MM|978^13^0;571^11^0
41717572|*Software|C0037585|1713|MH|RtM via: Computer software;Forced Non-Leaf Node Lookup:software|TI|MM|902^8^0
41717572|North America|C0028405|825|MH|RtM via: North America|TI|MM|203^13^0
41717573|Animals|C0003062|60742|CT|Simuliidae;CT Treecode Lookup: B01.050.500.131 (Simuliidae);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae)||MM;RC
41717573|Male|C0086582|60742|CT|CT Text Lookup: male|TI|MM;RC|324^4^0
41717573|*Simuliidae|C0037162|59742|MH|RtM via: Simulium arcticum complex;RtM via: Simulium brevicercum;Forced Leaf Node Lookup:simuliums;checkForceMH Boosted|TI|MM;RC|343^25^0;86^25^0;909^20^0;820^17^0
41717573|*Larvae|C0023047|13197|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|329^6^0
41717573|Montana|C0026506|3816|MH|RtM via: Montana (geographic location);Forced Leaf Node Lookup:montana|TI|MM|411^7^0;121^7^0
41717573|*Genetic Drift|C0917892|8193|MH|RtM via: Genetic Drift|TI|MM|217^23^0
41717573|*Habitats|C0871648|7686|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1087^8^0
41717573|*Mouth|C0226896|4197|MH|RtM via: Oral cavity;Forced Non-Leaf Node Lookup:mouth|TI|MM|520^5^0
41717573|*Cytogenetic Analysis|C0752095|1935|MH|RtM via: Cytogenetic Analysis;Forced Non-Leaf Node Lookup:cytogenetic analysis|TI|MM|289^20^0
41717573|*Drainage|C0013103|69|MH|RtM via: Drainage procedure;Forced Non-Leaf Node Lookup:drainage|TI|MM|618^8^0;390^8^0
41717574|Animals|C0003062|12860|CT|Livestock;CT Treecode Lookup: B01.050.050 (Livestock);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)||MM;RC
41717574|*Livestock|C2936506|11860|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM|1164^9^0
41717574|*Sample Size|C0242618|5384|MH|RtM via: Sample Size;Forced Leaf Node Lookup:sample sizes|TI|MM|267^11^0
41717574|South Dakota|C0037717|1376|MH|RtM via: South Dakota;Forced Leaf Node Lookup:south dakota|TI|MM|102^12^0
41717574|*Animals, Wild|C0003070|6543|MH|RtM via: Animals, Wild|TI|MM|1178^8^0
41717574|*Cluster Analyses|C0009085|3408|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:cluster analyses|TI|MM|671^16^0
41717574|*Standing Position|C0231472|1806|MH|RtM via: Standing position|TI|MM|1132^8^0;972^8^0;328^8^0;201^8^0
41717574|*Mental Processes|C0025361|957|MH|RtM via: Confidence|TI|MM|926^10^0
41717575|*Pinus|C0330186|75265|MH|RtM via: Pinus <genus>;RtM via: Pinus leiophylla;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|850^4^0;717^4^0;38^16^0
41717575|*Trees|C0040811|45686|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|793^5^0;606^5^0;433^5^0;571^5^0;346^5^0;207^5^0;300^5^0;659^5^0;807^5^0
41717575|Arizona|C0003787|7396|MH|RtM via: Arizona;Forced Leaf Node Lookup:arizona|TI|MM;RC|169^7^0
41717575|*Incidence|C0021149|7369|MH|RtM via: Incidence;Forced Leaf Node Lookup:incidences|TI|MM|623^10^0
41717575|*Fire|C0016141|54981|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM;RC|935^4^0;726^4^0;549^4^0;381^4^0;281^4^0
41717575|*Burn|C0006434|1497|ET|Entry Term Replacement for "Burns";RtM via: Burn injury;Forced Non-Leaf Node Lookup:burn|TI|MM|818^4^0
41717575|*Splints|C0038009|303|MH|RtM via: Cervical collar (device)|TI|MM|249^6^0
41717576|Animals|C0003062|169891|CT|Chironomidae;CT Treecode Lookup: B01.050.500.131 (Chironomidae);Simuliidae;CT Treecode Lookup: B01.050.500.131 (Simuliidae);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Insecta;CT Treecode Lookup: B01.050.500.131 (Insecta);Ephemeroptera;CT Treecode Lookup: B01.050.500.131 (Ephemeroptera)||MM;RC
41717576|*Chironomidae|C0008135|168891|MH|RtM via: Chironomidae;Forced Leaf Node Lookup:chironomidae;Forced Leaf Node Lookup:chironomids;checkForceMH Boosted|TI|MM;RC|498^12^0;709^11^0
41717576|*Simuliidae|C0037162|77270|MH|RtM via: Simuliidae;checkForceMH Boosted|TI|MM|526^9^0
41717576|*Rivers|C0337050|40162|MH|RtM via: Streams;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM|434^6^0;79^5^0
41717576|*Larvae|C0023047|39509|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|455^6^0;149^6^0
41717576|*Insecta|C0021585|26325|MH|Forced Lookup:stoneflies;Forced Lookup:stonefly|TI|MM;RC|865^10^0;970^10^0;588^8^0
41717576|*Gastrointestinal Microbiome|C4018878|14501|MH|RtM via: Gut;Forced Leaf Node Lookup:gut|TI|MM|900^3^0;828^4^0;597^4^0
41717576|Colorado|C0009399|13046|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|86^8^0;70^8^0
41717576|*Habitats|C0871648|24432|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|345^8^0
41717576|*Diets|C0012155|18516|ET|Entry Term Replacement for "Diet";RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM;RC|208^5^0
41717576|*Ephemeroptera|C1003004|14610|MH|RtM via: Baetidae|TI|MM|512^8^0
41717576|*Periodicity|C0031084|4317|MH|RtM via: Periodicity|TI|MM;RC|246^11^0
41717576|*Surveys|C0038951|3945|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|31^7^0
41717577|Animals|C0003062|145969|CT|Livestock;CT Treecode Lookup: B01.050.050 (Livestock)||MM;RC
41717577|*Larrea|C1026041|144969|MH|RtM via: Larrea tridentata;Forced Leaf Node Lookup:larrea tridentata;checkForceMH Boosted|TI|MM;RC|344^17^0;577^6^0
41717577|*Grass|C0018210|64057|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM;RC|696^7^0;535^5^0;794^7^0
41717577|*Livestock|C2936506|52457|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM;RC|421^9^0;279^9^0;92^9^0;178^9^0
41717577|*Biomass|C0005535|24940|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM|568^7^0
41717577|*Multivariate Analysis|C0026777|13081|MH|RtM via: Multivariate Analysis;Forced Leaf Node Lookup:multivariate analysis|TI|MM|895^21^0
41717577|Mexico|C0025885|10363|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM|231^6^0
41717577|*Plant|C0032098|18492|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|997^5^0
41717577|Ecosystem|C0162358|4463|MH|||RC
41717578|Animals|C0003062|307553|CT|Pupa;CT Treecode Lookup: B05.500 (Pupa);Pupa;CT Treecode Lookup: G07.345.500.550.500 (Pupa);Culex;CT Treecode Lookup: B01.050.500.131 (Culex);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Daphnia;CT Treecode Lookup: B01.050.500.131 (Daphnia);Cyprinodontiformes;CT Treecode Lookup: B01.050.150.900.493 (Cyprinodontiformes);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Chironomidae;CT Treecode Lookup: B01.050.500.131 (Chironomidae);Cyprinidae;CT Treecode Lookup: B01.050.150.900.493 (Cyprinidae);CT Text Lookup: fish;CT Text Lookup: mosquitoes|TI|MM;RC|995^4^0;635^10^0
41717578|*Pupa|C0034120|306553|MH|RtM via: Pupa;Forced Leaf Node Lookup:pupae;checkForceMH Boosted|TI|MM;RC|655^5^0;381^5^0;751^5^0
41717578|*Culex|C0010444|283423|MH|RtM via: Culex (Genus);RtM via: Culex <subgenus>;Forced Leaf Node Lookup:culex;checkForceMH Boosted|TI|MM;RC|399^5^0
41717578|*Mosquito Control|C0026581|175799|MH|RtM via: Mosquito Control;Forced Leaf Node Lookup:mosquito control|TI|MM;RC|1620^16^0;237^16^0
41717578|*Larvae|C0023047|138668|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|1452^6^0;1052^6^0;826^6^0;664^6^0;391^6^0;488^6^0;500^6^0;516^6^0;537^6^0;563^6^0;760^6^0;1085^6^0
41717578|*Daphnia|C0010979|69124|MH|RtM via: Daphnia magna;Forced Leaf Node Lookup:daphnias;checkForceMH Boosted|TI|MM|1290^13^0;1060^13^0
41717578|Utah|C0042124|33611|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM;RC|257^4^0
41717578|*Cyprinodontiformes|C0010617|46914|MH|RtM via: Mosquito Fish;Forced Non-Leaf Node Lookup:gambusias|TI|MM;RC|145^16^0;131^12^0
41717578|*Chironomidae|C0008135|15360|MH|RtM via: Chironomus thummi|TI|MM;RC|1079^5^0
41717578|*Cyprinidae|C0010613|9669|MH|RtM via: Iotichthys phlegethontis;Forced Non-Leaf Node Lookup:chub|TI|MM;RC|1548^10^0;1326^10^0;1110^10^0;903^10^0;838^10^0;683^10^0;81^10^0;87^4^0;199^4^0;689^4^0;705^4^0;844^4^0;909^4^0;1116^4^0;1332^4^0;1554^4^0
41717578|*Habits|C0018464|4500|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|1499^6^0
[356]: *** ERROR *** ERROR *** ERROR ***
41717580|Animals|C0003062|114022|CT|Anura;CT Treecode Lookup: B01.050.150.900.090 (Anura);Ranidae;CT Treecode Lookup: B01.050.150.900.090 (Ranidae);Livestock;CT Treecode Lookup: B01.050.050 (Livestock)||MM;RC
41717580|Female|C0086287|114022|CT|CT Text Lookup: oviposition|TI|MM;RC|139^11^0
41717580|*Ponds|C0337048|31317|MH|RtM via: Natural pond;Forced Leaf Node Lookup:ponds|TI|MM|988^5^0;766^5^0;613^5^0
41717580|*Livestock|C2936506|31017|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM|490^9^0
41717580|*Oviposition|C0029957|27327|MH|RtM via: Oviposition;Forced Leaf Node Lookup:ovipositions|TI|MM;RC|1091^11^0;773^11^0;643^11^0;581^11^0;227^11^0;139^11^0
41717580|*Water|C0043047|17472|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|687^5^0
41717580|Oregon|C0029195|11310|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|635^6^0
41717580|*Temperature|C0039476|10458|MH|Forced Leaf Node Lookup:temperatures|TI|MM|957^11^0
