C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\wateintejwatebio\input.txt
10.2307/1521988|Animals|C0003062|30595|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
4132652|*Ictaluridae|C0020780|155889|MH|RtM via: Catfishes, Channel;Forced Leaf Node Lookup:ictalurus punctatus;Forced Leaf Node Lookup:channel catfish;checkForceMH Boosted|TI|MM|628^15^0;325^15^0;342^19^0
4132652|*Catfish|C0007418|67229|ET|Entry Term Replacement for "Catfishes";RtM via: Siluriformes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:catfish|TI|MM|733^7^0
4132652|Arkansas|C0003790|61727|MH|RtM via: Arkansas;Forced Leaf Node Lookup:arkansas|TI|MM|515^8^0
4132652|*Ponds|C0337048|61541|MH|RtM via: Natural pond;Forced Leaf Node Lookup:ponds|TI|MM|758^5^0;644^5^0
4132652|*Rivers|C0337050|55958|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|209^5^0;252^5^0
4132652|Gulf of Mexico|C3179028|42386|MH|RtM via: Gulf of Mexico;Forced Leaf Node Lookup:gulf of mexico|TI|MM|279^14^0
4132652|Immunoglobulin M|C0020861|161270|MH|||RC
4132652|Immunoglobulin A|C0020835|135276|MH|||RC
4132652|*Birds|C0005595|18693|MH|RtM via: Aves;RtM via: Pelecanus erythrorhynchos;Forced Non-Leaf Node Lookup:birds|TI|MM|1230^5^0;1153^5^0;810^22^0;54^22^0;78^25^0;866^8^0;605^8^0
4132652|*Aquiculture|C0206225|17343|ET|Entry Term Replacement for "Aquaculture";RtM via: Aquaculture;Forced Non-Leaf Node Lookup:aquacultures|TI|MM|990^11^0
4132652|*Trematode Infections|C0040820|14076|MH|RtM via: Trematode Infections;Forced Non-Leaf Node Lookup:trematode infections|TI|MM|947^20^0
4132652|*Agriculture|C0001829|6609|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM|474^11^0
4132652|Louisiana|C0024024|19350|MH|RtM via: Louisiana (geographic location)|TI|MM|525^9^0
4132652|Mississippi|C0026221|18348|MH|RtM via: Mississippi (geographic location)|TI|MM|539^11^0;197^11^0
4132652|Southeastern United States|C0037722|17328|MH|RtM via: Southeastern United States|TI|MM|370^26^0
4132653|Animals|C0003062|171976|CT|Tilapia;CT Treecode Lookup: B01.050.150.900.493 (Tilapia);CT Text Lookup: fish;CT Text Lookup: newcastle disease|TI|MM;RC|641^4^0;1310^17^0
4132653|United States|C0041703|171976|CT|Forced Leaf Node Lookup:american|TI|MM|56^8^0;339^8^0;805^8^0;981^8^0;1503^8^0
4132653|*Clostridium botulinum|C0009055|170976|MH|RtM via: Clostridium botulinum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:clostridium botulinum|TI|MM|238^21^0
4132653|*Botulism|C0006057|134442|MH|RtM via: Botulism;Forced Leaf Node Lookup:botulism|TI|MM|769^8^0;404^8^0;218^8^0
4132653|*Tilapia|C0162642|97173|MH|RtM via: Tilapia mossambica;Forced Leaf Node Lookup:oreochromis mossambicus;Forced Leaf Node Lookup:tilapia;checkForceMH Boosted|TI|MM|669^23^0;660^7^0
4132653|*West Nile virus|C0043125|70701|MH|RtM via: West Nile virus;RtM via: West Nile viral infection;Forced Leaf Node Lookup:west nile virus;checkForceMH Boosted|TI|MM|1290^15^0;921^15^0
4132653|*Newcastle disease virus|C0027984|68397|MH|RtM via: Newcastle disease virus;Forced Leaf Node Lookup:newcastle disease virus;checkForceMH Boosted|TI|MM|1310^23^0
4132653|Gastric Juice|C0017133|95931|MH|||RC
4132653|botulinum toxin type C|C0006052|57448|NM|RtM via: botulinum toxin type C|TI|MM|728^22^0
4132653|*Botulinum Toxins|C0006055|57447|MH|RtM via: botulinum toxin type C;Forced Non-Leaf Node Lookup:botulinum toxins|TI|MM|728^22^0;735^15^0
4132653|*Birds|C0005595|20709|MH|RtM via: Aves;RtM via: Pelecanus erythrorhynchos;RtM via: Pelecanidae;Forced Non-Leaf Node Lookup:birds|TI|MM|755^5^0;316^5^0;1503^23^0;981^23^0;339^23^0;56^22^0;1393^8^0;1097^7^0;825^8^0;493^7^0;80^9^0
4132653|*Emaciation|C0013911|12|MH|RtM via: Emaciation;Forced Non-Leaf Node Lookup:emaciations|TI|MM|1059^10^0
4132653|Surveys and Questionnaires|C4042892|1000|MH|Forced Non-Leaf Node Lookup:surveys||MM|135^6^0
4132653|California|C0006754|12|MH|RtM via: California|TI|MM|434^10^0
4132654|Animals|C0003062|71188|CT|Forced Lookup:population decline;Egg Shell;CT Treecode Lookup: A13.316 (Egg Shell);CT Text Lookup: fish|TI|MM;RC|977^18^0;430^4^0
4132654|United States|C0041703|71188|CT|Forced Leaf Node Lookup:american|TI|MM|48^8^0
4132654|*Polychlorinated Biphenyls|C0032447|70188|MH|RtM via: Polychlorinated Biphenyls;Forced Leaf Node Lookup:polychlorinated biphenyls;Forced Leaf Node Lookup:pcbs;checkForceMH Boosted|TI|MM|1006^4^0;673^3^0;489^4^0;277^25^0;304^4^0
4132654|*Dichlorodiphenyl Dichloroethylene|C0011038|33332|MH|Forced Leaf Node Lookup:dde;checkForceMH Boosted|TI|MM|748^3^0
4132654|*Egg Shell|C0013702|24064|MH|RtM via: Egg Shell;Forced Leaf Node Lookup:eggshells|TI|MM|825^8^0
4132654|Nevada|C0027951|16678|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|165^6^0
4132654|*Lakes|C0337049|16666|MH|Forced Leaf Node Lookup:lake|TI|MM|159^4^0
4132654|*Muscle|C0026845|69228|ET|Entry Term Replacement for "Muscles";RtM via: Muscle Tissue|TI|MM;RC|311^6^0
4132654|Oxymetazoline|C0030071|63682|MH|||RC
4132654|*Fishes|C0016163|8217|MH|RtM via: Fishes;Forced Non-Leaf Node Lookup:fishes|TI|MM|1035^4^0;430^4^0;372^6^0
4132654|*Breeding|C0006159|5397|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|523^8^0;118^8^0
4132654|*Pesticides|C0031253|4278|MH|RtM via: Organochlorine pesticide;Forced Non-Leaf Node Lookup:pesticides|TI|MM|644^24^0;235^25^0;250^10^0;659^9^0
4132654|*Islands|C0022130|4206|MH|RtM via: Islands|TI|MM|786^6^0;143^6^0
4132655|Male|C0086582|82757|CT|CT Text Lookup: male;CT Text Lookup: males|TI|MM;RC|271^5^0
4132655|Female|C0086287|82757|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|281^7^0
4132655|United States|C0041703|82757|CT|Forced Leaf Node Lookup:american|TI|MM|88^8^0;355^8^0;1142^8^0;1499^8^0
4132655|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.150.900.248 (Birds)||MM
4132655|Mississippi|C0026221|40938|MH|RtM via: Mississippi (geographic location);Forced Leaf Node Lookup:mississippi|TI|MM|1175^11^0;392^11^0
4132655|Florida|C0016253|40437|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|1438^7^0;1233^7^0;1024^7^0
4132655|Aspartic Acid|C0004015|81757|MH|||RC
4132655|Glycine|C0017890|77083|MH|||RC
4132655|*Birds|C0005595|2265|MH|RtM via: Aves;RtM via: Pelecanus erythrorhynchos;Forced Non-Leaf Node Lookup:birds|TI|MM|1405^5^0;1499^23^0;1142^23^0;355^23^0;88^23^0;113^25^0;1010^8^0
4132655|Louisiana|C0024024|12438|MH|RtM via: Louisiana (geographic location)|TI|MM|1191^9^0;408^9^0
4132656|United States|C0041703|87380|CT|Forced Leaf Node Lookup:american|TI|MM|301^8^0
4132656|*Goals|C0018017|17679|MH|Forced Leaf Node Lookup:goals|TI|MM|24^5^0;451^5^0
4132656|p-Dimethylaminoazobenzene|C0012411|86380|MH|||RC
4132656|Liver|C0023884|32983|MH|||RC
4132601|Animals|C0003062|117380|CT|Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
4132601|*Ducks|C0013268|116380|MH|RtM via: Ducks;RtM via: Anas acuta;RtM via: Anas clypeata;RtM via: Anas crecca;RtM via: Anas platyrhynchos;RtM via: Anas penelope;Forced Leaf Node Lookup:ducks;checkForceMH Boosted|TI|MM|1120^14^0;964^5^0;788^5^0;55^14^0;413^10^0;395^16^0;376^13^0;357^17^0;218^11^0;203^13^0;244^18^0;235^7^0;187^13^0;170^15^0;64^5^0;1129^5^0
4132601|*Wetlands|C1721088|34958|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|116^7^0
4132601|*Water|C0043047|25427|MH|RtM via: Water;checkForceMH Boosted|TI|MM|930^5^0;602^5^0;451^5^0;313^5^0
4132601|*Seasons|C0036497|23432|MH|RtM via: Autumn;Forced Leaf Node Lookup:seasonal|TI|MM|1060^6^0;81^7^0;921^8^0
4132601|Denmark|C0011318|20180|MH|Forced Leaf Node Lookup:danish|TI|MM|109^6^0
4132601|Immune Adherence Reaction|C0020947|106783|MH|||RC
4132601|*Birds|C0005595|45906|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|692^5^0;851^5^0
4132602|Humans|C0086418|175981|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human;CT Text Lookup: humans|TI|MM;RC|2194^6^0;3158^6^0;2212^5^0;2461^5^0
4132602|Animals|C0003062|175981|CT|Forced Lookup:population decline;Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|2826^18^0;378^4^0
4132602|*Endangered Species|C2717882|155954|MH|RtM via: Endangered Species;Forced Leaf Node Lookup:endangered species;checkForceMH Boosted|TI|MM|543^18^0
4132602|*Fisheries|C0016162|111955|MH|RtM via: Fisheries;Forced Leaf Node Lookup:fishery|TI|MM|2688^7^0;2420^7^0
4132602|*Ecosystem|C0162358|75748|MH|RtM via: Habitat;RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM|2631^8^0;887^8^0;3114^9^0
4132602|*Goals|C0018017|31012|MH|RtM via: Clinical Trial Objective;Forced Leaf Node Lookup:goals|TI|MM|641^9^0;607^5^0
4132602|*Rest|C0035253|29977|MH|RtM via: Rest;Forced Leaf Node Lookup:rests|TI|MM|2060^5^0
4132602|Canada|C0006823|29917|MH|RtM via: Canadian;Forced Leaf Node Lookup:canadian;Geo Lookup:canadians|TI;AB|MM|1752^8^0;232^8^0
4132602|*Immune Tolerance|C0020963|174981|MH|RtM via: Immune Tolerance|TI|MM;RC|2218^9^0
4132602|*Birds|C0005595|62757|MH|RtM via: Aves;RtM via: Phalacrocorax auritus;RtM via: Genus Phalacrocorax (organism);RtM via: Family Phalacrocoracidae (organism);RtM via: Phalacrocorax carbo;Forced Non-Leaf Node Lookup:birds|TI|MM|3040^5^0;3001^5^0;2671^5^0;2594^5^0;850^5^0;462^5^0;1214^25^0;950^25^0;42^24^0;68^21^0;2968^10^0;2367^10^0;1975^10^0;1451^10^0;304^9^0;363^10^0;667^5^0
4132602|*Carrying Capacity|C0007296|53817|ET|Entry Term Replacement for "Conservation of Natural Resources";RtM via: Carrying Capacity|TI|MM|2242^17^0
4132602|*Fishes|C0016163|34245|MH|RtM via: Fishes|TI|MM|2989^4^0;2659^4^0;378^4^0
4132602|*Breeding|C0006159|32955|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1730^8^0;1028^8^0
4132602|*Policy Makers|C0242170|2172|ET|Entry Term Replacement for "Administrative Personnel";RtM via: Policy Makers;Forced Non-Leaf Node Lookup:policy makers|TI|MM|252^13^0
4132602|North America|C0028405|5385|MH|RtM via: North America|TI|MM|1177^13^0;23^13^0
4132603|Animals|C0003062|38766|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)||MM;RC
4132603|*Wetlands|C1721088|37766|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|965^8^0;65^8^0
4132603|*Ecosystem|C0162358|33869|MH|RtM via: Ecosystem;RtM via: Habitat;Forced Lookup:ecosystems|TI|MM|1274^10^0;267^7^0
4132603|*Lakes|C0337049|31208|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|955^5^0
4132603|Michigan|C0025939|19340|MH|RtM via: Michigan (geographic location);RtM via: Schoolcraft County, MI;Forced Leaf Node Lookup:michigan|TI|MM|1008^8^0;515^8^0;495^18^0
4132603|Stomach|C0038351|34769|MH|||RC
4132603|Gastric Mucosa|C0017136|28404|MH|||RC
4132603|*Birds|C0005595|26187|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|916^5^0;438^5^0;377^5^0
4132603|*Animals, Wild|C0003070|25278|MH|RtM via: Animals, Wild|TI|MM|478^8^0
4132603|*Anseriformes|C0325486|4854|MH|RtM via: Genus Cygnus;Forced Non-Leaf Node Lookup:swan|TI|MM|1087^4^0;1226^5^0;861^5^0;668^4^0;128^4^0;748^4^0
4132603|*Breeding|C0006159|3699|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|566^8^0
4132603|Great Lakes Region|C0018224|6681|MH|RtM via: Great Lakes Region|TI|MM|615^18^0
4132603|Central America|C0007674|3138|MH|RtM via: Central America|TI|MM|95^7^1;109^7^1
4132603|North America|C0028405|3138|MH|RtM via: North America|TI|MM|89^5^1;109^7^1
4132604|Animals|C0003062|81195|CT|Geese;CT Treecode Lookup: B01.050.150.900.248 (Geese);Home Range;CT Treecode Lookup: F01.145.113.646 (Home Range);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)||MM;RC
4132604|Humans|C0086418|81195|CT|Length of Stay;CT Treecode Lookup: E02.760 (Length of Stay);Length of Stay;CT Treecode Lookup: N02.421.585 (Length of Stay)||MM;RC
4132604|*Wetlands|C1721088|58442|MH|RtM via: Wetlands;RtM via: Marshes;Forced Leaf Node Lookup:wetlands;Forced Leaf Node Lookup:marshes|TI|MM|806^8^0;464^7^0
4132604|*Geese|C0017225|54821|MH|RtM via: Geese;RtM via: Anser albifrons elgasi;Forced Leaf Node Lookup:geese;checkForceMH Boosted|TI|MM|1603^5^0;1405^5^0;1208^5^0;868^5^0;770^5^0;426^5^0;344^5^0;130^22^0;1823^27^0;101^27^0;123^5^0;1756^5^0;1845^5^0
4132604|*Bays|C3203003|29030|MH|Forced Leaf Node Lookup:inlets;Forced Leaf Node Lookup:bay|TI|MM|484^5^0;1289^5^0;1526^5^0;1260^3^0;1424^3^0;1789^3^0
4132604|*Lakes|C0337049|28627|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|718^4^0
4132604|*Molting|C0282576|28438|MH|RtM via: Molting;Forced Leaf Node Lookup:moltings|TI|MM|1748^7^0;1073^7^0;879^6^0;681^7^0;788^4^0;323^4^0
4132604|Alaska|C0001905|14527|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|1886^6^0;826^6^0;418^6^0;182^6^0
4132604|*Length of Stay|C0023303|14515|MH|Forced Leaf Node Lookup:length of stay|TI|MM|948^14^0
4132604|*Radio|C0034546|14515|MH|Forced Leaf Node Lookup:radios|TI|MM|362^6^0
4132604|Histamine Release|C0019595|80195|MH|||RC
4132604|Histamine|C0019588|33198|MH|||RC
4132604|*Home Range|C0600243|22053|ET|Entry Term Replacement for "Homing Behavior";RtM via: Home Range|TI|MM|1042^10^0
4132604|*Predatory Behavior|C0032942|20766|MH|RtM via: Predatory Behavior|TI|MM|1922^9^0
4132604|*Survey|C0038951|2919|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|1448^6^0
4132604|*Social Interactions|C0037420|1971|ET|Entry Term Replacement for "Interpersonal Relations";RtM via: Social Interaction;Forced Non-Leaf Node Lookup:social interactions|TI|MM|1951^19^0
4132605|Animals|C0003062|105245|CT|Forced Lookup:population decline|TI|MM;RC|1596^18^0
4132605|*Censuses|C0007663|32286|MH|RtM via: Censuses;Forced Leaf Node Lookup:census|TI|MM|908^6^0
4132605|*Fisheries|C0016162|13578|MH|RtM via: Fisheries;Forced Leaf Node Lookup:fisheries|TI|MM|1386^9^0
4132605|Diphtheria Toxoid|C0012551|104245|MH|||RC
4132605|Tetanus Toxoid|C0305062|41894|MH|||RC
4132605|*Stable Population|C0038116|9180|ET|Entry Term Replacement for "Population Dynamics";RtM via: Stable Population|TI|MM|181^17^0
4132605|*Islands|C0022130|6942|MH|RtM via: Islands|TI|MM|24^6^0
4132605|*Birds|C0005595|3660|MH|RtM via: Aves;RtM via: Calonectris diomedea;RtM via: Shearwater;Forced Non-Leaf Node Lookup:birds|TI|MM|518^5^0;1249^17^0;113^20^0;94^17^0;1585^10^0
4132605|*Breeding|C0006159|2247|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1000^8^0
4132606|Animals|C0003062|208876|CT|Starlings;CT Treecode Lookup: B01.050.150.900.248 (Starlings);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);CT Text Lookup: cattle|TI|MM;RC|137^6^0
4132606|Cattle|C0007452|208876|CT|Forced Leaf Node Lookup:cattle;CT Text Lookup: cattle|TI|MM|137^6^0;777^6^0;1043^6^0
4132606|*Starlings|C1621793|48444|MH|RtM via: Sturnidae;RtM via: Sturnus vulgaris;Forced Leaf Node Lookup:starlings;checkForceMH Boosted|TI|MM|1836^8^0
4132606|*Bays|C3203003|41076|MH|RtM via: Inlets (geographic);Forced Leaf Node Lookup:inlets;Forced Leaf Node Lookup:bay|TI|MM|1845^5^0;1828^3^0
4132606|*Wetlands|C1721088|36615|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|1800^7^0
4132606|Hong Kong|C0019907|26868|MH|RtM via: Hong Kong;Forced Leaf Node Lookup:hong kong|TI|MM|1590^9^0;261^9^0
4132606|*Confounding Factors, Epidemiologic|C0009673|25617|MH|RtM via: Confounding Variables;Forced Leaf Node Lookup:confounding variables|TI|MM|1461^21^0
4132606|*Ponds|C0337048|19446|MH|Forced Leaf Node Lookup:pond|TI|MM|175^4^0;316^4^0
4132606|Lysogeny|C0024352|207876|MH|||RC
4132606|Bacteriophages|C0004651|52318|MH|||RC
4132606|*Climate|C0008946|35718|MH|RtM via: Climate|TI|MM|878^7^0
4132606|*Breeding|C0006159|3624|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1719^8^0;1083^8^0;381^8^0
4132606|*Regression Analysis|C0034980|3324|MH|RtM via: Regression Analysis;Forced Non-Leaf Node Lookup:regression analysis|TI|MM|830^19^0;399^19^0
4132606|China|C0008115|9525|MH|RtM via: China|TI|MM|1675^5^0
4132607|Animals|C0003062|30450|CT|CT Text Lookup: cattle;Forced Animals Added: Cattle|TI|MM;RC|193^6^0
4132607|Cattle|C0007452|30450|CT|Forced Leaf Node Lookup:cattle;CT Text Lookup: cattle|TI|MM|193^6^0;1043^6^0
4132607|Hong Kong|C0019907|17026|MH|RtM via: Hong Kong;Forced Leaf Node Lookup:hong kong|TI|MM|1198^9^0
4132607|*Cost-Benefit Analysis|C0010174|10405|MH|RtM via: Cost Effectiveness;Forced Leaf Node Lookup:cost effective|TI|MM|1367^14^0
4132607|*Ponds|C0337048|9541|MH|Forced Leaf Node Lookup:pond|TI|MM|229^4^0;355^4^0;513^4^0;1068^4^0
4132607|China|C0008115|7482|MH|RtM via: China;Geo Lookup:guangxis;Forced Non-Leaf Node Lookup:china|TI;AB|MM|1017^5^0;868^5^0;818^5^0;76^5^0;946^5^0
4132607|Cell Wall|C0007623|29450|MH|||RC
4132607|Endoplasmic Reticulum|C0014239|19812|MH|||RC
4132607|*Survey|C0038951|4527|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|1326^7^0;22^6^0
4132608|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.150.900.248 (Bird)||MM
4132608|Estonia|C0014908|7049|MH|RtM via: Estonians (ethnic group);Forced Leaf Node Lookup:estonians|TI|MM|426^8^0
4132608|*Censuses|C0007663|6317|MH|RtM via: Censuses;Forced Leaf Node Lookup:census|TI|MM|48^6^0
4132608|*Reproducibility of Results|C0035149|5756|MH|Forced Lookup:reliability|TI|MM|201^11^0
4132608|Bacteriocins|C0004641|29282|MH|||RC
4132608|Myxococcales|C0027147|19401|MH|||RC
4132608|*Bird|C0005595|1854|ET|Entry Term Replacement for "Birds";RtM via: Aves;Forced Non-Leaf Node Lookup:bird|TI|MM|91^4^0
4132608|*Running|C0035953|846|MH|RtM via: Running (physical activity);Forced Non-Leaf Node Lookup:runnings|TI|MM|83^7^0
4132609|Animals|C0003062|79083|CT|Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);CT Text Lookup: fish|TI|MM;RC|293^4^0
4132609|Niger|C0028074|9534|MH|Forced Leaf Node Lookup:niger|TI|MM|89^5^0
4132609|*Seasons|C0036497|9534|MH|Forced Leaf Node Lookup:seasons|TI|MM|135^6^0
4132609|Hepatitis B Antigens|C0019165|78083|MH|||RC
4132609|Hepatitis A|C0019159|19011|MH|||RC
4132609|*Fishes|C0016163|12102|MH|RtM via: Fishes|TI|MM|868^4^0;293^4^0
4132609|*Birds|C0005595|11304|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:seabirds|TI|MM|601^5^0;713^7^0
4132609|*Diet|C0012155|3615|MH|RtM via: Diet;RtM via: Basal Diet;Forced Non-Leaf Node Lookup:diet|TI|MM|749^4^0
4132610|Animals|C0003062|58290|CT|Snail;CT Treecode Lookup: B01.050.500.644 (Snail)|TI|MM
4132610|*Eleocharis|C1012539|57290|MH|RtM via: Eleocharis;Forced Leaf Node Lookup:eleocharis;checkForceMH Boosted|TI|MM|314^10^0
4132610|*Panicum|C1140672|49850|MH|RtM via: Panicum;Forced Leaf Node Lookup:panicum;checkForceMH Boosted|TI|MM|335^7^0
4132610|*Grassland|C0442534|9778|MH|Forced Leaf Node Lookup:prairies|TI|MM|256^7^0
4132610|Arthrobacter|C0003876|20947|MH|||RC
4132610|Butanes|C0006476|13819|MH|||RC
4132610|*Snail|C0037378|11238|ET|Entry Term Replacement for "Snails";RtM via: Snails;Forced Non-Leaf Node Lookup:snails|TI|MM|380^5^0;112^5^0
4132611|Animals|C0003062|36365|CT|Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)|TI|MM
4132611|*Water|C0043047|17545|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1006^5^0;727^5^0;570^5^0;414^5^0;253^5^0
4132611|Endoplasmic Reticulum|C0014239|35365|MH|||RC
4132611|*Bird|C0005595|7329|ET|Entry Term Replacement for "Birds";RtM via: Aves;RtM via: Fulica atra;RtM via: Genus Fulica (organism);Forced Non-Leaf Node Lookup:bird|TI|MM|37^4^0;58^11^0;1156^5^0;586^4^0;396^5^0;202^5^0;51^5^0
4132611|*Feeding Methods|C0015746|1221|MH|RtM via: Feeding Methods;Forced Non-Leaf Node Lookup:feeding methods|TI|MM|918^14^0;504^15^0;185^15^0
4132612|Animals|C0003062|162146|CT|Aedes;CT Treecode Lookup: B01.050.500.131 (Aedes);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Mosquito Vectors;CT Treecode Lookup: N06.850.310.350 (Mosquito Vectors)||MM;RC
4132612|*Charadriiformes|C0325773|77219|MH|RtM via: Charadrius semipalmatus;RtM via: Sterna paradisaea;RtM via: Plover;RtM via: Tern (organism);Forced Leaf Node Lookup:terns;checkForceMH Boosted|TI|MM|819^20^0;53^23^0;32^19^0;750^12^0;131^12^0;145^17^0;858^7^0;671^7^0;212^7^0;615^5^0;335^5^0;138^5^0;511^5^0;757^5^0
4132612|Mosquito Vectors|C4277713|111765|MH|Forced Culicidae and Vector: Aedes||MM
4132612|Aedes|C0001692|161146|MH|||RC
4132612|Dengue Virus|C0011315|99854|MH|||RC
4132612|*Predatory Behavior|C0032942|27075|MH|RtM via: Predatory Behavior|TI|MM|711^9^0
4132612|*Habitat|C0871648|20094|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|798^7^0
4132612|*Probability|C0033204|4035|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|691^11^0
4132613|Pregnancy|C0032961|258261|CT|Amniocentesis;CT Treecode Lookup: E01.370.378.630 (Amniocentesis)||RC
4132613|Male|C0086582|258261|CT|CT Text Lookup: man|TI|MM;RC|1195^3^0
4132613|Humans|C0086418|258261|CT|CT Text Lookup: man|TI|MM;RC|1195^3^0
4132613|Female|C0086287|258261|CT|Amniocentesis;CT Treecode Lookup: E01.370.378 (Amniocentesis)||RC
4132613|Animals|C0003062|258261|CT|Grooming;CT Treecode Lookup: F01.145.113.111 (Grooming)||MM
4132613|*Lakes|C0337049|141374|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|527^4^0;346^4^0;85^5^0
4132613|*Swimming|C0039003|78928|MH|RtM via: Swimming;Forced Leaf Node Lookup:swimming|TI|MM|773^8^0
4132613|*Grooming|C0018249|78373|MH|RtM via: Preening;Forced Leaf Node Lookup:preenings|TI|MM|742^8^0
4132613|Amniocentesis|C0002627|257261|MH|||RC
4132613|Karyotyping|C0022526|220070|MH|||RC
4132613|*Birds|C0005595|18693|MH|RtM via: Aves;RtM via: Podiceps cristatus;RtM via: Family Podicipedidae (organism);RtM via: Grebe (organism);Forced Non-Leaf Node Lookup:birds|TI|MM|841^5^0;20^20^0;42^18^0;1100^5^0;1021^6^0;936^5^0;698^6^0;682^5^0;492^5^0;413^6^0
4132613|Italy|C0022277|6|MH|RtM via: Italy|TI|MM|100^5^0
4132614|Female|C0086287|27666|CT|Forced Non-Leaf Node Lookup:female||MM|74^6^0;369^6^0;395^6^0;562^6^0;680^6^0;783^6^0;936^6^0;1072^6^0
4132614|Animals|C0003062|27666|CT|Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Grooming;CT Treecode Lookup: F01.145.113.111 (Grooming)|TI|MM
4132614|*Ducks|C0013268|26666|MH|RtM via: Ducks;RtM via: Bucephala islandica;Forced Leaf Node Lookup:ducks;checkForceMH Boosted|TI|MM|1263^5^0;1079^19^0;81^19^0;102^19^0;1277^5^0
4132614|*Grooming|C0018249|11230|MH|RtM via: Preening;Forced Leaf Node Lookup:preenings|TI|MM|864^8^0;744^8^0;310^8^0;356^8^0
4132614|*Birds|C0005595|17388|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|1342^5^0
4132614|Vocational Guidance|C0042934|14731|MH|||RC
4132614|*Maintenance|C0024501|8973|MH|RtM via: Maintenance|TI|MM|324^11^0
4132614|*Locomotion|C0023946|2871|MH|RtM via: Locomotion;Forced Non-Leaf Node Lookup:locomotion|TI|MM|282^10^0
4132614|*Breeding|C0006159|2055|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|65^8^0
4132560|Adult|C0001675|53953|CT|CT Text Lookup: adult|TI|MM;RC|196^5^0
