C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\zeitpflapflapfla\input.txt
43230740|Animals|C0003062|13594|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids)|TI|MM
43232280|*Plant Viruses|C0032092|6288|MH|RtM via: Plant Viruses|TI|MM|1645^21^0
43232280|*Virus Diseases|C0042769|3756|MH|RtM via: Virus Diseases|TI|MM|1683^14^0;1421^15^0
43232280|*Virus Components|C1268456|2004|ET|Entry Term Replacement for "Viral Structures";RtM via: Viral Components|TI|MM|1997^16^0
43232280|*DNA Viruses|C0012923|1815|MH|RtM via: AS virus|TI|MM|2538^5^0;1732^5^0;680^5^0
43232281|*Bacillus thuringiensis|C0004597|4157|MH|RtM via: Bacillus thuringiensis;Forced Leaf Node Lookup:bacillus thuringiensis;checkForceMH Boosted|TI|MM|792^22^0;627^22^0;140^22^0
43232281|*Suspensions|C0038960|370|MH|RtM via: Suspensions;Forced Leaf Node Lookup:suspensions|TI|MM|746^11^0
43232281|Spores, Bacterial|C0038028|361|MH|Spores Specifics:Spores||MM
43232281|*Control Groups|C0009932|372|MH|RtM via: Control Groups|TI|MM|571^19^0
43232281|*Rain|C0034640|108|MH|RtM via: Rain;Forced Non-Leaf Node Lookup:rain|TI|MM|894^4^0
43232281|*Biological Phenomena|C0005520|30|MH|RtM via: biological control|TI|MM|560^18^0
43232281|Immunoglobulin E|C0020846|1000|MH|Forced Non-Leaf Node Lookup:ige||MM|397^3^0
43232282|*Aristolochia|C0330220|3973|MH|RtM via: Aristolochia clematitis;Forced Leaf Node Lookup:aristolochias;checkForceMH Boosted|TI|MM;RC|21^23^0
43232282|*Farms|C0557759|530|MH|RtM via: Vineyards;Forced Leaf Node Lookup:vineyards|TI|MM|67^9^0
43232282|*Biological Phenomena|C0005520|1323|MH|RtM via: Tissue Growth|TI|MM|56^7^0
43232282|*Virus Disease|C0042769|150|ET|Entry Term Replacement for "Virus Diseases";RtM via: Virus Diseases|TI|MM|208^13^0
43232282|*Marijuana Abuse|C0024809|99|MH|RtM via: Marijuana Abuse|TI|MM|51^4^0
43233031|Animals|C0003062|12289|CT|Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae)||MM;RC
43233031|*Population Density|C0032665|3666|MH|RtM via: Population Density;Forced Leaf Node Lookup:population density|TI|MM|1353^18^0;1228^18^0
43233031|*Larvae|C0023047|2019|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM|1530^6^0;1204^6^0
43233031|Europe|C0015176|11028|MH|RtM via: central europe;Forced Non-Leaf Node Lookup:europe|TI|MM|1038^14^0;1046^6^0
43233031|*Outbreaks|C0012652|918|ET|Entry Term Replacement for "Disease Outbreaks";RtM via: Disease Outbreaks;Forced Non-Leaf Node Lookup:outbreaks|TI|MM|1059^9^0
43233031|*Physical Therapy Modalities|C0949766|429|MH|RtM via: oscillations|TI|MM|1614^12^0
43233031|*Picea|C0949850|147|MH|RtM via: Picea|TI|MM|959^6^0
43233031|Canada|C0006823|9|MH|RtM via: Canada|TI|MM|1006^6^0
43233032|Animals|C0003062|86948|CT|Mites;CT Treecode Lookup: B01.050.500.131 (Mites)||MM;RC
43233032|*Chlorophyll A|C0055431|85948|MH|RtM via: Chlorophyll A;checkForceMH Boosted|TI|MM|1825^11^1;1838^1^1
43233032|*Photosynthesis|C0031764|28660|MH|RtM via: Photosynthesis;Forced Leaf Node Lookup:photosynthesis|TI|MM|3548^14^0;3463^14^0
43233032|*Mites|C0026231|14089|MH|RtM via: Mites;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mites|TI|MM|3436^5^0
43233032|*Suction|C0038638|12298|MH|RtM via: Suction drainage;Forced Leaf Node Lookup:suctions|TI|MM|2782^7^0;2372^7^0;2215^7^0;2848^7^0
43233032|*Pheophytins|C0031512|80598|MH|RtM via: Pheophytins|TI|MM|3772^11^0;1869^11^0
43233032|chlorophyll b|C0055432|52864|NM|RtM via: chlorophyll b|TI|MM|3723^11^1;3740^1^1
43233032|*Chlorophyll|C0008260|52863|MH|RtM via: chlorophyll b;Forced Non-Leaf Node Lookup:chlorophyll|TI|MM|3723^11^1;3740^1^1;1825^11^0
43233032|*Epidermal Cells|C3496194|7161|MH|RtM via: Epidermal cells;Forced Non-Leaf Node Lookup:epidermal cells|TI|MM|2628^9^0;2415^15^0;575^9^0
43233032|*Plant Leaves|C0242724|7140|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|3895^4^0;3652^4^0;3634^4^0;3528^6^0;3411^6^0;3325^6^0;3217^6^0;3047^6^0;2739^6^0
43233032|*Epidermis|C0014520|3510|MH|RtM via: Epidermis;Forced Non-Leaf Node Lookup:epidermis|TI|MM|2628^9^0;575^9^0
43233032|*Punctures|C0034117|2661|MH|RtM via: Puncture procedure;Forced Non-Leaf Node Lookup:punctures|TI|MM|2724^10^0;2228^10^0;2101^9^0
43233033|Animals|C0003062|3965|CT|Tylenchoidea;CT Treecode Lookup: B01.050.500.500 (Tylenchoidea)||MM;RC
43233033|Humans|C0086418|3965|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
43233033|*Daucus carota|C0242773|2965|MH|RtM via: Daucus carota;RtM via: Carrots - dietary;Forced Leaf Node Lookup:carrots;checkForceMH Boosted|TI|MM;RC|91^7^0
43233033|*Tylenchoidea|C0041439|1185|MH|RtM via: Heterodera carotae|TI|MM;RC|29^18^0
43233033|Germany|C0017480|1026|MH|RtM via: Germany;Forced Non-Leaf Node Lookup:germany|TI|MM;RC|80^7^0
43233033|*Ethnic Groups|C0015031|150|MH|RtM via: Dutch Population|TI|MM|182^5^0
43231816|*Xanthomonas campestris|C0085471|18819|MH|RtM via: Xanthomonas campestris;Forced Leaf Node Lookup:xanthomonas campestris;checkForceMH Boosted|TI|MM|1493^22^0
43231816|*Cauliflower|C0446302|12696|ET|Entry Term Replacement for "Brassica";RtM via: Cauliflower (dietary);RtM via: Red cabbage;RtM via: White cabbage;RtM via: Cabbage - dietary;checkForceMH Boosted|TI|MM|2355^11^0;1930^11^0;1442^11^0;2137^11^0;2190^13^0;1737^7^0
43231816|*Virulence|C0042765|4467|MH|RtM via: Virulence;Forced Leaf Node Lookup:virulence|TI|MM|2341^9^0
43231816|*Suspensions|C0038960|3201|MH|RtM via: Suspensions;Forced Leaf Node Lookup:suspensions|TI|MM|1914^11^0
43231816|*Phytopathology|C3179054|32604|ET|Entry Term Replacement for "Plant Pathology";RtM via: Plant Pathology|TI|MM|1593^17^0
43231816|*Plant Leaves|C0242724|3687|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1893^6^0
43231817|*Diazinon|C0012013|300133|MH|RtM via: Diazinon;Forced Leaf Node Lookup:diazinon;checkForceMH Boosted|TI|MM;RC|1833^8^0;1462^8^0;1238^8^0;1142^8^0
43231817|*Parathion|C0030514|210764|MH|RtM via: Parathion;checkForceMH Boosted;Forced Non-Leaf Node Lookup:parathion|TI|MM;RC|2073^9^0;1936^9^0;1448^9^0;1251^9^0;1128^9^0
43231817|*Insecticides|C0021576|165994|MH|RtM via: Insecticides;Forced Leaf Node Lookup:insecticides;checkForceMH Boosted|TI|MM;RC|2626^12^0;2327^12^0;2145^11^0;487^12^0;63^12^0
43231817|*Lepidium sativum|C1004347|158785|MH|RtM via: Lepidium sativum;Forced Leaf Node Lookup:lepidium sativums;checkForceMH Boosted|TI|MM;RC|2503^16^0;529^16^0
43231817|methyl demeton|C0066060|121394|NM|RtM via: Metasystox;Forced SCR Leaf Node Lookup:metasystox|TI|MM|1810^10^0;1436^10^0;1116^10^0
43231817|chlorobenzilate|C0055393|91076|NM|RtM via: chlorobenzilate;Forced SCR Leaf Node Lookup:chlorobenzilate|TI|MM|1704^15^0;1472^15^0;1221^15^0;1082^15^0
43231817|4-nitrophenol|C0048581|85367|NM|RtM via: 4-nitrophenol;Forced SCR Leaf Node Lookup:p-nitrophenol|TI|MM|2160^13^0
43231817|*Lepidium|C0949985|79538|MH|RtM via: Lepidium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lepidiums|TI|MM|1298^8^0
43231817|*Powders|C0032861|76960|MH|RtM via: Powder dose form;Forced Leaf Node Lookup:powders;checkForceMH Boosted|TI|MM|135^7^0
43231817|*DDT|C0011041|71938|MH|Forced Leaf Node Lookup:ddt;checkForceMH Boosted|TI|MM|1099^3^0;1504^3^0;1604^3^0
43231817|*Cress|C0524824|65240|ET|Entry Term Replacement for "Brassicaceae";RtM via: Brassicaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cress|TI|MM|891^5^0;522^5^0
43231817|*Soil|C0037592|62273|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|214^4^0
43231817|*Emulsions|C0014020|57710|MH|RtM via: Emulsions;RtM via: Drug emulsion;Forced Leaf Node Lookup:emulsions|TI|MM|1946^8^0;112^9^0
43231817|*Suspensions|C0038960|52529|MH|RtM via: Suspensions;Forced Leaf Node Lookup:suspensions|TI|MM|1673^10^0;578^11^0
43231817|*Germination|C0242735|51293|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|2534^11^0;1283^11^0;1166^11^0
43231817|*Altitude|C0002349|48614|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|2362^8^0
43231817|*Water|C0043047|46295|MH|RtM via: Water;RtM via: Aqueous;checkForceMH Boosted|TI|MM|978^5^0;937^8^0;712^5^0;570^7^0
43231817|*Horticulture|C5197899|37916|MH|RtM via: Horticulture;Forced New Lookup:horticulture|TI|MM|95^12^0
43231818|Animals|C0003062|144624|CT|Gryllidae;CT Treecode Lookup: B01.050.500.131 (Gryllidae);Milk;CT Treecode Lookup: A12.200.455 (Milk);Milk;CT Treecode Lookup: J02.200.700 (Milk);Milk;CT Treecode Lookup: J02.500.350.525 (Milk);CT Text Lookup: animal;CT Text Lookup: fish|TI|MM;RC|69^6^0;369^4^0
43231818|Humans|C0086418|1000|CT|Forced Humans: Vegetarian||MM
43231818|*Vegetables|C0042440|143624|MH|RtM via: Vegetables;Forced Leaf Node Lookup:vegetables;checkForceMH Boosted|TI|MM;RC|1642^10^0
43231818|*Gryllidae|C0018288|98043|MH|RtM via: Gryllidae;Forced Leaf Node Lookup:crickets;checkForceMH Boosted|TI|MM|1714^8^0;1500^7^0;137^7^0
43231818|*Solanum tuberosum|C1145678|87434|MH|RtM via: Potato;RtM via: Solanum tuberosum;Forced Leaf Node Lookup:potatoes;checkForceMH Boosted|TI|MM|1662^8^0
43231818|*Caseins|C0007332|75923|MH|RtM via: Caseins;Forced Leaf Node Lookup:caseins;checkForceMH Boosted|TI|MM|361^6^0
43231818|*Oryza|C0086740|74672|MH|RtM via: Oryza sativa;RtM via: Rice (Dietary);Forced Leaf Node Lookup:rice;checkForceMH Boosted|TI|MM|1729^4^0;534^4^0
43231818|*Soil|C0037592|48865|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1593^4^0
43231818|*Milk|C0026131|33607|MH|RtM via: Skim milk;Forced Leaf Node Lookup:milk|TI|MM|343^9^0;348^4^0
43231818|*Animal Feed|C0003050|85128|MH|RtM via: Animal feed (substance)|TI|MM;RC|1563^11^0;1466^11^0
43231818|*Meat|C0025017|72900|MH|RtM via: Meat;Forced Non-Leaf Node Lookup:meats|TI|MM;RC|967^4^0;829^5^0;704^4^0;470^4^0;197^4^0
43231818|*Nutrients|C0678695|50832|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|767^9^0
43231818|*Habitat|C0871648|18264|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1485^7^0
43231818|*Vegetarian|C0042441|13128|ET|Entry Term Replacement for "Vegetarians";RtM via: Vegetarian (finding;Forced Non-Leaf Node Lookup:vegetarians|TI|MM|935^10^0
43231818|*Fungal Proteins|C0016829|8334|MH|RtM via: Yeast Proteins;Forced Non-Leaf Node Lookup:yeast proteins|TI|MM|394^13^0
43231818|*Carbohydrates|C0007004|6594|MH|RtM via: Carbohydrates;Forced Non-Leaf Node Lookup:carbohydrates|TI|MM|1624^13^0;1401^13^0;744^13^0;634^13^0
43232256|*Lettuce|C0242765|106884|MH|RtM via: Lactuca sativa;RtM via: Lettuce - dietary;Forced Leaf Node Lookup:lettuce;checkForceMH Boosted|TI|MM|3124^7^0
43232256|lime|C0064990|91012|NM|RtM via: Calcium oxide;Forced SCR Leaf Node Lookup:lime|TI|MM|3480^4^0;2458^4^0
43232256|*Daucus carota|C0242773|90729|MH|RtM via: Daucus carota;RtM via: Carrots - dietary;Forced Leaf Node Lookup:carrots;checkForceMH Boosted|TI|MM|3112^7^0
43232256|*Beta vulgaris|C0330391|88317|MH|RtM via: Beets;RtM via: Beta vulgaris;Forced Leaf Node Lookup:beets;checkForceMH Boosted|TI|MM|3099^5^0;4008^7^0;1732^7^0;1345^7^0;3175^5^0
43232256|*Peas|C0030738|69966|MH|RtM via: Peas - dietary;RtM via: Pisum sativum;Forced Leaf Node Lookup:peas;checkForceMH Boosted|TI|MM|3106^4^0
43232256|*Avena|C0331496|65547|MH|RtM via: Avena (plant);Forced Leaf Node Lookup:oats;checkForceMH Boosted|TI|MM|3080^4^0;2962^4^0;3166^4^0
43232256|*Peat Moss|C1053942|58356|ET|Entry Term Replacement for "Sphagnopsida";RtM via: Sphagnopsida;checkForceMH Boosted|TI|MM|3321^9^0;2526^9^0;2302^9^0
43232256|*Molybdenum|C0026402|53070|MH|RtM via: Molybdenum;Forced Leaf Node Lookup:molybdenum;checkForceMH Boosted|TI|MM|2053^10^0;2156^10^0;2644^10^0;2725^10^0;3044^10^0;3242^10^0
43232256|*Sand|C4759711|46773|MH|RtM via: Sand;Forced New Lookup:sands;checkForceMH Boosted|TI|MM|2347^5^0
43232256|*Soil|C0037592|41136|MH|RtM via: Soil;RtM via: Humus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:humus|TI|MM|3731^4^0;3267^5^0;2498^4^0;2536^5^0;2092^4^0;2247^5^0;2428^5^0;463^5^0;2254^5^0;2312^5^0;2369^5^0;2463^5^0;3331^5^0;3485^5^0;3509^5^0;2302^4^0;2391^4^0;2526^4^0;3321^4^0
43232256|*Secale|C0086964|39372|MH|Forced Leaf Node Lookup:rye;checkForceMH Boosted|TI|MM|2954^3^0
43232256|*Agricultural Crops|C0242775|38031|ET|Entry Term Replacement for "Crops, Agricultural";RtM via: Agricultural Crops;checkForceMH Boosted;Forced Non-Leaf Node Lookup:agricultural crops|TI|MM|3807^5^0;2181^18^0
43232256|*Iron|C0302583|37995|MH|RtM via: Iron;checkForceMH Boosted;Forced Non-Leaf Node Lookup:iron|TI|MM|3208^4^0;2587^4^0
43232256|*Cauliflower|C0446302|26010|ET|Entry Term Replacement for "Brassica";RtM via: Cauliflower (dietary);checkForceMH Boosted|TI|MM|3086^11^0;2018^11^0
43232256|*Calcium Compounds|C0206106|91011|HM|RtM via: Calcium oxide|TI|MM|3480^4^0;2458^4^0
43232256|*Oxides|C0030015|67875|HM|RtM via: Calcium oxide|TI|MM|3480^4^0;2458^4^0
43232256|*Iron Chelating Agents|C0022086|30036|MH|RtM via: Iron Chelating Agents;Forced Non-Leaf Node Lookup:iron chelates|TI|MM|2857^12^0
43232256|*Minerals|C0026162|13008|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|3501^7^0
43232257|*Solanum tuberosum|C1145678|49703|MH|RtM via: Potato;RtM via: Solanum tuberosum;Forced Leaf Node Lookup:potato;checkForceMH Boosted|TI|MM|861^6^0
43232257|*Soil|C0037592|11554|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1250^4^0
43232257|*Plant Tubers|C1136058|130800|MH|RtM via: Plant Tubers|TI|MM|868^5^0
43232257|*Water Supply|C0043062|4173|MH|RtM via: Water Supply;Forced Non-Leaf Node Lookup:water supply|TI|MM|1190^12^0
43232257|*Virus Disease|C0042769|3447|ET|Entry Term Replacement for "Virus Diseases";RtM via: Virus Diseases|TI|MM|1222^13^0
43232257|*Confusion|C0009676|2817|MH|RtM via: Confusion;RtM via: Clouded consciousness|TI|MM|988^8^0
43232258|*Solanum tuberosum|C1145678|149670|MH|RtM via: Potato;RtM via: Solanum tuberosum;Forced Leaf Node Lookup:potato;checkForceMH Boosted|TI|MM;RC|68^6^0
43232258|*Phytophthora|C0031864|39474|MH|RtM via: Phytophthora;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytophthoras|TI|MM;RC|288^12^0
43232258|*Plant Tubers|C1136058|319785|MH|RtM via: Plant Tubers|TI|MM;RC|75^6^0
43232258|*Water|C0043047|3195|MH|RtM via: Water|TI|MM;RC|234^8^0;27^8^0
43232258|*Respiration|C0035203|558|MH|RtM via: Respiration|TI|MM|153^11^0
43232258|*Health Status|C0018759|45|MH|RtM via: Healthy|TI|MM|48^7^0
43232259|*DNA Viruses|C0012923|390|MH|RtM via: AS virus|TI|MM|107^5^0
43232259|Plant Extracts|C0032081|379|MH|||RC
43232261|Berlin|C0005125|7703|MH|RtM via: City of Berlin;Forced Leaf Node Lookup:berlin|TI|MM;RC|325^6^0;70^6^0
43232262|barium carbonate|C0052971|82860|NM|RtM via: barium carbonate;Forced SCR Leaf Node Lookup:barium carbonate|TI|MM|1657^16^0
43232262|phosphoric acid|C0031700|51915|NM|RtM via: Phosphoric acid;Forced SCR Leaf Node Lookup:phosphoric acid|TI|MM|1259^15^0
43232262|*Rubidium|C0035930|49130|MH|RtM via: Rubidium;Forced Leaf Node Lookup:rubidium;checkForceMH Boosted|TI|MM|1857^8^0;1684^8^0;544^8^0
43232262|*Strontium|C0038467|41401|MH|RtM via: Strontium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:strontium|TI|MM|1644^9^0;497^9^0
43232262|potash|C1802535|38061|NM|RtM via: potash;Forced SCR Leaf Node Lookup:potash|TI|MM|1122^6^0
43232262|*Boron|C0006030|36089|MH|RtM via: Boron;Forced Leaf Node Lookup:boron;checkForceMH Boosted|TI|MM|2119^5^0;1827^5^0;1736^5^0;1431^5^0;1059^5^0
43232262|*Beta vulgaris|C0330391|34634|MH|RtM via: Beets;Forced Leaf Node Lookup:beets;checkForceMH Boosted|TI|MM|1220^5^0
43232262|*Nitrogen|C0028158|18148|MH|RtM via: Nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM|1109^8^0
43232262|*Gift Giving|C1136184|14011|MH|RtM via: Gifts;Forced Leaf Node Lookup:gifts|TI|MM|1635^5^0
43232262|*Barium|C0004749|82859|HM|RtM via: barium carbonate|TI|MM|1657^16^0
43232262|*Phosphoric Acids|C0031702|51914|HM|RtM via: Phosphoric Acids;RtM via: Phosphoric acid|TI|MM|1259^15^0
43232262|*Carbonates|C0007026|51338|HM|RtM via: barium carbonate|TI|MM|1657^16^0
43232262|*Cesium|C0007886|25152|MH|RtM via: Cesium;Forced Non-Leaf Node Lookup:caesium|TI|MM|2019^7^0
43232262|*Nutrients|C0678695|11169|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1545^9^0
43232262|Zinc|C0043481|1000|MH|Forced Non-Leaf Node Lookup:zn||MM|929^2^0;2073^2^0
43232263|Animals|C0003062|7441|CT|Larva;CT Treecode Lookup: B05.500 (Larva);Larva;CT Treecode Lookup: G07.345.500.550.500 (Larva);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
43232263|*Larva|C0023047|5415|MH|RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM|1339^6^0;989^5^0;835^6^0
43232263|*Parasites|C0030498|3696|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|1244^8^0;1135^8^0;819^11^0;952^8^0
43232263|*Soil|C0037592|2946|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1178^4^0;1086^4^0
43232263|*Rape|C0034668|1599|MH|RtM via: Forcible intercourse;Forced Leaf Node Lookup:rape|TI|MM|1054^4^0
43232263|Germany|C0017480|6441|MH|RtM via: Germany;Forced Non-Leaf Node Lookup:germany|TI|MM;RC|777^7^0
43232263|*Plant Leaves|C0242724|4134|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1044^6^0
43232263|*Coleoptera|C0009276|2484|MH|RtM via: Psylliodes chrysocephalus|TI|MM|845^24^0;88^24^0
43232263|*Death|C0011065|834|MH|RtM via: Cessation of life|TI|MM|995^10^0;430^3^0;500^3^0;316^3^0;183^3^0;60^3^0
43232264|Animals|C0003062|75473|CT|Aphids;CT Treecode Lookup: B01.050.500.131 (Aphids);Disease Vectors;CT Treecode Lookup: N06.850.310.350 (Disease Vectors)||MM;RC
43232264|*Aphids|C0003562|40128|MH|RtM via: Aphids;RtM via: Myzus persicae;Forced Leaf Node Lookup:aphids;Forced Leaf Node Lookup:myzus;checkForceMH Boosted|TI|MM|1254^6^0;1135^14^0;44^14^0
43232264|*Potato|C0032846|30253|ET|Entry Term Replacement for "Solanum tuberosum";RtM via: Potato;RtM via: Solanum tuberosum;checkForceMH Boosted|TI|MM|1175^6^0
43232264|Potato leafroll virus|C1000271|74473|NM|RtM via: Potato leafroll virus|TI|MM|2136^22^0
43232264|*Luteoviridae|C1057134|74472|HM|RtM via: Potato leafroll virus|TI|MM|2136^22^0
43232264|*Disease Vectors|C0012656|9621|MH|RtM via: Disease Vectors|TI|MM|2185^6^0
43232264|*Plant Leaves|C0242724|5091|MH|RtM via: Plant Leaves|TI|MM|1201^4^0
43232265|Male|C0086582|87678|CT|CT Text Lookup: man|TI|MM;RC|264^3^0
43232265|Humans|C0086418|87678|CT|CT Text Lookup: man|TI|MM;RC|264^3^0
43232265|*Onions|C0029035|86678|MH|RtM via: Allium cepa;RtM via: Onions;Forced Leaf Node Lookup:onions;checkForceMH Boosted|TI|MM|462^5^0
43232265|*Apium|C0996918|82253|MH|RtM via: Apium graveolens var. dulce;Forced Leaf Node Lookup:celery;checkForceMH Boosted|TI|MM|531^6^0;442^6^0
43232265|*Germination|C0242735|57337|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM|639^11^0
43232265|*Vegetables|C0042440|48008|MH|RtM via: Vegetables;RtM via: Celery (Dietary);Forced Leaf Node Lookup:vegetables;checkForceMH Boosted|TI|MM|699^9^0;411^9^0;531^6^0;442^6^0
43232265|*Lycopersicon esculentum|C1140676|42197|MH|RtM via: Lycopersicon esculentum;RtM via: Tomatoes;Forced Leaf Node Lookup:tomato;checkForceMH Boosted|TI|MM|520^6^0;450^6^0
43232265|*Water|C0043047|14476|MH|RtM via: Water;checkForceMH Boosted|TI|MM|755^5^0
43232265|*Seeds|C0036563|19212|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|709^5^0;356^5^0
43232265|*Food Hypersensitivity|C0016470|4143|MH|RtM via: onion allergenic extract|TI|MM|462^5^0
43232265|*Protective Agents|C0033613|3621|MH|RtM via: Protective Agents;RtM via: Protectants|TI|MM|585^7^0
43232265|*Restraint, Physical|C0035260|1743|MH|RtM via: Chemical restraint (procedure)|TI|MM|334^8^0
43232266|Bees|C0004923|120155|CT|RtM via: Bees;Forced Leaf Node Lookup:bees|TI|MM|1932^4^0
43232266|Animals|C0003062|120155|CT|RtM via: Bees;Weevils;CT Treecode Lookup: B01.050.500.131 (Weevils);Insects;CT Treecode Lookup: B01.050.500.131 (Insects)|TI|MM;RC|1932^4^0
43232266|*Toxaphene|C0040521|119155|MH|RtM via: Toxaphene;Forced Leaf Node Lookup:toxaphene;checkForceMH Boosted|TI|MM|1877^9^0
43232266|*Endosulfan|C0014252|90928|MH|RtM via: Endosulfan;Forced Leaf Node Lookup:thiodan;checkForceMH Boosted|TI|MM|1835^7^0
43232266|*Insecticides|C0021576|62323|MH|RtM via: Insecticides;Forced Leaf Node Lookup:insecticides;checkForceMH Boosted|TI|MM|1817^12^0
43232266|*Weevils|C0322520|52459|MH|RtM via: Weevils;Forced Leaf Node Lookup:weevils;checkForceMH Boosted|TI|MM|1661^6^0
43232266|*Rape|C0034668|11723|MH|RtM via: Forcible intercourse;Forced Leaf Node Lookup:rape|TI|MM|2206^4^0;1656^4^0
43232266|*Urinary Bladder|C0005682|11498|MH|Forced Leaf Node Lookup:bladder|TI|MM|1602^7^0;2187^7^0
43232266|*Insects|C0021585|23808|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|2342^7^0
43232266|*Flower|C0330090|9621|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|2223^6^0
43232266|*Margins of Excision|C0229985|2532|MH|RtM via: Surgical margins|TI|MM|2092^6^0
43232266|*Helicopter|C0018875|2052|ET|Entry Term Replacement for "Aircraft";RtM via: Helicopter|TI|MM|2266^10^0;1797^10^0
43232266|Germany|C0017480|15|MH|RtM via: Germany|TI|MM|1736^7^0
43232267|Animals|C0003062|19838|CT|Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Tylenchoidea;CT Treecode Lookup: B01.050.500.500 (Tylenchoidea)||MM;RC
43232267|*Carica|C0522456|18838|MH|RtM via: Carica;Forced Leaf Node Lookup:caricas;checkForceMH Boosted|TI|MM|249^6^0
43232267|*Ficus|C0969754|4996|MH|RtM via: Ficus elastica;Forced Leaf Node Lookup:ficus;checkForceMH Boosted|TI|MM|690^14^0;446^14^0;375^14^0;72^14^0
43232267|*Rubber|C0035918|2686|MH|RtM via: Elastica;Forced Leaf Node Lookup:elastica;checkForceMH Boosted|TI|MM|225^8^0;78^8^0;381^8^0;452^8^0;696^8^0
43232267|*Larvae|C0023047|2453|ET|Entry Term Replacement for "Larva";RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM|583^6^0
43232267|*Tylenchoidea|C0041439|663|MH|RtM via: Heterodera humuli;RtM via: Heterodera fici|TI|MM|521^17^0;403^15^0;21^15^0
43232267|Germany|C0017480|537|MH|RtM via: Germany;Forced Non-Leaf Node Lookup:germany|TI|MM;RC|464^7^0
43232267|*Frailty|C0424594|90|MH|RtM via: Weakness|TI|MM|705^6^0
43232268|Animals|C0003062|22111|CT|Insects;CT Treecode Lookup: B01.050.500.131 (Insects);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)|TI|MM
43232268|*Beauveria|C0320027|21111|MH|RtM via: Beauveria bassiana;RtM via: Beauveria tenella;Forced Leaf Node Lookup:beauveria bassianas;Forced Leaf Node Lookup:beauverias;checkForceMH Boosted|TI|MM|1411^18^0;175^18^0;1647^17^0;425^17^0
43232268|*Parasites|C0030498|7466|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|1258^8^0
43232268|*Temperature|C0039476|3874|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1852^12^0
43232268|*Insects|C0021585|7632|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|1308^7^0
