C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\tranamermicrsoci\input.txt
10.2307/3224628|Animals|C0003062|68320|CT|Animal Shells;CT Treecode Lookup: A13.080 (Animal Shells);Crustacea;CT Treecode Lookup: B01.050.500.131 (Crustacea)||MM;RC
10.2307/3225959|*Ownership|C0029981|555|MH|RtM via: possession|TI|MM|295^10^0
10.2307/3225959|*Sperm|C0037868|276|ET|Entry Term Replacement for "Spermatozoa";RtM via: sperm cell;Forced Non-Leaf Node Lookup:sperm|TI|MM;RC|329^5^0
10.2307/3225959|Massachusetts|C0024874|12|MH|RtM via: Massachusetts (geographic location);Forced Non-Leaf Node Lookup:massachusetts|TI|MM|112^13^0
10.2307/3225959|*Bursa, Synovial|C0006441|6|MH|RtM via: Synovial bursa|TI|MM|402^5^0
10.2307/3225960|Animals|C0003062|57719|CT|CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|732^7^0
10.2307/3225960|*Wind|C0043187|56719|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM;RC|902^4^0;651^4^0;357^4^0
10.2307/3225960|*Temperature|C0039476|55493|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|663^11^0;392^12^0
10.2307/3225960|*Water|C0043047|18541|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|871^5^0;637^5^0
10.2307/3225960|*Anemone|C0330254|17525|MH|RtM via: Anemone;Forced Leaf Node Lookup:anemones;checkForceMH Boosted|TI|MM|123^8^0
10.2307/3225960|*Warts|C3665596|6399|MH|RtM via: Warts;RtM via: Common wart|TI|MM|94^8^0
10.2307/3225960|*Impedance|C0162537|2667|ET|Entry Term Replacement for "Electric Impedance";RtM via: electric impedance|TI|MM|839^7^0
10.2307/3225960|*Physical Phenomena|C2350446|2289|MH|RtM via: evaporation|TI|MM|859^11^0;625^11^0
10.2307/3225960|*Laboratory|C0022877|1125|ET|Entry Term Replacement for "Laboratories";RtM via: Laboratory|TI|MM|761^10^0
10.2307/3225961|Male|C0086582|57718|CT|CT Text Lookup: male|TI|MM;RC|210^4^0;369^4^0
10.2307/3225961|Female|C0086287|57718|CT|CT Text Lookup: female|TI|MM;RC|219^6^0;378^6^0
10.2307/3225961|Animals|C0003062|57718|CT|Schistosoma;CT Treecode Lookup: B01.050.500.500 (Schistosoma);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites)||MM;RC
10.2307/3225961|*Microscopy, Electron, Scanning|C0026020|10514|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM;RC|101^28^0
10.2307/3225961|*Parasites|C0030498|9676|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|413^8^0;280^8^0
10.2307/3225961|*Schistosoma|C0036315|56718|MH|RtM via: Schistosoma|TI|MM;RC|385^12^0;226^12^0
10.2307/3225961|*Integumentary System|C0037267|6636|MH|RtM via: Integumentary system|TI|MM|32^10^0
10.2307/3225961|*Skin|C1123023|5091|MH|RtM via: Skin;RtM via: Skin, Human|TI|MM|32^10^0
10.2307/3225961|*Acclimatization|C0000934|1617|MH|RtM via: Acclimatization|TI|MM|341^11^0
10.2307/3225962|Animals|C0003062|153562|CT|Drosophila melanogaster;CT Treecode Lookup: B01.050.500.131 (Drosophila melanogaster);Drosophila;CT Treecode Lookup: B01.050.500.131 (Drosophila);Fat Body;CT Treecode Lookup: A13.365 (Fat Body);CT Text Lookup: fat body|TI|MM;RC|292^8^0
10.2307/3225962|*Drosophila melanogaster|C0013139|152562|MH|RtM via: Drosophila melanogaster;Forced Lookup:drosophila melanogaster;checkForceMH Boosted|TI|MM;RC|75^23^0
10.2307/3225962|*Drosophila|C0013138|143934|MH|RtM via: Drosophila <fruit fly, genus>;RtM via: Drosophila <fruit fly, subgenus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:drosophilas|TI|MM;RC|562^10^0
10.2307/3225962|*Myofibrils|C0027075|56766|MH|RtM via: Myofilaments;Forced Leaf Node Lookup:myofilaments|TI|MM|534^12^0
10.2307/3225962|*Fat Body|C0015665|15147|MH|Forced Leaf Node Lookup:fat body|TI|MM|292^8^0
10.2307/3225962|*Actin Cytoskeleton|C0025979|27963|MH|RtM via: Microfilaments|TI|MM|534^12^0
10.2307/3225962|*Digestive System|C0012240|6750|MH|RtM via: Primitive midgut structure|TI|MM;RC|309^6^0
10.2307/3225962|*Epithelium|C0014609|6423|MH|RtM via: Epithelium|TI|MM|316^10^0
10.2307/3225962|*Brain|C0006104|1056|MH|RtM via: Brain;Forced Non-Leaf Node Lookup:brain|TI|MM|302^5^0
10.2307/3225963|Animals|C0003062|13441|CT|Mice, Inbred DBA;CT Treecode Lookup: B01.050.050 (Mice, Inbred DBA);Mice, Inbred DBA;CT Treecode Lookup: B01.050.150.900.649.313.992 (Mice, Inbred DBA);Mice, Inbred DBA;CT Treecode Lookup: B01.050.150.900.649.313.992.635.505.500 (Mice, Inbred DBA);CT Text Lookup: mice|TI|MM;RC|179^4^0
10.2307/3225963|Mice|C0026809|13441|CT|Forced Mice/Rats:DBA;Mice, Inbred DBA;CT Treecode Lookup: B01.050.150.900.649.313.992.635.505.500 (Mice, Inbred DBA);CT Text Lookup: mice;Forced Mice/Rats:DBA;Mice, Inbred DBA;CT Treecode Lookup: B01.050.150.900.649.313.992.635.505.500 (MMice, Inbred DBA;CT Treecode Lookup: B01.050.050 (Mice, Inbred DBA);Mice, Inbred DBA;CT Treecode LooCT Treecode Lookup: B01.050.050 (Mice, Inbred DBA)|TI|MM;RC|179^4^0
10.2307/3225963|*Methylcholanthrene|C0025732|7986|MH|RtM via: 20-Methylcholanthrene;Forced Leaf Node Lookup:20-methylcholanthrene;checkForceMH Boosted|TI|MM;RC|133^21^0
10.2307/3225963|*Mice, Inbred DBA|C0025923|51|MH|Forced Mice/Rats:DBA|TI|MM;RC
10.2307/3225963|*Nucleic Acids|C0028606|12441|MH|RtM via: Nucleic Acids|TI|MM;RC|257^13^0
10.2307/3225963|*Proteins|C0033684|6417|MH|RtM via: Proteins|TI|MM;RC|272^8^0
10.2307/3225963|*Inclusion Bodies|C0007637|5940|MH|RtM via: Inclusion Bodies;Forced Non-Leaf Node Lookup:inclusion bodies|TI|MM;RC|337^16^0;226^10^0;105^16^0
10.2307/3225963|*Lipids|C0023779|4416|MH|RtM via: Lipids;Forced Non-Leaf Node Lookup:lipids|TI|MM;RC|247^5^0
10.2307/3225963|*Carbohydrates|C0007004|2919|MH|RtM via: Carbohydrates;Forced Non-Leaf Node Lookup:carbohydrates|TI|MM|285^13^0
10.2307/3225963|*Tumor|C0027651|648|ET|Entry Term Replacement for "Neoplasms";RtM via: Neoplasms;RtM via: Tumor Mass;Forced Non-Leaf Node Lookup:tumor|TI|MM|163^5^0
10.2307/3225964|*Rivers|C0337050|140566|MH|RtM via: Streams;RtM via: Rivers;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM;RC|422^7^0;527^5^0
10.2307/3225964|*Wetlands|C1721088|39497|MH|RtM via: Swamp;Forced Leaf Node Lookup:swamps|TI|MM|501^6^0
10.2307/3225964|Ireland|C0022067|13616|MH|RtM via: Ireland;Forced Leaf Node Lookup:ireland|TI|MM|125^7^0
10.2307/3225964|*Freshwater|C0016710|68583|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water|TI|MM;RC|70^11^0
10.2307/3225964|*Habitats|C0871648|53166|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|859^7^0;325^8^0
10.2307/3225964|Louisiana|C0024024|24060|MH|RtM via: Louisiana (geographic location);Forced Non-Leaf Node Lookup:louisiana|TI|MM;RC|243^9^0
10.2307/3225964|Mississippi|C0026221|23025|MH|RtM via: Mississippi (geographic location)|TI|MM;RC|515^11^0
10.2307/3225964|Canada|C0006823|3711|MH|RtM via: Canada|TI|MM|117^6^0
10.2307/3225964|Scotland|C0036453|9|MH|RtM via: Scotland|TI|MM|157^8^0
10.2307/3225965|*Tetrahymena pyriformis|C0039680|75193|MH|RtM via: Tetrahymena pyriformis;Forced Leaf Node Lookup:tetrahymena pyriformis;checkForceMH Boosted|TI|MM;RC|237^22^0
10.2307/3225965|*Tetrahymena|C0039679|60656|MH|RtM via: Tetrahymena;checkForceMH Boosted;Forced Non-Leaf Node Lookup:tetrahymenas|TI|MM|902^11^0;102^11^0
10.2307/3225965|*Paramecium|C0030448|43169|MH|RtM via: Paramecium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:parameciums|TI|MM|118^10^0
10.2307/3225965|*Kinetofragminophorea|C0085331|66861|MH|RtM via: Tokophrya lemnarum|TI|MM|50^18^0
10.2307/3225965|*Ciliophora|C0085330|50454|MH|RtM via: Ciliata|TI|MM;RC|85^8^0
10.2307/3225966|Animals|C0003062|58990|CT|Carps;CT Treecode Lookup: B01.050.150.900.493 (Carps);Tilapia;CT Treecode Lookup: B01.050.150.900.493 (Tilapia);Perciformes;CT Treecode Lookup: B01.050.150.900.493 (Perciformes)||MM;RC
10.2307/3225966|*Carps|C0007284|23195|MH|RtM via: Cyprinus carpio;Forced Lookup:cyprinus carpio;checkForceMH Boosted|TI|MM|159^15^0
10.2307/3225966|*Tilapia|C0162642|14561|MH|RtM via: Tilapia zilli;Forced Leaf Node Lookup:tilapia;checkForceMH Boosted|TI|MM;RC|65^14^0
10.2307/3225966|*Oligohymenophorea|C0085334|57990|MH|RtM via: Trichodina sp.;RtM via: Trichodinella sp.;RtM via: Trichodina acuta|TI|MM;RC|28^10^1;56^2^1;127^13^1;150^2^1;240^16^0
10.2307/3225966|*Perciformes|C0030983|7731|MH|RtM via: Trichopodus trichopterus|TI|MM;RC|100^25^0
10.2307/3225967|Animals|C0003062|50800|CT|Life Cycle;CT Treecode Lookup: B05.500 (Life Cycle);Life Cycle;CT Treecode Lookup: G07.345.500.550.500 (Life Cycle)||MM;RC
10.2307/3225967|*Paramecium|C0030448|49800|MH|RtM via: Paramecium bursaria;checkForceMH Boosted;Forced Non-Leaf Node Lookup:parameciums|TI|MM;RC|128^19^0
10.2307/3225967|*Cytoplasm|C0010834|8520|MH|RtM via: Protoplasm|TI|MM;RC|523^13^0
10.2307/3225967|*Ciliophora|C0085330|6267|MH|RtM via: Ciliata|TI|MM|322^7^0
10.2307/3225967|*Life Cycle|C0023675|2601|ET|Entry Term Replacement for "Life Cycle Stages";RtM via: Life Cycle Stages|TI|MM;RC|445^10^0
10.2307/3225967|*Photomicrography|C0031753|1392|MH|RtM via: Photomicrography|TI|MM|34^16^0
10.2307/3225968|Animals|C0003062|97901|CT|Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens);Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);CT Text Lookup: mammalian|TI|MM;RC|327^9^0
10.2307/3225968|*Chickens|C0008051|96901|MH|RtM via: Chickens;Forced Leaf Node Lookup:chickens;checkForceMH Boosted|TI|MM;RC|284^7^0
10.2307/3225968|*Strigiformes|C0326067|93681|MH|RtM via: Bubo virginianus;Forced Leaf Node Lookup:great horned owls;Forced Leaf Node Lookup:owl;checkForceMH Boosted|TI|MM;RC|99^16^0;81^16^0;413^3^0
10.2307/3225968|*Microscopy, Electron, Scanning|C0026020|91238|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM;RC|228^28^0
10.2307/3225968|*Mucin|C0026682|87248|ET|Entry Term Replacement for "Mucins";RtM via: Mucins;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mucins|TI|MM;RC|568^5^0
10.2307/3225968|*Goblet Cells|C0506994|70652|MH|RtM via: Goblet Cells;Forced Leaf Node Lookup:goblet cells|TI|MM|590^12^0
10.2307/3225968|*Vacuoles|C0042219|29897|MH|RtM via: Vacuole;Forced Leaf Node Lookup:vacuoles|TI|MM|574^8^0;491^8^0
10.2307/3225968|*Duodenum|C0013303|69762|MH|RtM via: Duodenum;RtM via: Intestinal Villus;Forced Non-Leaf Node Lookup:duodenums|TI|MM;RC|397^8^0;209^5^0
10.2307/3225968|*Intestine, Small|C0021852|66276|MH|RtM via: Intestines, Small;Forced Non-Leaf Node Lookup:small intestines|TI|MM;RC|58^15^0
10.2307/3225968|*Transmission Electron Microscopy|C0678118|36531|ET|Entry Term Replacement for "Microscopy, Electron, Transmission";RtM via: Transmission Electron Microscopy;Forced Non-Leaf Node Lookup:transmission electron microscopy|TI|MM|418^32^0;145^32^0
10.2307/3225969|Animals|C0003062|92681|CT|CT Text Lookup: animal|TI|MM;RC|1050^6^0
10.2307/3225969|Humans|C0086418|92681|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|1033^5^0
10.2307/3225969|strong silver protein|C0075331|91681|NM|RtM via: strong silver protein;Forced SCR Leaf Node Lookup:protargol|TI|MM|269^9^0;39^9^0
10.2307/3225969|gold chloride|C0061790|57127|NM|RtM via: gold chloride;Forced SCR Leaf Node Lookup:gold chloride|TI|MM|676^13^0
10.2307/3225969|*Neurites|C0085103|49659|MH|RtM via: Neurites;Forced Leaf Node Lookup:neurites|TI|MM|939^8^0
10.2307/3225969|picric acid|C0071044|48193|NM|RtM via: picric acid;Forced SCR Leaf Node Lookup:picric acid|TI|MM|216^11^0
10.2307/3225969|*Copper|C0009968|46623|MH|RtM via: Copper;Forced Leaf Node Lookup:copper;checkForceMH Boosted|TI|MM;RC|324^6^0
10.2307/3225969|sodium thiosulfate|C0074774|46300|NM|RtM via: sodium thiosulfate;Forced SCR Leaf Node Lookup:sodium thiosulfate|TI|MM|740^18^0
10.2307/3225969|sodium sulfite|C0074771|45385|NM|RtM via: sodium sulfite;Forced SCR Leaf Node Lookup:sodium sulfite|TI|MM|491^14^0
10.2307/3225969|*Oxalic Acid|C0069715|33282|MH|RtM via: Oxalic Acid;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oxalic acid|TI|MM|705^11^0
10.2307/3225969|*Formalin|C0949307|27720|ET|Entry Term Replacement for "Formaldehyde";RtM via: Formalin;checkForceMH Boosted|TI|MM;RC|200^8^0
10.2307/3225969|*Cilia|C0008778|27231|MH|RtM via: Cilia;Forced Leaf Node Lookup:cilia|TI|MM|953^5^0
10.2307/3225969|hydroquinone|C0020306|26899|NM|RtM via: hydroquinone|TI|MM|472^12^0
10.2307/3225969|*Hydroquinones|C0020307|26898|MH|RtM via: hydroquinone;Forced Leaf Node Lookup:hydroquinones|TI|MM|472^12^0
10.2307/3225969|*Gold|C0018026|23565|MH|RtM via: Gold;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gold|TI|MM|650^4^0
10.2307/3225969|*Plaque, Amyloid|C2936349|20286|MH|RtM via: Senile Plaques;Forced Leaf Node Lookup:senile plaques|TI|MM|881^14^0
10.2307/3225969|*Silver Proteins|C0382507|91680|HM|RtM via: strong silver protein|TI|MM;RC|269^9^0;39^9^0
10.2307/3225969|*Gold Compounds|C0206108|57126|HM|RtM via: gold chloride|TI|MM|676^13^0
10.2307/3225969|*Nervous Tissue|C0027757|54498|ET|Entry Term Replacement for "Nerve Tissue";RtM via: Nerve Tissue;RtM via: All nervous tissue;Forced Non-Leaf Node Lookup:nervous tissues|TI|MM;RC|128^14^0;990^14^0
10.2307/3225969|*Picrates|C0031889|48192|HM|RtM via: picric acid|TI|MM|216^11^0
10.2307/3225970|Animals|C0003062|4834|CT|Polychaeta;CT Treecode Lookup: B01.050.500.091 (Polychaeta)||MM;RC
10.2307/3225970|*Water|C0043047|1005|MH|RtM via: Water;checkForceMH Boosted|TI|MM|110^5^0
10.2307/3225970|*Sand|C4759711|969|MH|RtM via: Sand;Forced New Lookup:sand;checkForceMH Boosted|TI|MM|85^4^0
10.2307/3225970|*Cilia|C0008778|915|MH|RtM via: Cilia;Forced Leaf Node Lookup:cilia|TI|MM|184^5^0;247^5^0
10.2307/3225970|*Mouth|C0226896|3834|MH|RtM via: Oral cavity;Forced Non-Leaf Node Lookup:mouth|TI|MM|212^5^0
10.2307/3225970|*Face|C0015450|1641|MH|RtM via: Oral region|TI|MM|212^5^0
10.2307/3225970|*Polychaeta|C0032444|618|MH|RtM via: Saccocirrus sonomacus|TI|MM|305^21^0;484^11^0;28^11^0
10.2307/3225970|*Gonads|C0018067|432|MH|RtM via: Gonadal structure;Forced Non-Leaf Node Lookup:gonads|TI|MM|431^6^0
10.2307/3225971|Animals|C0003062|4744|CT|Ctenophora;CT Treecode Lookup: B01.050.500.325 (Ctenophora)||MM;RC
10.2307/3225971|*Ciliophora|C0085330|3744|MH|RtM via: Ciliophora;RtM via: Ciliata;Forced Non-Leaf Node Lookup:ciliophoras|TI|MM|783^17^0;105^7^0;790^10^0
10.2307/3225971|*Ctenophora|C0999736|681|MH|RtM via: Nuda|TI|MM|1123^4^0
10.2307/3225971|*Publications|C0034036|615|MH|RtM via: Publications;RtM via: Scientific Publication|TI|MM|69^12^0;524^9^0
10.2307/3225971|*Communication|C0009452|531|MH|RtM via: Communication|TI|MM|444^13^0
10.2307/3225971|*Attention|C0004268|339|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|320^9^0
10.2307/3225971|*Rash|C0015230|36|ET|Entry Term Replacement for "Exanthema";RtM via: Exanthema;RtM via: Eruptions;Forced Non-Leaf Node Lookup:rash|TI|MM|54^4^0
10.2307/3225972|Animals|C0003062|79915|CT|Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda);Snails;CT Treecode Lookup: B01.050.500.644 (Snails);Clam;CT Treecode Lookup: B01.050.500.644 (Clam);Oligochaeta;CT Treecode Lookup: B01.050.500.091 (Oligochaeta)||MM;RC
10.2307/3225972|*Snails|C0037378|60480|MH|RtM via: Snails;Forced Non-Leaf Node Lookup:snails|TI|MM;RC|402^6^0
10.2307/3225972|*Clam|C0008894|38100|ET|Entry Term Replacement for "Bivalvia";RtM via: Clams;RtM via: Sphaeriidae;RtM via: Sphaerium corneum|TI|MM;RC|114^4^0;429^11^0;119^17^0
10.2307/3225972|*Symbiosis|C0039029|4857|MH|RtM via: Symbiotic|TI|MM;RC|379^9^0
10.2307/3225972|*Oligochaeta|C0028942|4755|MH|RtM via: Chaetogaster limnaei|TI|MM;RC|28^20^0
10.2307/3225973|Animals|C0003062|46699|CT|Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Fish Diseases;CT Treecode Lookup: C22 (Fish Diseases)||MM;RC
10.2307/3225973|*Trematoda|C0040818|45699|MH|RtM via: Class Monogenea;RtM via: Gyrodactylus|TI|MM;RC|234^10^0;28^12^0
10.2307/3225973|Fish Diseases|C0016154|823|MH|||RC
10.2307/3225973|Toes|C0040357|1000|MH|Forced Non-Leaf Node Lookup:toe||MM|199^3^0
10.2307/3225974|Animals|C0003062|113334|CT|Acanthocephala;CT Treecode Lookup: B01.050.500.500 (Acanthocephala);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Copepoda;CT Treecode Lookup: B01.050.500.131 (Copepoda);Trematoda;CT Treecode Lookup: B01.050.500.500 (Trematoda);Crustacea;CT Treecode Lookup: B01.050.500.131 (Crustacea);Cestoda;CT Treecode Lookup: B01.050.500.500 (Cestoda);Nematoda;CT Treecode Lookup: B01.050.500.500 (Nematoda);Hirudinea;CT Treecode Lookup: B01.050.500.091 (Hirudinea)||MM;RC
10.2307/3225974|*Acanthocephala|C0000881|112334|MH|RtM via: Acanthocephala;checkForceMH Boosted;Forced Non-Leaf Node Lookup:acanthocephalas|TI|MM|390^14^0
10.2307/3225974|*Parasites|C0030498|101398|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM;RC|297^9^0;284^11^0
10.2307/3225974|*Copepoda|C0323853|83923|MH|RtM via: Copepoda;Forced Leaf Node Lookup:copepodas;checkForceMH Boosted|TI|MM|416^8^0
10.2307/3225974|*Hirudinea|C0023209|49997|ET|Entry Term Replacement for "Leeches";RtM via: Leeches;checkForceMH Boosted;Forced Non-Leaf Node Lookup:hirudineas|TI|MM;RC|437^9^0
10.2307/3225974|*Rivers|C0337050|40952|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|118^5^0;164^5^0;214^5^0
10.2307/3225974|*Trematoda|C0040818|77256|MH|RtM via: Trematoda;RtM via: Class Monogenea;RtM via: Digenea (flatworm subclass);Forced Non-Leaf Node Lookup:trematodas|TI|MM|458^9^0;491^9^0;468^7^0;481^9^0
10.2307/3225974|*Cestoda|C1706526|74775|MH|RtM via: Class Cestoda|TI|MM|426^9^0
10.2307/3225974|*Nematoda|C1704319|68214|MH|RtM via: Nematodes;RtM via: Phylum Nematoda;Forced Non-Leaf Node Lookup:nematoda|TI|MM;RC|448^8^0
10.2307/3225974|*Fishes|C0016163|35280|MH|RtM via: Fishes;Forced Non-Leaf Node Lookup:fishes|TI|MM;RC|272^6^0;46^6^0
10.2307/3225975|Animals|C0003062|8995|CT|Nematocyst;CT Treecode Lookup: A13.655 (Nematocyst)||MM;RC
10.2307/3225975|*Nematocyst|C1166662|7995|MH|RtM via: Nematocyst;Forced Leaf Node Lookup:nematocysts|TI|MM;RC|62^10^0
10.2307/3225975|*Cytoskeleton|C0010853|3003|MH|RtM via: Cytoskeletal Filaments|TI|MM|163^8^0
10.2307/3225975|*Research|C0035168|444|MH|RtM via: Study|TI|MM|82^7^0
10.2307/3225975|*Organization|C0029246|297|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|32^12^0
10.2307/3225975|*Foot|C0016504|93|MH|RtM via: Arch of foot|TI|MM|251^4^0
10.2307/3225976|*Fixatives|C0016184|204417|MH|RtM via: Fixatives;Forced Leaf Node Lookup:fixatives;checkForceMH Boosted|TI|MM;RC|119^8^0
10.2307/3225976|Bouin's solution|C0053963|144388|NM|RtM via: Bouin's solution;RtM via: Bouin's Fixative;Forced SCR Leaf Node Lookup:bouin's solution|TI|MM|71^16^0
10.2307/3225976|*Polyvinyl Alcohol|C0032623|53703|MH|RtM via: Polyvinyl Alcohol;Forced Leaf Node Lookup:polyvinyl alcohol;checkForceMH Boosted|TI|MM;RC|175^3^0;43^17^0
10.2307/3225976|*Silver|C0037125|33870|MH|RtM via: Silver;Forced Leaf Node Lookup:silver;checkForceMH Boosted|TI|MM|356^6^0
10.2307/3225976|*Adhesive|C0001516|21906|ET|Entry Term Replacement for "Adhesives";RtM via: Adhesives;checkForceMH Boosted|TI|MM|132^8^0
10.2307/3225976|*Formaldehyde|C0016564|144387|HM|RtM via: Bouin's solution;RtM via: Bouin's Fixative|TI|MM;RC|71^16^0
10.2307/3225976|*Picrates|C0031889|112029|HM|RtM via: Bouin's solution;RtM via: Bouin's Fixative|TI|MM;RC|71^16^0
10.2307/3225976|*Acetic Acid|C0000983|100539|HM|RtM via: Bouin's solution;RtM via: Bouin's Fixative|TI|MM;RC|71^16^0
10.2307/3225976|*Coloring Agents|C1566391|21669|MH|RtM via: Stains;Forced Non-Leaf Node Lookup:stains|TI|MM;RC|320^5^0
10.2307/3225976|*Staining|C0487602|9792|ET|Entry Term Replacement for "Staining and Labeling";RtM via: Staining method;Forced Non-Leaf Node Lookup:stainings|TI|MM;RC|435^8^0;248^8^0
10.2307/3225976|*Flagella|C0016192|537|MH|RtM via: Flagella;Forced Non-Leaf Node Lookup:flagella|TI|MM|330^8^0
10.2307/3225977|*Polyethylene|C0137914|810|MH|RtM via: Polyethylene;Forced Leaf Node Lookup:polythene;checkForceMH Boosted|TI|MM|131^9^0
10.2307/3225977|*Artifacts|C0085089|588|MH|RtM via: Morphologic artifacts;Forced Leaf Node Lookup:artifacts|TI|MM|314^9^0
10.2307/3225977|*Capsules|C0006935|492|MH|RtM via: capsule (pharmacologic);Forced Leaf Node Lookup:capsules|TI|MM|146^8^0
10.2307/3225977|Microscopy, Electron, Scanning|C0026020|688|MH|||RC
10.2307/3225978|*Automobiles|C0004381|1848|MH|RtM via: Automobiles;Forced Leaf Node Lookup:automobiles|TI|MM|62^10^0
10.2307/3225978|*Constriction|C0009813|825|MH|RtM via: Closure by clamp;Forced Leaf Node Lookup:clampings|TI|MM|219^8^0
10.2307/3225978|*Vacuum|C0042221|801|MH|RtM via: Vacuum (physical force);Forced Leaf Node Lookup:vacuums|TI|MM|73^6^0
10.2307/3225978|*Standing Position|C0231472|1170|MH|RtM via: Upright|TI|MM|488^7^0
10.2307/3225978|*Bone Plates|C0005971|1071|MH|RtM via: Bone plates|TI|MM|228^5^0
10.2307/3225978|*Power Source|C0032865|930|ET|Entry Term Replacement for "Electric Power Supplies";RtM via: Electric Power Supplies|TI|MM|110^12^0
10.2307/3225978|propiconazole|C0072177|649|NM|RtM via: Tilt (brand of fungicide)|TI|MM|294^4^0
10.2307/3225978|*Triazoles|C0040880|648|HM|RtM via: Tilt (brand of fungicide)|TI|MM|294^4^0
10.2307/3225978|*Electron Microscopy|C0026019|474|ET|Entry Term Replacement for "Microscopy, Electron";RtM via: Electron Microscopy;Forced Non-Leaf Node Lookup:electron microscopy|TI|MM|594^19^0
10.2307/3225978|*Metals|C0025552|324|MH|RtM via: Metals;Forced Non-Leaf Node Lookup:metals|TI|MM|172^5^0
10.2307/3225979|Animals|C0003062|1087|CT|Lepidoptera;CT Treecode Lookup: B01.050.500.131 (Lepidoptera)||MM;RC
10.2307/3225979|Oklahoma|C0028914|82|MH|RtM via: Oklahoma (geographic location);RtM via: Cleveland County, OK;Forced Leaf Node Lookup:oklahoma|TI|MM;RC|119^8^0;101^16^0
10.2307/3225979|*Lepidoptera|C0023338|21|MH|RtM via: Coenobia|TI|MM|196^8^0
10.2307/3225979|*Chlorophyceae|C0175807|15|MH|RtM via: Coronastrum ellipsoideum|TI|MM|28^24^0
10.2307/3226093|Animals|C0003062|71791|CT|Beetles;CT Treecode Lookup: B01.050.500.131 (Beetles);Larva;CT Treecode Lookup: B05.500 (Larva);Larva;CT Treecode Lookup: G07.345.500.550.500 (Larva)||MM;RC
10.2307/3226093|*Beetles|C0009276|70791|ET|Entry Term Replacement for "Coleoptera";RtM via: Order Coleoptera;RtM via: Psephenus;RtM via: Neocylloepus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beetles|TI|MM;RC|117^7^0;585^9^0;365^12^0
10.2307/3226093|*Larva|C0023047|70320|MH|RtM via: Larva;checkForceMH Boosted;Forced Non-Leaf Node Lookup:larvae|TI|MM;RC|528^6^0;453^5^0;236^5^0;55^6^0
10.2307/3226093|*Water|C0043047|5922|MH|RtM via: Water;checkForceMH Boosted|TI|MM|111^5^0
10.2307/3226093|*Name|C0027365|108|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|613^4^0
10.2307/3226093|*Drugs, Generic|C0085155|42|MH|RtM via: Generic Drugs|TI|MM|181^7^0
10.2307/3226094|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.500.131.166.803 (Spiders)||MM
10.2307/3226094|*Silk|C0074529|50627|MH|RtM via: Silk;checkForceMH Boosted;Forced Non-Leaf Node Lookup:silk|TI|MM;RC|991^4^0;261^4^0
10.2307/3226094|*Birefringence|C0005597|11711|MH|RtM via: Birefringence;Forced Leaf Node Lookup:birefringences|TI|MM|939^13^0;697^12^0;546^12^0;370^12^0
10.2307/3226094|Van der Woude syndrome|C0175697|127180|NM|RtM via: Van der Woude syndrome|TI|MM|759^4^0
10.2307/3226094|*Cleft Lip|C0008924|127179|HM|RtM via: Van der Woude syndrome|TI|MM|759^4^0
10.2307/3226094|*Cleft Palate|C0008925|110289|HM|RtM via: Van der Woude syndrome|TI|MM|759^4^0
