C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\systgeogplan\input.txt
10.2307/3668585|Botany|C0006038|655|MH|||RC
10.2307/3668586|Humans|C0086418|1000|CT|Forced Humans: Students||MM
10.2307/3668727|Equatorial Guinea|C0014651|482|MH|RtM via: Equatorial Guinea;Forced Leaf Node Lookup:equatorial guinea|TI|MM|118^17^0
10.2307/3668727|*Factor Twelve|C0015525|275|ET|Entry Term Replacement for "Factor XII";RtM via: Factor XII;checkForceMH Boosted|TI|MM|442^6^1;465^7^1
10.2307/3668727|*Socioeconomic Factors|C0037464|1761|MH|RtM via: Inequalities|TI|MM|186^7^0
10.2307/3668727|APECED protein|C0668532|595|NM|RtM via: AIRE protein, human|TI|MM|921^4^0
10.2307/3668727|*Transcription Factors|C0040648|594|HM|RtM via: AIRE protein, human|TI|MM|921^4^0
10.2307/3668728|*Pteridium|C0331730|46241|MH|RtM via: Pteridium esculentum;Forced Leaf Node Lookup:pteridium aquilinums;checkForceMH Boosted|TI|MM|1903^19^0;671^19^0
10.2307/3668728|*Soils|C0037592|23554|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|755^5^0;859^5^0
10.2307/3668728|*Parks, Recreational|C0237771|14560|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|899^13^0;436^13^0;177^13^0
10.2307/3668728|*Smilax|C1014795|13358|MH|RtM via: Smilax anceps;Forced Leaf Node Lookup:smilax;checkForceMH Boosted|TI|MM|1924^13^0;692^13^0
10.2307/3668728|Zambia|C0043445|6982|MH|RtM via: Zambia;Forced Leaf Node Lookup:zambia|TI|MM|160^8^0;116^6^0
10.2307/3668728|*Grassland|C0442534|6670|MH|Forced Leaf Node Lookup:grasslands|TI|MM|69^9^0
10.2307/3668728|*Ecology|C0013546|18090|MH|RtM via: Ecology|TI|MM|267^7^0
10.2307/3668728|*Fire|C0016141|12000|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|1020^4^0;984^4^0;526^4^0
10.2307/3668728|*Woods|C0043217|4257|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|62^6^0
10.2307/3668728|*Zingiberaceae|C0524981|120|MH|RtM via: Aframomum alboviolaceum;Forced Non-Leaf Node Lookup:aframomums|TI|MM|1941^23^0;710^23^0
10.2307/3668728|Phosphorus|C0031705|1000|MH|Forced Non-Leaf Node Lookup:phosphorus||MM|818^10^0
10.2307/3668728|Hydrogen-Ion Concentration|C0020283|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|837^2^0;2081^2^0
10.2307/3668729|Animals|C0003062|21325|CT|Elephants;CT Treecode Lookup: B01.050.150.900.649.833 (Elephants);Proboscidea Mammal;CT Treecode Lookup: B01.050.150.900.649.833 (Proboscidea Mammal);Bass;CT Treecode Lookup: B01.050.150.900.493 (Bass);Sables;CT Treecode Lookup: B01.050.150.900.649.313.750 (Sables)|TI|MM
10.2307/3668729|*Elephants|C0013885|18827|MH|RtM via: Elephants;Forced Leaf Node Lookup:elephants;checkForceMH Boosted|TI|MM|946^8^0;683^8^0
10.2307/3668729|*Soils|C0037592|14269|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|909^5^0
10.2307/3668729|*Herbivory|C0562691|13952|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivories;Forced Leaf Node Lookup:herbivory|TI|MM|955^9^0;2229^10^0
10.2307/3668729|*Sand|C4759711|11936|MH|RtM via: Sand;Forced New Lookup:sands;checkForceMH Boosted|TI|MM|749^5^0
10.2307/3668729|*Bass|C0004830|8567|MH|RtM via: Bass;Forced Leaf Node Lookup:bass;checkForceMH Boosted|TI|MM|1532^4^0
10.2307/3668729|*Terminalia|C0330871|8426|MH|RtM via: Terminalia sericea;Forced Leaf Node Lookup:terminalias;checkForceMH Boosted|TI|MM|2074^18^0;778^18^0
10.2307/3668729|*Sables|C0325046|8185|ET|Entry Term Replacement for "Mustelidae";RtM via: Sables;checkForceMH Boosted|TI|MM|2013^6^0
10.2307/3668729|*Woodlands|C0086312|20325|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|1051^8^0;807^8^0;724^9^0;303^8^0;35^8^0;875^9^0
10.2307/3668729|*Fire|C0016141|14943|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|937^4^0
10.2307/3668729|*Proboscidea Mammal|C0325153|9123|MH|RtM via: Family Elephantidae (organism)|TI|MM|946^8^0;683^8^0
10.2307/3668729|*Marital Status|C0024819|4947|MH|RtM via: Legally Separated|TI|MM|286^9^0
10.2307/3668729|*Cluster Analysis|C0009085|1632|MH|RtM via: Hierarchical Clustering;Forced Non-Leaf Node Lookup:cluster analyses;Forced Non-Leaf Node Lookup:cluster analysis|TI|MM|223^29^0;1402^15^0;236^16^0
10.2307/3668730|*Knowledge|C0376554|3462|MH|RtM via: Knowledge|TI|MM|181^9^0
10.2307/3668730|*Ecology|C0013546|2826|MH|RtM via: Ecology|TI|MM|211^7^0
10.2307/3668730|*Research|C0035168|1287|MH|RtM via: Study|TI|MM|126^7^0
10.2307/3668730|*Mycobacterium avium Complex|C0026914|819|MH|RtM via: Mycobacterium avium Complex|TI|MM|773^4^0
10.2307/3668731|Animals|C0003062|55519|CT|Buffaloes;CT Treecode Lookup: B01.050.150.900.649.313.500 (Buffaloes);Bison;CT Treecode Lookup: B01.050.150.900.649.313.500 (Bison)|TI|MM
10.2307/3668731|*Trees|C0040811|54519|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1283^5^0;363^4^0
10.2307/3668731|*Ocotea|C0969706|52110|MH|RtM via: Ocotea;RtM via: Ocotea usambarensis;Forced Leaf Node Lookup:ocoteas;checkForceMH Boosted|TI|MM|3512^6^0;3361^6^0;3264^6^0;3114^6^0;924^6^0;758^6^0;654^6^0;506^6^0;2667^19^0;168^19^0
10.2307/3668731|*Germination|C0242735|50826|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM|4872^11^0;3188^11^0;2234^11^0;2288^11^0;584^11^0
10.2307/3668731|*Cinnamomum camphora|C0524951|48819|MH|RtM via: Cinnamomum camphora;Forced Leaf Node Lookup:camphor trees;checkForceMH Boosted|TI|MM|701^13^0;154^12^0
10.2307/3668731|*Olea|C0996956|38400|MH|RtM via: Olea europaea;RtM via: Olea capensis;Forced Leaf Node Lookup:olea europaea;checkForceMH Boosted|TI|MM|3930^13^0;1325^13^0;3897^13^0;1292^13^0
10.2307/3668731|*Buffaloes|C0006352|31554|MH|RtM via: Buffaloes;Forced Leaf Node Lookup:buffaloes;checkForceMH Boosted|TI|MM|1539^9^0
10.2307/3668731|*Altitude|C0002349|29937|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|3998^8^0;3803^8^0;2581^8^0;1391^9^0
10.2307/3668731|*Macaranga|C1051615|27723|ET|Entry Term Replacement for "Euphorbiaceae";RtM via: Macaranga;RtM via: Neoboutonia;checkForceMH Boosted|TI|MM|3000^9^0;419^9^0;3030^11^0;450^11^0
10.2307/3668731|*Juniperus|C0330152|26874|MH|RtM via: Juniperus procera;Forced Leaf Node Lookup:juniperus;checkForceMH Boosted|TI|MM|4008^17^0;3672^17^0;1401^17^0;1076^17^0
10.2307/3668731|*Rhizophoraceae|C1008599|25785|MH|RtM via: Cassipourea malosana;Forced Leaf Node Lookup:cassipoureas;checkForceMH Boosted|TI|MM|3539^20^0;936^20^0
10.2307/3668731|*Grass|C0018210|23307|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM|2398^5^0
10.2307/3668731|*Population Density|C0032665|22224|MH|RtM via: Population Density;Forced Leaf Node Lookup:population density|TI|MM|1506^18^0
10.2307/3668731|Ethiopia|C0015024|15912|MH|RtM via: Ethiopia;Forced Leaf Node Lookup:ethiopia|TI|MM|2030^8^0;107^8^0
10.2307/3668731|Kenya|C0022558|15912|MH|RtM via: Kenya;Forced Leaf Node Lookup:kenya|TI|MM|2593^5^0;88^5^0
10.2307/3668731|*Sambucus|C0331055|15876|MH|RtM via: Sambucus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sambucus|TI|MM|4717^8^0;4534^8^0;2094^8^0;1938^8^0
10.2307/3668731|*Rhizome|C0949790|15840|MH|RtM via: Rhizome;Forced Leaf Node Lookup:rhizomes|TI|MM|4628^8^0;2011^8^0
10.2307/3668731|*Sunlight|C0038817|14592|MH|RtM via: Sunlight;Forced Leaf Node Lookup:sunlight|TI|MM|610^8^0
10.2307/3668731|*Persistent Vegetative State|C0242670|11862|MH|RtM via: Vegetative State;Forced Leaf Node Lookup:vegetative state|TI|MM|1798^16^0
10.2307/3668732|Animals|C0003062|46301|CT|Goats;CT Treecode Lookup: B01.050.150.900.649.313.500 (Goats)|TI|MM
10.2307/3668732|*Sterculia|C1026068|45301|MH|RtM via: Sterculia (plant);Forced Leaf Node Lookup:sterculias;checkForceMH Boosted|TI|MM|5095^9^0;1986^9^0
10.2307/3668732|*Angiosperms|C0330209|31673|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flowering plants|TI|MM|2212^16^0;741^11^0
10.2307/3668732|*Maytenus|C0950003|19066|MH|RtM via: Maytenus;Forced Leaf Node Lookup:maytenus;checkForceMH Boosted|TI|MM|3950^8^0;989^8^0
10.2307/3668732|*Psychotria|C1001324|18232|MH|RtM via: Psychotria orophila;Forced Leaf Node Lookup:psychotrias;checkForceMH Boosted|TI|MM|4591^19^0;1564^19^0
10.2307/3668732|*Galium|C1001320|18094|MH|RtM via: Galium;Forced Leaf Node Lookup:galium;checkForceMH Boosted|TI|MM|4755^6^0;1704^6^0
10.2307/3668732|*Expeditions|C0015315|17453|MH|RtM via: Expeditions;Forced Leaf Node Lookup:expeditions|TI|MM|2682^11^0
10.2307/3668732|*Dianthus|C0949998|16888|MH|RtM via: Dianthus longiglumis;Forced Leaf Node Lookup:dianthus;checkForceMH Boosted|TI|MM|4255^20^0;1278^20^0
10.2307/3668732|*Trifolium|C0950074|16768|MH|RtM via: Trifolium cryptopodium;Forced Leaf Node Lookup:trifoliums;checkForceMH Boosted|TI|MM|4632^22^0;1601^22^0
10.2307/3668732|*Lobelia|C0331296|16570|MH|RtM via: Lobelia rhynchopetalum;Forced Leaf Node Lookup:lobelia;checkForceMH Boosted|TI|MM|4066^22^0;1139^22^0
10.2307/3668732|*Altitude|C0002349|16325|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|3638^8^0;693^8^0
10.2307/3668732|Yemen|C0043402|15074|MH|RtM via: Yemen (geographic area);Forced Leaf Node Lookup:yemen|TI|MM|4394^5^0;1398^5^0
10.2307/3668732|Arabia|C0003671|15071|MH|RtM via: Arabian Peninsula;Forced Leaf Node Lookup:arabia|TI|MM|1250^6^0
10.2307/3668732|Ethiopia|C0015024|10013|MH|RtM via: Ethiopia;Forced Leaf Node Lookup:ethiopia|TI|MM|81^8^0
10.2307/3668732|*Numismatics|C0028646|9266|MH|RtM via: Coins;Forced Leaf Node Lookup:coins|TI|MM|3160^5^0
10.2307/3668732|*Karaya Gum|C0022516|41331|MH|RtM via: Karaya Gum|TI|MM|5095^9^0;1986^9^0
10.2307/3668732|*Forests|C0086312|30165|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|549^7^0
10.2307/3668732|*Biodiversity|C0282469|19176|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|336^12^0
10.2307/3668732|*Lamiales|C1080876|5913|MH|RtM via: Halleria lucida|TI|MM|4914^15^0;1850^15^0
10.2307/3668733|Humans|C0086418|46262|CT|Forced Leaf Node Lookup:professionals;African Continental Ancestry Group;CT Treecode Lookup: M01.686 (African Continental Ancestry Group)|TI|MM;RC|384^12^0
10.2307/3668733|Mozambique|C0026655|45262|MH|RtM via: Mozambique;Forced Leaf Node Lookup:mozambique|TI|MM;RC|974^10^0;231^10^0
10.2307/3668733|Zambia|C0043445|33364|MH|RtM via: Zambia;Forced Leaf Node Lookup:zambia|TI|MM|89^6^0;267^6^0
10.2307/3668733|South Africa|C0037712|30292|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa|TI|MM|243^12^0
10.2307/3668733|Zimbabwe|C0043476|28654|MH|RtM via: Zimbabwe;Forced Leaf Node Lookup:zimbabwe|TI|MM|1033^8^0;278^8^0
10.2307/3668733|Malawi|C0024548|24271|MH|RtM via: Malawi;Forced Leaf Node Lookup:malawi|TI|MM|790^6^0;82^6^0;223^6^0;963^6^0
10.2307/3668733|*Expeditions|C0015315|7429|MH|RtM via: Expeditions;Forced Leaf Node Lookup:expeditions|TI|MM|556^10^0;292^10^0;47^10^0
10.2307/3668733|Tanzania|C0039298|6814|MH|RtM via: Tanzania;Forced Leaf Node Lookup:tanzania|TI|MM|257^8^0
10.2307/3668733|*Parks, Recreational|C0237771|6433|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|698^13^0;67^13^0
10.2307/3668733|*Specialization|C0037776|6244|MH|RtM via: Hospital specialist;Forced Leaf Node Lookup:specialists|TI|MM|440^11^0
10.2307/3668733|*Records|C0034869|2136|MH|RtM via: Records|TI|MM|675^7^0
10.2307/3668733|*Mars|C0242747|684|MH|RtM via: Planet Mars|TI|MM|866^4^0
10.2307/3668733|*African Continental Ancestry Group|C1257891|312|MH|RtM via: South African|TI|MM|519^16^0
10.2307/3668734|Humans|C0086418|78021|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|953^5^0;274^5^0
10.2307/3668734|*Casearia|C1053418|77021|MH|RtM via: Casearia;Forced Leaf Node Lookup:casearias;checkForceMH Boosted|TI|MM|1708^8^0;586^8^0
10.2307/3668734|*Flacourtiaceae|C0971877|73771|ET|Entry Term Replacement for "Salicaceae";RtM via: Salicaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flacourtiaceae|TI|MM|1726^14^0;604^14^0
10.2307/3668734|*Meliaceae|C0971876|70786|MH|RtM via: Meliaceae;RtM via: Leplaea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:meliaceae|TI|MM|1764^9^0;642^9^0;1743^7^0;621^7^0
10.2307/3668734|*Annonaceae|C0949899|70381|MH|RtM via: Annonaceae;RtM via: Isolona;checkForceMH Boosted;Forced Non-Leaf Node Lookup:annonaceae|TI|MM|1631^10^0;508^10^0;1613^7^0;490^7^0
10.2307/3668734|*Anacardiaceae|C0969715|67951|MH|RtM via: Anacardiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:anacardiaceae|TI|MM|1597^13^0;474^13^0
10.2307/3668734|*Trees|C0040811|61472|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|305^4^0
10.2307/3668734|*Ardisia|C1000638|57533|MH|RtM via: Ardisia;Forced Leaf Node Lookup:ardisias;checkForceMH Boosted|TI|MM|1816^7^0;694^7^0
10.2307/3668734|*Myrsinaceae|C0330452|52123|ET|Entry Term Replacement for "Primulaceae";RtM via: Primulaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myrsinaceae|TI|MM|1853^11^0;732^11^0
10.2307/3668734|*Euphorbiaceae|C0446243|44200|MH|RtM via: Euphorbiaceae;RtM via: Macaranga monandra;RtM via: Discoclaoxylon hexandrum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:euphorbiaceae|TI|MM|1942^13^0;1692^13^0;824^13^0;570^13^0;1672^18^0;550^18^0;1644^24^0;521^24^0
10.2307/3668734|*Rubiaceae|C0524885|31012|MH|RtM via: Rubiaceae;RtM via: Calycosiphonia spathicalyx;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM|1897^9^0;777^9^0;1869^26^0;749^26^0
10.2307/3668734|*Moraceae|C0949951|22495|MH|RtM via: Moraceae;RtM via: Trilepisium madagascariense;checkForceMH Boosted;Forced Non-Leaf Node Lookup:moraceae|TI|MM|1805^8^0;683^8^0;1776^27^0;654^27^0
10.2307/3668734|Rwanda|C0035978|20149|MH|RtM via: Rwanda;Forced Leaf Node Lookup:rwanda|TI|MM|1982^6^0;1194^6^0;842^6^0
10.2307/3668734|*Ericales|C0600625|67686|MH|RtM via: Myrsinaceae|TI|MM|1853^11^0;732^11^0
10.2307/3668734|*Forest|C0086312|41328|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1065^6^0;203^6^0;111^6^0
10.2307/3668734|*Biodiversity|C0282469|15087|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|73^12^0
10.2307/3668734|*Magnoliopsida|C0330209|12465|MH|RtM via: Family Flacourtiaceae|TI|MM|1726^14^0;604^14^0
10.2307/3668734|*Activities, Human|C0020115|3489|ET|Entry Term Replacement for "Human Activities";RtM via: Human Activities;Forced Non-Leaf Node Lookup:human activities|TI|MM|274^16^0
10.2307/3668735|Animals|C0003062|5974|CT|Bass;CT Treecode Lookup: B01.050.150.900.493 (Bass)||MM;RC
10.2307/3668735|*Bass|C0004830|1689|MH|RtM via: Bass;Forced Leaf Node Lookup:bass;checkForceMH Boosted|TI|MM|872^4^0
10.2307/3668735|Cameroon|C0006802|1092|MH|RtM via: Cameroon;Forced Leaf Node Lookup:cameroons|TI|MM|110^8^0
10.2307/3668735|*Surveys|C0038951|2838|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|678^6^0;598^7^0;501^6^0;73^7^0
10.2307/3668735|*Muscle Rigidity|C0026837|1905|MH|RtM via: Muscle Rigidity|TI|MM|477^6^0
10.2307/3668735|*Chills|C0085593|1728|MH|RtM via: Rigor - Temperature-associated observation|TI|MM|477^6^0
10.2307/3668735|*Frailty|C0424594|990|MH|RtM via: Weakness|TI|MM|360^10^0
10.2307/3668735|*Plant Distribution|C3494413|138|ET|Entry Term Replacement for "Plant Dispersal";RtM via: Plant Dispersal;Forced Non-Leaf Node Lookup:plant distributions|TI|MM|732^18^0
10.2307/3668736|*Mosses|C0282635|39839|ET|Entry Term Replacement for "Bryophyta";RtM via: Mosses;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mosses|TI|MM|861^6^0
10.2307/3668736|*Rainforest|C3850019|24404|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rainforests|TI|MM|1132^10^0
10.2307/3668736|*Lichens|C0023657|22339|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM|2101^7^0;849^7^0
10.2307/3668736|*Ecosystem|C0162358|22040|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|287^10^0
10.2307/3668736|*Ferns|C0331729|18875|MH|RtM via: Ferns;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ferns|TI|MM|881^5^0;539^5^0
10.2307/3668736|*Ficus|C0969754|15832|MH|RtM via: Ficus;Forced Leaf Node Lookup:ficus;checkForceMH Boosted|TI|MM|1863^5^0;585^5^0
10.2307/3668736|*Physiognomy|C0031838|6278|MH|RtM via: Physiognomy;Forced Leaf Node Lookup:physiognomy|TI|MM|632^11^0
10.2307/3668736|Cameroon|C0006802|6125|MH|RtM via: Cameroon;Forced Leaf Node Lookup:cameroons|TI|MM|1202^8^0;301^8^0;163^8^0
10.2307/3668736|*Record|C0034869|7359|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|201^8^0
10.2307/3668736|*Surveys|C0038951|6522|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|34^7^0
10.2307/3668736|*Woods|C0043217|5988|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|925^5^0;563^5^0
10.2307/3668737|South Africa|C0037712|11488|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa;Geo Lookup:kwazulu-natals|TI;AB|MM|539^12^0;88^12^0
10.2307/3668737|*Islands|C0022130|7663|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|236^7^0
10.2307/3668737|*Soils|C0037592|6571|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|354^5^0
10.2307/3668737|Madagascar|C0024443|6568|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM|1398^10^0;207^10^0
10.2307/3668737|*Altitude|C0002349|3277|MH|Forced Leaf Node Lookup:altitudes|TI|MM|741^8^0
10.2307/3668737|Africa, Southern|C0001746|22848|MH|RtM via: Africa, Southern;Forced Non-Leaf Node Lookup:southern africa|TI|MM|1045^15^0
10.2307/3668737|East Africa|C0001741|10785|ET|Entry Term Replacement for "Africa, Eastern";RtM via: Africa, Eastern;Forced Non-Leaf Node Lookup:east africa|TI|MM|805^11^0
10.2307/3668737|*Mycobacterium avium Complex|C0026914|5031|MH|RtM via: Mycobacterium avium Complex|TI|MM|1352^4^0
10.2307/3668737|*Biological Phenomena|C0005520|1251|MH|RtM via: Tissue Growth|TI|MM|1165^6^0;624^6^0
10.2307/3668738|*Altitude|C0002349|4253|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|1139^8^0
10.2307/3668738|Tanzania|C0039298|1106|MH|RtM via: Tanzania;Forced Leaf Node Lookup:tanzania|TI|MM|236^8^0
10.2307/3668738|*Tracheophyta|C0682475|11934|MH|RtM via: Tracheophyta|TI|MM|321^14^0
10.2307/3668738|*Forests|C0086312|3600|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|739^6^0;258^7^0
10.2307/3668738|*Chills|C0085593|1344|MH|RtM via: Rigor - Temperature-associated observation|TI|MM|392^10^0
10.2307/3668738|*Muscle Rigidity|C0026837|1182|MH|RtM via: Muscle Rigidity|TI|MM|392^10^0
10.2307/3668739|*Rainforest|C3850019|39737|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rainforests|TI|MM|61^10^0;149^10^0
10.2307/3668739|*Trees|C0040811|24883|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|245^4^0
10.2307/3668739|*Droughts|C0013140|13694|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM|331^7^0
10.2307/3668739|Gabon|C0016910|3818|MH|RtM via: Gabon;Forced Leaf Node Lookup:gabon|TI|MM|923^5^0;210^5^0
10.2307/3668739|*Forest|C0086312|27255|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|660^6^0;184^6^0
10.2307/3668739|*Face|C0015450|843|MH|RtM via: Face|TI|MM|1051^4^0
10.2307/3668739|*Adaptation, Psychological|C0683269|786|MH|RtM via: Coping Behavior|TI|MM|321^4^0
10.2307/3668739|APECED protein|C0668532|700|NM|RtM via: AIRE protein, human|TI|MM|1382^4^0;1131^4^0
10.2307/3668739|*Transcription Factors|C0040648|699|HM|RtM via: AIRE protein, human|TI|MM|1382^4^0;1131^4^0
10.2307/3668740|*Geology|C0017448|8027|MH|RtM via: Geology;Forced Leaf Node Lookup:geology|TI|MM|241^7^0
10.2307/3668740|Guinea-Bissau|C0018387|6899|MH|RtM via: Guinea-Bissau;Forced Leaf Node Lookup:guinea-bissau|TI|MM|28^13^0
10.2307/3668740|Guinea|C0018381|6833|MH|RtM via: Guinea (geographic area);Forced Leaf Node Lookup:guinea|TI|MM|61^6^0
10.2307/3668740|*Soils|C0037592|5732|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|848^5^0;603^5^0;250^5^0
10.2307/3668740|*Grassland|C0442534|1709|MH|Forced Leaf Node Lookup:savannas|TI|MM|888^7^0
10.2307/3668740|*Forests|C0086312|13887|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|900^8^0;697^7^0
10.2307/3668740|*Climate|C0008946|2442|MH|RtM via: moist climate|TI|MM|818^13^0;553^5^1;579^7^1
10.2307/3668740|*Midazolam|C0026056|1161|MH|RtM via: Versed|TI|MM|1471^4^0
10.2307/3668740|*Cyclophosphamide|C0010583|552|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|1280^4^0
10.2307/3668740|Nuclear Family|C0028574|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1231^3^0;1490^3^0
10.2307/3668741|*Rainforest|C3850019|89252|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM|218^11^0;60^11^0
10.2307/3668741|*Trees|C0040811|62815|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|813^5^0;545^5^0
10.2307/3668741|*Millettia|C1017521|44440|MH|RtM via: Millettia;Forced Leaf Node Lookup:millettia;checkForceMH Boosted|TI|MM|2789^9^0;1193^9^0
10.2307/3668741|*Celtis|C0330534|34409|ET|Entry Term Replacement for "Ulmaceae";RtM via: Celtis;checkForceMH Boosted|TI|MM|2859^6^0;1263^6^0
10.2307/3668741|*Croton|C0330569|32614|MH|RtM via: Croton;Forced Leaf Node Lookup:crotons;checkForceMH Boosted|TI|MM|2705^6^0;1106^6^0
10.2307/3668741|*Alstonia|C0599279|30007|MH|RtM via: Alstonia;Forced Leaf Node Lookup:alstonias;checkForceMH Boosted|TI|MM|2582^8^0;983^8^0
10.2307/3668741|Equatorial Guinea|C0014651|27091|MH|RtM via: Equatorial Guinea;RtM via: Rio Muni;Forced Leaf Node Lookup:equatorial guinea;Forced Leaf Node Lookup:rio muni|TI|MM|283^17^0;3082^8^0;2026^8^0;1490^10^0;426^10^0
10.2307/3668741|*Estuaries|C3494468|23720|MH|RtM via: Estuaries;Forced Leaf Node Lookup:estuary|TI|MM|1501^7^0;437^7^0
10.2307/3668741|Guinea|C0018381|13796|MH|RtM via: Guinea (geographic area);Forced Leaf Node Lookup:guinea|TI|MM|1785^6^0;194^6^0
10.2307/3668741|*Forests|C0086312|68859|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1475^7^0
10.2307/3668741|*Biodiversity|C0282469|35631|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|1521^12^0
10.2307/3668741|*Habitat|C0871648|26877|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|3195^8^0;1588^7^0
10.2307/3668741|*Clusiaceae|C0330404|2349|MH|RtM via: Allanblackia floribunda;Forced Non-Leaf Node Lookup:allanblackias|TI|MM|2914^23^0;1318^23^0
10.2307/3668741|*Surveys|C0038951|1902|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|777^7^0
10.2307/3668742|Animals|C0003062|10768|CT|Primates;CT Treecode Lookup: B01.050.150.900.649.313.988 (Primates)|TI|MM
10.2307/3668742|Guinea|C0018381|3872|MH|RtM via: Guinea (geographic area);Forced Leaf Node Lookup:guinea|TI|MM|407^6^0
10.2307/3668742|*Altitude|C0002349|3677|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|870^8^0
10.2307/3668742|Cameroon|C0006802|3536|MH|RtM via: Cameroon;Forced Leaf Node Lookup:cameroons|TI|MM|359^8^0;36^8^0
10.2307/3668742|*Primates|C0033147|9768|MH|RtM via: Primates;Forced Non-Leaf Node Lookup:primates|TI|MM|696^8^0;246^7^0
