10.2307/20460169|Animals|D000818|28850|CT|Strigiformes;CT Treecode Lookup: B01.050.150.900.248 (Strigiformes);Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird)||MM;RC
10.2307/20460169|Humans|D006801|1000|CT|Forced Humans:D Siblings||MM
10.2307/20460246|*Lizards|D008116|10638|MH|RtM via: Cyclura cornuta;RtM via: Suborder Iguania;Forced Non-Leaf Node Lookup:lizards|TI|MM;RC|783^18^0;255^17^0;614^6^0;432^7^0;110^7^0
10.2307/20460246|*Gram-Negative Bacteria|D006090|5046|MH|RtM via: Gram-negative diplococcus|TI|MM|474^24^0
10.2307/20460246|*Wound Healing|D014945|3903|MH|RtM via: Wound Healing|TI|MM;RC|1184^7^0
10.2307/20460246|*Septicemia|D018805|3159|ET|Entry Term Replacement for "Sepsis";RtM via: Sepsis;RtM via: Septicemia;Forced Non-Leaf Node Lookup:septicemias|TI|MM|220^10^0
10.2307/20460246|*Clostridium|D003013|1599|MH|RtM via: Clostridium;RtM via: Clostridium species;Forced Non-Leaf Node Lookup:clostridium|TI|MM|704^11^0;545^19^0
10.2307/20460246|*Amputation|D000671|549|MH|RtM via: Amputation;Forced Non-Leaf Node Lookup:amputations|TI|MM|1076^10^0
10.2307/20460246|Perissodactyla|D010527|1000|MH|Forced Non-Leaf Node Lookup:rhinoceros||MM|255^10^0;783^10^0
10.2307/20460246|Washington|D014861|3|MH|RtM via: Washington state|TI|MM|153^10^0
10.2307/20094856|Animals|D000818|15849|CT|Reptiles;CT Treecode Lookup: B01.050.150.900.833 (Reptiles);Turtles;CT Treecode Lookup: B01.050.150.900.833 (Turtles)||MM;RC
10.2307/20094856|Male|D008297|15849|CT|Leydig Cell Tumor;CT Treecode Lookup: C04.588.945.440 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C12.294.260 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C12.758.409 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C19.391.829 (Leydig Cell Tumor);Tumors, Testicular;CT Treecode Lookup: C04.588.945.440 (Tumors, Testicular);Tumors, Testicular;CT Treecode Lookup: C12.294.260 (Tumors, Testicular);Tumors, Testicular;CT Treecode Lookup: C12.758.409 (Tumors, Testicular);Tumors, Testicular;CT Treecode Lookup: C19.391.829 (Tumors, Testicular)||MM;RC
10.2307/20094856|Humans|D006801|15849|CT|Leydig Cell Tumor;CT Treecode Lookup: C04.588.945.440 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C12.294.260 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C12.758.409 (Leydig Cell Tumor);Leydig Cell Tumor;CT Treecode Lookup: C19.391.829 (Leydig Cell Tumor);Tumors, Testicular;CT Treecode Lookup: C04.588.945.440 (Tumors, Testicular);Tumors, Testicular;CT Treecode Lookup: C12.294.260 (Tumors, Testicular);Tumors, Testicular;CT Treecode Lookup: C12.758.409 (Tumors, Testicular);Tumors, Testicular;CT Treecode Lookup: C19.391.829 (Tumors, Testicular)||MM
10.2307/20094856|*Leydig Cell Tumor|D007984|14849|MH|RtM via: Leydig Cell Tumor;RtM via: Leydig cell tumor, benign;Forced Leaf Node Lookup:interstitial cell tumors|TI|MM|32^23^0
10.2307/20094856|*Turtles|D014426|2225|MH|Forced Leaf Node Lookup:tortoises;checkForceMH Boosted|TI|MM;RC|91^8^0
10.2307/20094856|*Reptiles|D012104|3288|MH|RtM via: Reptiles;Forced Non-Leaf Node Lookup:reptiles|TI|MM;RC|197^8^0
10.2307/20094856|*Tumors, Testicular|D013736|1461|ET|Entry Term Replacement for "Testicular Neoplasms";RtM via: Testicular Neoplasms;Forced Non-Leaf Node Lookup:testicular tumors|TI|MM|150^17^0
10.2307/20094856|*Geraniaceae|D031314|201|MH|RtM via: California (plant)|TI|MM|73^10^0
10.2307/20094856|California|D002140|24|MH|RtM via: California|TI|MM|73^10^0
10.2307/20460158|Animals|D000818|47134|CT|Deer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Deer);Hindlimb;CT Treecode Lookup: A13.473 (Hindlimb);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|455^7^0
10.2307/20460158|*Fentanyl|D005283|46134|MH|RtM via: fentanyl;RtM via: fentanyl citrate;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fentanyl citrate|TI|MM;RC|613^8^0;356^16^0
10.2307/20460158|*Xylazine|D014991|44871|MH|RtM via: xylazine;RtM via: xylazine hydrochloride;Forced Leaf Node Lookup:xylazine hydrochloride;checkForceMH Boosted|TI|MM;RC|648^8^0;377^22^0
10.2307/20460158|*Succinylcholine|D013390|13485|MH|RtM via: succinylcholine chloride;Forced Leaf Node Lookup:succinylcholine chloride;checkForceMH Boosted|TI|MM;RC|263^24^0
10.2307/20460158|*Etorphine|D005048|12523|MH|Forced Leaf Node Lookup:etorphine;checkForceMH Boosted|TI|MM;RC|291^9^0
10.2307/20460158|*Hyaluronoglucosaminidase|D006821|10791|MH|RtM via: hyaluronidase;RtM via: hyaluronidase, bovine;Forced Leaf Node Lookup:hyaluronidase;checkForceMH Boosted|TI|MM;RC|695^13^0
10.2307/20460158|*Shoulder|D012782|5274|MH|RtM via: Shoulder;Forced Leaf Node Lookup:shoulders|TI|MM|933^8^0
10.2307/20460158|*Syringes|D013594|5250|MH|RtM via: Syringes;Forced Leaf Node Lookup:syringes|TI|MM|518^8^0
10.2307/20460158|*Analgesics, Opioid|D000701|8334|MH|RtM via: Etorphine hydrochloride|TI|MM;RC|291^23^0
10.2307/20460158|*Deer|D003670|3210|MH|RtM via: Alces alces|TI|MM;RC|1042^5^0;434^5^0;232^5^0;75^5^0
10.2307/20460158|*Hindlimb|D006614|2376|MH|RtM via: Entire hindlimb;RtM via: Hindlimb|TI|MM|946^9^0
10.2307/20460158|*Lower Extremity|D035002|2274|MH|RtM via: Lower Extremity|TI|MM|946^9^0
10.2307/20460158|*Helicopter|D000401|510|ET|Entry Term Replacement for "Aircraft";RtM via: Helicopter;Forced Non-Leaf Node Lookup:helicopters|TI|MM|1063^10^0;482^10^0
10.2307/20460158|Muscles|D009132|1000|MH|Forced Non-Leaf Node Lookup:muscle||MM|916^6^0
10.2307/20460158|Pharmaceutical Preparations|D004364|1000|MH|Forced Non-Leaf Node Lookup:drugs||MM|179^5^0
10.2307/20460158|North America|D009656|3|MH|RtM via: North America|TI|MM|84^13^0
10.2307/20094891|Animals|D000818|21403|CT|Acinonyx;CT Treecode Lookup: B01.050.150.900.649.313.750 (Acinonyx)||MM;RC
10.2307/20094891|Humans|D006801|21403|CT|Postoperative Period;CT Treecode Lookup: N02.421.585 (Postoperative Period)||MM
10.2307/20094891|Female|D005260|21403|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|93^6^0
10.2307/20094891|Adult|D000328|21403|CT|Forced Leaf Node Lookup:adults; Forced Age Group: in an adult|TI|MM|87^5^0;81^11^0
10.2307/20094891|*Acinonyx|D002612|20403|MH|RtM via: Acinonyx jubatus;RtM via: Cheetahs;Forced Leaf Node Lookup:acinonyx;Forced Leaf Node Lookup:cheetahs;checkForceMH Boosted|TI|MM;RC|464^7^0;109^16^0;100^7^0
10.2307/20094891|*Orbit|D009915|3071|MH|RtM via: Left orbit;RtM via: Left orbital compartment;Forced Leaf Node Lookup:orbits|TI|MM|272^10^0;277^5^0
10.2307/20094891|*Squamous Cell Carcinoma|D002294|3420|ET|Entry Term Replacement for "Carcinoma, Squamous Cell";RtM via: Squamous cell carcinoma;RtM via: Squamous cell carcinoma - category;Forced Non-Leaf Node Lookup:squamous cell carcinomas|TI|MM|29^23^0
10.2307/20094891|*Postoperative Complications|D011183|1428|MH|RtM via: Postoperative Complications;Forced Non-Leaf Node Lookup:postoperative complications|TI|MM|298^27^0
10.2307/20094891|*Postoperative Period|D011184|1383|MH|RtM via: Postoperative Period|TI|MM|439^13^0
10.2307/20094891|*Cornea|D003315|366|MH|RtM via: Cornea;Forced Non-Leaf Node Lookup:corneas|TI|MM|60^6^0
10.2307/20094493|Male|D008297|19711|CT|CT Text Lookup: sex-specific|TI|MM;RC|254^12^0
10.2307/20094493|Animals|D000818|19711|CT|Giraffes;CT Treecode Lookup: B01.050.150.900.649.313.500 (Giraffes)||MM;RC
10.2307/20094493|Female|D005260|19711|CT|CT Text Lookup: sex-specific|TI|MM;RC|254^12^0
10.2307/20094493|*Blood Urea Nitrogen|D001806|18711|MH|RtM via: Blood urea nitrogen measurement;Forced Leaf Node Lookup:blood urea nitrogen;Forced Leaf Node Lookup:bun|TI|MM;RC|508^19^0;529^3^0
10.2307/20094493|*Hematocrit|D006400|16551|MH|RtM via: Hematocrit procedure;Forced Leaf Node Lookup:hematocrits|TI|MM;RC|414^10^0
10.2307/20094493|*Creatinine|D003404|7503|MH|RtM via: creatinine;Forced Leaf Node Lookup:creatinine;checkForceMH Boosted|TI|MM;RC|578^10^0
10.2307/20094493|*Alkaline Phosphatase|D000469|7383|MH|RtM via: Alkaline Phosphatase;Forced Leaf Node Lookup:alkaline phosphatase;checkForceMH Boosted|TI|MM;RC|552^20^0;339^20^0
10.2307/20094493|*Uric Acid|D014527|6027|MH|RtM via: uric acid;Forced Leaf Node Lookup:uric acid;checkForceMH Boosted|TI|MM|718^9^0
10.2307/20094493|*Giraffes|D000068276|5661|MH|RtM via: Giraffes;Forced Leaf Node Lookup:giraffes;checkForceMH Boosted|TI|MM|144^8^0;73^8^0
10.2307/20094493|*Bilirubin|D001663|5628|MH|RtM via: Bilirubin;checkForceMH Boosted;Forced Non-Leaf Node Lookup:bilirubin|TI|MM;RC|535^15^0;541^9^0
10.2307/20094493|*Neutrophils|D009504|4737|MH|RtM via: Neutrophil Band Cells;RtM via: neutrophil;Forced Leaf Node Lookup:neutrophils|TI|MM|452^17^0;300^10^0;459^10^0
10.2307/20094493|*Basophils|D001491|4527|MH|RtM via: Basophils;RtM via: Segmented basophil;Forced Leaf Node Lookup:basophils|TI|MM|474^8^0
10.2307/20094493|*Leukocyte Count|D007958|11325|MH|RtM via: Total Basophil Count|TI|MM;RC|474^8^0
10.2307/20094493|*Hemoglobin|D006454|4230|ET|Entry Term Replacement for "Hemoglobins";RtM via: Hemoglobin;Forced Non-Leaf Node Lookup:hemoglobins|TI|MM;RC|426^10^0
10.2307/20094493|*Calcium, Dietary|D002136|4089|MH|RtM via: Calcium, Dietary|TI|MM|706^7^0;499^7^0
10.2307/20094493|*Erythrocytes|D004912|2253|MH|RtM via: Erythrocytes;Forced Non-Leaf Node Lookup:erythrocytes|TI|MM|438^12^0
10.2307/20094493|*Hematology|D006405|1419|MH|RtM via: Hematology (discipline);Forced Non-Leaf Node Lookup:hematology|TI|MM|29^10^0
10.2307/20094493|Age Factors|D000367|149|MH|Forced Non-Leaf Node Lookup:age-specific||MM;RC|376^12^0
10.2307/20094890|Male|D008297|18232|CT|Forced Lookup:male;CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|42^4^0
10.2307/20094890|Cricetinae|D006224|18232|CT|Forced Non-Leaf Node Lookup:hamsters||MM|394^7^0
10.2307/20094890|*Pongo abelii|D057080|17232|MH|RtM via: Orang-utan <Sumatran orangutan>;Forced Leaf Node Lookup:pongo pygmaeus abelii;Forced Leaf Node Lookup:sumatran orangutan;checkForceMH Boosted|TI|MM;RC|67^21^0;47^18^0
10.2307/20094890|*Myocarditis|D009205|8446|MH|RtM via: Subacute interstitial myocarditis;Forced Leaf Node Lookup:myocarditis|TI|MM;RC|259^33^0;281^11^0
10.2307/20094890|*Encephalomyocarditis virus|D004686|7570|MH|RtM via: Encephalomyocarditis virus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:encephalomyocarditis virus|TI|MM;RC|346^26^0
10.2307/20094890|*Pulmonary Edema|D011654|4351|MH|RtM via: Pulmonary Edema;Forced Leaf Node Lookup:pulmonary edemas|TI|MM;RC|217^15^0
10.2307/20094890|*Pericardial Effusion|D010490|3379|MH|RtM via: Pericardial effusion;Forced Leaf Node Lookup:pericardial effusions|TI|MM|139^21^0
10.2307/20094890|*Dilatation|D004106|2053|MH|Forced Leaf Node Lookup:dilatations|TI|MM|170^10^0
10.2307/20094890|*Myocardium|D009206|4932|MH|RtM via: Myocardium;Forced Non-Leaf Node Lookup:myocardium|TI|MM;RC|455^10^0;201^10^0
10.2307/20094890|*Cardiac Conduction System Disease|D000075224|3372|MH|RtM via: Conduction disorder of the heart|TI|MM|327^17^0
10.2307/20094890|*Death|D003643|3297|MH|RtM via: Cessation of life;RtM via: Death (finding)|TI|MM|90^4^0
10.2307/20094890|*Autopsy|D001344|3006|MH|RtM via: Autopsy|TI|MM|111^8^0
10.2307/20094890|*Kidney|D007668|252|MH|RtM via: Epithelial cell of renal tubule;Forced Non-Leaf Node Lookup:kidneys|TI|MM|402^6^1;415^5^1
20460133|Female|D005260|44830|CT|Forced Lookup:female|TI|MM|336^6^0;388^6^0
20460133|Male|D008297|44830|CT|Forced Lookup:male|TI|MM|363^4^0;435^4^0
20460133|Humans|D006801|44830|CT|Lookup: Aged Rule||MM;RC
20460133|Adult|D000328|44830|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|325^5^0;352^5^0;382^5^0;419^5^0
20460133|*Blood Urea Nitrogen|D001806|27379|MH|RtM via: Blood urea nitrogen measurement;Forced Leaf Node Lookup:blood urea nitrogen;Forced Leaf Node Lookup:bun|TI|MM|875^19^0;51^3^0
20460133|*Uric Acid|D014527|26680|MH|RtM via: uric acid;Forced Leaf Node Lookup:uric acid;checkForceMH Boosted|TI|MM|56^9^0
20460133|*gamma Globulin|D005719|16580|ET|Entry Term Replacement for "gamma-Globulins";RtM via: Gamma globulin;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gamma globulins|TI|MM|198^14^0
20460133|*Seasons|D012621|14630|MH|RtM via: Autumn;RtM via: spring (season);RtM via: Winter;Forced Leaf Node Lookup:seasonal|TI|MM|837^4^0;809^6^0;802^6^0;912^8^0
20460133|*Bilirubin|D001663|14381|MH|RtM via: Bilirubin;checkForceMH Boosted;Forced Non-Leaf Node Lookup:bilirubin|TI|MM|80^9^0
20460133|*Glucose|D005947|13385|MH|RtM via: glucose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glucose|TI|MM|607^7^0
20460133|Alaska|D000413|13121|MH|RtM via: Alaska;Forced Leaf Node Lookup:alaska|TI|MM|514^6^0
20460133|Visual Perception|D014796|43830|MH|||RC
20460133|Depth Perception|D003867|40700|MH|||RC
20460133|*Beta Globulin|D001609|1665|ET|Entry Term Replacement for "Beta-Globulins";RtM via: beta Globulin;Forced Non-Leaf Node Lookup:beta globulins|TI|MM|629^13^0;183^13^0
20460133|*Albumins|D000418|942|MH|RtM via: Albumins;Forced Non-Leaf Node Lookup:albumins|TI|MM|616^7^0;128^7^0
20460133|*Cholesterol|D002784|759|MH|RtM via: cholesterol;Forced Non-Leaf Node Lookup:cholesterol|TI|MM|67^11^0
20460133|*Hematology|D006405|642|MH|RtM via: Hematology (discipline);Forced Non-Leaf Node Lookup:hematology|TI|MM|233^10^0
20460133|Oxidoreductases|D010088|1000|MH|Forced Non-Leaf Node Lookup:dehydrogenases||MM|959^13^0
20460133|Aspartate Aminotransferases|D001219|1000|MH|Forced Non-Leaf Node Lookup:sgot||MM|118^4^0;977^4^0
10.2307/20094875|Animals|D000818|14812|CT|Turtles;CT Treecode Lookup: B01.050.150.900.833 (Turtles);Reptiles;CT Treecode Lookup: B01.050.150.900.833 (Reptiles)||MM;RC
10.2307/20094875|Female|D005260|14812|CT|Ovarian Neoplasms;CT Treecode Lookup: C13.351.500.056 (Ovarian Neoplasms);Ovarian Neoplasms;CT Treecode Lookup: C13.351.937.418 (Ovarian Neoplasms)||MM;RC
10.2307/20094875|Humans|D006801|14812|CT|Ovarian Neoplasms;CT Treecode Lookup: C13.351.500.056 (Ovarian Neoplasms);Ovarian Neoplasms;CT Treecode Lookup: C13.351.937.418 (Ovarian Neoplasms)||MM
10.2307/20094875|*Turtles|D014426|13812|MH|RtM via: Turtle;RtM via: Trachemys;Forced Leaf Node Lookup:turtles;checkForceMH Boosted|TI|MM;RC|184^7^0;83^17^0;64^17^0;285^7^0
10.2307/20094875|*Dysgerminoma|D004407|3069|MH|RtM via: Dysgerminoma;Forced Leaf Node Lookup:dysgerminomas|TI|MM|29^13^0
10.2307/20094875|*Reptiles|D012104|3690|MH|RtM via: Reptiles;Forced Non-Leaf Node Lookup:reptiles|TI|MM|161^8^0
10.2307/20094875|*Syndrome|D013577|2934|MH|RtM via: Pediatric Neoplasm|TI|MM|149^8^0
10.2307/20094875|*Causality|D015984|426|MH|RtM via: Etiology|TI|MM|249^8^0
10.2307/20094875|Ovarian Neoplasms|D010051|1000|MH|Neoplasm Coordination Rule: Dysgerminoma||MM
10.2307/20094889|Animals|D000818|19192|CT|Sheep, Bighorn;CT Treecode Lookup: B01.050.150.900.649.313.500 (Sheep, Bighorn);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|881^7^0
10.2307/20094889|Humans|D006801|19192|CT|Forced Leaf Node Lookup:humans;Patient Discharge;CT Treecode Lookup: E02.760 (Patient Discharge);Patient Discharge;CT Treecode Lookup: N02.421.585 (Patient Discharge)|TI|MM|600^5^0
10.2307/20094889|*Sheep, Bighorn|D034581|18192|MH|RtM via: Sheep, Bighorn;Forced Leaf Node Lookup:ovis canadensis;Forced Leaf Node Lookup:bighorn sheep;checkForceMH Boosted|TI|MM;RC|544^13^0;355^13^0;102^15^0;87^13^0
10.2307/20094889|*Patient Discharge|D010351|2218|MH|RtM via: Patient Discharge;Forced Leaf Node Lookup:discharge|TI|MM|623^9^0
10.2307/20094889|*Accidents|D000059|4803|MH|RtM via: Accidents|TI|MM|612^10^0
10.2307/20094889|*Morbidity|D009017|4752|MH|RtM via: Morbidity - disease rate;Forced Non-Leaf Node Lookup:morbidity|TI|MM|302^9^0
10.2307/20094889|*Death|D003643|1977|MH|RtM via: Cessation of life;RtM via: Death (finding)|TI|MM|457^4^0
10.2307/20094889|*Birds|D001717|1773|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|1013^5^0
10.2307/20094889|*Helicopter|D000401|837|ET|Entry Term Replacement for "Aircraft";RtM via: Helicopter;Forced Non-Leaf Node Lookup:helicopters|TI|MM|659^10^0;733^10^0
10.2307/20094889|Muscular Diseases|D009135|1000|MH|Forced Non-Leaf Node Lookup:myopathy||MM|432^8^0
10.2307/20460252|Animals|D000818|9874|CT|Proboscidea Mammal;CT Treecode Lookup: B01.050.150.900.649.833 (Proboscidea Mammal);Animals, Domestic;CT Treecode Lookup: B01.050.050 (Animals, Domestic);Elephants;CT Treecode Lookup: B01.050.150.900.649.833 (Elephants);Perissodactyla;CT Treecode Lookup: B01.050.150.900.649.313.984 (Perissodactyla);Goat;CT Treecode Lookup: B01.050.150.900.649.313.500 (Goat);Buffaloes;CT Treecode Lookup: B01.050.150.900.649.313.500 (Buffaloes);Bison;CT Treecode Lookup: B01.050.150.900.649.313.500 (Bison);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|274^7^0
10.2307/20460252|*Animals, Domestic|D000829|7964|MH|RtM via: Animals, Domestic;checkForceMH Boosted;Forced Non-Leaf Node Lookup:domestic animals|TI|MM;RC|265^16^0
10.2307/20460252|*Elephants|D004606|7900|MH|RtM via: Elephants;Forced Leaf Node Lookup:elephant, asiatic;checkForceMH Boosted|TI|MM;RC|222^8^0
10.2307/20460252|*Goat|D006041|4562|ET|Entry Term Replacement for "Goats";RtM via: Capra hircus;RtM via: Goat;checkForceMH Boosted;Forced Non-Leaf Node Lookup:goat|TI|MM|249^4^0
10.2307/20460252|*Buffaloes|D002020|4273|MH|RtM via: Buffaloes;Forced Leaf Node Lookup:buffalo;checkForceMH Boosted|TI|MM|240^7^0
10.2307/20460252|*Proboscidea Mammal|D056662|8874|MH|RtM via: Family Elephantidae (organism)|TI|MM|222^8^0
10.2307/20460252|*Perissodactyla|D010527|5064|MH|RtM via: Rhinoceros unicornis;Forced Non-Leaf Node Lookup:rhinoceros|TI|MM;RC|74^6^1;92^10^1
10.2307/20460252|*Bison|D016164|1533|MH|RtM via: Bison bison|TI|MM|240^7^0
10.2307/20460252|*Fetus|D005333|219|MH|RtM via: Full term fetus;Forced Non-Leaf Node Lookup:fetus|TI|MM|45^15^0;55^5^0
10.2307/20094895|Animals|D000818|7411|CT|Sloths;CT Treecode Lookup: B01.050.150.900.649.313.999 (Sloths);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|154^7^0
10.2307/20094895|*Cystotomy|D053715|5872|MH|RtM via: Cystotomy;Forced Leaf Node Lookup:cystotomy|TI|MM;RC|172^9^0
10.2307/20094895|*Sloths|D012896|5186|MH|RtM via: Sloths;Forced Leaf Node Lookup:sloths;checkForceMH Boosted|TI|MM;RC|333^6^0;41^6^0
10.2307/20094895|*Rectal Prolapse|D012005|1513|MH|RtM via: Rectal Prolapse;Forced Leaf Node Lookup:rectal prolapses|TI|MM|108^15^0
10.2307/20094895|*Antibiotic|D000900|1219|ET|Entry Term Replacement for "Anti-Bacterial Agents";RtM via: Antibiotic therapy;RtM via: Antibiotics;checkForceMH Boosted;Forced Non-Leaf Node Lookup:antibiotic therapy|TI|MM|195^18^0
10.2307/20094895|*Diet|D004032|6411|MH|RtM via: Basal Diet;RtM via: Diet;Forced Non-Leaf Node Lookup:diet|TI|MM;RC|363^4^0;225^7^0
10.2307/20094895|*Dietary Protein|D004044|2460|ET|Entry Term Replacement for "Dietary Proteins";RtM via: Dietary Proteins;Forced Non-Leaf Node Lookup:dietary protein|TI|MM|225^15^0
10.2307/20094895|*Dysuria|D053159|1023|MH|RtM via: Difficulty passing urine|TI|MM|137^10^0
10.2307/20094895|*Causality|D015984|96|MH|RtM via: Due to|TI|MM|93^9^0
10.2307/20094895|*Calculi|D002137|504|MH|RtM via: Calculi;Forced Non-Leaf Node Lookup:calculi|TI|MM|80^7^0
10.2307/20094894|Male|D008297|7957|CT|Forced Lookup:male;CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|42^4^0
10.2307/20094894|Animals|D000818|7957|CT|Tigers;CT Treecode Lookup: B01.050.150.900.649.313.750 (Tigers)|TI|MM
10.2307/20094894|*Tigers|D046010|1721|MH|RtM via: Tigers;Forced Leaf Node Lookup:tigers;checkForceMH Boosted|TI|MM|47^5^0
10.2307/20094894|*Retroperitoneal Space|D012187|6957|MH|RtM via: Retroperitoneal Space|TI|MM;RC|69^15^0
10.2307/20094894|*Hemorrhage|D006470|4941|MH|RtM via: Retroperitoneal Hemorrhage;RtM via: Massive hemorrhage;Forced Non-Leaf Node Lookup:hemorrhage|TI|MM;RC|69^26^0;61^7^1;85^10^1
10.2307/20094894|*Paraganglioma|D010235|1806|MH|RtM via: Paraganglioma;Forced Non-Leaf Node Lookup:paragangliomas|TI|MM;RC|119^13^0
10.2307/20094894|*Death|D003643|1479|MH|RtM via: Cessation of life;RtM via: Death (finding)|TI|MM|53^4^0
10.2307/20094894|*Cystadenoma|D003537|447|MH|RtM via: Cystadenoma;Forced Non-Leaf Node Lookup:cystadenomas|TI|MM|165^11^0
10.2307/20094872|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B01.050.150.900.649.313.750.377.750.600 (Panthera)||MM
10.2307/20094872|*Cephadroxyl|D002434|17994|ET|Entry Term Replacement for "Cefadroxil";RtM via: cefadroxil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cefadroxil|TI|MM|244^10^0
10.2307/20094872|*Bacteria, Anaerobic|D001421|4062|MH|RtM via: Bacteria, Anaerobic;Forced Leaf Node Lookup:anaerobic bacteria|TI|MM|137^18^0
10.2307/20094872|*Abscess|D000038|3879|MH|RtM via: Abscess;Forced Leaf Node Lookup:abscesses|TI|MM|354^9^0
10.2307/20094872|*Mandibular Fractures|D008337|2037|MH|RtM via: Mandibular Fractures;Forced Leaf Node Lookup:mandibular fracture|TI|MM|304^19^0
10.2307/20094872|*Bicuspid|D001641|1848|MH|RtM via: permanent premolar tooth;Forced Leaf Node Lookup:premolars|TI|MM|339^8^0
10.2307/20094872|*Debridement|D003646|1818|MH|Forced Leaf Node Lookup:debridements|TI|MM|204^11^0
10.2307/20094872|*Osteomyelitis|D010019|4395|MH|RtM via: Osteomyelitis of mandible;Forced Non-Leaf Node Lookup:osteomyelitis|TI|MM|94^24^0;105^13^0
10.2307/20094872|*Communicable Diseases|D003141|2985|MH|RtM via: Infection by site|TI|MM|179^14^0
10.2307/20094872|*Anti-Bacterial Agents|D000900|2730|MH|RtM via: Antibiotic therapy;RtM via: Antibiotics;Forced Non-Leaf Node Lookup:antibiotic therapy|TI|MM|220^18^0
10.2307/20094872|Panthera|D046009|858|MH|Forced Non-Leaf Node Lookup:snow leopards;Forced Non-Leaf Node Lookup:panthera||MM;RC|46^12^0;60^8^0
10.2307/20094849|Animals|D000818|32968|CT|Antelopes;CT Treecode Lookup: B01.050.150.900.649.313.500 (Antelopes);Muntjacs;CT Treecode Lookup: B01.050.150.900.649.313.500 (Muntjacs);Reindeer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Reindeer);Deer;CT Treecode Lookup: B01.050.150.900.649.313.500 (Deer);Hoof and Claw;CT Treecode Lookup: A13.491 (Hoof and Claw);CT Text Lookup: animal;CT Text Lookup: animals|TI|MM;RC|164^7^0;582^7^0;668^7^0
10.2307/20094849|*Antelopes|D000866|31968|MH|RtM via: Cephalophus silvicultor;RtM via: Oryx dammah;RtM via: Gazella dorcas;RtM via: Connochaetes taurinus;Forced Leaf Node Lookup:wildebeest;Forced Leaf Node Lookup:gazelle;checkForceMH Boosted|TI|MM;RC|208^23^0;185^21^0;326^11^0;304^20^0;346^15^0;363^14^0;264^21^0;238^24^0;252^10^0;353^7^0
10.2307/20094849|*Muntjacs|D018668|9300|MH|RtM via: Muntiacus reevesi;Forced Leaf Node Lookup:muntiacus;Forced Leaf Node Lookup:muntjacs;checkForceMH Boosted|TI|MM|404^17^0;386^16^0;394^8^0
10.2307/20094849|*Reindeer|D012053|9090|MH|RtM via: Reindeer;Forced Leaf Node Lookup:rangifer;Forced Leaf Node Lookup:reindeer;checkForceMH Boosted|TI|MM|442^17^0;432^8^0
10.2307/20094849|*Hoof and Claw|D006724|6272|MH|RtM via: Entire hoof;RtM via: Hoof;Forced Leaf Node Lookup:hoof|TI|MM|543^4^0
10.2307/20094849|*Abscess|D000038|2981|MH|RtM via: Abscess;Forced Leaf Node Lookup:abscesses|TI|MM|522^9^0;617^9^0
10.2307/20094849|*Deer|D003670|9042|MH|RtM via: Deer (mammal)|TI|MM;RC|127^8^0
10.2307/20094849|*Body Fluids|D001826|4071|MH|RtM via: Portion of urine|TI|MM|599^5^0
10.2307/20094849|*Kidneys|D007668|2328|ET|Entry Term Replacement for "Kidney";RtM via: Both kidneys;RtM via: Kidney;Forced Non-Leaf Node Lookup:kidneys|TI|MM|634^7^0
10.2307/20094849|*Liver|D008099|2190|MH|RtM via: Liver;Forced Non-Leaf Node Lookup:livers|TI|MM|654^5^0
10.2307/20094849|*Lungs|D008168|885|ET|Entry Term Replacement for "Lung";RtM via: Lung;Forced Non-Leaf Node Lookup:lungs|TI|MM|643^5^0
10.2307/20094849|*Mandible|D008334|57|MH|RtM via: Mandible;Forced Non-Leaf Node Lookup:mandibles|TI|MM|533^8^0
10.2307/20094849|Actinomyces|D000190|1000|MH|Forced Non-Leaf Node Lookup:actinomyces||MM|48^11^0;462^11^0
10.2307/20094892|Animals|D000818|3165|CT|Panthera;CT Treecode Lookup: B01.050.150.900.649.313.750 (Panthera)||RC
