41971826|Animals|D000818|2410|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
24621066|Animals|D000818|56885|CT|Animals, Newborn;CT Treecode Lookup: B01.050.050 (Animals, Newborn)||RC
24621066|Female|D005260|56885|CT|Maternal Exposure;CT Treecode Lookup: N06.850.460.350.145 (Maternal Exposure)||RC
24621066|Humans|D006801|56885|CT|Maternal Exposure;CT Treecode Lookup: N06.850.460.350.145 (Maternal Exposure)||RC
24621066|*Agrostis|D031703|34190|MH|RtM via: Agrostis (plant);Forced Leaf Node Lookup:agrostis;checkForceMH Boosted|TI|MM|1897^8^0;716^8^0
24621066|Chile|D002677|15925|MH|RtM via: Chile;Forced Leaf Node Lookup:chile|TI|MM|2263^5^0;1313^5^0;1093^5^0;109^5^0
24621066|Maternal Exposure|D018811|55885|MH|||RC
24621066|Animals, Newborn|D000831|36896|MH|||RC
24621066|SPEG protein, human|C100675|1000|NM|Forced SCR Human Protein Found: speg|TI|MM|812^4^0
24621066|*Muscle Proteins|D009124|1000|MH|Forced HM Human Protein SCR Found|TI|MM
24621066|*Protein-Serine-Threonine Kinases|D017346|1000|MH|Forced HM Human Protein SCR Found|TI|MM
41972440|Female|D005260|8928|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);CT Text Lookup: ovary|TI|MM;RC|571^5^0
41972440|*Amber|D018647|7928|MH|RtM via: amber;Forced Leaf Node Lookup:amber;checkForceMH Boosted|TI|MM|68^5^0
41972440|*Fossils|D005580|2231|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM|840^7^0;685^7^0;38^6^0
41972440|*Indican|D007200|1892|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|1903^7^0
41972440|variacin|C099477|1842|NM|RtM via: variacin;Forced SCR Leaf Node Lookup:variacin|TI|MM|1234^8^0
41972440|*Ovary|D010053|1297|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovary|TI|MM|571^5^0
41972440|*Trichilia|D029582|1078|ET|Entry Term Replacement for "Meliaceae";RtM via: Trichilia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:trichilias|TI|MM|2015^9^0;1160^9^0;959^9^0;208^9^0
41972440|Dominican Republic|D004293|886|MH|RtM via: Dominican Republic;Forced Leaf Node Lookup:dominican republic|TI|MM|81^18^0
41972440|*Bacteriocins|D001430|1841|HM|RtM via: variacin|TI|MM|1234^8^0
41972440|*Nutritional Status|D009752|1527|MH|RtM via: Endurance|TI|MM|253^9^0
41972440|*Marital Status|D017533|1212|MH|RtM via: Marital Status - Polygamous|TI|MM|937^10^0
41972440|*Reproduction|D012098|1041|MH|RtM via: anther development|TI|MM|547^18^0
41972440|*Flowers|D035264|177|MH|RtM via: Flowers;RtM via: Pistil;Forced Non-Leaf Node Lookup:flowers|TI|MM|893^7^0;482^7^0;342^7^0;45^7^0;331^10^0
41972440|*Forest|D065928|153|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|644^6^0
41972440|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1048^3^0
41972072|*Fruit|D005638|2182|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|314^5^0
41972072|*Quercus|D029963|1436|MH|Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM|78^3^0
41972072|Mexico|D008800|724|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|120^6^0
41972072|*Habitat|D017753|2238|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|634^7^0;535^7^0;133^7^0
41972072|*Scrophulariaceae|D028083|1635|MH|RtM via: Leucophyllum mojinense|TI|MM|431^22^0;36^22^0
41972072|*Woodlands|D065928|1563|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|82^9^0
41972072|*Flowers|D035264|1200|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|302^7^0
41972072|*Plant Leaves|D018515|1131|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|294^6^0
41971764|Colorado|D003120|685|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|1532^8^0;957^8^0;746^8^0;219^8^0
41971764|Wyoming|D014959|685|MH|RtM via: Wyoming;Forced Leaf Node Lookup:wyoming|TI|MM|1429^7^0;653^7^0
41971764|*Confusion|D003221|1584|MH|RtM via: Clouded consciousness;RtM via: Confusion|TI|MM|716^8^0
41971764|*Geography|D005843|624|MH|RtM via: Geography|TI|MM|237^12^0
41971764|*Environment|D004777|615|MH|RtM via: Para (geographic area)|TI|MM|790^4^0
41971764|*Caryophyllaceae|D029748|360|MH|RtM via: Minuartia stricta|TI|MM|1438^17^0;1195^9^1;1273^7^1;662^17^0;1015^9^0;770^9^0;437^9^0;274^9^0;21^9^0
41971764|*Rubella|D012409|81|MH|RtM via: Rubella;Forced Non-Leaf Node Lookup:rubellas|TI|MM|1090^7^0;339^7^0
41971990|Humans|D006801|5752|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans);African Continental Ancestry Group;CT Treecode Lookup: M01.686 (African Continental Ancestry Group)||MM;RC
41971990|*Amber|D018647|4752|MH|RtM via: amber;Forced Leaf Node Lookup:amber;checkForceMH Boosted|TI|MM|72^5^0
41971990|*Chrysobalanaceae|D045469|2055|MH|RtM via: Chrysobalanaceae;RtM via: Licania;Forced Leaf Node Lookup:chrysobalanaceae;Forced Leaf Node Lookup:licanias;checkForceMH Boosted|TI|MM|823^16^0;284^16^0;1013^7^0;950^7^0;872^7^0;806^7^0;471^7^0;406^7^0;322^7^0;268^7^0
41971990|*Fabaceae|D007887|930|MH|RtM via: Caesalpinioideae;RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM|727^16^0;188^16^0;707^8^0;162^15^0;169^8^0
41971990|*Fossils|D005580|702|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM|509^6^0;25^6^0
41971990|*Hispanic Americans|D006630|774|MH|RtM via: Dominican - Ethnicity|TI|MM|62^9^0
41971990|*African Continental Ancestry Group|D044383|669|MH|RtM via: Dominican - Ethnicity|TI|MM|62^9^0
41971990|*Referral and Consultation|D012017|438|MH|RtM via: Patient referral|TI|MM|150^8^0
41971990|*Diagnostic Tests, Routine|D003955|384|MH|RtM via: Granzyme B Measurement|TI|MM|958^5^0;414^5^0
41971990|*Flower|D035264|135|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|32^6^0
41972364|*Marantaceae|D032426|1213|MH|RtM via: Calathea;Forced Leaf Node Lookup:calatheas;checkForceMH Boosted|TI|MM|467^8^0;207^8^0;21^8^0
41972364|Honduras|D006721|224|MH|RtM via: Honduras;Forced Leaf Node Lookup:honduras|TI|MM|590^8^0;139^8^0
41972364|*Genes, env|D015752|1059|MH|RtM via: Genes, env|TI|MM|852^4^0
41972364|*Habit|D006184|138|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|460^5^0
41972364|*Environment|D004777|117|MH|RtM via: Para (geographic area)|TI|MM|623^4^0
41972364|*Plant Leaves|D018515|36|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|433^4^0
41972095|*Poaceae|D006109|150|MH|RtM via: Coleataenia|TI|MM;RC|157^11^0;48^11^0
41972095|*Environment|D004777|120|MH|RtM via: Para (geographic area)|TI|MM|188^4^0
41972095|*Rotation|D012399|24|MH|RtM via: Replacement|TI|MM|84^7^0
41972183|*Trees|D014197|3096|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|346^5^0
41972183|*Quercus|D029963|1086|MH|Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM|93^3^0;510^3^0
41972183|*Forest|D065928|2394|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|667^6^0;522^6^0;60^6^0;105^6^0
41972183|*Pinus|D028223|945|MH|RtM via: Pinus echinata|TI|MM|495^14^0;45^14^0
41972183|*Carya|D031325|546|MH|RtM via: Carya;RtM via: Carya myristiciformis|TI|MM|514^7^0;97^7^0;1230^5^0;784^5^0
41972183|Ecology|D004463|1000|MH|Forced Non-Leaf Node Lookup:ecologists||MM|270^10^0
41972183|Louisiana|D008145|0|MH|RtM via: Louisiana (geographic location)|TI|MM|1264^9^0;545^9^0
41972301|Animals|D000818|3024|CT|Porifera;CT Treecode Lookup: B01.050.500.802 (Porifera)||MM;RC
41972301|*Inflorescence|D056626|2024|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|528^13^0;408^13^0;292^14^0
41972301|Ecuador|D004484|1297|MH|RtM via: Ecuador;Forced Leaf Node Lookup:ecuador|TI|MM;RC|740^7^0;119^7^0
41972301|*Trichomes|D064201|967|MH|RtM via: Trichomes;Forced Leaf Node Lookup:trichomes|TI|MM|440^9^0
41972301|*Lamiales|D000068378|1611|MH|RtM via: Monopyle|TI|MM|1247^8^0;1205^8^0;975^8^0;907^8^0;655^8^0;620^8^0;576^8^0;326^8^0;263^8^0;40^8^0
41972301|*Flowers|D035264|738|MH|RtM via: Plant Calyx;RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|457^5^0;554^7^0;488^6^0
41972301|*Social Segregation|D000072699|387|MH|RtM via: Racial Segregation|TI|MM|241^10^0
41972301|*Porifera|D011161|294|MH|RtM via: calyx <invertebrate>|TI|MM|457^5^0
41972301|*Forests|D065928|168|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|95^7^0
41972301|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|664^3^0;794^3^0;871^3^0
41971649|*Base Sequence|D001483|531|MH|RtM via: DNA Sequence;Forced Leaf Node Lookup:dna sequences|TI|MM|48^12^0
41971649|*Genetic Techniques|D005821|510|MH|RtM via: Deoxyribonucleic Acid Measurement|TI|MM|470^3^0
41971649|*DNA|D004247|456|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM;RC|470^3^0
41971649|*Names|D009275|162|MH|RtM via: Name|TI|MM|317^5^0
41971649|*Serogroup|D065288|111|MH|RtM via: Australis|TI|MM|600^9^0;200^9^0
41971856|*Apiaceae|D019661|330|MH|RtM via: Oxypolis;RtM via: Sium|TI|MM|534^8^0;60^8^0;607^4^0;130^4^0
41971856|*Name|D009275|294|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|411^4^0
41971789|Mississippi|D008922|1915|MH|RtM via: Lauderdale County, MS;RtM via: Mississippi (geographic location);Forced Leaf Node Lookup:mississippi|TI|MM|137^17^0;836^11^0;156^11^0
41971789|*Carex Plant|D031255|1637|MH|RtM via: Carex breviculmis;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|1049^17^0;678^17^0;21^17^0
41971789|*Meridians|D016740|691|MH|RtM via: Meridians;Forced Leaf Node Lookup:meridians|TI|MM|935^8^0;205^8^0
41971789|*Cities|D002947|3159|MH|RtM via: Cities|TI|MM;RC|197^4^0
41971789|North America|D009656|1146|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM|330^13^0
41971789|Asia|D001208|1065|MH|RtM via: Asia;Forced Non-Leaf Node Lookup:asia|TI|MM|715^4^0;60^4^0
41971789|Australia|D001315|840|MH|RtM via: Australia;Forced Non-Leaf Node Lookup:australia|TI|MM|721^9^0;66^9^0
41972078|*Passiflora|D029598|238|MH|RtM via: Passiflora;RtM via: Passiflora jussieui;Forced Leaf Node Lookup:passiflora;checkForceMH Boosted|TI|MM|308^10^0;38^10^0;430^19^0
41972078|*Name|D009275|447|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|245^4^0
41972297|Peru|D010568|3413|MH|RtM via: Peru;Forced Leaf Node Lookup:peru|TI|MM;RC|637^4^0
41972297|*Poaceae|D006109|2624|MH|RtM via: Arthrostylidiinae;RtM via: Bambusoideae;RtM via: Poaceae;RtM via: Aulonemia insignis;RtM via: Aulonemia madidiensis;checkForceMH Boosted;Forced Non-Leaf Node Lookup:poaceae|TI|MM|1365^17^0;123^17^0;1351^12^0;109^12^0;1342^7^0;100^7^0;1643^18^0;318^18^0;1903^9^0;1324^9^0;587^9^0;82^9^0;2308^21^0
41972297|Bolivia|D001838|2275|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivian|TI|MM|1924^7^0;608^7^0;301^8^0;646^7^0;1957^7^0
41972297|*Microscopy, Electron, Scanning|D008855|1085|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM|1265^28^0
41972297|*Epidermal Cells|D000078404|2367|MH|RtM via: Epidermal cells|TI|MM|2533^9^0
41972297|South America|D013020|1563|MH|RtM via: South America;Forced Non-Leaf Node Lookup:south america|TI|MM|278^13^0
41972297|*Epidermis|D004817|846|MH|RtM via: Epidermal;RtM via: Epidermis;Forced Non-Leaf Node Lookup:epidermis|TI|MM|1177^9^0;2533^9^0
41972297|*Margins of Excision|D000072662|579|MH|RtM via: Surgical margins|TI|MM|447^7^0
41972297|*Plant Leaves|D018515|534|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|1195^4^0;804^4^0;725^6^0;427^6^0;184^4^0;549^6^0;1009^4^0
41971605|*Inflorescence|D056626|1478|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|576^14^0
41971605|Colombia|D003105|356|MH|RtM via: Colombia;Forced Leaf Node Lookup:colombia|TI|MM;RC|460^8^0;111^8^0
41971605|*Plant Leaves|D018515|966|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|521^4^0
41971605|*Flowers|D035264|948|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|611^7^0
41971605|*Gastrointestinal Agents|D005765|249|MH|RtM via: Cathartic laxatives|TI|MM|629^5^0
41971605|*Serogroup|D065288|180|MH|RtM via: Rama|TI|MM|296^5^0
41972099|*Environment|D004777|393|MH|RtM via: Durango;RtM via: Coahuila;RtM via: Para (geographic area)|TI|MM|431^7^0;159^7^0;398^8^0;120^8^0;327^4^0
41971416|*Gardens|D000072506|3661|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM|558^7^0;286^7^0
41971416|*Phellodendron|D032102|2039|MH|RtM via: Phellodendron chinense;RtM via: Phellodendron amurense;RtM via: Phellodendron (plant);Forced Leaf Node Lookup:phellodendrons;checkForceMH Boosted|TI|MM|246^22^0;687^22^0;128^22^0;1096^13^0;801^13^0;645^13^0;541^13^0;72^13^0
41971416|*Rutaceae|D027821|1522|MH|RtM via: Rutaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rutaceae|TI|MM|660^8^0;87^8^0
41971416|*Plant Bark|D024301|505|MH|Forced Leaf Node Lookup:bark|TI|MM|440^4^0
41971416|*Gardening|D051639|2697|MH|RtM via: Gardening|TI|MM|558^7^0;286^7^0
41971416|North America|D009656|174|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM|195^13^0;100^13^0
41972420|Female|D005260|14557|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);CT Text Lookup: ovary|TI|MM;RC|838^5^0
41972420|*Rosaceae|D027824|13557|MH|RtM via: Rosaceae (plant);RtM via: Amygdaloideae;RtM via: Maleae;RtM via: Vauquelinia;RtM via: Lindleya;RtM via: Lindleya mespiloides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosaceae|TI|MM|2493^8^0;1220^8^0;2411^9^0;1123^9^0;2389^6^0;1102^6^0;2295^11^0;1021^11^0;2265^8^0;1654^8^0;987^8^0;431^8^0;31^8^0;1239^8^1;1274^11^1
41972420|relacin|C580565|3355|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|2358^7^0
41972420|*Fruit|D005638|3276|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|557^5^0;486^5^0
41972420|*Ovary|D010053|1842|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovary|TI|MM|838^5^0
41972420|*Capsules|D002214|1782|MH|RtM via: capsule (pharmacologic);Forced Leaf Node Lookup:capsules|TI|MM|915^8^0
41972420|Mexico|D008800|1575|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM|139^6^0
41972420|*Habitat|D017753|4917|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|1963^7^0;696^7^0
41972420|*Dipeptides|D004151|3354|HM|RtM via: relacin|TI|MM|2358^7^0
41972420|*Desert Climate|D003889|2037|MH|RtM via: Desert Climate|TI|MM|123^12^0
41972420|*Deoxyguanosine|D003849|1818|HM|RtM via: relacin|TI|MM|2358^7^0
41972420|*Plant Leaves|D018515|1434|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|637^4^0;468^4^0;649^4^0;674^4^0
41972420|*Seeds|D012639|1395|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|951^5^0;563^4^0
41972420|*Flowers|D035264|1170|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|745^7^0;474^6^0
24621111|*Eleocharis|D031256|42356|MH|RtM via: Eleocharis;Forced Leaf Node Lookup:eleocharis;checkForceMH Boosted|TI|MM|609^10^0;21^10^0
24621111|Texas|D013781|21178|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|742^5^0;155^5^0
24621111|Antimicrobial Cationic Peptides|D023181|90004|MH|||RC
24621111|Amino Acid Sequence|D000595|34113|MH|||RC
41971957|*Soils|D012987|774|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM|172^5^0
41971957|Florida|D005431|195|MH|RtM via: Bradford County, FL;RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|91^15^0;628^7^0;460^7^0;275^7^0;118^7^0
41971957|*Environment|D004777|702|MH|RtM via: Para (geographic area)|TI|MM|575^4^0
41971957|*Cynodon|D031744|240|MH|RtM via: Cynodon dactylon|TI|MM|544^9^0;181^9^0
41971957|*Orobanchaceae|D031670|69|MH|RtM via: Agalinis|TI|MM|616^8^0;350^8^0;263^8^0;21^8^0
41972388|*Trees|D014197|1458|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|606^5^0;433^5^0;334^4^0
41972388|Basant|C546128|667|NM|RtM via: Basant;Forced SCR Leaf Node Lookup:basant|TI|MM|1383^6^0
41972388|Ghana|D005869|525|MH|RtM via: Ghana;Forced Leaf Node Lookup:ghana|TI|MM|1095^5^0;145^5^0
41972388|Guinea|D016701|525|MH|RtM via: Guinea (geographic area);Forced Leaf Node Lookup:guinea|TI|MM|926^6^0;776^6^0
41972388|*Grassland|D065948|264|MH|Forced Leaf Node Lookup:savannas|TI|MM|91^7^0;783^7^0;933^7^0
41972388|*Plant Preparations|D028321|666|HM|RtM via: Basant|TI|MM|1383^6^0
41972388|*Woods|D014934|576|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|886^5^0;197^5^0;64^5^0
41972388|*Record|D011996|561|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|495^8^0
24621113|Humans|D006801|121006|CT|Forced Humans: families|TI|MM;RC
24621113|*Bromus|D031724|25257|MH|RtM via: Bromus catharticus;Forced Leaf Node Lookup:bromus;checkForceMH Boosted|TI|MM|2173^18^0;760^18^0
24621113|*Poa|D031785|25089|MH|RtM via: Poa compressa;Forced Leaf Node Lookup:poa;checkForceMH Boosted|TI|MM|2193^13^0;780^13^0
24621113|*Bassia scoparia|D027467|23904|MH|RtM via: Bassia scoparia;Forced Leaf Node Lookup:kochia scoparias;checkForceMH Boosted|TI|MM|2252^15^0;839^15^0
24621113|*Sonchus|D031184|23178|MH|RtM via: Sonchus oleraceus;Forced Leaf Node Lookup:sonchus;checkForceMH Boosted|TI|MM|2233^17^0;820^17^0
24621113|*Tamaricaceae|D032363|23178|MH|RtM via: Tamarix ramosissima;Forced Leaf Node Lookup:tamarix;checkForceMH Boosted|TI|MM|2271^19^0;860^19^0
24621113|*Lakes|D060106|22746|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|1126^4^0;1043^5^0;434^5^0;358^5^0;160^5^0;28^5^0
24621113|*Introduced Species|D058865|22164|MH|Forced Leaf Node Lookup:non-native species;checkForceMH Boosted|TI|MM|740^18^0
24621113|*Cyperaceae|D029785|15978|MH|RtM via: Cyperaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cyperaceae|TI|MM|2116^10^0;706^10^0
24621113|*Asteraceae|D019659|13764|MH|RtM via: Asteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM|2080^10^0;670^10^0
24621113|*Checklist|D057189|12402|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|561^9^0
24621113|*Wetlands|D053833|12258|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|1262^8^0;227^8^0
24621113|*Water|D014867|11934|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|1621^4^0;1374^4^0;263^5^0
24621113|New Mexico|D009516|11289|MH|RtM via: New Mexico;Forced Leaf Node Lookup:new mexico|TI|MM|506^10^0
24621113|Texas|D013781|11289|MH|RtM via: Texas;Forced Leaf Node Lookup:texas|TI|MM|1861^5^0;481^5^0
24621113|*Patient Discharge|D010351|11172|MH|RtM via: Patient Discharge;Forced Leaf Node Lookup:discharge|TI|MM|217^9^0
24621113|Molecular Structure|D015394|32280|MH|||RC
24621113|Stereoisomerism|D013237|21772|MH|||RC
24621113|*Amaranthaceae|D027703|2187|MH|RtM via: Amaranthaceae;Forced Non-Leaf Node Lookup:amaranthaceae|TI|MM|2097^13^0;687^13^0
41971991|*Plantaginaceae|D000068377|426|MH|RtM via: Lagotis glauca|TI|MM|126^14^0;21^14^0
41971991|*Ascomycota|D001203|378|MH|RtM via: Lanceolata (fungus)|TI|MM|156^10^0;51^10^0
24621162|Humans|D006801|43082263|CT|Forced Humans: families|TI|MM;RC
24621162|Animals|D000818|43082263|CT|Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species)|TI|MM
24621162|*Refugium|D000068236|1754068|MH|RtM via: Refugium;Forced Leaf Node Lookup:refugium|TI|MM|423^8^0
24621162|*Checklist|D057189|1753894|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|45^9^0
24621162|*Endangered Species|D056727|1751998|MH|RtM via: Endangered Species;checkForceMH Boosted|TI|MM|767^10^1;784^7^1
24621162|Mexico|D008800|1751593|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM|795^6^0;160^6^0
24621162|Melanoma|D008545|166626|MH|||RC
24621162|Interferon alpha-2|D000077190|157807|MH|||RC
24621162|*Habits|D006184|1107|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|506^6^0
24621162|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1476^3^0;1850^3^0
41971666|*Thevetia|D031052|2173|MH|RtM via: Thevetia ahouai;RtM via: Thevetia peruviana;Forced Leaf Node Lookup:thevetias;checkForceMH Boosted|TI|MM|490^15^0;64^15^0;803^8^1;826^9^1;788^8^0;602^8^0;587^8^0;399^8^0;384^8^0;205^8^0;190^8^0;123^8^0;304^8^0;525^8^0;687^8^0
41971666|*Apocynaceae|D029062|657|MH|RtM via: Cascabela|TI|MM|421^9^0
41971666|GZMB protein, human|C509213|163|NM|RtM via: GZMB protein, human|TI|MM|797^4^0;596^4^0;534^4^0;393^4^0;199^4^0;132^4^0
41971666|*Granzymes|D053804|162|HM|RtM via: GZMB protein, human|TI|MM|797^4^0;596^4^0;534^4^0;393^4^0;199^4^0;132^4^0
41971666|*Diagnostic Tests, Routine|D003955|150|MH|RtM via: Granzyme B Measurement|TI|MM|797^4^0;596^4^0;534^4^0;393^4^0;199^4^0;132^4^0
41971666|*Chromosome|D002875|111|ET|Entry Term Replacement for "Chromosomes";RtM via: Mitotic chromosome;RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|25^18^0;33^10^0;102^10^0
41972170|Mexico|D008800|105|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|473^6^0;366^6^0
41972170|*Environment|D004777|96|MH|RtM via: Para (geographic area)|TI|MM|80^4^0
41972395|Humans|D006801|17974132|CT|Forced Humans: families|TI|MM;RC
41972395|*Islands|D062312|722676|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|608^6^0;264^7^0;160^6^0;48^6^0;59^7^0;117^7^0
41972395|Gulf of Mexico|D060851|721590|MH|RtM via: Gulf of Mexico;Forced Leaf Node Lookup:gulf of mexico|TI|MM|139^14^0
41972395|Florida|D005431|721587|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|1150^7^0;1044^7^0;968^7^0;573^7^0;477^7^0;406^7^0
41972395|*Tracheophyta|D064028|576|MH|RtM via: Tracheophyta|TI|MM|324^15^0
41972395|*Habitats|D017753|432|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|758^8^0;191^8^0
41972395|*Stramenopiles|D058009|297|MH|RtM via: Regin|TI|MM|666^5^0
41972395|*Skin|D012867|90|MH|RtM via: Shell - Animal skin appendage|TI|MM|71^5^0
41972395|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|615^3^0;953^3^0
41971406|relacin|C580565|1118|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|2634^7^0
41971406|*Indican|D007200|982|MH|RtM via: Indican;Forced Leaf Node Lookup:indican;checkForceMH Boosted|TI|MM|2583^7^0
41971406|*Phylogeny|D010802|782|MH|RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic|TI|MM|313^12^0
41971406|Mexico|D008800|758|MH|RtM via: Mexico;Forced Leaf Node Lookup:mexico|TI|MM;RC|103^6^0
41971406|*Asteraceae|D019659|2805|MH|RtM via: Bigelowia;RtM via: Euthamia;RtM via: Gutierrezia;RtM via: Gymnosperma;RtM via: Thurovia;RtM via: Amphiachyris;RtM via: Xylothamia;RtM via: Gundlachia <angiosperm>|TI|MM|2500^9^0;783^9^0;2511^8^0;794^8^0;2521^11^0;804^11^0;2534^11^0;817^11^0;2549^8^0;834^8^0;2486^12^0;769^12^0;2441^10^0;2397^10^0;2132^10^0;1713^10^0;724^10^0;682^10^0;412^10^0;31^10^0;2364^10^0;2221^10^0;640^10^0;492^10^0
41971406|*Dipeptides|D004151|1117|HM|RtM via: relacin|TI|MM|2634^7^0
41971406|*Social Segregation|D000072699|894|MH|RtM via: Racial Segregation|TI|MM|1043^10^0
41971406|*Environment|D004777|849|MH|RtM via: Sonora (geographic area);RtM via: Chihuahua|TI|MM|1781^6^0;3034^9^0;1769^9^0
41971406|*Deoxyguanosine|D003849|590|HM|RtM via: relacin|TI|MM|2634^7^0
41971406|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2452^3^0;3231^3^0
