10.2307/2963520|Animals|D000818|38668|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Thoracica;CT Treecode Lookup: B01.050.500.131 (Thoracica);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda);Mussel;CT Treecode Lookup: B01.050.500.644 (Mussel);Mytilus;CT Treecode Lookup: B01.050.500.644 (Mytilus);Invertebrate;CT Treecode Lookup: B01.050.500 (Invertebrate);Mollusca;CT Treecode Lookup: B01.050.500.644 (Mollusca)||MM;RC
10.2307/2937081|*Population Density|D011156|956541|MH|RtM via: Population Density;Forced Leaf Node Lookup:population densities|TI|MM|1891^20^0
10.2307/2937081|*Survivorship|D000073859|955176|MH|RtM via: survivorship;Forced Leaf Node Lookup:survivorship|TI|MM|2808^12^0;2556^12^0;1528^12^0;1509^12^0;1390^12^0
10.2307/2937081|Colorado|D003120|955005|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|2438^8^0;232^8^0
10.2307/2937081|*Health Expenditures|D005102|954987|MH|RtM via: Expenditures;Forced Leaf Node Lookup:expenditures|TI|MM|1213^3^0;1143^11^0
10.2307/2937081|*Adaptation, Physiological|D000222|17373|MH|RtM via: Adaptation|TI|MM|2323^8^0
10.2307/2937081|*Reproduction|D012098|16470|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM;RC|3002^12^0;2772^12^0;2199^12^0;1877^12^0;1306^12^0;1057^12^0;2499^12^0
10.2307/2937081|*Sex|D012723|7821|MH|RtM via: sex|TI|MM|1671^5^0
10.2307/2937081|*Seasons|D012621|7629|MH|RtM via: spring (season);RtM via: Winter;RtM via: Summer|TI|MM;RC|517^6^0;2389^7^0;627^7^0;491^6^0;374^6^0;2527^6^0;2415^6^0;648^6^0
10.2307/2937081|*Body Size|D049628|7446|MH|RtM via: Body Size;Forced Non-Leaf Node Lookup:body sizes|TI|MM;RC|1270^9^0;976^9^0
10.2307/2937081|*Habits|D006184|597|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|566^6^0
10.2307/2937081|California|D002140|201|MH|RtM via: California|TI|MM|264^10^0
27646144|Male|D008297|186871|CT|Forced Lookup:male;CT Text Lookup: male;Forced Non-Leaf Node Lookup:male|TI|MM;RC|1551^4^0
27646144|Female|D005260|186871|CT|Forced Lookup:female;CT Text Lookup: female;Forced Non-Leaf Node Lookup:females|TI|MM;RC|1629^6^0
27646144|Animals|D000818|186871|CT|Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites);Ants;CT Treecode Lookup: B01.050.500.131 (Ants)|TI|MM
27646144|Humans|D006801|1000|CT|Forced Humans:D Enslaved Persons||MM
27646144|*Parasites|D010271|58212|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM|1728^8^0;983^8^0;1020^9^0;771^9^0;502^9^0
27646144|*Ants|D001000|39237|MH|RtM via: Ants;Forced Leaf Node Lookup:ants;checkForceMH Boosted|TI|MM|798^4^0
27646144|*Sex Ratio|D012744|20370|MH|RtM via: Sex Ratio;Forced Leaf Node Lookup:sex ratios|TI|MM|1535^10^0
27646144|*Enslaved Persons|D063948|19275|MH|RtM via: Enslaved Persons;Forced Leaf Node Lookup:slaves|TI|MM|1790^5^0;1579^5^0;1449^5^0;1235^5^0;1105^5^0;910^5^0;751^5^0;1162^5^0;1302^5^0;1522^5^0;1655^5^0;1867^5^0
27646144|Tetracaine|D013748|185871|MH|||RC
27646144|Oxymetazoline|D010109|81531|MH|||RC
43187892|Animals|D000818|12856|CT|Clam;CT Treecode Lookup: B01.050.500.644 (Clam)||MM;RC
43187892|Humans|D006801|12856|CT|Forced Lookup:population level|TI|MM;RC|854^16^0
43187892|*Rivers|D045483|10182|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|880^6^0;456^6^0;374^6^0
43187892|*Ecosystem|D017753|7908|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|2343^9^0;106^9^0;216^9^0
43187892|*Biomass|D018533|5439|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|1911^7^0;305^7^0;82^7^0
43187892|*Oxygen|D010100|3612|MH|RtM via: oxygen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oxygen|TI|MM;RC|525^6^0
43187892|*Laboratories|D007753|1935|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|567^10^0
43187892|*Bays|D061006|1644|MH|Forced Leaf Node Lookup:bay|TI|MM|393^3^0
43187892|*Clam|D049872|11856|ET|Entry Term Replacement for "Bivalvia";RtM via: Limecola balthica;RtM via: Clams;Forced Non-Leaf Node Lookup:clam|TI|MM;RC|328^15^0;917^4^0;322^4^0
43187892|*Agriculture|D000383|1653|MH|RtM via: Combine|TI|MM|2300^7^0
43187892|*Biological Phenomena|D001686|990|MH|RtM via: Tissue Growth|TI|MM|922^6^0
43187892|*Hypoxia|D000860|966|MH|RtM via: Hypoxia;Forced Non-Leaf Node Lookup:hypoxia|TI|MM|2223^7^0;1864^7^0;1764^7^0;1640^7^0;1512^7^0;1353^7^0;1423^7^0;1111^7^0;973^7^0;888^7^0;839^7^0;673^7^0;290^7^0;21^7^0
43187892|*Fecundity|D005298|171|ET|Entry Term Replacement for "Fertility";RtM via: Fertility;Forced Non-Leaf Node Lookup:fecundity|TI|MM|552^9^0
10.2307/2963476|Bees|D001516|105563|CT|RtM via: Anthidiini;RtM via: Anthidium;RtM via: Megachilidae;RtM via: Megachilinae;RtM via: Bees;Forced Leaf Node Lookup:bees|TI|MM;RC|182^10^0;2594^9^0;138^12^0;162^12^0;3167^3^0;3355^4^0;2566^4^0;2182^3^0;1869^4^0;1366^4^0;1212^4^0;500^4^0
10.2307/2963476|Female|D005260|105563|CT|Forced Lookup:female;CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|301^6^0;2970^6^0;3148^6^0
10.2307/2963476|Animals|D000818|105563|CT|RtM via: Anthidiini;RtM via: Anthidium;RtM via: Megachilidae;RtM via: Megachilinae;RtM via: Bees;CT Text Lookup: bees|TI|MM;RC|182^10^0;2594^9^0;138^12^0;162^12^0;3167^3^0;3355^4^0;2566^4^0;2182^3^0;1869^4^0;1366^4^0;1212^4^0;500^4^0
10.2307/2963476|*Phylogeny|D010802|41373|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic relationships;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|1518^9^0;1321^26^0
10.2307/2963476|*Compositae|D019659|37346|ET|Entry Term Replacement for "Asteraceae";RtM via: Asteraceae;RtM via: Asteroideae;RtM via: Cardueae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:compositae|TI|MM;RC|2909^10^0;1236^10^0;891^10^0;569^10^0;586^11^0;881^8^0;559^8^0;599^10^0
10.2307/2963476|*Dipsacaceae|D049917|28288|MH|RtM via: Dipsacaceae;Forced Leaf Node Lookup:dipsacaceae;checkForceMH Boosted|TI|MM|705^11^0
10.2307/2963476|*Zygophyllum|D032445|23959|MH|RtM via: Zygophyllum;Forced Leaf Node Lookup:zygophyllums;checkForceMH Boosted|TI|MM|908^11^0
10.2307/2963476|*Inflorescence|D056626|23342|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM;RC|2886^14^0
10.2307/2963476|*Scrophulariaceae|D028083|20384|MH|RtM via: Scrophulariaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:scrophulariaceae|TI|MM|2835^16^0
10.2307/2963476|*Leguminosae|D007887|19757|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;RtM via: Papilionoideae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:leguminosae|TI|MM|1271^11^0;849^11^0;632^11^0;833^14^0;616^14^0
10.2307/2963476|*Labiatae|D019686|17642|ET|Entry Term Replacement for "Lamiaceae";RtM via: Lamiaceae;RtM via: Lamioideae;RtM via: Nepetoideae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:labiatae|TI|MM|2818^8^0;1299^8^0;867^8^0;662^8^0;650^10^0;677^11^0;690^8^0
10.2307/2963476|*Zygophyllaceae|D028461|15563|MH|RtM via: Zygophyllaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:zygophyllaceae|TI|MM|921^14^0
10.2307/2963476|*Specialization|D013038|11624|MH|RtM via: Hospital specialist;RtM via: Specialization;Forced Leaf Node Lookup:specialists|TI|MM|2494^11^0;66^14^0
10.2307/2963476|*Campanulaceae|D029422|62115|MH|RtM via: Campanulaceae;Forced Non-Leaf Node Lookup:campanulaceae|TI|MM;RC|725^13^0
10.2307/2963476|*Pollen|D011058|46740|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|3672^6^0;3077^6^0;3022^6^0;2769^6^0;2624^6^0;2368^6^0;1179^6^0;1076^6^0;476^6^0;388^6^0;86^6^0;285^6^0;2865^6^0;3264^6^0;3456^6^0
10.2307/2963476|*Flowers|D035264|36531|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|3691^7^0;3292^6^0;3186^7^0;2954^6^0;2803^7^0;2349^6^0;1027^7^0;544^7^0;3476^7^0
10.2307/2963476|*Diet|D004032|6777|MH|RtM via: Basal Diet;RtM via: Diet;Forced Non-Leaf Node Lookup:diet|TI|MM;RC|1477^4^0
10.2307/2963476|*Body Size|D049628|1572|MH|RtM via: Body Size;Forced Non-Leaf Node Lookup:body sizes|TI|MM|2186^9^0
10.2307/2963476|*Habit|D006184|1467|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;RtM via: Mannerism;Forced Non-Leaf Node Lookup:habits|TI|MM|2268^5^0;2029^5^0;3232^6^0
10.2307/2963476|*Thorax|D013909|624|MH|RtM via: Chest;Forced Non-Leaf Node Lookup:thorax|TI|MM|2740^6^0
10.2307/2963476|Asia|D001208|429|MH|RtM via: Asia|TI|MM|223^4^0
10.2307/1942320|Animals|D000818|14448|CT|Wasps;CT Treecode Lookup: B01.050.500.131 (Wasps);Hymenoptera;CT Treecode Lookup: B01.050.500.131 (Hymenoptera);Parasites;CT Treecode Lookup: B01.050.500.714 (Parasites)||MM;RC
10.2307/1942320|*Wasps|D014863|13448|MH|RtM via: Wasps;Forced Leaf Node Lookup:wasp;checkForceMH Boosted|TI|MM;RC|473^4^0
10.2307/1942320|*Parasites|D010271|7430|MH|RtM via: Parasites;Forced Leaf Node Lookup:parasites;checkForceMH Boosted|TI|MM;RC|764^8^0
10.2307/1942320|*Habitat|D017753|3504|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|317^7^0;282^7^0
10.2307/1942320|*Learning|D007858|2178|MH|RtM via: Learning|TI|MM;RC|597^8^0;521^5^0;172^6^0;103^8^0
10.2307/1942320|*Symbiosis|D013559|1269|MH|RtM via: Parasitism|TI|MM|72^10^0
10.2307/1942471|Humans|D006801|1000|CT|Forced Humans:D Transients and Migrants||MM
10.2307/1942471|*Betula|D029662|140352|MH|RtM via: Betula nana;RtM via: Betula populifolia;RtM via: Betula Genus;RtM via: Betula glandulosa;RtM via: Betula papyrifera;Forced Leaf Node Lookup:betulas;Forced Leaf Node Lookup:birchs;checkForceMH Boosted|TI|MM;RC|1060^11^0;638^11^0;2067^18^0;1524^18^0;1544^10^0;2020^5^0;1187^17^0;619^17^0;1995^17^0;644^5^0;1066^5^0;1549^5^0
10.2307/1942471|*Pinus|D028223|123405|MH|RtM via: Pinus caribaea;RtM via: Pinus strobus;RtM via: Pinus banksiana;RtM via: Pinus <genus>;RtM via: Pinus rigida;RtM via: Picea excelsa;RtM via: Pinus subgen. Strobus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|2100^10^0;1870^13^0;1979^15^0;1361^15^0;824^15^0;841^9^0;3380^5^0;3067^4^0;1891^4^0;534^4^0;2053^5^1;2092^6^1;1967^11^0;2059^7^0;2086^5^0
10.2307/1942471|*Picea|D028222|111447|MH|RtM via: Picea rubens;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM;RC|1767^12^0;1781^10^0;1181^5^0;1076^6^0;814^5^0;572^5^0;594^6^0;1967^5^0
10.2307/1942471|*Larix|D028221|93702|MH|RtM via: Larix;RtM via: Larix laricina;Forced Leaf Node Lookup:tamaracks;Forced Leaf Node Lookup:larix;checkForceMH Boosted|TI|MM|2930^8^0;2043^8^0;2027^14^0
10.2307/1942471|*Trees|D014197|88917|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|3515^5^0;2815^4^0;2360^4^0;1447^4^0;932^5^0;885^5^0
10.2307/1942471|*Alnus|D029661|74013|MH|RtM via: Alnus incana;RtM via: Alnus rugosa;Forced Leaf Node Lookup:alder;Forced Leaf Node Lookup:alnus;checkForceMH Boosted|TI|MM|1400^14^0;1382^5^1;1392^6^1;1409^5^0
10.2307/1942471|*Abies|D028202|72864|MH|RtM via: Abies balsamea;Forced Leaf Node Lookup:abies balsameas;checkForceMH Boosted|TI|MM|1339^14^0;1973^5^0
10.2307/1942471|*Sanguisorba|D031993|59940|MH|RtM via: Sanguisorba;RtM via: Sanguisorba canadensis;Forced Leaf Node Lookup:sanguisorbas;Forced Leaf Node Lookup:burnets;checkForceMH Boosted|TI|MM|702^6^0;678^22^0
10.2307/1942471|*Tsuga|D028225|53733|MH|RtM via: Tsuga;Forced Leaf Node Lookup:tsugas;checkForceMH Boosted|TI|MM|2334^5^0
10.2307/1942471|*Wetlands|D053833|42555|MH|RtM via: Swamp;Forced Leaf Node Lookup:swamps;Forced Leaf Node Lookup:bog|TI|MM|3456^5^0;3448^3^0
10.2307/1942471|*Taiga|D066188|31032|MH|RtM via: Taiga;Forced Leaf Node Lookup:boreal forests|TI|MM|1503^13^0
10.2307/1942471|*Soils|D012987|31008|ET|Entry Term Replacement for "Soil";RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soils|TI|MM;RC|3572^5^0
10.2307/1942471|*Hemlock|D018652|27585|MH|RtM via: Hemlock;Forced Leaf Node Lookup:hemlocks|TI|MM|2341^7^0
10.2307/1942471|*Ice Cover|D046448|23913|MH|RtM via: Ice Cover;Forced Leaf Node Lookup:ice sheets|TI|MM|267^9^0
10.2307/1942471|*Grass|D006109|23019|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grass|TI|MM|307^5^0
10.2307/1942471|Pennsylvania|D010414|21999|MH|RtM via: Pennsylvania;Forced Leaf Node Lookup:pennsylvania|TI|MM|1935^12^0;1753^12^0;1166^12^0;1123^12^0;494^12^0;403^12^0;113^12^0
10.2307/1942471|South Carolina|D013022|21960|MH|RtM via: South Carolina;Forced Leaf Node Lookup:south carolina|TI|MM|762^14^0
10.2307/1942471|West Virginia|D014903|21960|MH|RtM via: West Virginia;Forced Leaf Node Lookup:west virginia|TI|MM|127^13^0
10.2307/1942471|*Ponds|D061005|21477|MH|RtM via: Natural pond;Forced Leaf Node Lookup:pond|TI|MM|1813^4^0;1149^4^0
10.2307/1942471|Virginia|D014768|21441|MH|RtM via: Virginia;Forced Leaf Node Lookup:virginia|TI|MM|562^8^0;146^8^0
10.2307/1942471|Georgia|D005845|21381|MH|RtM via: Georgia, USA;Forced Leaf Node Lookup:georgia|TI|MM|794^7^0
10.2307/1942471|Florida|D005431|20913|MH|RtM via: Florida;Forced Leaf Node Lookup:florida|TI|MM|1018^7^0
10.2307/1942471|Wisconsin|D014922|20430|MH|RtM via: Wisconsin;Forced Leaf Node Lookup:wisconsin|TI|MM|3290^9^0;257^9^0
10.2307/1942471|New Jersey|D009515|20334|MH|RtM via: New Jersey;Forced Leaf Node Lookup:new jersey|TI|MM|508^10^0;80^10^0
10.2307/1942471|*Transients and Migrants|D014171|19764|MH|RtM via: Migrants;Forced Leaf Node Lookup:migrants|TI|MM|2630^7^0
10.2307/1942471|*Forests|D065928|24531|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|2883^6^0;803^7^0;734^6^0
10.2307/1942471|*Pollen|D011058|9855|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|28^6^0
10.2307/1942471|*Tundra|D065929|9237|MH|RtM via: Tundra;Forced Non-Leaf Node Lookup:tundras|TI|MM|2718^6^0;2305^6^0;1101^6^0;741^6^0;423^6^0;323^6^0
10.2307/1942471|*Nutrients|D000078622|1833|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|3608^9^0
10.2307/2937102|Humans|D006801|9380842|CT|Forced Humans: individuals|TI|MM
10.2307/2937102|*Trees|D014197|1145355|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1882^5^0;1343^4^0;908^4^0
10.2307/2937102|*Seedlings|D036226|760239|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1508^9^0
10.2307/2937102|*Abies|D028202|759387|MH|RtM via: Abies amabilis;Forced Leaf Node Lookup:abies;checkForceMH Boosted|TI|MM|1456^14^0
10.2307/2937102|*Plant Development|D063245|10230|MH|RtM via: Plant Development|TI|MM;RC|1027^12^0;129^12^0
10.2307/2937102|*Plants|D010944|6243|MH|RtM via: Plants|TI|MM;RC|480^5^0;307^5^0;166^6^0
10.2307/2937102|*Biological Phenomena|D001686|2046|MH|RtM via: Tissue Growth|TI|MM|766^6^0;689^6^0
10.2307/2937102|*Resource Allocation|D040841|342|MH|RtM via: Resource Allocation;Forced Non-Leaf Node Lookup:resource allocations|TI|MM|1139^19^0
4539097|Animals|D000818|133416|CT|Pupae;CT Treecode Lookup: B05.500 (Pupae);Pupae;CT Treecode Lookup: G07.345.500.550.500 (Pupae);Insect;CT Treecode Lookup: B01.050.500.131 (Insect);Moths;CT Treecode Lookup: B01.050.500.131 (Moths)|TI|MM
4539097|*Pupae|D011679|27466|ET|Entry Term Replacement for "Pupa";RtM via: Pupa;checkForceMH Boosted|TI|MM|1699^5^0
4539097|*Maternal Inheritance|D000072741|27076|MH|RtM via: Maternal Inheritance;Forced Leaf Node Lookup:maternal effects|TI|MM|2242^16^0;1957^16^0;1240^16^0;663^16^0;1316^16^0
4539097|United Kingdom|D006113|26986|MH|Forced Lookup:britain|TI|MM|981^7^0
4539097|Arrhythmias, Cardiac|D001145|132416|MH|||RC
4539097|Digitalis Glycosides|D004071|109221|MH|||RC
4539097|*Nutritional Value|D009753|1410|ET|Entry Term Replacement for "Nutritive Value";RtM via: Nutritive Value;Forced Non-Leaf Node Lookup:nutritional values|TI|MM|527^17^0
4539097|*Insect|D007313|744|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|31^6^0
4539097|*Food Quality|D063427|525|MH|RtM via: Food Quality;Forced Non-Leaf Node Lookup:food quality|TI|MM|2089^12^0;1299^12^0;513^12^0;2154^12^0
4539097|*Body Size|D049628|510|MH|RtM via: Body Size;Forced Non-Leaf Node Lookup:body sizes|TI|MM|690^9^0
4539097|*Forests|D065928|390|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1201^7^0;24^6^0
4539097|Moths|D009036|1000|MH|Forced Non-Leaf Node Lookup:moth||MM|74^4^0
23596921|Humans|D006801|63832|CT|Tissue and Organ Procurement;CT Treecode Lookup: N02.421.911 (Tissue and Organ Procurement)||RC
23596921|*Trees|D014197|23967|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|2026^4^0;1882^5^0;1496^5^0;628^5^0;48^4^0;1958^5^0
23596921|*Rainforest|D065947|9422|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM|87^11^0
23596921|*Parks, Recreational|D000068316|8582|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|115^13^0
23596921|*Ectomycorrhizae|D038821|8243|ET|Entry Term Replacement for "Mycorrhizae";RtM via: Ectomycorrhizae;checkForceMH Boosted|TI|MM|532^15^0
23596921|*Longevity|D008136|7856|MH|RtM via: Longevity;Forced Leaf Node Lookup:longevity|TI|MM|2223^9^0
23596921|Cameroon|D002163|7427|MH|RtM via: Cameroon;Forced Leaf Node Lookup:cameroons|TI|MM|130^8^0
23596921|Tissue and Organ Procurement|D009927|62832|MH|||RC
23596921|Tissue Donors|D014019|42822|MH|||RC
23596921|*Longitudinal Studies|D008137|2706|MH|RtM via: Longitudinal Studies|TI|MM|743^15^0
23596921|*Forests|D065928|1965|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|419^7^0
23596921|*Spatial Analysis|D062206|1068|MH|RtM via: Spatial Analysis;Forced Non-Leaf Node Lookup:spatial analysis|TI|MM|1337^16^0
43188344|Animals|D000818|26086|CT|Iguanas;CT Treecode Lookup: B01.050.150.900.833 (Iguanas);Brachyura;CT Treecode Lookup: B01.050.500.131 (Brachyura);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Lizards;CT Treecode Lookup: B01.050.150.900.833 (Lizards);CT Text Lookup: fish|TI|MM;RC|1179^4^0
43188344|*Herbivory|D060434|25086|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores;Forced Leaf Node Lookup:herbivory|TI|MM;RC|941^10^0;492^9^0;324^9^0;35^10^0
43188344|*Coral Reefs|D057894|19970|MH|RtM via: Coral Reefs;Forced Leaf Node Lookup:coral reefs|TI|MM|398^11^0
43188344|*Biomass|D018533|17561|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|1585^7^0;1471^7^0
43188344|*Iguanas|D007076|13090|MH|RtM via: Iguanas;Forced Leaf Node Lookup:iguanas;checkForceMH Boosted|TI|MM|1192^7^0;970^7^0
43188344|*Brachyura|D003386|11659|MH|RtM via: Crabs;Forced Leaf Node Lookup:crabs;checkForceMH Boosted|TI|MM|1185^5^0
43188344|*Ulva|D044445|10765|MH|RtM via: Ulva;Forced Leaf Node Lookup:ulva;checkForceMH Boosted|TI|MM|1547^4^0
43188344|*Islands|D062312|9719|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|644^7^0
43188344|*Temperature|D013696|9500|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|835^11^0
43188344|*Wetlands|D053833|8396|MH|RtM via: Marshes;Forced Leaf Node Lookup:marshes|TI|MM|431^7^0
43188344|*Phytoplankton|D010839|8201|MH|RtM via: Phytoplankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytoplankton|TI|MM|859^13^0
43188344|*Habitats|D017753|20040|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:intertidal communities|TI|MM;RC|344^8^0;605^22^0;891^22^0;1827^22^0
43188344|*Fishes|D005399|11430|MH|RtM via: Fishes|TI|MM;RC|1179^4^0
43188344|*Lizards|D008116|7788|MH|RtM via: Amblyrhynchus cristatus;RtM via: Suborder Iguania|TI|MM|963^14^0;1192^7^0
43188344|*Physical Phenomena|D055585|1467|MH|RtM via: Force|TI|MM|1987^6^0
43188344|*Nutrients|D000078622|954|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|848^9^0;247^8^0
43188344|Oceanography|D009791|1000|MH|Forced Non-Leaf Node Lookup:oceanographies||MM|80^13^0;528^13^0;742^13^0;1053^13^0;2030^13^0
43188344|*Longitudinal Studies|D008137|87|MH|RtM via: Continuous|TI|MM|152^7^0
10.2307/2937325|Animals|D000818|1000|CT|Forced Treecode Turn Back On: B01.050.500.131.617.720.500.500.937.650 (Moths)||MM
10.2307/2937325|*Life Tables|D015993|5626|MH|RtM via: Life Tables;Forced Leaf Node Lookup:life tables|TI|MM|4174^10^0;3966^11^0;3828^10^0
10.2307/2937325|*Food Chain|D020387|5252|MH|RtM via: Food Web;Forced Leaf Node Lookup:food webs|TI|MM|1157^8^0;1109^8^0
10.2307/2937325|*Data Analysis|D000078332|3272|MH|RtM via: Data Analysis;Forced Leaf Node Lookup:data analysis|TI|MM|2797^13^0
10.2307/2937325|*Population Dynamics|D011157|10446|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|2893^19^0;108^19^0
10.2307/2937325|*Stochastic Process|D013269|7092|ET|Entry Term Replacement for "Stochastic Processes";RtM via: Stochastic Processes;Forced Non-Leaf Node Lookup:stochastic process|TI|MM;RC|2371^18^0
10.2307/2937325|*Research Design|D012107|3234|MH|RtM via: statistical analysis;RtM via: Test Method|TI|MM;RC|2833^20^0;2490^6^0
10.2307/2937325|*Bias|D015982|2712|MH|RtM via: Bias (Epidemiology)|TI|MM|2211^4^0
10.2307/2937325|*Moths|D009036|495|MH|RtM via: Choristoneura fumiferana;Forced Non-Leaf Node Lookup:choristoneura fumiferana;Forced Non-Leaf Node Lookup:spruce budworm|TI|MM|4001^24^0;3985^14^0
10.2307/2937279|*Germination|D018525|48478|MH|RtM via: Germination;Forced Lookup:seed germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|1206^11^0;677^11^0;118^16^0;123^11^0
10.2307/2937279|*Seeds|D012639|12042|MH|RtM via: Plant seeds;Forced Lookup:seed germination|TI|MM;RC|588^5^0;118^16^0
10.2307/2937279|*Soil|D012987|7742|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1130^4^0;813^4^0;623^4^0;494^4^0;307^4^0;432^4^0;737^4^0;887^4^0;955^4^0
10.2307/2937279|*Plants|D010944|4605|MH|RtM via: Plants|TI|MM;RC|1232^6^0;570^7^0
10.2307/2937279|*Rosaceae|D027824|3426|MH|RtM via: Adenostoma fasciculatum|TI|MM|155^23^0;1053^10^0;524^10^0
10.2307/2937279|*Biological Phenomena|D001686|2679|MH|RtM via: seed germination;RtM via: Tissue Growth|TI|MM|118^16^0;1091^6^0;464^6^0
10.2307/2937279|*Phenols|D010636|1665|MH|RtM via: Substance with phenol structure|TI|MM;RC|403^9^0;274^8^0
10.2307/1942354|Animals|D000818|32782|CT|Orthoptera;CT Treecode Lookup: B01.050.500.131 (Orthoptera);Gryllidae;CT Treecode Lookup: B01.050.500.131 (Gryllidae);Acrididae;CT Treecode Lookup: B01.050.500.131 (Acrididae);Mantodea;CT Treecode Lookup: B01.050.500.131 (Mantodea);Life Cycle;CT Treecode Lookup: B05.500 (Life Cycle);Life Cycle;CT Treecode Lookup: G07.345.500.550.500 (Life Cycle)||MM;RC
10.2307/1942354|*Altitude|D000531|19743|MH|RtM via: Altitude;RtM via: Low altitude;Forced Leaf Node Lookup:altitudes|TI|MM;RC|3469^8^0;3171^8^0;3047^8^0;2695^8^0;1650^8^0;799^9^0;305^8^0;1513^12^0;1365^13^0;1369^9^0;3332^9^0;480^8^0;1442^8^0;1517^8^0;1800^8^0
10.2307/1942354|*Gryllidae|D006135|14088|MH|RtM via: Gryllidae;Forced Leaf Node Lookup:gryllidae;checkForceMH Boosted|TI|MM|1013^9^0
10.2307/1942354|*Seasons|D012621|13347|MH|RtM via: Summer;RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|3384^6^0;2908^6^0;371^7^0
10.2307/1942354|*Acrididae|D006110|13080|ET|Entry Term Replacement for "Grasshoppers";RtM via: Acrididae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:acrididae|TI|MM;RC|1831^9^0;961^9^0
