43519415|Humans|D006801|10474417|CT|Forced Humans: man|TI|MM;RC
43519457|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|721^7^0
43519151|*Metaphase|D008677|6379|MH|RtM via: Metaphase;RtM via: Mitotic Metaphase;Forced Leaf Node Lookup:metaphase|TI|MM;RC|166^9^0
43519151|*Chromosomes|D002875|3273|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM;RC|123^18^0;25^10^0
43519151|*Ploidies|D011003|1089|MH|RtM via: Ploidies|TI|MM|25^21^0
43519151|*Hepatophyta|D035926|846|MH|RtM via: Aneura;RtM via: Riccardia|TI|MM;RC|54^6^0;72^9^0
43519354|Animals|D000818|58828|CT|Grasshoppers;CT Treecode Lookup: B01.050.500.131 (Grasshoppers);Orthoptera;CT Treecode Lookup: B01.050.500.131 (Orthoptera);Insect;CT Treecode Lookup: B01.050.500.131 (Insect);Cuniculidae;CT Treecode Lookup: B01.050.150.900.649.313.992 (Cuniculidae);Lizard;CT Treecode Lookup: B01.050.150.900.833 (Lizard);CT Text Lookup: rabbit;CT Text Lookup: vertebrates|TI|MM;RC|3143^6^0;3097^11^0
43519354|Rabbits|D011817|58828|CT|RtM via: Rabbits;Forced Leaf Node Lookup:rabbits;CT Text Lookup: rabbit|TI|MM|3143^6^0
43519354|*Grasshoppers|D006110|57828|MH|RtM via: Chorthippus biguttulus;RtM via: Myrmeleotettix antennatus;RtM via: Omocestus haemorrhoidalis;RtM via: Stenobothrus fischeri;RtM via: Calliptamus barbarus;RtM via: Oedipoda caerulescens;RtM via: Acrotylus insubricus;RtM via: Acrotylus (grasshopper);RtM via: Wernerella <grasshopper>;RtM via: Grasshoppers;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasshoppers|TI|MM;RC|1942^24^0;2430^25^0;1968^25^0;2407^21^0;2093^20^0;2136^21^0;2644^20^0;2115^20^0;2460^9^0;2159^12^0;2630^12^0;2365^11^0
43519354|*Carex Plant|D031255|16149|MH|RtM via: Carex Genus;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|637^5^0
43519354|*Centaurea|D031179|16077|MH|RtM via: Centaurea arenaria;Forced Leaf Node Lookup:centaureas;checkForceMH Boosted|TI|MM|581^18^0
43519354|*Festuca|D031751|14961|MH|RtM via: Festuca vaginata;Forced Leaf Node Lookup:festucas;checkForceMH Boosted|TI|MM|657^16^0
43519354|*Juniperus|D018653|14466|MH|RtM via: Juniperus communis;Forced Leaf Node Lookup:juniperus communis;checkForceMH Boosted|TI|MM|470^18^0
43519354|*Carya|D031325|13914|MH|RtM via: Carya illinoinensis;RtM via: Pecans;Forced Leaf Node Lookup:pecans;checkForceMH Boosted|TI|MM|1998^5^0
43519354|*Phleum|D031784|13773|MH|RtM via: Phleum;Forced Leaf Node Lookup:phleums;checkForceMH Boosted|TI|MM|675^6^0
43519354|*Salix|D032108|13761|MH|RtM via: Salix alba;Forced Leaf Node Lookup:salix;checkForceMH Boosted|TI|MM|609^4^1;615^5^1
43519354|*Achillea|D031162|13626|MH|RtM via: Achillea ochroleuca;Forced Leaf Node Lookup:achilleas;checkForceMH Boosted|TI|MM|560^19^0
43519354|*Cuniculidae|D065469|13137|MH|RtM via: Cuniculus;Forced Leaf Node Lookup:cuniculus;checkForceMH Boosted|TI|MM|3162^9^0
43519354|*Lizard|D008116|13041|ET|Entry Term Replacement for "Lizards";RtM via: Lacerta;RtM via: Lizards;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lizards|TI|MM;RC|3120^7^0;3113^6^0
43519354|*Eryngium|D031049|12675|MH|RtM via: Eryngium campestre;Forced Leaf Node Lookup:eryngiums;checkForceMH Boosted|TI|MM|490^18^0
43519354|*Sand|D000080463|8160|MH|RtM via: Sand;checkForceMH Boosted|TI|MM|2775^5^0;2524^5^0
43519354|*Plants, Food|D010945|7563|ET|Entry Term Replacement for "Plants, Edible";RtM via: Plants, Edible;checkForceMH Boosted|TI|MM|1175^10^0;285^11^0
43519354|Hungary|D006814|6348|MH|RtM via: Hungary;Forced Leaf Node Lookup:hungary|TI|MM|2556^7^0
43519354|*Poaceae|D006109|15552|MH|RtM via: Stipa capillata;RtM via: Stipa pennata|TI|MM;RC|693^15^0;713^13^0
43519354|*Insect|D007313|14088|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM;RC|247^6^0
43519354|*Habitats|D017753|10332|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|1862^7^0;1641^8^0
43519354|*Outbreaks|D004196|759|ET|Entry Term Replacement for "Disease Outbreaks";RtM via: Disease Outbreaks;Forced Non-Leaf Node Lookup:outbreaks|TI|MM|2837^9^0
43518942|Humans|D006801|2282296|CT|Forced Humans: individuals|TI|MM;RC
43518942|*Sand|D000080463|185603|MH|RtM via: Sand;Forced Leaf Node Lookup:sand;checkForceMH Boosted|TI|MM|498^4^0
43518942|*Grassland|D065948|92869|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|197^9^0
43518942|*Plant|D010944|5160|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|55^5^0
43518942|Ecosystem|D017753|850|MH|||RC
43518942|*Organizations|D009938|318|MH|RtM via: Utilities (organization)|TI|MM|117^7^0
43519504|Humans|D006801|6337|CT|African Americans;CT Treecode Lookup: M01.686 (African Americans);African Continental Ancestry Group;CT Treecode Lookup: M01.686 (African Continental Ancestry Group)||MM;RC
43519504|Madagascar|D008270|2349|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM;RC|528^10^0;174^10^0
43519504|Tanzania|D013636|1689|MH|RtM via: Tanzania;Forced Leaf Node Lookup:tanzania|TI|MM|479^8^0
43519504|Seychelles|D012750|1626|MH|RtM via: Seychelles;Forced Leaf Node Lookup:seychelles|TI|MM|588^10^0
43519504|*African Americans|D001741|1119|MH|RtM via: African American;Forced Leaf Node Lookup:afro-americans|TI|MM|254^13^0
43519504|*Islands|D062312|2574|MH|RtM via: Islands|TI|MM|656^6^0
43519504|*African Continental Ancestry Group|D044383|1059|MH|RtM via: AFRICAN, EAST|TI|MM|195^12^0
43519504|South Africa|D013019|873|MH|RtM via: South Africa|TI|MM|680^5^1;694^6^1
43519188|*Data Analysis|D000078332|3082|MH|RtM via: Data Analysis;Forced Leaf Node Lookup:data analysis|TI|MM|98^13^0
43519188|*Consensus|D032921|1519|MH|RtM via: Consensus;Forced Leaf Node Lookup:consensus|TI|MM|396^9^0
43519188|*Clustering|D016000|25095|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM;RC|148^10^0
43519188|Fuzzy Logic|D017143|1353|MH|||RC
43519193|Humans|D006801|7272562|CT|Forced Humans: individuals|TI|MM;RC
43519193|*Rivers|D045483|294537|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|1522^5^0
43519193|*Multidimensional Scaling Analysis|D000084142|294207|MH|RtM via: Multidimensional Scaling Analysis;Forced New Lookup:multidimensional scaling|TI|MM|704^4^0;401^4^0;47^24^0
43519193|Manitoba|D008350|294090|MH|RtM via: Manitoba;Forced Leaf Node Lookup:manitoba|TI|MM|1529^8^0
43519193|*Rotation|D012399|293406|MH|RtM via: Musculoskeletal rotation;Forced Leaf Node Lookup:rotation|TI|MM|1047^8^0;385^8^0
43519193|*Habitats|D017753|7929|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|1496^8^0
43519193|*Canonical Correlation|D015999|4074|ET|Entry Term Replacement for "Multivariate Analysis";RtM via: canonical correlation analysis;RtM via: Canonical Correlation;Forced Non-Leaf Node Lookup:canonical correlations|TI|MM|807^30^0;336^30^0;1005^21^0
43519193|Canada|D002170|855|MH|RtM via: Canada;Forced Non-Leaf Node Lookup:canada|TI|MM|1539^6^0
43519193|*Research Design|D012107|699|MH|RtM via: Test Method|TI|MM|1411^6^0
43519546|Humans|D006801|2637|CT|Continental Population Groups;CT Treecode Lookup: M01.686 (Continental Population Groups)||MM;RC
43519546|*Angiospermae|D019684|1637|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiospermae|TI|MM|237^12^0
43519546|Greece|D006115|623|MH|RtM via: Greece;Forced Leaf Node Lookup:greece|TI|MM|109^6^0
43519546|Europe|D005060|531|MH|RtM via: Europe;Forced Non-Leaf Node Lookup:europe|TI|MM|579^6^0
43519546|Verloes Bourguignon syndrome|C536538|70|NM|RtM via: Verloes Bourguignon syndrome|TI|MM|1116^4^0;936^4^0
43519546|*Amelogenesis Imperfecta|D000567|69|HM|RtM via: Verloes Bourguignon syndrome|TI|MM|1116^4^0;936^4^0
43519546|*Continental Population Groups|D044469|42|MH|RtM via: Mediterranean|TI|MM|640^13^0
43519546|*Osteochondrodysplasias|D010009|27|HM|RtM via: Verloes Bourguignon syndrome|TI|MM|1116^4^0;936^4^0
43519102|Humans|D006801|10164|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
43519102|*Clutch Size|D052284|9164|MH|RtM via: Clutch Size;Forced Leaf Node Lookup:clutch sizes|TI|MM;RC|1596^11^0
43519102|*Population Density|D011156|8228|MH|RtM via: Population Size;Forced Leaf Node Lookup:population sizes|TI|MM;RC|1233^15^0
43519102|*Seasons|D012621|2087|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|932^7^0
43519102|*Survivorship|D000073859|1910|MH|RtM via: survivorship;Forced Leaf Node Lookup:survivorship|TI|MM|1193^12^0;746^12^0;141^12^0;806^12^0
43519102|*Fertility|D005298|5937|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM;RC|1151^9^0;1082^9^0;955^9^0;723^9^0;118^9^0;760^9^0
43519102|*Survival|D013534|1086|MH|RtM via: Continuance of life|TI|MM|1193^12^0;746^12^0;141^12^0
43519102|*Ethnic Groups|D005006|693|MH|RtM via: Chosen Chinese|TI|MM|320^6^0
43519102|Genetics, Population|D005828|1000|MH|Forced Non-Leaf Node Lookup:population genetics||MM|553^18^0
43519286|gradex|C066571|1190|NM|RtM via: gradex;Forced SCR Leaf Node Lookup:gradex|TI|MM|82^6^0
43519286|*Monte Carlo Method|D009010|4914|MH|RtM via: Monte Carlo Method|TI|MM;RC|167^11^0
43519286|*Population Dynamics|D011157|2862|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|567^19^0
43519286|*Computer Simulation|D003198|2424|MH|RtM via: Computer simulation|TI|MM;RC|179^10^0;65^10^0
43519286|*Gramicidin|D006096|758|HM|RtM via: gradex|TI|MM|82^6^0
43519534|Hungary|D006814|1939|MH|RtM via: Hungary;RtM via: Hungarian (ethnic group);Forced Leaf Node Lookup:hungarians;Forced Leaf Node Lookup:hungary|TI|MM|968^7^0;359^7^0;1585^9^0;678^9^0
43519534|*Ficus|D030681|1876|MH|Forced Leaf Node Lookup:fig;checkForceMH Boosted|TI|MM|1650^3^0;1840^3^0;1903^3^0
43519534|*Checklist|D057189|1043|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|1280^10^0
43519534|*Appendix|D001065|956|MH|RtM via: Appendix;Forced Leaf Node Lookup:appendix|TI|MM|715^8^0
43519534|*Tracheophyta|D064028|2997|MH|RtM via: Tracheophyta|TI|MM|655^15^0
43519534|Conservation of Natural Resources|D003247|1563|MH|Forced Non-Leaf Node Lookup:nature conservation||MM;RC|1623^19^0
43519281|*Phytoplankton|D010839|31918|MH|RtM via: Phytoplankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytoplankton|TI|MM;RC|869^13^0;226^13^0;21^13^0;388^13^0;620^13^0
43519281|*Lakes|D060106|19090|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|263^4^0;297^4^0
43519281|New Zealand|D009520|2695|MH|RtM via: New Zealand;Forced Leaf Node Lookup:new zealand|TI|MM|1102^11^0
43519281|*Memory|D008568|1512|MH|RtM via: Memory;RtM via: Memory observations|TI|MM|719^6^0
43519281|*Generalization, Psychological|D005793|1173|MH|RtM via: Generalization, Psychological|TI|MM|101^10^0
43519281|*Seizures|D012640|609|MH|RtM via: Convulsions|TI|MM|1285^6^0
43519281|Europe|D005060|519|MH|RtM via: central europe|TI|MM|305^14^0
43519469|*Kinetics|D007700|6643|MH|RtM via: Kinetics;Forced Leaf Node Lookup:kinetics|TI|MM;RC|1000^8^0;426^8^0
43519469|*Population Dynamics|D011157|2763|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|1013^19^0
43519469|*Biological Phenomena|D001686|2568|MH|RtM via: Tissue Growth|TI|MM|1263^6^0;664^6^0;176^6^0;32^6^0
43519469|*Physiological Phenomena|D010829|2175|MH|RtM via: Reflecting|TI|MM|1107^8^0
43519469|*Catalysis|D002384|924|MH|RtM via: Catalysis|TI|MM;RC|804^9^0;226^9^0
43519469|*Nutrient|D000078622|165|ET|Entry Term Replacement for "Nutrients";RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1181^8^0
43519469|*Attention|D001288|51|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|65^9^0
43519303|Animals|D000818|2854|CT|Mollusk;CT Treecode Lookup: B01.050.500.644 (Mollusk)||MM;RC
43519303|*Limestone|D002119|617|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Limestone;checkForceMH Boosted;Forced Non-Leaf Node Lookup:limestone|TI|MM|165^9^0
43519303|*Cave|D059552|1854|ET|Entry Term Replacement for "Caves";RtM via: Cavern|TI|MM|136^4^0
43519303|*Freshwater|D005618|1755|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:freshwaters|TI|MM;RC|154^10^0
43519303|*Mollusk|D008974|1647|ET|Entry Term Replacement for "Mollusca";RtM via: Mollusca;Forced Non-Leaf Node Lookup:molluscs|TI|MM|117^7^0
43519190|*Ecosystem|D017753|564|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|112^9^0
43519190|*Research Design|D012107|1476|MH|RtM via: Test Method|TI|MM;RC|224^6^0
43519190|*Health Services|D006296|639|MH|RtM via: Test Method|TI|MM|224^6^0
43519190|*Survey|D011795|411|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM;RC|122^6^0
43519190|*Specimen Handling|D013048|63|MH|RtM via: Sampling|TI|MM|138^8^0
43519544|*Trees|D014197|22257|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|835^5^0
43519544|*Fagus|D029964|11793|MH|RtM via: Beech;Forced Leaf Node Lookup:beechs;checkForceMH Boosted|TI|MM|1340^5^0;222^5^0
43519544|*Refugium|D000068236|10329|MH|RtM via: Refugium;Forced Leaf Node Lookup:refugia|TI|MM|207^7^0
43519544|*Quercus|D029963|6570|MH|Forced Leaf Node Lookup:oak;checkForceMH Boosted|TI|MM|537^3^0
43519544|Serbia|D055771|3690|MH|RtM via: Serbia;Forced Leaf Node Lookup:serbia|TI|MM|1195^6^0;1103^6^0;392^6^0;61^6^0
43519544|*Temperature|D013696|3502|MH|Forced Leaf Node Lookup:temperatures|TI|MM;RC|487^11^0
43519544|*Humidity|D006813|3410|MH|Forced Leaf Node Lookup:humidity|TI|MM;RC|467^8^0
43519544|*Grassland|D065948|3285|MH|Forced Leaf Node Lookup:meadows|TI|MM|909^7^0
43519544|*Forests|D065928|20565|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|1125^6^0;952^7^0;816^7^0
43519544|*Picea|D028222|12120|MH|RtM via: Picea|TI|MM;RC|1427^6^0;647^6^0
43519544|*Climate|D002980|10407|MH|RtM via: Climate|TI|MM;RC|1207^12^0;570^7^0;381^7^0;291^7^0
43519544|*Seasons|D012621|3540|MH|RtM via: Summer|TI|MM;RC|563^6^0
43519131|Humans|D006801|1747831|CT|Forced Humans: individuals|TI|MM
43519131|Animals|D000818|1747831|CT|Livestock;CT Treecode Lookup: B01.050.050 (Livestock)||MM;RC
43519131|*Seedlings|D036226|144242|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|1274^9^0
43519131|*Livestock|D058751|143405|MH|RtM via: Livestock;Forced Leaf Node Lookup:livestocks;checkForceMH Boosted|TI|MM;RC|886^9^0
43519131|*Water|D014867|72475|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM;RC|820^8^0;458^5^0
43519131|*Lakes|D060106|72457|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|948^5^0
43519131|Utah|D014589|71131|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM|776^4^0
43519131|*Plants|D010944|8712|MH|RtM via: Plants|TI|MM;RC|1376^6^0
43519131|*Plant Dispersals|D063148|3411|ET|Entry Term Replacement for "Plant Dispersal";RtM via: Plant Dispersal|TI|MM|60^16^0
43519131|*Tracheophyta|D064028|2052|MH|RtM via: Tracheophyta|TI|MM|1048^14^0
43519131|*Sodium Chloride|D012965|1449|MH|RtM via: sodium chloride|TI|MM|735^4^0
43504892|*Droughts|D055864|7978|MH|RtM via: Droughts;Forced Leaf Node Lookup:droughts|TI|MM;RC|1745^7^0;1548^7^0
43504892|*Sodium|D012964|6019|MH|RtM via: sodium;RtM via: sodium cation;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sodium|TI|MM|2008^6^0;1916^2^0
43504892|*Temperature|D013696|5644|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|990^11^0;792^11^0
43504892|*Solar Energy|D012993|3121|MH|RtM via: Solar Energy;Forced Leaf Node Lookup:solar energy|TI|MM|1278^12^0
43504892|*Grassland|D065948|2576|MH|Forced Leaf Node Lookup:meadows|TI|MM;RC|410^6^0;2111^6^0;2134^6^0
43504892|*Seasons|D012621|2245|MH|Forced Leaf Node Lookup:seasonal|TI|MM;RC|465^8^0
43504892|O,O-diisopropyl-S-benzylthiophosphate|C009897|2015|NM|Forced SCR Leaf Node Lookup:ibp|TI|MM|130^3^0
43504892|*Humidity|D006813|2014|MH|Forced Leaf Node Lookup:humidity|TI|MM|841^8^0;1034^8^0
43504892|*Forest|D065928|8406|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|2097^6^0;396^6^0
43504892|*Plant|D010944|4254|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|87^5^0
43504892|*Botany|D001901|3453|MH|RtM via: Botany;Forced Non-Leaf Node Lookup:botany|TI|MM|212^6^0
43504892|*Mineral|D008903|3018|ET|Entry Term Replacement for "Minerals";RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|372^7^0
43504892|*Research Institute|D000047|195|ET|Entry Term Replacement for "Academies and Institutes";RtM via: Research Institutes;Forced Non-Leaf Node Lookup:research institutes|TI|MM|189^18^0
43504892|*Extremities|D005121|132|MH|RtM via: All extremities;RtM via: Limb structure;Forced Non-Leaf Node Lookup:extremities|TI|MM|1519^11^0
43519409|Humans|D006801|3965962|CT|Forced Humans: man|TI|MM;RC
43519409|Male|D008297|3965962|CT|CT Text Lookup: man|TI|MM;RC|307^3^0
43519409|Physcia tenella|C000679254|159039|NM|Forced New Lookup:physcia tenella|TI|MM|952^15^0
43519409|Xanthoria parietina|C000681568|159039|NM|Forced New Lookup:xanthoria parietina|TI|MM|817^19^0
43519409|*Parmeliaceae|D000068837|1728|MH|RtM via: Hypogymnia|TI|MM|927^10^0
43519409|Plant Extracts|D010936|426|MH|||RC
43519409|*Ascomycota|D001203|423|MH|RtM via: Xanthoria parietina;RtM via: Physcia tenella|TI|MM|817^19^0;952^15^0
43519206|China|D002681|3809|MH|RtM via: China;Forced Leaf Node Lookup:chinese|TI|MM;RC|882^5^0;729^5^0;533^5^0;156^5^0;110^5^0;294^7^0;432^7^0;502^7^0;1237^7^0
43519206|Colombia|D003105|3266|MH|RtM via: Colombia;Forced Leaf Node Lookup:colombia|TI|MM|983^8^0
43519206|*Checklist|D057189|2105|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|804^9^0
43519206|*Hepatophyta|D035926|34995|MH|RtM via: Cheilolejeunea;RtM via: Drepanolejeunea;RtM via: Leptolejeunea;RtM via: Lopholejeunea;RtM via: Trocholejeunea infuscata;RtM via: Lejeuneaceae;RtM via: Cololejeunea;RtM via: Acrolejeunea|TI|MM;RC|1095^14^0;1044^15^0;1061^13^0;1076^13^0;237^24^0;942^12^0;640^12^0;302^12^0;138^12^0;94^12^0;1030^12^0;202^12^0
43519206|*Bryophyta|D044002|6963|MH|RtM via: Mosses|TI|MM|399^9^0
43519206|Southeast Asia|D001210|600|ET|Entry Term Replacement for "Asia, Southeastern";RtM via: Asia, Southeastern;Forced Non-Leaf Node Lookup:southeast asia|TI|MM|1210^14^0
43519206|Melanesia|D008542|87|MH|RtM via: Melanesia|TI|MM|969^9^0
43519200|*Lichens|D008011|6644|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|602^6^0;446^6^0;162^6^0;71^10^0
43519200|Phylogeny|D010802|941|MH|||RC
43519200|*Pruritus|D011537|723|MH|RtM via: Lichen disease|TI|MM|602^6^0;446^6^0;162^6^0;71^10^0
43519200|*Geography|D005843|666|MH|RtM via: Geography|TI|MM|647^12^0
43519200|*Eczema|D004485|597|MH|RtM via: Lichen disease|TI|MM|602^6^0;446^6^0;162^6^0;71^10^0
43519288|*Plant Nectar|D057048|53586|MH|RtM via: Plant Nectar;Forced Leaf Node Lookup:nectars;checkForceMH Boosted|TI|MM;RC|364^6^0
43519288|*Computer Simulation|D003198|6498|MH|RtM via: Computer simulation;Forced Lookup:computer simulation|TI|MM|558^20^0
43519288|*Artifacts|D016477|6015|MH|RtM via: Morphologic artifacts;Forced Leaf Node Lookup:artefacts|TI|MM|173^8^0
43519288|*Pollination|D054817|55203|MH|RtM via: Pollination|TI|MM;RC|292^10^0
43519288|*Seed Dispersal|D058614|20229|MH|RtM via: Seed Dispersal|TI|MM;RC|306^14^0
43519288|*Pollen|D011058|14370|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|620^6^0;353^6^0;697^6^0;729^6^0
43519288|*Mutualism|D013559|2586|ET|Entry Term Replacement for "Symbiosis";RtM via: Mutualism|TI|MM;RC|486^11^0;75^11^0
43518947|Humans|D006801|2227825|CT|Forced Humans: families|TI|MM
43518947|*Research Design|D012107|522|MH|RtM via: Test Method|TI|MM|467^6^0
43518947|Biodiversity|D044822|419|MH|||RC
43518947|*Abstracting and Indexing|D000043|390|MH|RtM via: Index|TI|MM|244^5^0
43519467|Humans|D006801|4439702|CT|Forced Humans: human;Forced Leaf Node Lookup:humans;checkForceMH Boosted|TI|MM;RC|497^5^0
43519467|*Centaurea|D031179|340258|MH|RtM via: Centaurea;Forced Leaf Node Lookup:centaureas;checkForceMH Boosted|TI|MM|295^9^0
43519467|*Colchicum|D003079|338983|MH|RtM via: Colchicum arenarium;Forced Leaf Node Lookup:colchicums;checkForceMH Boosted|TI|MM|320^19^0
43519467|*Ephedra|D029789|170486|MH|RtM via: Ephedra distachya;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ephedras|TI|MM|276^17^0
43519467|Hungary|D006814|169493|MH|RtM via: Hungary;Forced Leaf Node Lookup:hungary|TI|MM|877^7^0
43519467|*Plant|D010944|15924|ET|Entry Term Replacement for "Plants";RtM via: Plants, Cultivated|TI|MM;RC|1127^17^0;931^5^0
43519467|*Tracheophyta|D064028|5655|MH|RtM via: Botrychium lunaria;RtM via: Tracheophyta|TI|MM|256^18^0;25^14^0
43519467|Conservation of Natural Resources|D003247|3539|MH|Forced Non-Leaf Node Lookup:nature conservation||MM;RC|1640^19^0
43519312|Hungary|D006814|3057|MH|RtM via: Hungary;RtM via: Hungarian (ethnic group);Forced Leaf Node Lookup:hungarians;Forced Leaf Node Lookup:hungary|TI|MM|283^7^0;56^9^0
43519312|*Grassland|D065948|1993|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|797^9^0
43519312|*Forest|D065928|18135|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|705^6^0;124^6^0
43519312|*Plant|D010944|4917|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|417^5^0
43519312|Conservation of Natural Resources|D003247|1000|MH|Forced Non-Leaf Node Lookup:nature conservation||MM;RC|471^19^0
43519312|*School|D012574|51|ET|Entry Term Replacement for "Schools";RtM via: School;Forced Non-Leaf Node Lookup:schools|TI|MM|345^6^0
43519526|*Trees|D014197|20519|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|459^5^0;212^5^0
43519526|*Taiga|D066188|7846|MH|RtM via: Taiga;Forced Leaf Node Lookup:boreal forests|TI|MM|148^13^0
43519526|Ontario|D009864|2449|MH|RtM via: Ontario;Forced Leaf Node Lookup:ontario|TI|MM;RC|184^7^0
43519526|*Radius|D011884|1792|MH|RtM via: Bone structure of radius;Forced Leaf Node Lookup:radius|TI|MM|584^6^0
43519526|*Pinus|D028223|14337|MH|RtM via: Pinus banksiana|TI|MM;RC|679^9^0;266^9^0;55^9^0
43519526|Forests|D065928|2022|MH|||RC
43519526|*Physical Phenomena|D055585|336|MH|RtM via: Affinity|TI|MM|437^10^0
43519526|Spatial Analysis|D062206|1000|MH|Forced Non-Leaf Node Lookup:spatial analysis||MM;RC|360^16^0
43519228|Animals|D000818|3301|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)|TI|MM
43519228|*Computer Simulation|D003198|2301|MH|RtM via: Computer simulation|TI|MM;RC|164^10^0
43519228|*Coleoptera|D001517|201|MH|RtM via: Procrustes|TI|MM|21^10^0
43519228|*Standardization|D012015|84|ET|Entry Term Replacement for "Reference Standards";RtM via: Standardization;Forced Non-Leaf Node Lookup:standardization|TI|MM|98^15^0
43519146|Ecosystem|D017753|348|MH|||RC
43519146|Biodiversity|D044822|229|MH|||RC
43519146|*Salaries and Fringe Benefits|D012456|33|MH|RtM via: pay|TI|MM|332^4^0
43519146|*Attention|D001288|36|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|319^9^0
43519370|*Gardens|D000072506|5386|MH|RtM via: Gardens;Forced Leaf Node Lookup:gardens|TI|MM;RC|400^6^0
43519370|Hungary|D006814|664|MH|RtM via: Hungary;Forced Leaf Node Lookup:hungary|TI|MM|319^7^0
43519370|*Poaceae|D006109|4035|MH|RtM via: Molinia caerulea|TI|MM;RC|443^16^0;214^7^0;61^7^0
43519370|*Plants|D010944|3801|MH|RtM via: Plants|TI|MM;RC|364^6^0;222^6^0
43519370|*Gardening|D051639|1203|MH|RtM via: Gardening|TI|MM|400^6^0
43519370|*Opinion|D001290|42|ET|Entry Term Replacement for "Attitude";RtM via: Opinions|TI|MM|24^7^0
43519463|*Clustering|D016000|2325|ET|Entry Term Replacement for "Cluster Analysis";RtM via: statistical cluster;Forced Non-Leaf Node Lookup:clusterings|TI|MM;RC|57^10^0
43519463|*Computer Simulation|D003198|381|MH|RtM via: Computer simulation|TI|MM|1210^10^0
43519463|*Research Design|D012107|348|MH|RtM via: Test Method|TI|MM|193^6^0
