10.2307/2484573|Female|D005260|5409|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Genitalia, Female;CT Treecode Lookup: A05.360.319 (Genitalia, Female)|TI|MM
10.2307/2997126|*Pinus|D028223|77446|MH|RtM via: Pinus caribaea;RtM via: Pinus rigida;RtM via: Pinus strobus;RtM via: Pinus <genus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM;RC|727^10^0;739^12^0;521^13^0;683^4^0;405^4^0;515^4^0
10.2307/2997126|*Tsuga|D028225|76859|MH|RtM via: Tsuga canadensis;Forced Leaf Node Lookup:tsugas;checkForceMH Boosted|TI|MM;RC|486^16^0
10.2307/2997126|*Tilia|D032384|67167|MH|RtM via: Tilia americana;RtM via: Tilia (Plant);Forced Leaf Node Lookup:basswoods;Forced Leaf Node Lookup:tilias;checkForceMH Boosted|TI|MM|286^15^0;816^8^0;276^8^0
10.2307/2997126|*Fraxinus|D031661|55859|MH|RtM via: Fraxinus nigra;Forced Leaf Node Lookup:fraxinus;checkForceMH Boosted|TI|MM;RC|872^14^0;861^9^0
10.2307/2997126|*Ulmus|D034403|38510|MH|RtM via: Ulmus;Forced Leaf Node Lookup:ulmus;checkForceMH Boosted|TI|MM|888^3^0;893^5^0
10.2307/2997126|*Hemlock|D018652|36931|MH|RtM via: Hemlock;Forced Leaf Node Lookup:hemlocks|TI|MM;RC|808^7^0;688^7^0;391^7^0;477^7^0
10.2307/2997126|*Carya|D031325|35732|MH|RtM via: Carya;Forced Leaf Node Lookup:caryas;checkForceMH Boosted|TI|MM|715^5^0;706^7^0
10.2307/2997126|*Silver|D012834|33872|MH|Forced Leaf Node Lookup:silver;checkForceMH Boosted|TI|MM|829^6^0
10.2307/2997126|New York|D009518|17506|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM;RC|81^8^0
10.2307/2997126|*African Americans|D001741|16936|MH|Forced Leaf Node Lookup:blacks|TI|MM|567^5^0;861^5^0
10.2307/2997126|*Forests|D065928|12117|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|428^6^0;127^6^0;28^7^0
10.2307/2997126|Trees|D014197|7658|MH|||RC
10.2307/2483770|isochlorogenic acid|C469310|38488|NM|RtM via: isochlorogenic acid;Forced SCR Leaf Node Lookup:isochlorogenic acid|TI|MM|788^19^0
10.2307/2483770|5'-O-caffeoylquinic acid|C473200|34353|NM|RtM via: 5'-O-caffeoylquinic acid;Forced SCR Leaf Node Lookup:neochlorogenic acid|TI|MM|809^19^0
10.2307/2483770|*Chlorogenic Acid|D002726|38487|MH|RtM via: 5'-O-caffeoylquinic acid;RtM via: chlorogenic acid;RtM via: isochlorogenic acid;Forced Leaf Node Lookup:chlorogenic acid|TI|MM;RC|809^19^0;677^16^0;1012^16^0;788^19^0
10.2307/2483770|*Trees|D014197|26636|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|369^5^0
10.2307/2483770|caffeoylquinic acid|C472707|26385|NM|RtM via: caffeoylquinic acid;Forced SCR Leaf Node Lookup:caffeoylquinic acid|TI|MM|842^19^0
10.2307/2483770|*Scopoletin|D012603|17381|MH|RtM via: Scopoletin;Forced Leaf Node Lookup:scopoletin;checkForceMH Boosted|TI|MM;RC|709^10^0
10.2307/2483770|*Seedlings|D036226|10895|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|633^8^0
10.2307/2483770|*Soil|D012987|10555|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|561^4^0
10.2307/2483770|scopolin|C417572|10350|NM|RtM via: scopolin;Forced SCR Leaf Node Lookup:scopolin|TI|MM|695^8^0;1033^8^0
10.2307/2483770|*Coumaric Acids|D003373|10229|MH|RtM via: Coumaric Acids;Forced Leaf Node Lookup:coumaric acid;checkForceMH Boosted|TI|MM|870^13^0
10.2307/2483770|*Germination|D018525|8375|MH|Forced Lookup:seed germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|612^16^0;617^11^0
10.2307/2483770|*Water|D014867|5635|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|490^5^0
10.2307/2483770|*Fruit|D005638|4208|MH|Forced Leaf Node Lookup:fruits|TI|MM;RC|917^6^0
10.2307/2483770|*Seeds|D012639|109|MH|Forced Lookup:seed germination|TI|MM;RC|612^16^0
10.2307/2483770|*Quinic Acid|D011801|26384|HM|RtM via: 5'-O-caffeoylquinic acid;RtM via: caffeoylquinic acid|TI|MM|809^19^0;842^19^0
10.2307/2483770|*Glucosides|D005960|10349|HM|RtM via: scopolin|TI|MM;RC|695^8^0
10.2307/2483770|*Coumarins|D003374|10046|HM|RtM via: scopolin|TI|MM;RC|695^8^0
10.2307/2483770|*Plant Leaves|D018515|8349|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|752^6^0;542^4^0;534^6^0;179^6^0;1004^6^0
10.2307/2483770|*Minerals|D008903|858|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|480^8^0
10.2307/2483770|Plant Extracts|D010936|1000|MH|Forced Non-Leaf Node Lookup:extracts||MM;RC|734^8^0;898^8^0
10.2307/2482286|*Lycopersicon esculentum|D018551|2116|MH|RtM via: Lycopersicon esculentum;RtM via: Tomatoes;Forced Leaf Node Lookup:tomato;checkForceMH Boosted|TI|MM|102^6^0
10.2307/2482286|*Plant Roots|D018517|4050|MH|RtM via: Plant Roots|TI|MM;RC|764^5^0;256^5^0
10.2307/2482286|*Biological Phenomena|D001686|798|MH|RtM via: Tissue Growth|TI|MM|1431^6^0;1345^6^0;1164^6^0;1067^4^0;930^4^0;746^6^0;275^6^0
10.2307/2482286|*Culture Media|D003470|651|MH|RtM via: Culture Media|TI|MM|168^6^0
10.2307/2482286|*Clones|D002999|174|ET|Entry Term Replacement for "Clone Cells";RtM via: Clone Cells;Forced Non-Leaf Node Lookup:clones|TI|MM|74^6^0
10.2307/2484267|*Lichens|D008011|2384|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|47^7^0
10.2307/2484267|*Pruritus|D011537|1674|MH|RtM via: Lichen disease|TI|MM|47^7^0
10.2307/2484267|*Eczema|D004485|1326|MH|RtM via: Lichen disease|TI|MM|47^7^0
10.2307/2484267|*Keratosis|D007642|939|MH|RtM via: Lichen disease|TI|MM|47^7^0
10.2307/2484267|*Biological Phenomena|D001686|492|MH|RtM via: Tissue Growth|TI|MM|65^7^0
10.2307/2484267|New York|D009518|57|MH|RtM via: Westchester County, NY|TI|MM|87^18^0
10.2307/2996347|*Flavonoids|D005419|11958|MH|RtM via: Flavonoids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:flavonoids|TI|MM;RC|315^10^0;156^10^0;32^10^0;352^10^0;427^10^0
10.2307/2996347|*Cornus|D029768|5877|MH|RtM via: Cornus florida;Forced Leaf Node Lookup:cornus;checkForceMH Boosted|TI|MM|136^14^0
10.2307/2996347|kaempferol|C006552|4093|NM|RtM via: kaempferol|TI|MM|43^10^0
10.2307/2996347|*Kaempferols|D044949|4092|MH|RtM via: kaempferol;Forced Leaf Node Lookup:kaempferols|TI|MM|43^10^0
10.2307/2996347|hyperoside|C021304|3796|NM|RtM via: hyperoside|TI|MM|74^9^1;88^11^1
10.2307/2996347|*Quercetin|D011794|3795|MH|RtM via: hyperoside;Forced Leaf Node Lookup:quercetin|TI|MM|74^9^1;88^11^1
10.2307/2996347|*Ultraviolet Rays|D014466|2826|MH|RtM via: Ultraviolet Rays;Forced Leaf Node Lookup:ultraviolet light|TI|MM;RC|238^17^0
10.2307/2996347|*Plant Leaves|D018515|7173|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|277^6^0;126^6^0
10.2307/2996347|*Galactosides|D005697|1356|MH|RtM via: Galactosides;Forced Non-Leaf Node Lookup:galactosides|TI|MM|58^11^0;88^11^0
10.2307/2996347|*Pollination|D054817|723|MH|RtM via: Pollination|TI|MM|441^10^0
10.2307/2484693|*Acer|D031002|2101|MH|RtM via: Acer;Forced Leaf Node Lookup:maples;checkForceMH Boosted|TI|MM|63^5^0
10.2307/2484693|*Bays|D061006|1862|MH|RtM via: Inlets (geographic);Forced Leaf Node Lookup:inlets|TI|MM|214^5^0
10.2307/2484693|*Wetlands|D053833|592|MH|Forced Leaf Node Lookup:bog|TI|MM;RC|69^3^0;173^3^0
10.2307/2484693|*Ilex|D030017|545|MH|RtM via: Ilex;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ilex|TI|MM|380^4^0;289^4^0
10.2307/2484693|*Forest|D065928|6534|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|425^6^0;335^6^0;87^6^0;135^6^0
10.2307/2484693|*Pollen|D011058|1212|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|463^6^0
10.2307/2484758|Humans|D006801|34862443|CT|Forced Humans: people|TI|MM
10.2307/2484758|*Sorghum|D045868|4217667|MH|RtM via: Sorghum bicolor;Forced Leaf Node Lookup:sorghums;checkForceMH Boosted|TI|MM;RC|1389^16^0;1005^16^0;1455^8^0;1214^8^0;833^8^0;764^7^0;482^8^0;416^8^0;116^8^0;554^8^0;1013^8^0;1397^8^0;1494^8^0;1515^8^0
10.2307/2484758|*Inflorescence|D056626|1402772|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|77^13^0
10.2307/2484758|Ethiopia|D005002|1402652|MH|RtM via: Ethiopia;Forced Leaf Node Lookup:ethiopia|TI|MM;RC|1241^8^0;897^8^0;128^8^0
10.2307/2484758|*Adaptation, Physiological|D000222|57678|MH|RtM via: Adaptation|TI|MM;RC|1524^7^0;1095^11^0
10.2307/2484758|Genetic Variation|D014644|5455|MH|||RC
10.2307/2484758|*Edible Grain|D002523|3273|MH|RtM via: Sorghum (Food)|TI|MM;RC|1455^8^0;1214^8^0;833^8^0;764^7^0;482^8^0;416^8^0;116^8^0
10.2307/2484758|*Acclimatization|D000064|2523|MH|RtM via: Acclimatization|TI|MM|1095^11^0
10.2307/2484758|India|D007194|987|MH|RtM via: India|TI|MM|876^5^0
10.2307/2484119|Animals|D000818|1425|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
10.2307/2484119|*Smilax|D032281|425|MH|RtM via: Smilax;Forced Leaf Node Lookup:smilax;checkForceMH Boosted|TI|MM|28^6^0
10.2307/2484119|*Coleoptera|D001517|165|MH|RtM via: Smilax <beetle>|TI|MM|28^6^0
10.2307/2484119|Flowers|D035264|99|MH|||RC
10.2307/2484119|*Biological Products|D001688|75|MH|RtM via: sarsaparilla preparation|TI|MM|28^6^0
10.2307/2484119|*Diagnostic Tests, Routine|D003955|12|MH|RtM via: Granzyme B Measurement|TI|MM|47^4^0
10.2307/2484695|Humans|D006801|3664174|CT|Forced Humans: individuals|TI|MM
10.2307/2484695|*Quercus|D029963|309837|MH|RtM via: Quercus;Forced Leaf Node Lookup:oaks;checkForceMH Boosted|TI|MM;RC|239^4^0;355^4^0
10.2307/2484695|*Betula|D029662|305781|MH|RtM via: black birch;Forced Leaf Node Lookup:birchs;checkForceMH Boosted|TI|MM;RC|248^11^0;254^5^0
10.2307/2484695|*Liriodendron|D031567|303918|MH|RtM via: Liriodendron tulipifera;Forced Leaf Node Lookup:tulip tree;checkForceMH Boosted|TI|MM|340^10^0
10.2307/2484695|*Ferns|D029624|152799|MH|RtM via: Ferns;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ferns|TI|MM;RC|368^5^0;49^13^0
10.2307/2484695|*Rivers|D045483|151749|MH|RtM via: Streams;Forced Leaf Node Lookup:streams|TI|MM|263^6^0
10.2307/2484695|*African Americans|D001741|150462|MH|Forced Leaf Node Lookup:blacks|TI|MM|248^5^0
10.2307/2484695|*Forests|D065928|13716|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM;RC|218^7^0;393^9^0
10.2307/2484695|Trees|D014197|1722|MH|||RC
10.2307/2483463|*Penicillium|D010407|2551|MH|RtM via: Penicillium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:penicilliums|TI|MM;RC|107^11^0
10.2307/2483463|*Diatomaceous Earth|D007692|2241|MH|RtM via: Celite;RtM via: diatomaceous earth;Forced Leaf Node Lookup:diatomaceous earth;Forced Leaf Node Lookup:celite;checkForceMH Boosted|TI|MM|305^6^0;285^18^0
10.2307/2483463|*Salts|D012492|1889|MH|RtM via: Salts;Forced Leaf Node Lookup:salts;checkForceMH Boosted|TI|MM|214^5^0
10.2307/2483463|*Amino Acids|D000596|1873|MH|RtM via: Amino Acids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:amino acids|TI|MM;RC|189^11^0;353^11^0;32^10^0
10.2307/2483463|*Glucose|D005947|994|MH|RtM via: glucose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glucose|TI|MM;RC|202^7^0
10.2307/2483463|Thermomyces lanuginosus|C000677537|611|NM|Forced New Lookup:humicola lanuginosa|TI|MM|83^19^0
10.2307/2483463|*Biological Phenomena|D001686|3303|MH|RtM via: Tissue Growth;RtM via: sporulation|TI|MM|478^6^0;242^6^0;488^11^0
10.2307/2483463|*Fungi|D005658|2208|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM;RC|76^5^0
10.2307/2483463|*Pigmentation|D010858|1455|MH|RtM via: Pigmentation|TI|MM|408^7^0
10.2307/2483463|*Eurotiales|D032641|828|MH|RtM via: Thermomyces lanuginosus|TI|MM|83^19^0
10.2307/2484014|*Spores, Fungal|D013172|12844|MH|RtM via: Kingdom Fungi ascospore;RtM via: Conidia;Forced Leaf Node Lookup:conidia;checkForceMH Boosted|TI|MM;RC|228^10^0;186^10^0;419^7^0
10.2307/2484014|Nigrocornus scleroticus|C000681060|714|NM|Forced New Lookup:balansia sclerotica|TI|MM|48^19^0
10.2307/2484014|*Hypocreales|D006999|2460|MH|RtM via: Nigrocornus scleroticus;RtM via: Balansia|TI|MM|48^19^0;512^8^0
10.2307/2484014|*Research|D012106|51|MH|RtM via: Study Branch|TI|MM|276^8^0
10.2307/2484014|*Diagnostic Tests, Routine|D003955|48|MH|RtM via: Fungi Measurement|TI|MM|107^6^0
10.2307/2484383|*Survey|D011795|249|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM;RC|107^6^0
10.2307/2484383|*Organizations|D009938|72|MH|RtM via: social organization|TI|MM|133^4^0
10.2307/2996792|Female|D005260|56626|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Genitalia, Female;CT Treecode Lookup: A05.360.319 (Genitalia, Female)|TI|MM
10.2307/2996792|*Pollination|D054817|55626|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM;RC|253^10^0;132^12^0;191^11^0
10.2307/2996792|*Ovule|D056771|35625|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM;RC|503^6^0
10.2307/2996792|*Pollen Tube|D053205|22476|MH|RtM via: Pollen Tube;Forced Leaf Node Lookup:pollen tubes|TI|MM;RC|419^12^0;460^12^0
10.2307/2996792|*Asclepias|D031108|17460|MH|RtM via: Asclepias;Forced Leaf Node Lookup:asclepias;checkForceMH Boosted|TI|MM|626^9^0;55^9^0
10.2307/2996792|*Germination|D018525|13061|MH|Forced Lookup:seed germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|336^16^0;341^11^0
10.2307/2996792|*Fruit|D005638|12969|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|264^5^0
10.2307/2996792|*Seeds|D012639|10131|MH|RtM via: Plant seeds;Forced Lookup:seed germination|TI|MM;RC|237^5^0;336^16^0
10.2307/2996792|*Ovary|D010053|7872|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovary|TI|MM|521^5^0
10.2307/2996792|*Apocynaceae|D029062|7278|MH|RtM via: Apocynaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asclepiadaceae|TI|MM|677^11^0;662^14^0
10.2307/2996792|*Magnoliopsida|D019684|6627|MH|RtM via: Family Asclepiadaceae - milkweed|TI|MM;RC|662^14^0
10.2307/2996792|Pollen|D011058|2431|MH|||RC
10.2307/2996792|*Genitalia, Female|D005836|1926|MH|RtM via: female ovule|TI|MM|503^6^0
10.2307/2996792|*Fluorescence Microscopy|D008856|540|ET|Entry Term Replacement for "Microscopy, Fluorescence";RtM via: Microscopy, Fluorescence;Forced Non-Leaf Node Lookup:fluorescence microscopy|TI|MM;RC|376^23^0
10.2307/2484360|Bees|D001516|189506|CT|RtM via: Bombus bifarius;RtM via: Osmia tristella|TI|MM;RC|139^15^0;560^15^0
10.2307/2484360|Animals|D000818|189506|CT|RtM via: Bombus bifarius;CT Text Lookup: wing|TI|MM;RC|139^15^0;240^4^0
10.2307/2484360|*Pedicularis|D032262|188506|MH|RtM via: Pedicularis;RtM via: Pedicularis attollens;Forced Leaf Node Lookup:pedicularis;checkForceMH Boosted|TI|MM;RC|882^11^0;60^21^0
10.2307/2484360|*Plant Nectar|D057048|156631|MH|RtM via: Plant Nectar;Forced Leaf Node Lookup:nectars;checkForceMH Boosted|TI|MM;RC|589^6^0
10.2307/2484360|*Reproductive Isolation|D060047|35255|MH|RtM via: Reproductive Isolation;Forced Leaf Node Lookup:reproductive isolations|TI|MM;RC|856^22^0
10.2307/2484360|*Vibration|D014732|21470|MH|RtM via: Vibration - physical agent;Forced Leaf Node Lookup:vibrations|TI|MM;RC|245^9^0
10.2307/2484360|*Pollination|D054817|136401|MH|RtM via: Pollination|TI|MM;RC|636^10^0;693^11^0;516^10^0;418^10^0;259^9^0
10.2307/2484360|*Pollen|D011058|39657|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|600^6^0;386^6^0;230^6^0
10.2307/2484360|*Flowers|D035264|32328|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|484^7^0;49^7^0
10.2307/2484360|*Reproduction|D012098|4347|MH|RtM via: Reproduction|TI|MM;RC|112^12^0
10.2307/2484360|*Abdomen|D000005|1431|MH|RtM via: Abdomen;Forced Non-Leaf Node Lookup:abdomens|TI|MM|331^7^0
10.2307/2484756|Humans|D006801|46195513|CT|Forced Humans: man|TI|MM;RC
10.2307/2484756|*Edible Grain|D002523|3710875|MH|RtM via: Cereals;Forced Leaf Node Lookup:cereals;checkForceMH Boosted|TI|MM|678^7^0;499^5^0;41^7^0
10.2307/2484756|*Plant Dormancy|D057445|1878677|MH|RtM via: Seed Dormancy;Forced Leaf Node Lookup:seed dormancy|TI|MM;RC|472^13^0
10.2307/2484756|*Domestication|D000071278|1873370|MH|RtM via: Domestication;Forced Leaf Node Lookup:domestication|TI|MM;RC|712^13^0;645^12^0;28^12^0
10.2307/2484756|*Seed Dispersal|D058614|1868393|MH|RtM via: Seed Dispersal;Forced Leaf Node Lookup:seed dispersals|TI|MM;RC|609^14^0
10.2307/2484756|*Grasses|D006109|1862696|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM;RC|53^7^0
10.2307/2484756|*Inflorescence|D056626|1857431|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|560^14^0
10.2307/2484756|*Adaptation, Physiological|D000222|25125|MH|RtM via: Adaptation|TI|MM|351^10^0;220^7^0
10.2307/2484756|*Seeds|D012639|13464|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|320^5^0
10.2307/2484756|*Plant Weeds|D057685|6417|MH|RtM via: Plant Weeds|TI|MM|1078^5^0
10.2307/2484756|*Natural Selection|D012641|6138|ET|Entry Term Replacement for "Selection, Genetic";RtM via: Natural Selection;Forced Non-Leaf Node Lookup:natural selection|TI|MM;RC|743^17^0
10.2307/2484756|*Habitats|D017753|1545|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|378^7^0;253^8^0;192^8^0
10.2307/2484043|*Lycopersicon esculentum|D018551|4667|MH|RtM via: Lycopersicon esculentum;RtM via: Tomatoes;Forced Leaf Node Lookup:tomato;checkForceMH Boosted|TI|MM;RC|243^6^0
10.2307/2484043|Oklahoma|D009825|454|MH|RtM via: Oklahoma (geographic location);Forced Leaf Node Lookup:oklahoma|TI|MM|181^8^0
10.2307/2484043|*Bacteria|D001419|1470|MH|RtM via: Bacterial|TI|MM;RC|78^9^0
10.2307/2484043|*Phenols|D010636|150|MH|RtM via: Substance with phenol structure|TI|MM|34^8^0
10.2307/2996020|*Germination|D018525|26623|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM;RC|442^11^0
10.2307/2996020|*Seedlings|D036226|21320|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|636^9^0;219^9^0;116^9^0;1058^9^0;1312^9^0
10.2307/2996020|*Impatiens|D029069|11879|MH|RtM via: Impatiens balsamina;Forced Leaf Node Lookup:impatiens;checkForceMH Boosted|TI|MM;RC|146^9^1;158^9^1
10.2307/2996020|*Galactose|D005690|10559|MH|RtM via: galactose;Forced Leaf Node Lookup:galactose;checkForceMH Boosted|TI|MM|1302^9^0
10.2307/2996020|parinaric acid|C013641|9747|NM|RtM via: parinaric acid;Forced SCR Leaf Node Lookup:parinaric acid|TI|MM|324^14^0;522^14^0;711^14^0
10.2307/2996020|*Fatty Acid|D005227|9565|ET|Entry Term Replacement for "Fatty Acids";RtM via: Fatty Acids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fatty acid|TI|MM;RC|311^10^0
10.2307/2996020|*Sucrose|D013395|8806|MH|RtM via: sucrose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sucrose|TI|MM;RC|1021^7^0
10.2307/2996020|*Pentoses|D010429|7249|MH|RtM via: Pentoses;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pentoses|TI|MM|1110^7^0;1215^8^0
10.2307/2996020|*Sugars|D000073893|7249|MH|RtM via: Sugars;checkForceMH Boosted;Forced Non-Leaf Node Lookup:sugars|TI|MM|594^6^0;987^6^0
10.2307/2996020|*Glucose|D005947|7114|MH|RtM via: glucose;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glucose|TI|MM|1033^7^0
10.2307/2996020|*Glycoside|D006027|6490|ET|Entry Term Replacement for "Glycosides";RtM via: Glycosides;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glycosides|TI|MM|1094^9^0
10.2307/2996020|*Carbohydrates|D002241|15651|MH|RtM via: Carbohydrates;Forced Non-Leaf Node Lookup:carbohydrates|TI|MM;RC|397^12^0;363^13^0;49^12^0;742^13^0;912^13^0
10.2307/2996020|*Fatty Acids, Unsaturated|D005231|9746|HM|RtM via: parinaric acid|TI|MM|324^14^0
10.2307/2996020|*Seed|D012639|7980|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|1289^4^0;1343^4^0
10.2307/2996020|*Polysaccharides|D011134|5217|MH|RtM via: Polysaccharides;Forced Non-Leaf Node Lookup:polysaccharides|TI|MM;RC|1185^15^0
10.2307/2996020|*Chromatography|D002845|711|MH|RtM via: Chromatography;Forced Non-Leaf Node Lookup:chromatography|TI|MM|952^14^0
10.2307/2996649|*Publications|D011642|24|MH|RtM via: Scientific Publication|TI|MM|101^9^0
10.2307/2995994|Animals|D000818|34146|CT|Buffaloes;CT Treecode Lookup: B01.050.150.900.649.313.500 (Buffaloes)||MM;RC
10.2307/2995994|*Seedlings|D036226|23487|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|1797^8^0;1702^9^0;847^9^0;263^9^0;115^9^0
10.2307/2995994|*Biomass|D018533|18473|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomass|TI|MM;RC|1425^7^0;1221^7^0;823^7^0;381^7^0;577^7^0;999^7^0;1523^7^0;1906^7^0
10.2307/2995994|*Prosopis|D029862|15168|MH|RtM via: Prosopis glandulosa;Forced Leaf Node Lookup:mesquites;Forced Leaf Node Lookup:prosopis;checkForceMH Boosted|TI|MM|128^19^0;169^14^0;175^8^0
10.2307/2995994|*Soil|D012987|10739|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|1682^4^0
10.2307/2995994|*Buffaloes|D002020|8422|MH|Forced Leaf Node Lookup:buffalo;checkForceMH Boosted|TI|MM|224^7^0
10.2307/2995994|*Grassland|D065948|5920|MH|Forced Leaf Node Lookup:grasslands|TI|MM;RC|2026^10^0
10.2307/2995994|*Honey|D006722|4211|MH|Forced Leaf Node Lookup:honey|TI|MM|169^5^0
10.2307/2995994|*Plant|D010944|14172|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|1203^5^0;759^5^0;393^5^0
10.2307/2995994|*Plant Leaves|D018515|7419|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|313^6^0
10.2307/2995994|*Paspalum|D031781|4548|MH|RtM via: Paspalum conjugatum|TI|MM|224^13^0
10.2307/2995994|*Brachiaria|D035201|2703|MH|RtM via: Urochloa mutica|TI|MM|224^13^0
10.2307/2995994|Ecology|D004463|1000|MH|Forced Non-Leaf Node Lookup:interspecific competition||MM|39^25^0;1326^25^0;1548^25^0
10.2307/2483164|Animals|D000818|5596|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)|TI|MM
10.2307/2483164|*Equisetum|D020829|2660|MH|RtM via: Equisetum;Forced Leaf Node Lookup:equisetums;checkForceMH Boosted|TI|MM;RC|72^9^0
10.2307/2483164|*Xylem|D052584|4596|MH|RtM via: Xylem;Forced Non-Leaf Node Lookup:xylems|TI|MM;RC|807^5^0;736^5^0;631^5^0;146^5^0;681^5^0;788^5^0;836^5^0
10.2307/2483164|*Cyperaceae|D029785|828|MH|RtM via: Scirpoides|TI|MM|1216^10^0;1083^10^0
10.2307/2483164|*Phylogeny|D010802|492|MH|RtM via: Phylogenetic Analysis|TI|MM;RC|438^16^0
10.2307/2483164|*Coleoptera|D001517|369|MH|RtM via: Caridae|TI|MM|799^7^0;780^7^0;623^7^0
10.2307/2483164|*Dissection|D004210|69|MH|RtM via: Tissue Dissection;Forced Non-Leaf Node Lookup:dissections|TI|MM|580^10^0
10.2307/2483903|pyrite|C011342|3159|NM|RtM via: ferrous disulfide;Forced SCR Leaf Node Lookup:pyrite|TI|MM|452^6^0
10.2307/2483903|New York|D009518|751|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM;RC|327^8^0;148^8^0
10.2307/2483903|*Iron|D007501|3158|HM|RtM via: ferrous disulfide|TI|MM|452^6^0
10.2307/2483903|*Compounds, Iron|D058085|3009|ET|Entry Term Replacement for "Iron Compounds";RtM via: Iron Compounds, Unspecified;Forced Non-Leaf Node Lookup:iron compounds|TI|MM|429^14^0
10.2307/2483903|*Plant|D010944|2427|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|666^5^0
10.2307/2483903|*Sulfides|D013440|2345|HM|RtM via: ferrous disulfide|TI|MM|452^6^0
10.2307/2483903|*Probability|D011336|192|MH|RtM via: Probability;Forced Non-Leaf Node Lookup:probability|TI|MM|605^11^0
