biolenviprocria.117b.2.91|Total soil respiration (R
20728627|The general biology and seasonal ecology of eels from a riffle section of the lower reaches of Ireland's largest river system, the River Shannon, were investigated. Eels at this location occurred in high densities, had a slow growth rate and were predominantly male at maturation. Although they fed to some degree all year round, foraging activity of the eels was highest in the months of May to September, inclusive. Their diet, which was dominated by larval Ephemeroptera and Trichoptera, reflected the typical composition of the macroinvertebrate species assemblage of the riffle habitat sampled. Little evidence of piscivory or of the potential impact of the high density eel population on the salmonid stocks of this river section was recorded.
biolenviprocria.116b.3.1|The Water Framework Directive (WFD) has established the concept of ecological quality as a method to improve European Union (EU) surface and ground waters. Ecological quality status is based on the composition and abundance of different biological quality elements, including fish fauna, with the supporting elements of hydromorphology and chemical and physico-chemical parameters. Monitoring for fish for the WFD began in Ireland in 2007. In parallel, classification tools were developed or refined for each surface water type (lakes, rivers and transitional waters) and then intercalibrated in a cross-Europe exercise to ensure consistency across all EU states. The development and basic concepts of three WFD-compliant ecological classification tools for fish and the cross-Europe intercalibration exercise are described for rivers, lakes and transitional waters.
20500162|The United Nations Environment Programme (UNEP) has proposed methods and thematic areas for data collection that are appropriate to the evaluation of biodiversity. The Heritage Council has identified a paucity of data on habitats in Ireland. Within this context, we outline the Irish Forest Soils (IFS) element of the Forest Inventory and Planning System (FIPS) and present a detailed account of land-cover mapping, which is an important aspect of the project. The IFS project aims to produce a national thematic map of land cover using soft-copy photogrammetry, combined with satellite-image classification and field survey. This aspect of the IFS project generates data on land cover at different spatial and classification resolutions. We report on the progress made to date and present illustrative examples of the data sets. The UNEP proposals provide a useful framework within which to discuss the potential contribution of IFS data to the assessment of biodiversity.
20799779|Sciomyzid flies (Diptera) have potential as biological control agents of intermediate hosts of snail-borne trematode diseases and as bioindicators of habitat condition and quality (particularly hydrology and vegetation structure). Standard area sweep net sampling of these flies in a single vegetation zone across ten turloughs in summer 2004 highlighted the importance of vegetation structure (standing height and outstretched length) on the abundance and species richness of Sciomyzidae. A mark-recapture study was initiated in the summer of 2005 with the aim of quantifying absolute populations at one site where sciomyzid abundance was particularly high (Cregaclare South, Co. Galway). The total abundance of Sciomyzidae at the site was estimated at 3512 flies over an area of 600 square metres. This density (6.08 flies per square metre) is considerable higher than densities previously reported in two studies of a sciomyzid species in the USA, but is in line with estimates from the 2004 wider study. Specific markings were used in the 2005 mark-recapture study to monitor any adult fly movements within the habitat. Females in two out of the three univoltine species showed a positive correlation in the proportion of gravid individuals caught over time. Multivoltine species showed no such relationship. Additionally, multivariate procedures were used to investigate the effect of date of sampling and spatial position on sciomyzid assemblage composition.
42912441|The first Irish pollen diagram was published by Gunnar Erdtman in the Irish Naturalists' Journal in 1927. Since then over 475 pollen diagrams have been produced from locations throughout Ireland from a range of sites and time spans. The data from these pollen diagrams can be used to reconstruct vegetation dynamics over long timescales and so facilitate the investigation of climate change impacts, plant migration and the scale of human-induced landscape change. In this paper we collate the available data from Irish pollen sites into the Irish Pollen Site Database (IPOL) to illustrate their distribution and range. It is intended that this database will be a useful research resource for anyone investigating Irish vegetation history. The database also links to the European and global research agenda surrounding impacts of climate change on ecosystems and associated livelihoods. The IPOL database can be accessed online at www.ipol.ie.
20500104|The sediments of Ethiopian crater lakes have differentially sensitive palaeoclimate indicators that vary with time. Lake Tilo, in the south-central Rift Valley, shows a 10,000-year diatom and oxygen-isotope sequence that may be interpreted in terms of hydrochemical and hydrological responses to century-scale climate changes. The diatom record of lake salinity became sensitive to climate variability only after a sharp reduction in hydrothermal inflow at 5500 C yrs BP. In contrast, the oxygen isotope composition of the lake as recorded by authigenic calcite varied in response to early Holocene climatic change despite the hydrothermal influence and became especially sensitive to climate variability after hydrothermal flow diminished. Pollen data from the same core show savanna vegetation throughout the Holocene, indicating that strong rainfall seasonality has long been characteristic of the region. Deposits of aragonite varves in Lake Hora, a crater lake on the western margin of the Rift Valley, may reveal climate variability at annual to decadal timescales. Because the aragonite is precipitated during dry-season mixing, aragonite O values for individual white laminae reflect the composition of the entire lake integrated over its water-residence time of about ten years. Nevertheless, the high-resolution varve chronology presents an opportunity for calibrating the isotopic record against instrumental climate data, provided that the climatic controls on the isotopic composition of these groundwater-fed lakes are fully understood.
40716312|Aquatic and terrestrial invertebrate supply was measured across eight streams with contrasting riparian vegetation (grassland, open-canopy deciduous and closed-canopy deciduous) in County Mayo, Ireland, in 2002. Benthic invertebrates were collected from Surber samples, drifting aquatic and terrestrial invertebrates were collected in drift traps, aerial terrestrial invertebrates were collected on sticky traps and soil-surface-dwelling invertebrates were collected in pitfall traps. Season had greatest influence on aquatic invertebrate supply, whereas riparian vegetation type had a greater influence on terrestrial invertebrate supply to streams. Benthic invertebrate abundance tended to be lowest in summer while, in contrast, aquatic invertebrate drift was significantly higher. Terrestrial invertebrate drift was greatest in open-canopy streams. Aerial terrestrial invertebrate densities were greater in canopied streams in spring but were greater in grassland streams in summer. Biomass, however, was lowest in grassland streams in spring and summer. Soil-surface invertebrate abundances did not differ among riparian types, but canopied streams were associated with wingless groups while grassland streams were associated with winged groups that may be easily dislodged by wind and rain. !!c:/3b2win/remove. batRiparian influences on the abundance and composition of invertebrate supply to streams are discussed.
20500055|Stocks of the flat oyster (Ostrea edulis) have declined throughout their entire geographical range, principally due to anthropogenic overexploitation. Strangford Lough in north-east Ireland supported a productive flat oyster fishery until the population crashed at the turn of the century. A survey of flat oyster resources in Strangford Lough has revealed that a small population still exists, although the origin of the stock is not apparent. Spatfall on natural cultch occurred at low levels in 1997. Natural recruitment of oysters in Strangford Lough may be limited by the availability of suitable substratum. Although the hydrographic conditions in the north of Strangford Lough are ideal for oyster bed reclamation, any development programme would require a large-scale accumulation of broodstock and suitable substratum.
20500084|Concentrations of eleven organochlorine (OC) pesticides and ten individual polychlorinated biphenyls (PCB) in blubber and liver from twelve harbour porpoises Phocoena phocoena and eight common dolphins Delphinus delphis incidentally caught in fishing nets in Irish waters are presented. All animals sampled contained persistent pollutants. Female harbour porpoises had highest concentrations of OC pesticides in blubber and male common dolphins in liver. Harbour porpoises had higher mean concentrations of lindane (121-154ng g extractable lipid), dieldrin (116-121ng g) and -BHC (54-128ng g) but common dolphins had greater overall concentrations of DDT (9444-3998ng g). The predominant DDT metabolite was pp-DDE and for the chlordanes was t-nonachlor. Concentrations of ICES 7 PCB (liver-blubber) were similar in both species (4075-7999ng g in harbour porpoise and 4076-8945ng g in common dolphins). The sum of ICES 7 PCB in porpoises ranged from 3041ng g to 12,270ng g extractable lipid in the blubber of females and from 2911ng g to 10,429ng g in males; in common dolphins it ranged from 798ng g to 11,074ng g in the blubber of females and from 1555ng g to 15,883ng g in males. Contaminant levels were generally similar to those reported from Scotland but lower than reported from Scandinavia. Ratios of DDT to DDE suggest that there are limited new sources of DDT in the Irish marine environment.
40716311|We have analysed the trends in four long meteorological time series from Armagh Observatory and compared them with series available from other Irish sites. We find that although maximum and minimum temperatures have risen in line with global averages, minima have risen faster than maxima, thereby reducing the daily temperature range. The total number of hours of bright sunshine has fallen since 1885 at the four sites studied, which is consistent with both a rise in cloudiness and the fall in the daily temperature range. Over the past century, soil temperatures at both 30cm and 100cm depths have risen twice as fast as air temperature. Wavelet analysis has found significant cycles with periods of 78 years, 2023 years and 3033 years in the seasonal and annual meteorological series from Armagh. Some of these cycles are clearly linked to the North Atlantic Oscillation.
23033869|Peatlands in Ireland have been subject to peat extraction and drainage for many years, with detrimental effects on the flora and fauna of the ecosystem. Blanket bog has been listed for protection under Annex 1 of the EU habitats directive, making the conservation of intact bogs as well as the restoration of degraded sites a priority. In order to assess how effective a restoration measure this has been it is important to look at the biodiversity within the site. This study compared the macroinvertebrate and microcrustacean communities in open-water habitats of an intact and a restored mountain blanket bog in County Wicklow over a number of seasons. It also examined the hydrochemistry of both treatments. Hydrochemically there was no difference between the restored and intact pools. Neither was there any significant difference between the two in terms of taxon richness, abundance, community composition or structure. Season was found to significantly affect the structure of the invertebrate communities in both areas. It is not known how long it takes a peatland to return to its natural state. However, we can conclude that the restoration measures implemented fifteen years ago have provided an aquatic habitat similar to that of the intact site.
20500223|The systematics and nomenclature of European freshwater fishes, especially salmonids, are in a chaotic state. The implications of this chaos for the conservation of Irish biodiversity are outlined with reference to pollan and brown trout. The recognition of Irish pollan as a postglacial relict of the Alaskan-Siberian species Coregonus autumnalis makes it one of the most unique components of the entire Irish fauna, not just the fish fauna. Brown trout (Salmo spp) shows considerable genetic diversity that is not adequately represented by designation as a single species, and it is more appropriate to regard it as either a species complex or as separate designated species in particular areas. One example of brown trout diversity is the occurrence in Lough Melvin of three types of brown trout, known locally as gillaroo, sonaghen and ferox. These three types are genetically distinct, due to independent ancestry and natal homing to separate spawning areas, which means that minimal hybridisation has occurred since sympatry was established. They differ also in their morphology and ecology. These three types therefore merit designation as separate species: gillaroo as Salmo stomachicus; sonaghen as Salmo nigripinnis and ferox as Salmo ferox. Their conservation importance needs to be recognised, and practical conservation measures need to be put in place as a matter of urgency. Long-lived piscivorous ferox trout, which probably share a common ancestry with Melvin ferox, are found in many of the larger Irish lakes. Further work will undoubtedly reveal other unique populations. Many threats to brown trout diversity exist, including the introduction of non-native fish and invertebrate species, such as the zebra mussel, and stocking with hatchery-reared brown trout. Although the Melvin brown trout types can be designated as distinct species, conservation activities should ideally be based on local populations and communities rather than formally described taxa. This approach is limited by current European legislation but may be achievable through other facets of national fisheries and wildlife legislation.
23188063|A programme of afforestation has increased forest cover in Ireland from around 1% to more than 10% in less than a century. This study describes planting trends up to 2005 according to habitat and characterises the bird assemblages of the most commonly afforested habitat types. Most afforestation has taken place on peats, gleys [typical of wet grassland (WG) habitats] and well-drained mineral soils [typical of improved grassland (IG) habitats]. Since 1986, afforestation of gley sites increased dramatically, and afforestation rates on both peats and gleys were more than two times greater than on well-drained mineral soils. Bird diversity was assessed at 27 peatland, WG and IG sites. Bird density and species richness were positively related to shrub and tree cover, which was highest in WG and lowest in peatland sites. Indicator analysis identified several characteristic bird species of WG and peatland, but no characteristic species were identified for IG sites. The ways in which choice of afforestation habitat and subsequent management of plantations could affect bird diversity in Ireland are discussed. Afforestation is likely to benefit the birds most in areas of high-productivity grassland managed at high intensity for grazing and/or cutting, with relatively low levels of shrub cover.
20504501|The development of the size distribution curve in a juvenile population of Haliotis tuberculata L., reared under various stocking densities, was examined. The population exhibited a lognormal size distribution which, with time, became increasingly skewed. It is suggested that the increase in skewness with increasing density is a result of interference competition. The allometric relationship measured by the equilibrium constant derived from the regression of weight on length increased with increasing stocking density. The distribution of shell size among juvenile abalone was further assessed by comparing communally reared populations with singly raised individuals. The decrease in logarithmic variation in individuals grown communally and in isolation suggests that the variation of attained sizes of juveniles in a H. tuberculata population has a genetic basis.
20694854|To help understand and counteract future agronomic challenges to farmland biodiversity, it is essential to know how present farming practices have affected biodiversity on Irish farms. We present an overview of existing research data and conclusions, describing the impact of crop cultivation on biodiversity on Irish arable farms. An extensive literature review clearly indicates that peer-reviewed publications on research conducted in Ireland on this topic are quite scarce: just 21 papers investigating the effect of conventional crop cultivation on Irish biodiversity have been published within the past 30 years. Principally, these studies have concluded that conventional crop cultivation has had an adverse impact on biodiversity on Irish farms, with 15 of the 21 studies demonstrating negative trends for the taxa investigated. Compared to other EU states, the relative dearth of baseline data and absence of monitoring programmes designed to assess the specific impacts of crop cultivation on Irish biodiversity highlight the need to develop long-term research studies. With many new challenges facing Irish agriculture, a research programme must be initiated to measure current levels of biodiversity on arable land and to assess the main farming 'pressures' causing significant biodiversity loss or gains in these systems.
20499991|In order to identify some novel parameters for monitoring the environmental impact of industrial pollutants, we measured the hepatic phenylalanine hydroxylase activities of two species of feral rodent: the bank vole Clethrionomys glareolus and field mouse Apodemus sylvaticus trapped at two isolated rural areas (reference sites) and at a study site adjacent to a bauxite refinery where atmospheric sulphur dioxide levels are high. At the reference sites voles showed lower specific activity for the enzyme than mice. There was no difference in activities between mice from contaminated and reference sites. However, reference enzyme activities of both male and female voles were lower at the contaminated site, and males showed severe diminution of hepatic tetrahydrobiopterin-dependent phenylalanine hydroxylase (27% of reference values). Western blotting revealed normal abundance of phenylalanine hydroxylase protein, indicating loss of catalytic function. Loss of activity may be due to oxidative stress resulting from an accompanying deficiency in glutathione peroxidase activity, which for voles of both sexes at the contaminated site was half that of the references. The differences between mice and voles are discussed. These two enzymes in bank voles may provide useful bioindicators of the impact of industrial pollutants.
20694895|The EU Water Framework Directive (WFD) has provided the opportunity, virtually for the first time at a national scale, to characterise groundwater throughout the countrynot only groundwater in the productive aquifers but also groundwater in the less productive rocks that underlie a significant proportion of the country. The national monitoring networks for groundwater quality and levels have been updated, with emphasis placed on achieving networks that are representative both of hydrogeology (e.g. groundwater flow regime, vulnerability) and of pressures (e.g. livestock units, tillage, urban areas) on groundwater bodies. The interim status of the groundwater bodies has been determined, with 14% of the country classified as being of poor status; status provides a measure of the present situation and also a signpost to future requirements. Implementation of the WFD and the associated Groundwater Daughter Directive is providing the opportunity for a holistic, integrated approach to water management in Ireland, with groundwater as a critical element.
20728582|A map of the potential natural vegetation of Ireland is presented. The concept of potential natural vegetation is briefly outlined, followed by a consideration of the factors affecting its development: these include climate, soil type, vegetation history, land use and biotic factors. This is followed by a brief overview of present day vegetation. Literature sources and methods used in the compilation of the map precede the man body of the text, which consists of a description of twenty vegetation units. The vegetation units, which fall within six Formations or Formation Complexes, include nine forest units, five mire units, two heath units, two sand dune units and one each of salt marsh and polder units. Minor vegetation types are also considered briefly. In conclusion, the general distribution and character of Irish potential natural vegetation and its relationship with the rest of Europe is discussed.
20504495|The chough Pyrrhocorax pyrrhocorax L. is largely restricted to areas of low-input agricultural land in the UK and Ireland. In parts of their range their numbers have declined dramatically in recent years following changes in land use. In this study, the relative importance of eight major habitat types to the foraging requirements of five breeding pairs of choughs in County Donegal was investigated. For each pair the area within a defined home range was classified according to habitat type, and both habitat use and foraging behaviour were monitored. Invertebrate samples were also collected. Most pairs preferentially foraged in machair and maritime turf and avoided heather and improved pasture. Rough grass was also important, although to a lesser degree. Birds spent longer actively feeding in machair where a greater range of invertebrates were available. Our results are supportive of those obtained in previous studies and emphasise the importance of machair as a primary foraging habitat.
biolenviprocria.114B.3.163|Little is known about the structural composition of macrophytic communities in Irish small streams and headwaters, despite their important influence on the biological integrity of the river catchment as a whole. A subset of 103 small stream and headwater vegetation plots were extracted from the River Macrophyte Database (RMD) with the aim of identifying the vegetation groups that occur there, to describe their composition and determine whether these vegetation groups have affinities to British and European vegetation communities or are unique to Ireland. The RMD has been recently collated as part of a wider project that aims to construct a vegetation classification system for Irish rivers. Hierarchical Cluster Analysis and Non-metric Multidimensional Scaling (NMDS) were used to identify these species assemblages. Nine cluster groups, representing different vegetation assemblages were identified; five of these groups were of biological significance and these are described in detail. Of these, two groups were typical of slow-flowing calcareous waters of lowland regions, one group characteristic of fast-flowing calcareous streams and two were typical of acidic fast-flowing waters found more commonly at a higher altitude. A Canonical Correspondence Analysis (CCA) biplot showed the relationship between the species distribution and three chosen environmental factorsflow rate, conductivity and substrate type. These factors were found to have significant influence on macrophyte distribution, despite the small percentage of the variance explained during analysis. Additional factors that were not available for analysis, e.g. nutrient levels, that may explain a greater percentage of the variation in macrophyte distribution are discussed.
20728563|Proximity to the ocean can have both positive and negative effects for tree survival. Across the world relict forests that were once trans-continental in their distribution depend for their continued survival on coastal refugia. The tree species that dominate the cloud-zone forests of Macaronesia, the coastal redwoods of California, the Atlantic forests of Brazil, and the Podocarp forests of New Zealand's South Island are all examples of palaeoendemic species that once had a much wider distribution and appear to owe their survival to the particular environmental conditions provided by coastal sites and oceanic islands. By contrast, in the islands of the North Atlantic, oceanic conditions appear to limit tree regeneration and make forests vulnerable to human disturbance. Paradoxically, winter warmth appears to be harmful to trees in northern cool and moist oceanic conditions. There may be many reasons why the warm winters of maritime environments can be detrimental for woody species. Insect attack, pathogenicity and metabolic dysfunction with loss of frost hardiness and over-wintering carbohydrate reserves are all possibilities. Where long, mild winters are combined with wet soil conditions, metabolic dysfunction brought about by prolonged periods of oxygen deprivation can deplete root meristems of carbohydrate reserves that are essential for avoiding postanoxic injury when the soil profile once again becomes aerated in spring. In areas where the temperature remains below zero for the greater part of the winter, this is not a danger. However, in oceanic habitats there is always the risk, even in the far north, of temperatures rising above zero. Model predictions and field observations confirm the potential dangers of warm winters by suggesting that any significant degree of winter warming will cause a retreat of Pinus sylvestris and other woody species from oceanic regions at northern latitudes.
biolenviprocria.116b.3.1|In the Irish environment, anthropogenic pressures have led to widespread nutrient over-enrichment and eutrophication in surface waters. In the past 25 years European Directives have been implemented resulting in significant measures to improve water quality. Multi-decadal monitoring of nutrient inputs from rivers, and response parameters in estuarine and coastal systems, allows for a comparison of the effectiveness of these measures. In this study, trends in nutrient inputs from eighteen river systems and downstream estuarine parameters between 2000 and 2013 are explored. The results are placed in the context of changes in nutrient source load apportionment modelled through a newly developed GIS tool. Measured phosphorus inputs showed a significant reduction from fifteen catchments, with only four rivers showing a concurrent reduction in nitrogen. Significant Parallel improvements in estuarine water quality were evident in eight downstream systems, highlighting the complexity of response mechanisms. Load apportionment illustrated that the effectiveness of measures largely depended on factors such as land use and the proximity of large urban agglomerations to the estuary. The partitioning of nutrient sources could determine the nutrient landscape of the downstream estuary, with possible implications for the ecological health of the system. The results of the study will inform decision makers on the effectiveness of measures to date and the possible response of systems to future controls in the light of targets set out under the Water Framework Directive.
20499899|The in vitro sensitivity of 227 environmental bacterial isolates to the organophosphinate herbicide glufosinate (phosphinothricin) was investigated. Although 38 strains (17%) were wholly resistant to the compound at concentrations of up to 3mM, growth of 84 isolates (37%) was inhibited at concentrations of less than 1mM. Inhibition could be reversed by supplementation of the minimal growth medium with glutamine, whilst glufosinate-resistant mutants arose in almost all sensitive isolates at frequencies ranging from less than 10 to greater than 10. Such mutants were found to have glutamine synthetase levels on average ten times higher than the corresponding glufosinate-sensitive wild types. Evidence for the utilisation of glufosinate as the sole phosphorus source by a mixed bacterial population was obtained and its utilisation as a nitrogen source by a Gram-negative isolate was demonstrated.
20694890|The Water Framework Directive requires the selection of type-specific reference conditions. Typological classification has resulted in twelve river types based on geological and slope categories. Thirteen lake types have been defined using altitude, alkalinity, depth and area. However, a number of distinct river and lake types, such as those in karst areas, do not fall within the current classification. Challenges associated with the selection of reference sites and the limitations of the typological classification are discussed.
20500006|This study investigates the factors affecting mortality in the sawfly Pontania proxima (Tenthredinidae: Hymenoptera) that forms galls on the crack willow Salix fragilis inhabiting a site near the Royal Canal, north Dublin, Ireland. The ectoparasitoids Pnigalio nemati Westwood (Eulophidae), Pteromalus dolichurus Thomson (Pteromalidae), Scambus vesicarius Ratzeburg, Diaparsis stramineipes Brischke (Ichneumonidae), Bracon picticornis Wesmael, Bracon discoideus Wesmael (Braconidae), and the inquiline weevil Curculio salicivorus Paykull (Curculionidae: Coleoptera), caused an approximate 7% reduction in population size of Pontania proxima during the period April-November 1995. The overall survival rate, however, reached an average of 67.48% for the observed population. The low parasite-induced mortality may be due to an increase in the number of galls without eggs, which constituted an average of 16.45% of the surveyed population. These might act as 'decoys', attracting the parasitoids and predators away from the sawfly stages, and subsequently enhancing the insect's survival. In addition, it might be indicative of a particular defensive behaviour used by the sawfly larvae against these natural enemies. Evidence of larval avoidance of enemies was present in the population in the form of large numbers of clean galls, indicating continuous larval cleaning of the gall chamber and removal of any material that could be used as a cue by these enemies. The number of live larvae in the studied population was positively correlated with the number of clean galls.
20728618|Stable isotope analysis was used to examine dietary separation between sympatric Arctic char (Salvelinus alpinus (L.)) and brown trout (Salmo trutta) in Lough Muckross, Co. Kerry, and to test the applicability of the interactive segregation hypothesis to observed trophic relationships. Gut contents showed both species fed seasonally on similar prey. Stable isotopes indicated the long-term nature of the similarity in feeding relationships, with results providing no support for the interactive segregation hypothesis as used to explain dietary differences between the species in Scandinavian lakes. Feeding and capture patterns indicative of differences in habitat use were consistent with the MacArthur niche compression hypothesis, with differences in temperature preferences for both species providing a plausible mechanism for observed habitat separation.
41714041|Although now we have had many years of research completed on assessing the potential environmental impact of GM crops, concern remains over their potential impact on biodiversity in the rural landscape. In particular, issues have arisen in regards to the modification of crops with traits that could introgress into sexually compatible wild relatives. In contrast to wheat, barley, potato and maize, Brassica napus (oilseed rape) is the only commercial crop grown in Ireland at present with the potential to successfully transfer its DNA, via pollen-mediated gene flow, into inter-related weed species. This review details the species in question and by examining the relevant literature that relates to Irish agronomic conditions, demonstrates that gene flow is likely to occur, especially to an earlier used cultivar, Brassica rapa. However, the critical factor remains not that GM traits will flow from the commercial source but what might the consequences of said gene flow events be. This review indicates that the conferred trait in question (in this case, herbicide tolerance) can only impact on weed diversity in the presence of selecting herbicide action. In the absence of the herbicide, the GM traits will be lost from the wild species over time and will not confer any selective advantage that could facilitate population growth.
40716310|Increasingly large areas of Ireland's emerging cutaway peatlands are being flooded to create a linked network of lakes and wetlands designed for conservation and amenity purposes. The current study examined water quality in four artificial cutaway peatland lakes over three years (2001-2004), with particular focus on nutrient dynamics and the potential for phosphate to be regenerated from the organic phosphorus pool via biotic and abiotic processes. The cutaway lakes contrasted strongly in both their physico-chemical characteristics, trophic statuses and limiting nutrient states. Two of the alkaline mesotrophic study lakes were annually N-limited in summer, while the acidic eutrophichypertrophic study lake underwent a transition to more sustained N-limitation. Laboratory experiments indicated a considerable potential for soluble reactive phosphorus (SRP) to be regenerated from the dissolved organic phosphorus pool by phosphatase enzyme hydrolysis (mean 2.6g 1). UV-induced SRP regeneration was found to play a lesser role (mean 0.9g 1), particularly in the dystrophic study lake, while combined UV and enzymatic hydrolysis produced an intermediate response (mean 2.3g 1). With all three mechanisms, the quantity of SRP regenerated appeared to be independent of lake trophic status. The current data provide some evidence that the regeneration of SRP from the large organic phosphorus pool in cutaway peatland lakes can help maintain a constant supply of bioavailable phosphorus, potentially contributing to the prevalence of N-limiting conditions in these systems.
biolenviprocria.116b.3.1|As part of the national monitoring programme under the Water Framework Directive (WFD), seine, trawl and fyke net samples were taken of fish from thirteen locations in Tidal Freshwater Transitional Waters (TFTW) around Ireland. The results were highly variable, with some hauls completely empty while others returned high numbers of individuals, usually dominated by a single species. Thirty-four species were recorded, of which
20799782|William Henry Harvey's 'Travelling Sets' of Australian algae as held in his home institution of Trinity College Dublin and in the National Herbarium of Victoria at Melbourne are described and enumerated and the contents are documented for the first time. It is shown that the collection of almost 600 numbers contains numerous type specimens with some unpublished ancillary notes. The Trinity College Dublin collection is especially taxonomically important as it contains much holotype and lectotype material. However, as the specimens in this collection are never sent on loan, this paper provides the only coherent source of information on the material in the collection. It draws attention to the web-based resources available for study of this important collection, elucidates the status of these specimens and indicates where further detailed study of material is required.
20728595|Epiphytic lichens are extremely sensitive to environmental perturbations. This research work has adapted and applied recently developed methods of assessing epiphytic lichen species diversity to the Irish semi-natural acidophilous woodlands of Knocksink Wood Nature Reserve, Enniskerry, Co. Wicklow, Ireland. The study has focused on the differences that arise in relation to acidophilous oak versus ashhazel woodlands at Knocksink. The frequency of occurrence of lichen species on a defined portion of tree bark is used as an estimate of diversity and to evaluate the degree of environmental stress on the sensitive lichen community. Epiphytic lichens were investigated across the oak woodland (Blechno-Quercetum petraeae) and ashhazel woodland (Corylo-Fraxinetum) and a total of 30 lichen taxa were recorded on trunks and 11 on twigs and branches. Results showed that 26 epiphytic lichen taxa were found on the oak tree trunks in the oak woodland and 14 epiphytic lichen taxa on the ash tree trunks in the ashhazel woodland. The genera with the highest number of species were Opegrapha, Pertusaria and Arthonia for tree trunks and Parmelia, Hypogymnia for tree canopies. Lichen diversity (LD) results were interpreted in terms of environmental assessment and a relatively low environmental quality was detected. Further comparison to other broadleaf woodlands in Ireland revealed a poverty of epiphytic lichen flora at Knocksink. Oak trees in the oak woodland were recognized as richer in lichen flora on the trunk area than ash trees in ashhazel woodland. However, the epiphytic lichens in the ashhazel woodland showed a higher LD score than that in the oak woodland at Knocksink Wood. This research advances understanding of environment influences on sensitive epiphytic lichens and their abundance and distribution in Irish broadleaf woodlands.
20504488|The impact of burning and grazing on plant, ground beetle and spider species was investigated experimentally in stands of varying ages (burnt in 1982 and 1988 and unburnt plots) on an area of heather moorland in County Antrim, north-east Ireland. Burning initiated complex succession pathways which appear to have characteristic plant and invertebrate species associations. Removal of Calluna dominance initiated a period of high plant species diversity. Investigation of initial post-fire regeneration suggested that the frequency of occurrence of plant species changed over time and was affected by grazing. Grouping of species by the position of their renewal bud, i.e. their life-form, did not account for all observed interspecific variation. The dominant species after burning were Eriophorum vaginatum, E. angustifolium and Vaccinium myrtillus. Studies of vegetation canopy structure showed that, even with the exclusion of the main grazing herbivores, Calluna will not re-establish itself as the dominant species until several years after burning. The ground beetle Nebria salina was trapped more often on plots burnt in 1988 than on unburnt plots or those burnt in 1982. In comparison, Pterostichus niger and Carabus granulatus were trapped in greater numbers on plots burnt in 1982 than on unburnt plots and plots burnt in 1988. The large species Carabus problematicus and Carabus glabratus were trapped in greater numbers on unburnt plots. Similarly, more of the spiders Ceratinella brevipes and Centromerita concinna were trapped on the plots burnt in 1982. In comparison, Lepthyphantes zimmermanni and Robertus lividus were trapped more often on unburnt plots than on plots burnt in 1982 and 1988. Results are discussed with respect to the importance of the continuation of traditional heathland management practices.
20799769|We report the finding of twenty-two original Darwin letters among the papers of Alexander Goodman More kept in the library of the Royal Irish Academy, Dawson Street, in Dublin. The existence of the letters and their contents were known as handwritten copies, or as transcripts published more than a hundred years ago, but the precise location of the originals was unknown. The letters were found in their envelopes with stamps and postmarks. They deal with orchids, mostly Ophrys apifera and Epipactis palustris. Additional background information is provided.
20499997|Following general fish surveys in 1991 and 1992, which failed to find any of the endemic pollan (Coregonus autumnalis pollan Thompson) in Lower Lough Erne, an extensive targeted study using an EY-200 echosounder was carried out to prove the continued existence and determine the status of this population. Twenty-one specimens were obtained by deep-water gill netting from 1992 to 1995. Data from these fish are discussed and compared with the limited previous data available on Lough Erne pollan and with data on other coregonid fish, and possible reasons for a population decline in recent years are discussed.
20499963|In Ireland the mountain hare Lepus timidus hibernicus Bell and rabbit Oryctolagus cuniculus L. are sympatric over most of their range. This paper presents information on the diet of the two species from a coastal grassland ecosystem. The diets of both lagomorphs were very similar in both the types of plants consumed and the relative rankings of these plants in the diets. Thirty-six species of plants were identified in the faeces of hares, 38 in those of the rabbit. Grasses were the most frequent species identified, constituting 85% of the annual rabbit diet and 94% of the annual hare diet. Despite this trophic overlap it is not believed that, under normal circumstances, either lagomorph will strongly compete with the other in areas where they are sympatric owing to differences in their ranging behaviour.
20500007|This paper presents the first checklist of helminth parasite and ectoparasitic crustacean species recorded from freshwater fish that is exclusive to Ireland. The parasite species list is arranged alphabetically by phylum and class, as appropriate, and comprises information on the parasite species name, host, location of host capture, and author and date of published record. The host list consists of all parasite species listed by host species. The significance of the occurrence (or non-occurrence) of certain parasite species or groups in Ireland is discussed and contrasted with those described from Britain. Relationships between fish range and parasite species richness and between sampling effort and species richness are presented. The relevance of these observations for further research on Irish freshwater fish helminths is also highlighted.
