10.2307/3241482|Thirty-one species of thallose liverworts are recorded from Dalhousie, northwestern Himalayas.
10.2307/3244386|Pterygoneurum lamellatum (Lindb.) Jur. is reported new to the Greenland bryoflora based on two finds from west central Greenland. The specimens were found 350 km apart, both on frost boils of clay on raised marine sediments of Holocene age. These findings support the thesis that openland has existed in West Greenland during one or more glaciations.
10.2307/3244384|Bryophytes and lichens associated with soil crusts were sampled over 500,000 km
20110832|Orthostichella Mll. Hal. is a genus of nine species (O. capillicaulis, O. hexasticha, O. longinervis, O. muelleri, O. pachygastrella, O. pandurifolia, O. rigida, O. versicolor and O. welwitschii) found only in tropical and subtropical regions of the New World and Africa. One species (O. hexasticha) is restricted to the Caribbean, one (O. pachygastrella) is found only in the continental regions of the New World, two (O. capillicaulis and O. pandurifolia) are restricted to continental Africa, and one (O. longinervis) is found only in Madagascar and the Mascarene Islands. The other species occur in both Africa and the New World. Orthostichella is predominantly epiphytic and often grows in dense, pendent masses. It has a complex morphology with creeping primary stems or stolons, and erect or pendent, stipitate or evenly foliose secondary stems that are irregularly branched. It lacks a stem central strand and its axillary hairs are usually reddish throughout. Its branches often end in filiform attenuations or stolons. The stolons, stems and branches can abruptly transform from one structure to another, or they can seamlessly intergrade one into another. The leaves are often spirally ranked, they have elongate, smooth, firm-walled leaf cells and weakly developed alar cells. The costae in Orthostichella are wildly variable. In some species most leaves are ecostate, however, some leaves can be found with double or single costae. In other species most leaves have a single or double costa, but ecostate leaves can also be found. In one species (O. longinervis) the leaves always have long, single, subpercurrent costae. Orthostichella has elongate-flexuose, roughened setae, ovoid to short-cylindrical capsules, long-rostrate opercula and mostly hairy, cucullate calyptrae. The Orthostichella peristome is diplolepideous and reduced. Exostomes and endostomes are yellowish white and nearly the same length. The more or less linear exostome teeth are lightly, horizontally striate on the dorsal (outer) surface at base. The endostome has a low basal membrane with filamentous, narrowly perforate segments and cilia are usually absent. Orthostichella appears best placed in the Neckeraceae by virtue of its neckeroid peristome, creeping stolons, stipitate stems with differentiated stipe leaves, foliose pseudoparaphyllia and leaves with weakly developed alar cells. Within the Neckeraceae Orthostichella seems best placed near Porotrichum, but the genus appears isolated by virtue of its non-complanate leaves that are often arranged in spiral rows. Additional new combinations include: Orthostichidium quadrangulare (Schwgr.) n. comb., Orthostichidium pentastichum (Brid.) n. comb. and Hildebrantiella phleoides (Desv. ex Brid.) n. comb.
3244130|We document the effect of Mexico City on the epiphytic lichens of Abies religiosa by comparing the communities occurring at Desierto de los Leones, a protected area near to the city, with those at El Chico National Park, a location 100 km upwind (or crosswind) from the city. The first community had 47% fewer species, 62% less lichen cover, and a species abundance pattern that revealed a highly disturbed community. The differences between these communities were greater at the trunk base than at the height of two m, and much stronger when evaluated from a species to species perspective. Among a variety of factors, site air quality may account for many of the observed differences.
10.2307/3241870|The moss Trichostomum crispulum var. cucullatum is reported as new to the United States from the Edwards Plateau of Texas. It may be distinguished from other North American taxa of Trichostomum and Weissia by its broad, rounded and cucullate leaf tips.
3244720|We studied bryophyte species composition on five tree species (Erica scoparia, Laurus azorica, Myrica faya, Ilex canariensis, and I. Perado) of the laurel forest on Tenerife in order to determine the dominant factors influencing bryophyte community structure. Most of the 37 bryophyte species we found (24 liverworts and 11 mosses) are facultative epiphytes; many were found on several tree species, while five occurred on all tree species. DCA and CCA indicated that bryophyte species composition is significantly related to tree species identity. For each tree species, bark characteristics, plot exposure (windward and leeward to the prevailing trade winds), height (50 or 130 cm), tree size, and uprightness have differing relationships to bryophyte species composition. Bryophyte growth forms appeared to relate to the moisture conditions of the tree bark.
10.2307/3243329| The moss Hyophila involuta (Hook.) Jaeg. was discovered on the calcareous walls of most of the locks in the Rideau Canal system in southeastern Ontario. The species, known in Canada only from Ontario, apparently has been spread northwards in the water and on the boats travelling through the locks from more southern localities in the United States to its northernmost Ontario locality of 4525'N latitude. 
10.2307/3243245|Gemmalings of the thallose liverwort Marchantia polymorpha L. were cultivated in liquid nutrient medium in the presence of varying concentrations and chemical forms of nickel. Initial experiments using NiSO
20485818|Letharia gracilis Kroken is validated as a new species of lichenized fungi from California and southern Oregon. Previously lumped under L. columbiana, but recognized as a distinct lineage by molecular work of Kroken and Taylor, L. gracilis is distinguished from L. columbiana by its sparse branching, slender, relatively smooth, drooping branches and distinct ITS DNA sequences.
10.2307/3244363|A new technique is reported for examining anatomical features of the different layers of the capsule wall in hepatics. This technique involves treating the capsule with a pectinase preparation to separate the layers, followed by clearing and staining to enhance detail of the cell wall architecture. The potential taxonomic value of capsule wall characters for some New Zealand Frullania species is discussed as a case study. Characters of particular significance include the morphology of cell wall thickenings in both the internal and epidermal layers. The possible chemical components present in the cell wall thickenings of the capsule wall layers are also discussed.
20110878|The new lichen species Lecanora crassithallina, characterized by a thick, areolate thallus and abundant macropycnidia with short, bacilliform macroconidia, is described from northern Mexico. The new species belongs to the Lecanora saligna group and is most related to L. albellula, L. coniferarum and L. saligna.
20061095|Using data from randomly-selected surveys, historic locations, and 'purposive' surveys of likely habitats, fifteen rare epiphytic lichens (Bryoria pseudocapillaris, B. spiralifera, B. subcana, Erioderma sorediatum, Heterodermia leucomela, Hypotrachyna revoluta, Leioderma sorediatum, Leptogium brebissonii, Niebla cephalota, Pannaria rubiginosa, Pseudocyphellaria perpetua, Pyrrhospora quernea, Ramalina pollinaria, Teloschistes flavicans, and Usnea hesperina) were assessed for frequency and distribution on publicly owned lands along the immediate Pacific coast from the Canadian border south to San Francisco and for association with late seral forests and federally protected lands. A total of 178 sites of 0.04 ha each were surveyed in 2000 and 2001; 129 were randomly selected. The major distribution patterns were CA and OR coastlines  Puget Sound, OR and WA coastlines, and OR and WA Coast and western Cascades Ranges, following major regional climatic gradients. Frequency varied considerably by state, all lichens except P. quernea were rare in at least one state (no detections among randomly selected survey sites). Odds ratio tests provided suggestive evidence that most populations of U. hesperina are in forests &gt 80 years old, and good evidence that forest age is not an important predictor of occurrence for R. pollinaria and H. leucomela. Ten of the target species were associated with  two federally protected land allocations, and none were primarily found on protected allocations. Therefore actions on unprotected state and federal lands in the 21st century will influence persistence. Target populations for conservation are discussed.
10.2307/3244225|The taxonomy, distribution, and ecology of nineteen species in five calicioid genera from the United States and Canada are described, and keys are presented to the North American species of Chaenotheca, Chaenothecopsis, Phaeocalicium, Sclerophora, and Stenocybe. Chaenothecopsis edbergii Selva & Tibell, C. exilis Tibell, Phaeocalicium matthewsianum Selva & Tibell, and Stenocybe flexuosa Selva & Tibell are described as new. The new combination Phaeocalicium minutissimum (Merrill) Selva is proposed, with the selection of a neotype. Chaenotheca hygrophila, C. servitii, C. sphaerocephala, Chaenothecopsis asperopoda, C. haematopus, C. irregularis, C. ochroleuca, C. tasmanica, Phaeocalicium betulinum, and P. flabelliforme are reported as new to the North American mycota.
10.2307/3243639| Rinodina stictica Sheard & Tnsberg is described as new from Washington State, U.S.A., where it is epiphytic on deciduous trees in coastal lowlands. The species is soraliate and possesses features unusual for Rinodina such as stictic acid, and callispora-like locules in developing, immature spores, which belong to the pachysporaria-type at maturity. 
40732285|Morphological features of three species of Brotherella Loeske ex M. Fleisch, based on their type specimens are found to be inconsistent with their current taxonomic placements. Brotherella dixonii Herzog and Brotherella pallida (Renauld & Cardot) M. Fleisch, are transferred to Ectropothecium and Wijkia as E. dixonii (Herzog) Y. Jia & S. He comb. nov. and W. pallida (Renauld & Cardot) Y. Jia & S. He comb, nov., respectively. Brotherella harveyana (Mitt.) Dixon is synonymized with Pylaisiadelpha tenuirostris (Bruch & Schimp.) W. R. Buck.
20485756|"Critical load" and "critical level" (the deposition or concentration, respectively, of atmospheric pollutants above which negative ecosystem effects occur) concepts are reviewed for the North American lichenological community with the objective of stimulating interest and participation in this emerging field of research. We focus on how regional, lichen-based critical loads for nitrogen-, sulfur- and metal-containing pollutants could be developed for various terrestrial ecosystems in the U.S. utilizing existing data. Specifically we provide examples of how lichen community and element concentration responses to air pollution can be linked with measured or modeled estimates of depositional air pollutants. Preliminary critical loads of 0.26-0.33 kg ha yr for deposition of inorganic N in fine particulates and critical levels of 0.044-0.055 mg L for wet deposition of ammonium ions are suggested for coniferous forests of western Oregon and Washington. These correspond to initial declines in presence and abundance of sensitive species and a % N concentration of 0.55-0.61 in Platismatia glauca. Indicator species distribution and abundance as well as physiological, morphological, growth or reproduction responses can also be used to set critical loads. Further research needs are identified.
10.2307/3240657| Thirty-one species, two varieties, and one form are described from Tugtilik, Greenland, and the status of Alectoria nigricans f. subchalybeiformis Rs. is discussed. 
10.2307/3241410|The Geocalycacae include, among other generic complexes, a complex of genera with well-developed but laterally compressed perianths; the third (ventral) face is strongly reduced, so that the perianth appears bilabiate. Heretofore known in this complex are Leptoscyphus Mitt. and Pedinophyllopsis Schust. & Inoue. An additional genus, Evansianthus, with E. georgiensis (Gott.) Schust. & Engel is described which is distinct from all other groups of Geocalycaceae known in developing dorsal, Andrewsianthus-type branching.
10.2307/3240798|The essentials of the procedures described are the use of serum bottle stoppers on culture vessels, hypodermic syringes for through-the-stopper inoculations, acid-treated sand as a substratum, and a quantitative dilution method for the addition of chemical substances. Some of the advantages of each aspect of the procedures are pointed out. The adaptability of some of the methods for the culture of other organisms is suggested.
10.2307/3241310|Based on the morphology of the sporophyte and the coelocaule observed in recent collections of Pleurocladopsis, relationship to the Schistochilaceae is shown, rather than to the Herbertaceae as was formerly thought.
10.2307/3241440|Forty-one taxa of pleurocarpous mosses are now known from Afghanistan, and are listed with their world and Afghanistan distribution; a key to the taxa is given. Brachythecium collinum, Calliergon turgescens, Drepanocladus aduncus, and Hypnum revolutum are reported for the first time from Afghanistan. Pleurocarpous mosses do not occur in Afghanistan in regions receiving less than 400 mm/yr. precipitation. The bryogeographic affinities of the pleurocarpous mosses of Afghanistan are discussed. Almost 50% of the species represent the northern hemisphere element of the moss flora.
3244940|Six species of saxicolous Buellia s.l. containing xanthones are reported from the Greater Sonoran Desert Region: Buellia concinna, B. halonia, B. mamillana, B. prospersa, B. subaethalea, and B. trachyspora. All species have a pale yellow to greenish yellow thallus characterized by the presence of xanthones. Nevertheless, they all show distinct characters and may consequently only be distantly related. Buellia concinna, a taxon previously reported only from Europe, is the valid name for the North American B. semitensis. Buellia subaethalea, first described by Bouly de Lesdain, but subsequently largely ignored, is reported for the first time from the region. Buellia trachyspora, a subtropical species barely reaching the Sonoran Region, is distinguished from B. mamillana.
10.2307/3243651| Forty-five species of lichens are reported as new to Utah. Eleven misidentifications and one misspelling from a previous report are corrected. Significant range extensions include Bacidia carneoalbida (Mll. Arg.) Coppins, Catapyrenium tuckermanii (Rav. ex Mont.) Thomson, Cladonia umbricola Tnsb. & Ahti, and Psoroma tenue Henssen var. borealis Henssen. 
10.2307/3241203|The distribution and succession of corticolous lichens on black spruce in an unburned area near Cochrane, Ontario, were investigated. The frequencies of the epiphytes in point samples are statistically dependent on the following microclimatic indices: aspect, height, and distance to the nearest tree in the sampled quadrant. Differences in the lichen flora between whole trees of different absolute age are attributable to their different heights, but there were distinct differences in the flora of bark surfaces of different ages, indicating an apparent succession. Regressions of the frequencies of Alectoria nadvornikiana and Parmelia physodes on the microclimatic indices were performed separately for surfaces in a number of age classes. The resulting regression coefficients were plotted against time, revealing several sharp changes in the rate of corticolous succession. It was found that these changes could be explained by tree morphology, i.e. changes from crown to bole to base, and by presumed microclimatic gradients correlated with tree morphology. Because the observed changes in epiphytic vegetation are caused by growth of the host tree and associated with environmental variation, and not by the activities of the plants themselves, it was concluded that corticolous succession is not a true succession as defined by Clements.
10.2307/3242554|The exact sequence of publication of the names of Sullivant's new Musci and Hepaticae between the years 1845 and 1875 has been determined, chiefly by the use of manuscript letters from Sullivant to Asa Gray. At present many of the names are cited to different sources as a consequence of Sullivant's publication of the same new taxa in several works, such as an exsiccata and its text, a journal or other collective volume and its preprint or reprint, as well as of questionable dates on title pages.
10.2307/3242959|Re-examination of some Formosan moss collections deposited at the Taiwan Museum (TAIM) was made. Ctenidium molluscum (Hedw.) Mitt., Fleischerobryum macrophyllum Broth. and Rhynchostegium rubro-carinatum Sak. were recognized as new additions to the flora of Taiwan.
10.2307/3242048|Tenuiorin, methyl gyrophorate (pseudocyphellarin) and methyl evernate were isolated from Lobaria linita. In addition, evidence (two-directional thin layer chromatography) was obtained for the presence of methyl lecanorate and methyl orsellinate, as well as of their respective parent compounds 4-0-methylgyrophoric acid, gyrophoric acid, evernic acid, lecanoric acid and orsellinic acid in the same lichen.
3244336| Many studies have shown that certain species of bryophytes and lichens require old-growth forests for their survival. The objective of this study is to evaluate the composition and diversity of epiphytic lichen and bryophyte communities on trembling aspen (Populus tremuloides), as a function of the time elapsed since stand initiation. The study was carried out in the forests surrounding Lake Duparquet, in the southwestern part of Qubec's boreal forest. Stands representing different post-fire successional stages, corresponding to 278, 125, 79, and 51 yr since the last fire were selected. For each stand age, 10 trees from four different sites were sampled. A total of 75 species of non-vascular plants were found, including 34 species of mosses, seven species of liverworts, and 34 species of lichens. More species were observed in the 278-yr old stand, which also contained a greater number of exclusive species. In a correspondence analysis performed on species presence/absence data, axes one and two were correlated with distance from the closest unburnt area and time since fire. For each tree, species richness, diversity, and cover indices were calculated and compared for the different stand ages. These indices tended to be higher in the 79-yr old stand and lower in the 51-yr old stand. By using mixed log-linear models, we found that the frequency of occurrence of some species was linked to the time since fire, and others species to tree age. Old-growth forests are important to bryophytes and lichens since they have a greater number of species and some species are found exclusively or more frequently in old-growth forests. Furthermore, each stand age has some species associated with it. Therefore, forest management practices should be adopted to maintain all successional stages present in the natural forest landscape in order to preserve the diversity of non-vascular plants. 
10.2307/3241183|The chromosome numbers of four species of mosses from eastern India are reported, two of them for the first time: Trematodon conformis (n = 14) and Philonotis lutea (n = 6). The numbers of Isopterygium textori (n = 12) and Pogonatum contortum (n = 7) are also given.
10.2307/3242274| Besides the amides, glutamine and asparagine, the amino acids glutamic acid, aspartic acid, alanine, -aminobutyric acid, arginine and taurine predominate in the lichen species Pseudevernia furfuracea (L.) Zopf, Platismatia glauca (L.) Culb. et Culb. and Hypogymnia physodes (L.) Nyl. Among these amino acids, glutamic acid plays the most important role. Glutamine primarily seems to function as a nitrogen storage compound, as its concentration exceeds the one of asparagine by far. The amounts of the bound di- and polyamines putrescine, cadaverine, agmatine and spermidine are of the same order as those of the amino acids, while free di- and polyamines could not be detected in the present case. The glutamate dehydrogenase (GDH) of the lichen Pseudevernia furfuracea shows a strict dependence on the coenzyme NADP(H). The ratio of the reductive amination:oxydative deamination is 7.5:1. The enzymes glutamic oxaloacetic transaminase (GOT) and glutamic pyruvate transaminase (GPT) are of less importance in the lichen species investigated here, the GPT showing a somewhat higher activity than the GOT. 
10.2307/3241646|The author citation for Calymperes venezuelanum and the taxonomic status of three species of Fissidens are discussed.
10.2307/3241803|Ten isoenzymes of malate dehydrogenase were present in whole-cell extracts of the protonemal stage of the moss Funaria hygrometrica Hedw. They were isolated via disc gel electrophoresis and column chromatography. These isoenzymes could be separated only partially via fractionation of the cells into particulate and supernatant fractions. Three isoenzymes of malate dehydrogenase were found to utilize NADP as the cofactor.
20110920|We sought to assess impacts of fire and grazing by reindeer and caribou on lichen communities in northwestern Alaska. Macrolichen abundance was estimated from 45, 0.38-ha plots. Eighteen of those plots, scattered throughout the southern Seward Peninsula, represented two levels of grazing, heavy and light. We found lightly grazed areas had taller lichens and greater total lichen cover than heavily grazed sites. Minor yet statistically significant changes in community structure were also observed between heavily and lightly grazed sites. However, lichen species richness did not differ by grazing status. Overall, average lichen height appears to be the best indication of grazing intensity on the Seward Peninsula. Apart from the 18 grazing plots, 8 additional plots were established in previously burned sites to represent reference conditions with a known time since disturbance date. These plots provided a framework of vegetation recovery from severe, recent disturbance towards pre-disturbance conditions. Patterns in lichen, bryophyte and vascular plant characteristics from these fire plots in combination with our findings from the grazing plots were then used to interpret the disturbance history of new plots. These new plots comprise the remaining 19 plots (of the total 45) that were sampled within the Bering Land Bridge National Preserve (BELA). We believe the location of BELA, regardless of disturbance history, is more favorable to vascular plants and Sphagnum, and lichens grow taller in response, compared to areas on the Seward Peninsula further south. In addition, lower cover in the Preserve may be attributed to site or climatic differences rather than grazing.
41289812|Eight Syntrichia species are reported for the first time from several South American countries with distribution and taxonomie notes. Syntrichia andicola, S. breviseta, S. napoana, S. percarnosa and S. robusta are reported for the first time from Chile, Bolivia, Peru, Venezuela and Ecuador, respectively. Syntrichia lacerifolia is reported for the first time from Brazil, Colombia and Ecuador. Syntrichia amphidiacea and S. scabrinervis are added to the bryophyte flora of Argentina. Three new synonyms are proposed: Syntrichia gromschii, S. campestris and S. scabrella for S. serrulata, S. princeps and S. flagellaris, respectively. A new combination is proposed: S. berthoana, to accommodate one species previously assigned to Tortula. Lectotypes for Tortula campestris and T. scabrella currently included in Syntrichia are designated here. Syntrichia scabrinervis is excluded from the moss flora of Bolivia.
10.2307/3242239|Respiration rates of Usnea hirta (L.) Wigg. and Parmelia chlorochroa Tuck. exposed in the field to SO
3244938|This study examines water-formed saxicolous lichen trimlines on bedrock outcrops in the Peace-Athabasca Delta, northern Alberta, Canada. We determined the lichen species growing on rock above and below lichen trimlines; described the trimlines with regard to height above water, location, elevation above sea level, and physical factors; and dated the trimlines through lichenometry. Trimlines were found at open, semi-restricted, and perched basins at a mean elevation of 210.85 m asl; 14 of 16 trimline elevations were between 210.26 and 210.92. Mean trimline height above current water was 155 cm (range 40 to 230 cm). The all-lichen species diameter growth rate mean was 0.416 mm yr
10.2307/3244533|World-wide, three species of Calymperes and two of Syrrhopodon (Musci, Calymperaceae) share the foliar feature of a pseudopetiole. This structure, which is unique among mosses, is an interval of naked costa connecting the summit of the leaf base (with its water-retaining cancellinae) to the proximal end of the expanded photosynthetic upper lamina. The primary function of the pseudopetiole appears to be that it elevates and exposes the photosynthetic portion of the leaf above the moss turf. In two of these mosses the pseudopetioles form a cage-like system between the leaf bases and the expanded portions of the laminae which functions to retain water for brief periods.
10.2307/3241025|Of the 113 species and varieties of bryophytes reported here from northwestern Manitoba, 26 are new to the flora of the province.
10.2307/3241671|The marsupium of Calypogeia trichomanis (L.) Corda originates as an archegonial branch, ventrally, from a prostrate vegetative stem. It early curves laterally, due to meristematic activity on one side of the branch. Further refinement and activity of this meristem cause a cuplike sheath (the marsupium) to rise about the archegonial receptacle. The elongating marsupium burrows into the substrate, carrying the enclosed archegonia and subsequent sporophyte with it. Initiation of the eccentric growth of the branch and establishment of the marsupial form occur before fertilization. The architecture of the meristematic tissue and of the marsupial form is unlike that of any other structure in the plant body, and is indicative of the diverse potentialities of the plant's genotype.
10.2307/3241556|The arctic American species, Fissidens arcticus Bryhn, is redescribed, and the sporophyte is described and illustrated for the first time. This species is characterized by weakly bordered leaves, but with a distinct inframarginal border along the vaginant lamina. Therefore, F. arcticus is transferred from section Semilimbidium to section Bryoidium. A lectotype from Ellesmere Island is chosen, and every specimen known to us is cited and mapped.
10.2307/3243005|Thirty-five species of mosses are newly reported for Montana, North Dakota, the Black Hills of South Dakota and Wyoming, Nebraska, and Kansas. Further records representing significant range extensions are also included.
10.2307/3244372|A floristic study of the epiphytic bryophytes was carried out in six forest types of the lowland rainforest in the state of Rio de Janeiro, southeastern Brazil. Collecting included the forest canopy. Seventy-five species of bryophytes were found (39 mosses and 36 hepatics). Comparisons of species richness, life forms, and substrate among the six types revealed that 1) highest species richness was found in the Mature Secondary Hillside Rainforest (43 species), the lowest diversity in the Highly Degraded Hillside Rainforest (6 species) and Hillside Secondary Rainforest (5 species); 2) the most important families were Lejeuneaceae (23 species, 30%) and Sematophyllaceae (7 species, 10%); 3) 45% of the bryophyte species are exclusive to the canopy; 4) six life forms were found, the most common being the mat (48%); 5) impact of forest destruction-shade epiphytes are more affected than sun epiphytes; after 20-45 years of succession many bryophyte species had not yet returned and after 80 years of succession the bryoflora is similar to that of primary forest; and 6) three species are new records to Brazil-Lejeunea minutiloba, Lophocolea granatensis, and Metalejeunea cucullata.
41289793|In bryophytes, rates of net photosynthesis vary among populations. How this variation is shaped by shoot biochemical or structural traits has not been established, yet would be essential to develop useful models of forest floor function in the boreal zone. The objectives of this study were to characterize functional trait relationships in the widespread feathermoss Pleurozium schreberi, to develop an empirical model to predict net photosynthesis in this species, and to compare the performance of a surface model that incorporates the shoot system's average properties with a canopy model that accounts for the vertical distribution of light and shoot area. Maximal rates of net photosynthesis (A max ) and dark respiration (R d ) were measured (n=25) using gas exchange at optimal water contents. Shoot system concentrations of chlorophyll (a+b), carotenoids and nitrogen were measured in addition to the water content, surface roughness (L r ), canopy height, and the vertical distribution of shoot area and light within the canopy. The light extinction coefficient and transmission parameters were estimated from the latter. A max ranged from 2.20 to 7.78 mol COms with a mean value of 4.97. A linear multiple regression model using shoot area index (SAI) and chlorophyll concentration explained 55% of variation in A max , and no other factors associated significantly with the residuals. The Monsi-Saeki canopy model was also fit to the data, which explained only 33% of variation in A max . Residuals were related to L r , and the full model improved to explain 53% of the variation. Given senescence and acclimation of shoots within the canopy, a more refined model will be necessary to add predictive power to the canopy model. Unlike vascular plants, the canopy models are not likely to be improved by considering the allocation of nitrogen because it does not associate with photosynthetic characteristics as it does in vascular plant leaves.
10.2307/3244072|Maintaining numbers of aseptic cultures of bryophytes by serial transfer not only consumes supplies and labor but can result in loss of vigor or the appearance of other abnormalities in long-term cultures. Cryopreservation of cultures solves the problems associated with long-term culture, and is of particular importance for cultures or mutant cell lines incapable of making spores or where spores are short-lived. Dramatic simplification of a published protocol for moss cryopreservation is accomplished by preconditioning cultures for 3-4 days in medium supplemented with 10
10.2307/3241356|A monthly investigation for one year revealed a distinct annual periodicity both of spore discharge and of percentage of spore germination with peaks generally occurring during the period October to January inclusive. Massive sporulation is not invariably associated with high percentage germination values.
10.2307/3243857|Eight taxa of Cladonia section Perviae, including C. singularis Hammer sp. nov., are recognized for western North America. Podetial ontogeny and the different character states of the branches, openings, cortex, and squamules are the result of relative rates of growth of the different tissues in the podetium, and are apparently species-specific.
10.2307/3244187|Samples of the epiphytic lichen Evernia prunastri collected in an unpolluted area were transplanted to the urban environment of Teramo (central Italy). The influence of the transplant process on trace element content was found to be negligible and after only two months, concentrations of all elements (Cd, Cr, Cu, Pb, and Zn) were significantly higher than in control samples. It is suggested that motor traffic was the main source of atmospheric Cr, Cu, and Pb, while for Cd and Zn additional sources from phosphate fertilizers and pesticides used in the surrounding farmlands are hypothesized. The possible uptake and accumulation processes of these metals in relation to time of exposure are discussed.
20061094|Bryum capillare, a moss of worldwide distribution, is ubiquitous to cities where it is commonly found growing within the cracks of sidewalks. Because of its occurrence in the harsh and depauperate urban environment, it was hypothesized that this moss is resistant to the deleterious effects of pollutants, such as acid rain. We tested this by measuring the growth response of an axenic culture line of B. capillare to simulated pH-adjusted rain. Field and experimental data both suggest that B. capillare is not especially resistant to acid rain. In the first experiment B. capillare protonematal cultures were subjected to simulated rain at pH levels between 3 and 8. Cultures at pH 4.0 simulated rain resulted in an approximate 50% reduction in colony area from that obtained in the pH 8.0 treatment. Therefore, we would expect the acid rain in Washington, DC to be unfavorable to the growth of B. capillare. Yet, the moss is both common and abundant in the city. In a second experiment the optimal pH for the in vitro culture of B. capillare ranged between 6 and 8. This helped explain its abundance in the city since soil pH samples averaged 7.5. We attributed the near neutral pH of soil under B. capillare colonies to its parent substratum: cement. In a third experiment, the adverse effects of simulated acid rain on B. capillare, were reversed by culturing the moss on cement-amended medium (pH 7.6). Based on these experiments and on the pH values of soil and rain samples, we concluded that B. capillare is protected from adverse effects of acid rain by the apparent buffering and neutralizing capacity of its preferred substrate, the cement of city sidewalks.
10.2307/3241264|Nineteen species of hepatics are reported for the first time from Brown County, Wisconsin. A random sample of 579 trees belonging to five genera gives frequency data by substrate for the corticolous species encountered.
3244332| The Panariaceae sensu lato of North America are shown to contain 51 species in ten genera: Degelia (1), Erioderma (3), Fuscopannaria (25), Leioderma (1), Moelleropsis (1), Pannaria (8), Parmeliella (5), Protopannaria (1), Psoroma (3), and Santessoniella (3). The following new taxa are described: Fuscopannaria alaskana, F. aurita, F. coralloidea, F. crustacea, F. hookerioides, F. leprosa, F. pacifica, F. ramulina, F. thiersii, Pannaria lurida ssp. quercicola, P. subfusca, and Parmeliella appalachensis. The following new combinations proved necessary: Fuscopannaria californica (Tuck.), F. cheiroloba (Mll. Arg.), F. incisa (Mll. Arg.), Pannaria lurida ssp. russellii (Tuck.), Parmeliella stylophora (Vain.), Protopannaria (Gyeln.), Protopannaria pezizoides (G. H. Weber), and Santessoniella crossophylla (Nyl.). All names are typified and keys are provided to all taxa. The genus Fuscopannaria has an evolutionary center on the Pacific coast where it appears to have evolved taxa for most available niches from coastal rocks (F. maritima) to high mountain peaks (F. hookerioides), and from cool damp habitats (F. alaskana) to warm, dry ones (F. californica). Several species in the eastern parts, like F. leucosticta and F. sorediata, reappear in Japan and are additions to the Tertiary relic element of the North American flora. The importance of recognizing ecogeographic elements is pointed out. 
10.2307/3242166|The presence of calyptrae was found necessary for young sporophytes of Funaria to develop the ability to form capsules. If the calyptrae were left in place, the sporophytes formed capsules. If the calyptrae were removed the frequency of capsule formation was a function of the length of the sporophytes at the beginning of the experiment. When sporophytes were shorter than 10 mm, capsule formation was postponed indefinitely if calyptrae were absent, and there was a strong tendency for intercalary growth to become indeterminate. Beyond a certain stage, determined by environmental and endogenous factors, 100% of naked sporophytes formed capsules. Setae thickened in the typical way when the sporophytes elongated without calyptrae. The absence of the calyptra had only minor effects on the timing and quality of capsule expansion, once the sporophyte was beyond its early development. Late in elongation, the absence of the calyptra seemed to promote earlier and more vigorous capsule expansion. But if the calyptra was removed just before the capsule expanded, the speed and vigor of expansion was not altered. The effect of the presence of the calyptra was not altered when the calyptra was chemically extracted. When young sporophytes were refitted with extracted calyptrae after the original calyptrae were removed, the sporophytes grew normally and formed normal capsules. This result supports the conclusion that the role of the calyptra is implemented via the physical restraint that the calyptra exerts on the growth of the sporophyte.
20110953|The North American, Central American and West Indian species of the lichen genus Haematomma are revised, with special emphasis given to the chemistry and distribution of the taxa. Nineteen species and an additional variety are accepted for the region, including one new species from the West Indies: Haematomma caperaticum. All these taxa are given full descriptions, and a key to their identification is provided. The varieties of H. ochroleucum are regarded as unnamed chemotypes. The presence of fatty acids, including caperatic, rangiformic and bourgeanic acids, are reported for the first time for the genus and are taxonomically important. In addition, two new usnic/placodiolic-type dibenzofuran derivatives (Hgy-1 and Hgy-2) characterize a chemotype of H. guyanense, a common sorediate species known mainly from Florida. This species and H. leprarioides are reported as new to North America. Notes on the chemistry and, in a few cases, the morphology, of 11 non-American species are also provided. Rosellinula kalbii was found growing as a parasite on H. guyanense, the first report on this host.
10.2307/3241887| Aloina, Aloinella and Crossidium are characterized on a worldwide basis. Keys, descriptions and illustrations are provided. Aloina rigida var. obliquifolia (C. Mll.) Delgadillo and Crossidium crassinerve var. laevipilum (Thr. & Trab.) Delgadillo are new combinations; Aloina cornifolia Delgadillo is new to science. Aloina and Crossidium are thought to have been derived from a Tortula-Desmatodon-like ancestor. Aloinella possibly evolved from an Aloina hamulus type in the highlands of Mexico. The morphology of the genera may reflect their adaptation to dry conditions. The scope of the geographical ranges of Aloina, Aloinella and Crossidium is not correlated with spore size or terminal velocity. The range apparently depends on ecological tolerance, other factors of their environment and age of the species. Aloina and Crossidium have disjunct distributions and are mainly Mediterranean and boreal. The known range of several species is considerably expanded. These include Aloina hamulus, extended to northern Mexico, southern United States and El Salvador; Aloina rigida to South America, Aloinella catenula to Ecuador, Crossidium aberrans to the Mediterranean region and C. crassinerve to other parts of Mexico and the United States. The range of A. rigida var. mucronulata and others is mapped for the first time. 
