41941381|Humans|D006801|1606|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941373|Recombination, Genetic|D011995|1000|MH|Forced Non-Leaf Node Lookup:recombinations||MM|590^13^0
41941127|Argentina|D001118|233|MH|Forced Leaf Node Lookup:argentina|TI|MM|87^9^0
41941127|*Microscopy|D008853|507|MH|RtM via: Microscopes|TI|MM|495^11^0
41941127|*Plant Structures|D018514|429|MH|RtM via: Grains|TI|MM|512^6^0
41941127|*Pollen|D011058|366|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|688^6^0;404^6^0
41941127|*Radionuclide Imaging|D011877|336|MH|RtM via: Radionuclide Imaging|TI|MM|486^8^0
41941127|*Anastomosis, Surgical|D000714|312|MH|RtM via: Anastomosis - action;Forced Non-Leaf Node Lookup:anastomosis|TI|MM|623^11^0;255^11^0
41941127|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|168^3^0
41941116|Humans|D006801|7380|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941116|*Malvaceae|D019660|6380|MH|RtM via: Malvaceae;RtM via: Palaua rhombifolia;RtM via: Sidalcea;RtM via: Phragmocarpidium;RtM via: Bastardia bivalvis;RtM via: Corynabutilon;RtM via: Malvastrum;RtM via: Modiolastrum;RtM via: Wissadula;checkForceMH Boosted;Forced Non-Leaf Node Lookup:malvaceae|TI|MM|1134^9^0;1160^18^0;101^18^0;1741^8^0;742^8^0;1616^16^0;613^16^0;1471^18^0;359^18^0;1906^13^0;999^13^0;1510^10^0;537^10^0;399^10^0;1850^12^0;943^12^0;1952^9^0;1043^9^0
41941116|*Rosa|D027826|1357|MH|RtM via: Rosa;Forced Leaf Node Lookup:rose;checkForceMH Boosted|TI|MM|1542^4^0;431^4^0
41941116|Chile|D002677|1229|MH|RtM via: Chile;Forced Leaf Node Lookup:chile|TI|MM;RC|784^5^0
41941116|*Sida Plant|D000076248|5178|MH|RtM via: Sida angustissima;RtM via: Sida cerradoensis;RtM via: Sida rhombifolia|TI|MM|138^17^0;1801^17^0;907^17^0;1197^16^0;482^16^0
41941116|*Hispanic Americans|D006630|243|MH|RtM via: South American|TI|MM|1715^14^0
41941116|*Cluster Analysis|D016000|240|MH|RtM via: Recognition of Outliers by Sampling Ends|TI|MM|1542^4^0;431^4^0
41941116|*Environment|D004777|150|MH|RtM via: Para (geographic area)|TI|MM|779^4^0;477^4^0
41941116|*Chromosomes|D002875|27|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|1087^18^0
41941444|Argentina|D001118|739|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|492^9^0;249^9^0
41941444|*Malvaceae|D019660|525|MH|RtM via: Pavonia;RtM via: Acaulimalva|TI|MM|315^7^0;129^7^0;59^7^0;293^11^0;37^11^0
41941444|*Sida Plant|D000076248|348|MH|RtM via: Sida <angiosperm>|TI|MM|333^4^0;196^4^0;77^4^0
41941444|*Environment|D004777|147|MH|RtM via: Para (geographic area)|TI|MM|413^4^0
41941444|*Name|D009275|57|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|124^4^0
41941339|Argentina|D001118|218|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|185^9^0
41941339|*Hybanthus|D029649|218|ET|Entry Term Replacement for "Violaceae";RtM via: Hybanthus;RtM via: Pombalia leucopogon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:hybanthus|TI|MM|987^9^0;672^9^0;544^9^0;214^9^0;610^20^0;74^20^0
41941339|*Research|D012106|492|MH|RtM via: Study|TI|MM|237^7^0
41941339|*Knowledge|D019359|357|MH|RtM via: Knowledge|TI|MM|151^9^0
41941339|*Margins of Excision|D000072662|228|MH|RtM via: Surgical margins|TI|MM|310^6^0
41941339|*Seed|D012639|144|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds|TI|MM|285^4^0
41941159|Animals|D000818|3445|CT|Salmoniformes;CT Treecode Lookup: B01.050.150.900.493 (Salmoniformes)||MM;RC
41941159|Bolivia|D001838|2445|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM;RC|162^7^0
41941159|Serjania|C000633689|574|NM|RtM via: Serjania;Forced SCR Leaf Node Lookup:serjania|TI|MM|54^8^0
41941159|Brazil|D001938|2109|MH|RtM via: Brazil|TI|MM;RC|126^6^0
41941159|*Sapindaceae|D029631|573|HM|RtM via: Serjania|TI|MM|54^8^0
41941159|*Salmoniformes|D017858|567|MH|RtM via: Argentina sphyraena|TI|MM|330^9^0
41941322|Argentina|D001118|1340|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|305^9^0;97^9^0
41941322|*Arecaceae|D028023|1581|MH|RtM via: Butia eriospatha|TI|MM;RC|231^16^0;21^16^0
41941322|*Environment|D004777|210|MH|RtM via: Para (geographic area)|TI|MM|288^4^0
41941322|*Plant Leaves|D018515|171|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|190^6^0
41941117|*Malvaceae|D019660|837|MH|RtM via: Bastardia;RtM via: Abutilon;RtM via: Tetrasida|TI|MM|150^9^0;436^8^0;315^8^0;140^8^0;370^9^0;178^9^0
41941117|*Sida Plant|D000076248|660|MH|RtM via: Sida <angiosperm>|TI|MM|242^4^0;134^4^0
41941117|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|287^3^0
41941269|Argentina|D001118|458|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|435^9^0;24^9^0
41941269|Taiwan|D013624|110|MH|RtM via: Taiwan;Forced Leaf Node Lookup:formosa|TI|MM|663^7^0;236^7^0
41941269|*Rubiaceae|D019666|126|MH|RtM via: Staelia;RtM via: Staelia virgata|TI|MM|472^7^0;195^7^0;64^7^0;265^15^0
43574289|*Trees|D014197|6432|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|75^4^0
43574289|Brazil|D001938|3618|MH|RtM via: Bahia (organism);RtM via: Brazil;Forced Leaf Node Lookup:brazil;Forced Leaf Node Lookup:bahia|TI|MM;RC|122^5^0;114^6^0
43574289|*Fruit|D005638|3510|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|254^6^0
43574289|*Pollen|D011058|13374|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM;RC|368^6^0;407^13^0
43574289|*Flowers|D035264|9798|MH|RtM via: Flowers;RtM via: Pistil;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|229^7^0;168^7^0;218^10^0
43574289|*Sapindaceae|D029631|8754|MH|RtM via: Sapindoideae;RtM via: Scyphonychium|TI|MM;RC|548^12^0;21^13^0
41941126|Animals|D000818|16040|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41941126|United States|D014481|16040|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|1084^8^0
41941126|*Arachis|D010367|8156|MH|RtM via: Arachis;Forced Leaf Node Lookup:arachis;checkForceMH Boosted|TI|MM|1514^7^0;519^7^0
41941126|*Lespedeza|D029884|6134|MH|RtM via: Lespedeza;Forced Leaf Node Lookup:lespedezas;checkForceMH Boosted|TI|MM|1962^9^0;1625^9^0;945^9^0;621^9^0
41941126|*Lotus|D000070116|7500|MH|RtM via: Ornithopus;RtM via: Coronilla|TI|MM|1734^10^0;719^10^0;1720^9^0;707^9^0
41941126|*Coleoptera|D001517|738|MH|RtM via: Adesmia <beetle>|TI|MM|1161^7^0;196^7^0
41941126|*Pollen|D011058|303|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM|1909^6^0;1461^13^0;1009^6^0;1557^13^0;1650^13^0
41941126|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|362^3^0
41941405|Humans|D006801|6983434|CT|Forced Humans: people|TI|MM;RC
41941405|*Tobacco|D014026|859977|MH|RtM via: Nicotiana rustica;RtM via: Nicotiana tabacum;RtM via: Tobacco smoke;Forced Leaf Node Lookup:nicotianas;Forced Leaf Node Lookup:tobaccos;checkForceMH Boosted|TI|MM|33^12^0;690^7^0;663^5^0;2242^9^0;1056^9^0;38^7^0
41941405|*Smoke|D012906|303349|MH|RtM via: Smoke;RtM via: Tobacco smoke;checkForceMH Boosted;Forced Non-Leaf Node Lookup:smoke|TI|MM|663^5^0
41941405|Argentina|D001118|283924|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|1207^9^0
41941405|Chile|D002677|282694|MH|RtM via: Chile;Forced Leaf Node Lookup:chile|TI|MM|1219^5^0
41941405|*Tobacco Use|D064424|4866|MH|RtM via: Tobacco use|TI|MM|690^7^0
41941405|*Ethnobotany|D019448|1131|MH|RtM via: Ethnobotany|TI|MM|982^14^0;409^14^0
41941405|*People, Indigenous|D000081034|888|ET|Entry Term Replacement for "Indigenous Peoples";RtM via: Indigenous Peoples;Forced Non-Leaf Node Lookup:indigenous peoples|TI|MM|869^17^0;533^17^0
41941405|*Employment|D004651|417|MH|RtM via: Employment;Forced Non-Leaf Node Lookup:employment|TI|MM|223^10^0
41941405|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1237^3^0
43574288|*Ocotea|D027444|8399|MH|RtM via: Ocotea;Forced Leaf Node Lookup:ocoteas;checkForceMH Boosted|TI|MM;RC|175^6^0
43574288|*Lichens|D008011|6011|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|117^6^0
43574288|*Lauraceae|D019770|2473|MH|RtM via: Lauraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lauraceae|TI|MM|187^9^0
43574288|Taiwan|D013624|790|MH|RtM via: Taiwan;Forced Leaf Node Lookup:formosa|TI|MM|137^7^0
43574288|*Ascomycota|D001203|2007|MH|RtM via: Tricharia|TI|MM;RC|35^9^0
43574288|*Plant Leaves|D018515|870|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM;RC|198^4^0
43574288|*Pruritus|D011537|795|MH|RtM via: Lichen disease|TI|MM|117^6^0
43574288|*Eczema|D004485|657|MH|RtM via: Lichen disease|TI|MM|117^6^0
41941241|Argentina|D001118|7811|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|1808^9^0;1670^9^0;1056^9^0;803^9^0;701^9^0;116^9^0
41941241|Bolivia|D001838|3884|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM|1839^7^0;1067^7^0;839^7^0;127^7^0
41941241|Paraguay|D010239|3833|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|1454^8^0;1344^8^0;1076^8^0;474^8^0;359^8^0;136^8^0
41941241|Ecuador|D004484|3824|MH|RtM via: Ecuador;Forced Leaf Node Lookup:ecuador|TI|MM|1423^7^0;450^7^0
41941241|Uruguay|D014583|3755|MH|RtM via: Uruguay;Forced Leaf Node Lookup:uruguay|TI|MM|1086^7^0;146^7^0
41941241|Brazil|D001938|23118|MH|RtM via: Mato Grosso do Sul;RtM via: Rio Grande do Sul;RtM via: Brazil|TI|MM;RC|1124^18^0;1155^17^0;218^17^0;1111^11^0;172^11^0;1176^6^0
41941241|*Siloxanes|D012833|750|HM|RtM via: affinis|TI|MM|1531^7^0;550^7^0
41941241|*Polyvinyls|D011145|246|HM|RtM via: affinis|TI|MM|1531^7^0;550^7^0
41941382|*Carya|D031325|531|MH|RtM via: Carya illinoinensis;Forced Leaf Node Lookup:caryas;checkForceMH Boosted|TI|MM|316^19^0;61^19^0
41941382|*Juglans|D031324|471|MH|RtM via: Juglans;Forced Leaf Node Lookup:juglans;checkForceMH Boosted|TI|MM|535^7^0;248^7^0
41941382|Argentina|D001118|264|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|387^9^0;104^9^0
41941382|*Environment|D004777|126|MH|RtM via: Para (geographic area)|TI|MM|379^4^0
41941194|*Candida|D002175|1606|MH|RtM via: Candida (fungus);checkForceMH Boosted;Forced Non-Leaf Node Lookup:candida|TI|MM|180^7^0
41941194|*Karyotype|D059785|14733|MH|RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|510^10^0;269^9^0;79^9^0;25^10^0
41941194|*Karyotyping|D007621|13362|MH|RtM via: Karyotype determination procedure|TI|MM;RC|510^10^0;269^9^0;79^9^0;25^10^0
41941397|Argentina|D001118|1002|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|484^9^0;133^9^0
41941397|VMBP protocol|C036046|1615|NM|RtM via: VMBP protocol|TI|MM|408^4^0
41941397|*Cisplatin|D002945|1614|HM|RtM via: VMBP protocol|TI|MM|408^4^0
41941397|*Vincristine|D014750|1542|HM|RtM via: VMBP protocol|TI|MM|408^4^0
41941397|*Methotrexate|D008727|762|HM|RtM via: VMBP protocol|TI|MM|408^4^0
41941397|*Antineoplastic Combined Chemotherapy Protocols|D000971|222|HM|RtM via: VMBP protocol|TI|MM|408^4^0
41941397|*Bleomycin|D001761|528|HM|RtM via: VMBP protocol|TI|MM|408^4^0
41941209|Animals|D000818|1341|CT|Fireflies;CT Treecode Lookup: B01.050.500.131 (Fireflies)||MM;RC
41941209|Argentina|D001118|341|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|325^9^0;96^9^0
41941209|*Lobelia|D029746|166|MH|RtM via: Lobelia aquatica;Forced Leaf Node Lookup:lobelia;checkForceMH Boosted|TI|MM|37^16^0
41941209|*Fireflies|D048888|153|MH|RtM via: Aquatica|TI|MM|392^8^0
41941133|Humans|D006801|8107|CT|Asian Continental Ancestry Group;CT Treecode Lookup: M01.686 (Asian Continental Ancestry Group)||MM;RC
41941133|*Tobacco|D014026|7107|MH|RtM via: Nicotiana tabacum;Forced Leaf Node Lookup:nicotianas;Forced Leaf Node Lookup:tobaccos;checkForceMH Boosted|TI|MM;RC|148^7^0;73^9^0
41941133|*Tobacco Use|D064424|3009|MH|RtM via: Tobacco use|TI|MM|148^7^0
41941133|*Plant Roots|D018517|366|MH|RtM via: Plant Roots|TI|MM;RC|130^5^0
41941133|*Asian Continental Ancestry Group|D044466|174|MH|RtM via: Asian Indian|TI|MM|166^7^0
41941213|Serjania|C000633689|7809|NM|RtM via: Serjania;Forced SCR Leaf Node Lookup:serjania|TI|MM|783^8^0;388^8^0;63^8^0
41941213|*Karyotyping|D007621|29118|MH|RtM via: Karyotype determination procedure|TI|MM;RC|749^9^0;625^9^0;405^10^0;214^10^0
41941213|*Karyotype|D059785|19206|MH|RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|749^9^0;625^9^0;405^10^0;214^10^0
41941213|*Sapindaceae|D029631|7808|HM|RtM via: Serjania|TI|MM|783^8^0;388^8^0;63^8^0
41941213|South America|D013020|933|MH|RtM via: South America|TI|MM|98^13^0
41941152|Animals|D000818|1993|CT|Salmoniformes;CT Treecode Lookup: B01.050.150.900.493 (Salmoniformes)||MM;RC
41941152|*Salmoniformes|D017858|993|MH|RtM via: Argentina sphyraena|TI|MM|238^9^0
41941152|*Fabaceae|D007887|972|MH|RtM via: Zornia reticulata;RtM via: Chaetocalyx|TI|MM|178^17^0;37^11^0;70^6^0
41941152|*Boraginaceae|D028082|621|MH|RtM via: Cryptantha|TI|MM|103^10^0
41941099|Male|D008297|1618|CT|CT Text Lookup: he|TI|MM;RC|766^2^0
41941099|*Research|D012106|618|MH|RtM via: Study|TI|MM|577^7^0
41941099|*Restriction Mapping|D015183|459|MH|RtM via: Restriction Mapping|TI|MM|348^3^0;271^4^0
41941099|*Environment|D004777|444|MH|RtM via: Para (geographic area)|TI|MM|462^4^0;286^4^0
41941099|*Dermabrasion|D003869|270|MH|RtM via: Superficial abrasion|TI|MM|784^7^0;599^7^0
41945697|Humans|D006801|1312|CT|Continental Population Groups;CT Treecode Lookup: M01.686 (Continental Population Groups);Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41945697|*Lupinus|D031297|194|MH|RtM via: Lupinus;Forced Leaf Node Lookup:lupinus;checkForceMH Boosted|TI|MM|1644^7^0;948^7^0;79^7^1;90^7^1
41945697|*Continental Population Groups|D044469|312|MH|RtM via: North American (race)|TI|MM|817^14^0
41945697|*Candy|D002182|270|MH|RtM via: Sugar candy|TI|MM|1505^5^0;647^5^0
41945697|*Hispanic Americans|D006630|270|MH|RtM via: South American|TI|MM|852^14^0
41945697|*Stramenopiles|D058009|132|MH|RtM via: Regin|TI|MM|965^5^0
41945697|*Chromosomes|D002875|57|MH|RtM via: Chromosome number;RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM|612^18^0;21^18^0;212^10^0;136^11^0
41945697|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1072^3^0;1660^3^0
41941115|Argentina|D001118|288|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|133^9^0
41941115|*Cucurbitaceae|D019662|126|MH|RtM via: Cucurbitaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cucurbitaceae|TI|MM|65^13^0
41941115|*Immunoenzyme Techniques|D007124|66|MH|RtM via: Enzyme-Linked Lectin Assay|TI|MM|147^5^0
41941115|*Environment|D004777|45|MH|RtM via: Para (geographic area)|TI|MM|119^4^0
41941115|*Nuclear Family|D009679|39|MH|RtM via: Biological son;Forced Non-Leaf Node Lookup:son|TI|MM|194^7^1;208^3^1
41941115|ulipristal|C094854|28|NM|RtM via: Ella|TI|MM|147^5^0
41941115|*Norpregnadienes|D009649|27|HM|RtM via: Ella|TI|MM|147^5^0
41941229|Animals|D000818|2071|CT|Urochordata;CT Treecode Lookup: B01.050.150.200 (Urochordata);Urochordata;CT Treecode Lookup: B01.050.500.272 (Urochordata)||MM;RC
41941229|*Mimosa|D031298|694|MH|RtM via: Mimosa xanthocentra;Forced Leaf Node Lookup:mimosas;checkForceMH Boosted|TI|MM|68^19^0
41941229|Argentina|D001118|512|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|538^9^0;422^9^0
41941229|Chromosomes, Plant|D032461|545|MH|||RC
41941229|Ploidies|D011003|323|MH|||RC
41941229|*Urochordata|D014561|306|MH|RtM via: Polycarpa|TI|MM|697^9^0
41941169|*Malva|D028501|903|MH|RtM via: Malva;Forced Leaf Node Lookup:malvas;checkForceMH Boosted|TI|MM|109^5^0
41941169|*Names|D009275|468|MH|RtM via: Name;RtM via: Person Name|TI|MM|65^5^0
41941169|*Malvaceae|D019660|414|MH|RtM via: Fuertesimalva echinata|TI|MM|217^22^0
41941169|*Publications|D011642|297|MH|RtM via: Scientific Publication|TI|MM|71^9^0
41941169|*Diagnostic Tests, Routine|D003955|42|MH|RtM via: Examination|TI|MM|40^7^0
41941147|CVAD protocol|C064396|1384|NM|RtM via: Cyclophosphamide/Dexamethasone/Doxorubicin/Vincristine|TI|MM|112^4^0
41941147|*Vincristine|D014750|1383|HM|RtM via: Cyclophosphamide/Dexamethasone/Doxorubicin/Vincristine|TI|MM|112^4^0
41941147|*Cyclophosphamide|D003520|924|HM|RtM via: Cyclophosphamide/Dexamethasone/Doxorubicin/Vincristine|TI|MM|112^4^0
41941147|*Dexamethasone|D003907|300|HM|RtM via: Cyclophosphamide/Dexamethasone/Doxorubicin/Vincristine|TI|MM|112^4^0
41941147|*Antineoplastic Combined Chemotherapy Protocols|D000971|135|HM|RtM via: Cyclophosphamide/Dexamethasone/Doxorubicin/Vincristine|TI|MM|112^4^0
41941147|*Doxorubicin|D004317|240|HM|RtM via: Cyclophosphamide/Dexamethasone/Doxorubicin/Vincristine|TI|MM|112^4^0
41941367|Brazil|D001938|7973|MH|RtM via: Brazil;RtM via: Bahia (organism);RtM via: Minas Gerais;RtM via: Piaui;Forced Leaf Node Lookup:brazil;Forced Leaf Node Lookup:bahia|TI|MM;RC|351^6^0;210^6^0;439^5^0;286^5^0;63^5^0;307^12^0;86^12^0;446^5^0;341^5^0;124^5^0
41941367|*Neostriatum|D017072|639|MH|RtM via: Neostriatum|TI|MM|296^7^0;73^7^0
41941367|*Corpus Striatum|D003342|453|MH|RtM via: Corpus striatum structure|TI|MM|296^7^0;73^7^0
41941367|*Environment|D004777|207|MH|RtM via: Bahia (geographic area);RtM via: Para (geographic area)|TI|MM|439^5^0;286^5^0;63^5^0;379^4^0
41941367|*Malvaceae|D019660|144|MH|RtM via: Pavonia|TI|MM|262^7^0;37^7^0
41941292|Paraguay|D010239|510|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|1323^8^0;838^8^0;585^8^0;93^8^0
41941292|*Waltheria|D019660|225|ET|Entry Term Replacement for "Malvaceae";RtM via: Waltheria;checkForceMH Boosted;Forced Non-Leaf Node Lookup:waltheria|TI|MM|1151^9^0;1070^9^0;825^9^0;437^9^0;353^9^0;72^9^0
41941292|*Biological Phenomena|D001686|207|MH|RtM via: establishment and maintenance of localization|TI|MM|1507^12^0
41941292|*Biodiversity|D044822|180|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|25^12^0
41941292|*Burkitt Lymphoma|D002051|132|MH|RtM via: African Burkitt's lymphoma|TI|MM|574^7^0
41941292|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|972^3^0
41941125|*Arachis|D010367|383|MH|RtM via: Arachis;Forced Leaf Node Lookup:arachis;checkForceMH Boosted|TI|MM|50^7^0
41941125|*Acetyldigitoxins|D000112|314|MH|RtM via: Adicin;Forced Leaf Node Lookup:adicin;checkForceMH Boosted|TI|MM|543^6^0
41941125|*Fern|D029624|253|ET|Entry Term Replacement for "Ferns";RtM via: Ferns;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fern|TI|MM|78^4^0
41941125|*Meiosis|D008540|213|MH|RtM via: Meiosis;Forced Non-Leaf Node Lookup:meiosis|TI|MM|436^7^0
41941125|*Diatoms|D017377|114|MH|RtM via: Ambo|TI|MM|248^5^0
41941259|Paraguay|D010239|1635|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|877^8^0;395^8^0
41941259|*Hibiscus|D031584|948|MH|RtM via: Hibiscus;Forced Leaf Node Lookup:hibiscus;checkForceMH Boosted|TI|MM|538^8^0;25^8^0
41941259|Brazil|D001938|4131|MH|RtM via: Brazil|TI|MM;RC|849^6^0;598^6^0;363^6^0;103^6^0
41941259|*Environment|D004777|90|MH|RtM via: Para (geographic area)|TI|MM|907^4^0;547^4^0
41941259|*Names|D009275|51|MH|RtM via: Name;RtM via: Person Name|TI|MM|324^5^0
41941216|*Tannin|D013634|878|ET|Entry Term Replacement for "Tannins";RtM via: tannic acid;checkForceMH Boosted;Forced Non-Leaf Node Lookup:tannins|TI|MM|366^6^0
41941216|*Epidermal Cells|D000078404|1536|MH|RtM via: Epidermal cells|TI|MM|725^9^0
41941216|*Epidermis|D004817|492|MH|RtM via: Epidermis;Forced Non-Leaf Node Lookup:epidermis|TI|MM|725^9^0
41941216|*Raphe Nuclei|D011903|51|MH|RtM via: raphe nuclei|TI|MM|617^5^0
41941216|*Benzopyrans|D001578|48|MH|RtM via: Tannin|TI|MM|366^6^0
41941198|*Euphorbiaceae|D019665|501|MH|RtM via: Tragia|TI|MM;RC|110^6^0
41941198|*Malvaceae|D019660|228|MH|RtM via: Ayenia|TI|MM|41^6^0
41941212|United States|D014481|15898|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|205^8^0
41941212|*Diploidy|D004171|11828|MH|RtM via: Diploidy;RtM via: Diploid Cell;Forced Leaf Node Lookup:diploids|TI|MM;RC|765^7^0;25^7^0
41941212|*Vernonia|D035741|4126|MH|RtM via: Vernonia;Forced Leaf Node Lookup:vernonias;checkForceMH Boosted|TI|MM|48^8^0
41941212|*Karyotyping|D007621|14898|MH|RtM via: Karyotype determination procedure|TI|MM;RC|809^10^0;746^9^0;339^10^0
41941212|*Karyotype|D059785|13116|MH|RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|809^10^0;746^9^0;339^10^0
41941212|*X Chromosome|D014960|1191|MH|RtM via: X Chromosome|TI|MM|245^10^1;263^1^1
41941327|Humans|D006801|1573|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
41941327|*Turnera|D029647|573|MH|RtM via: Turnera (plant);Forced Leaf Node Lookup:turnera;checkForceMH Boosted|TI|MM|1383^7^0;1289^7^0;201^7^0;96^7^0
41941327|*Ethnic Groups|D005006|402|MH|RtM via: Chosen Chinese|TI|MM|120^6^0
41941327|*Behavior Therapy|D001521|342|MH|RtM via: System Support Mapping|TI|MM|1198^4^0
41941327|*Environment|D004777|219|MH|RtM via: Para (geographic area)|TI|MM|2207^4^0;1858^4^0
41941327|*Doxorubicin|D004317|117|MH|RtM via: Doxorubicin/Prednisone/Teniposide|TI|MM|1746^6^0;554^6^0
41941327|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1487^3^0
41941215|*Diploidy|D004171|14843|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|84^7^0
41941215|*Hybridization, Genetic|D006824|16215|MH|RtM via: Crossbreeding|TI|MM;RC|21^14^0
41941215|*Meiosis|D008540|13548|MH|RtM via: Meiosis;Forced Non-Leaf Node Lookup:meiosis|TI|MM;RC|271^7^0
41941215|*Chromosomes|D002875|13470|MH|RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM;RC|964^11^0;755^11^0
41941215|*Gametes|D005854|5358|ET|Entry Term Replacement for "Germ Cells";RtM via: Gametes;RtM via: Germ Cells;Forced Non-Leaf Node Lookup:gametes|TI|MM;RC|548^7^0
41941215|*Genomics|D023281|3174|MH|RtM via: Genomics;Forced Non-Leaf Node Lookup:genomics|TI|MM;RC|650^7^0;197^7^0
41941172|*Turnera|D029647|3977|MH|RtM via: Turnera subulata;Forced Leaf Node Lookup:turnera;checkForceMH Boosted|TI|MM|21^16^0
41941172|*Silver|D012834|3176|MH|Forced Leaf Node Lookup:ag;checkForceMH Boosted|TI|MM|712^2^0;715^2^0
41941172|*Chromosome|D002875|10122|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM;RC|439^10^0;320^10^0
41941172|*Meiosis|D008540|7359|MH|RtM via: Meiosis;Forced Non-Leaf Node Lookup:meiosis|TI|MM;RC|269^7^0
41941172|*Genomics|D023281|3381|MH|RtM via: Genomics;Forced Non-Leaf Node Lookup:genomics|TI|MM;RC|871^7^0;644^7^0
41941172|Cytogenetic Analysis|D020732|1000|MH|Forced Non-Leaf Node Lookup:cytogenetic||MM;RC|542^11^0
41941391|Humans|D006801|38736064|CT|Forced Humans: people|TI|MM;RC
41941391|*Equisetum|D020829|4655790|MH|RtM via: Equisetaceae;RtM via: Equisetum giganteum;Forced Leaf Node Lookup:equisetaceae;Forced Leaf Node Lookup:equisetums;checkForceMH Boosted|TI|MM|2312^12^0;1069^12^0;2288^19^0;1045^19^0
41941391|*Aloe|D000504|3103841|MH|RtM via: Aloe vera plant;Forced Leaf Node Lookup:aloe vera;checkForceMH Boosted|TI|MM|2177^9^0;932^9^0
