10.2307/2395210|Animals|D000818|8867|CT|Spiders;CT Treecode Lookup: B01.050.500.131 (Spiders)||MM;RC
40035498|*Monoterpenes|D039821|10839|MH|RtM via: Monoterpenes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:monoterpenes|TI|MM;RC|731^12^0
40035498|methyl nicotinate|C008473|10804|NM|RtM via: methylnicotinate;Forced SCR Leaf Node Lookup:methyl nicotinate|TI|MM|745^17^0
40035498|*Onagraceae|D029594|9861|MH|RtM via: Onagraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:onagraceae|TI|MM|128^10^0
40035498|*Nitrogen Compounds|D017672|5448|MH|RtM via: Nitrogen Compounds, Inorganic;RtM via: Nitrogen Compounds, Unspecified;checkForceMH Boosted|TI|MM|705^21^0
40035498|Utah|D014589|5340|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM|1230^4^0
40035498|*Advertising|D000329|5220|MH|Forced Leaf Node Lookup:advertisements|TI|MM|511^13^0;1497^13^0
40035498|*Goals|D006040|5220|MH|Forced Leaf Node Lookup:goal|TI|MM|444^4^0
40035498|*Acyclic Monoterpenes|D000080462|30492|HM|RtM via: linalool;RtM via: linalool, (+)-;RtM via: linalool, (+-)-|TI|MM;RC|1134^8^0
40035498|*Flowers|D035264|16203|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|1833^6^0;1512^6^0;1413^8^0;838^6^0;260^7^0;351^7^0;1695^6^0
40035498|*Nicotinic Acids|D009539|10803|HM|RtM via: methylnicotinate|TI|MM|745^17^0
40035498|*Perfume|D010476|6774|MH|RtM via: Perfume|TI|MM|781^10^0
40035498|*Reward|D012201|1599|MH|RtM via: Rewards;Forced Non-Leaf Node Lookup:rewards|TI|MM|1545^6^0;529^6^0
40035498|Moths|D009036|1000|MH|Forced Non-Leaf Node Lookup:hawkmoths||MM|1295^9^0
40035498|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|43^7^0
10.2307/2399201|Animals|D000818|16980|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
10.2307/2399201|*Pithecellobium|D007887|15980|ET|Entry Term Replacement for "Fabaceae";RtM via: Coursetia apantensis;RtM via: Fabaceae;RtM via: Papilionoideae;RtM via: Millettieae;RtM via: mimosoid clade;RtM via: Lonchocarpus;RtM via: Pithecellobium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pithecellobium|TI|MM;RC|433^20^0;98^18^0;259^14^0;309^11^0;193^11^0;541^12^0;322^12^0;206^14^0;105^11^0
10.2307/2399201|Nicaragua|D009527|785|MH|RtM via: Nicaragua;Forced Leaf Node Lookup:nicaragua|TI|MM|134^9^0
10.2307/2399201|*Coleoptera|D001517|1887|MH|RtM via: Elliptica|TI|MM;RC|458^9^0
10.2307/2399201|Phylogeny|D010802|165|MH|||RC
10.2307/2398924|*Iridaceae|D027621|7396|MH|RtM via: Dietes;RtM via: Diplarrena;RtM via: Libertia;RtM via: Patersonia;RtM via: Iridaceae;RtM via: Orthrosanthus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:iridaceae|TI|MM;RC|339^6^0;226^11^0;99^8^0;147^10^0;559^9^0;48^9^0;257^13^0
10.2307/2398924|*Islands|D062312|2865|MH|RtM via: Islands|TI|MM;RC|379^6^0
10.2307/2398924|*Cytological Techniques|D003584|1878|MH|RtM via: Cytological Techniques|TI|MM|602^8^0
10.2307/2398924|*Polyploid|D011123|1194|ET|Entry Term Replacement for "Polyploidy";RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploids|TI|MM;RC|285^9^0
10.2307/2398924|*Cytodiagnosis|D003581|1170|MH|RtM via: Cytology procedure|TI|MM|602^8^0
10.2307/2395198|Animals|D000818|6258|CT|Forced Animals Lookup:ram|TI|MM;RC|364^3^0
10.2307/2395198|Male|D008297|6258|CT|Forced Animals Lookup:ram|TI|MM|364^3^0
10.2307/2395198|Sheep|D012756|6258|CT|Forced Animals Lookup:ram|TI|MM|364^3^0
10.2307/2395198|Humans|D006801|1000|CT|Forced Humans:D Survivors||MM
10.2307/2395198|*Rainforest|D065947|5258|MH|RtM via: Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM|1063^11^0
10.2307/2395198|*Forests|D065928|5109|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|368^7^0
10.2307/2395198|North America|D009656|3225|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM;RC|403^13^0;232^13^0;149^13^0
10.2307/2395198|Asia|D001208|1824|MH|RtM via: Asia;Forced Non-Leaf Node Lookup:asia|TI|MM|215^4^0
10.2307/2395198|*Survivors|D017741|36|MH|RtM via: Survivors;Forced Non-Leaf Node Lookup:survivors|TI|MM|840^9^0
10.2307/2395198|Europe|D005060|1197|MH|RtM via: Europe|TI|MM|384^6^0;167^6^0
10.2307/2395198|Caribbean|D017691|702|ET|Entry Term Replacement for "Caribbean Region";RtM via: Caribbean region|TI|MM|898^9^0
10.2307/2399915|Animals|D000818|60538|CT|Bryozoa;CT Treecode Lookup: B01.050.500.217 (Bryozoa);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
10.2307/2399915|*Stachys|D031366|20613|MH|RtM via: Stachys;Forced Leaf Node Lookup:stachys;checkForceMH Boosted|TI|MM|995^7^0
10.2307/2399915|*Pogostemon|D000070177|19065|MH|RtM via: Pogostemon;Forced Leaf Node Lookup:pogostemon;checkForceMH Boosted|TI|MM|793^10^0
10.2307/2399915|*Phlomis|D031345|15534|MH|RtM via: Phlomis;Forced Leaf Node Lookup:phlomis;checkForceMH Boosted|TI|MM|971^7^0
10.2307/2399915|*Marrubium|D027522|15528|MH|RtM via: Marrubium;Forced Leaf Node Lookup:marrubiums;checkForceMH Boosted|TI|MM|980^9^0
10.2307/2399915|*Sideritis|D031365|15474|MH|RtM via: Sideritis;Forced Leaf Node Lookup:sideritis;checkForceMH Boosted|TI|MM|1082^9^0
10.2307/2399915|*Lamiaceae|D019686|59538|MH|RtM via: Anisomeles;RtM via: Brazoria;RtM via: Chelonopsis;RtM via: Eurysolen;RtM via: Galeopsis <angiosperm>;RtM via: Gomphostemma;RtM via: Lagopsis;RtM via: Macbridea;RtM via: Phlomidoschema;RtM via: Physostegia;RtM via: Stenogyne;RtM via: Synandra;RtM via: Lamioideae|TI|MM;RC|778^10^0;265^10^0;190^10^0;1166^8^0;625^11^0;821^9^0;281^9^0;205^9^0;1216^9^0;611^12^0;937^8^0;1176^9^0;951^14^0;1191^11^0;657^9^0;1230^8^0;865^10^0;373^10^0;253^10^0;85^10^0
10.2307/2399915|*Pollen|D011058|3273|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM;RC|1128^6^0;1035^6^0;877^6^0;505^6^0;426^6^0;216^6^0;28^6^0
10.2307/2399915|*Bryozoa|D002013|1266|MH|RtM via: Galeopsis <bryozoan>|TI|MM|1216^9^0
10.2307/2399915|*Gastropoda|D049851|630|MH|RtM via: Columella genus|TI|MM|548^10^0
40035744|Animals|D000818|47107|CT|Butterflies;CT Treecode Lookup: B01.050.500.131 (Butterflies)||MM;RC
40035744|*Apocynaceae|D029062|46107|MH|RtM via: Anisotominae;RtM via: Apocynaceae;RtM via: Apocynoideae;RtM via: Asclepiadeae;RtM via: Asclepiadinae;RtM via: Asclepiadoideae;RtM via: Baisseeae;RtM via: Ceropegieae;RtM via: Cynanchinae;RtM via: Gonolobinae;RtM via: Heterostemminae;RtM via: Leptadeniinae;RtM via: Metastelmatinae;RtM via: Nerieae;RtM via: Odontadenieae;RtM via: Orthosiinae;RtM via: Oxypetalinae;RtM via: Periplocoideae;RtM via: Rauvolfioideae;RtM via: Secamonoideae;RtM via: Stapeliinae;RtM via: Tylophorinae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:apocynaceae|TI|MM;RC|1399^12^0;968^11^0;111^11^0;1083^12^0;491^12^0;1245^12^0;1263^13^0;1190^15^0;540^15^0;1142^9^0;1382^11^0;1278^11^0;1353^11^0;1428^15^0;1413^13^0;1305^15^0;1101^7^0;1113^13^0;1322^11^0;1335^12^0;505^14^0;1034^14^0;475^14^0;521^13^0;1449^11^0;1291^12^0;198^11^0
40035744|*Phylogeny|D010802|16023|MH|RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogenetic analyses|TI|MM;RC|592^21^0;679^13^0;331^12^0
40035744|*Pollination|D054817|14565|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM;RC|718^11^0
40035744|*Butterflies|D002080|8874|MH|RtM via: Butterflies;Forced Leaf Node Lookup:butterfly;checkForceMH Boosted|TI|MM|767^9^0
40035744|*Pyrrolizidine Alkaloids|D011763|5067|MH|RtM via: Pyrrolizidine Alkaloids;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pyrrolizidine alkaloids|TI|MM|799^23^0
40035744|Missouri|D008923|3330|MH|RtM via: Missouri;Forced Leaf Node Lookup:missouri|TI|MM|54^8^0
40035744|Biological Evolution|D005075|1008|MH|||RC
40035744|Flowers|D035264|495|MH|||RC
40035744|*Gardening|D051639|294|MH|RtM via: Gardening|TI|MM|73^6^0
40035744|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|730^7^0
10.2307/2394878|Female|D005260|4372|CT|Placentation;CT Treecode Lookup: G08.686.784.769.491 (Placentation);Ovary;CT Treecode Lookup: A05.360.319 (Ovary)|TI|MM
10.2307/2394878|Pregnancy|D011247|1000|CT|Forced Treecode Turn Back On: G08.686.784.769.491 (Placentation)||MM
10.2307/2394878|Humans|D006801|1000|CT|Forced Treecode Turn Back On: G08.686.784.769 (Pregnancy)||MM
10.2307/2394878|*Inflorescence|D056626|2717|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|329^13^0
10.2307/2394878|*Saururaceae|D032134|2045|MH|RtM via: Anemopsis;RtM via: Saururaceae;RtM via: Saururus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:saururaceae|TI|MM|262^9^0;502^11^0;106^11^0;224^8^0
10.2307/2394878|Saskatchewan|D012525|1310|MH|RtM via: Saskatchewan;Forced Leaf Node Lookup:saskatchewan|TI|MM|833^12^0
10.2307/2394878|*Placentation|D010929|572|MH|RtM via: Placentation;Forced Leaf Node Lookup:placentation|TI|MM|550^12^0
10.2307/2394878|*Ovary|D010053|491|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovary|TI|MM|489^5^0
10.2307/2394878|*Flower|D035264|3372|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|352^6^0
10.2307/2394878|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|785^7^0
10.2307/2399247|*Zea mays|D003313|23070|MH|RtM via: Zea luxurians;RtM via: Maize;RtM via: Zea mays;Forced Leaf Node Lookup:teosinte;Forced Leaf Node Lookup:zea mays;Forced Leaf Node Lookup:maize;checkForceMH Boosted|TI|MM;RC|974^8^0;771^8^0;622^8^0;429^8^0;261^8^0;88^9^0;965^5^0;826^5^0;597^5^0;404^5^0;235^5^0;28^5^0;35^8^0;323^8^0;686^8^0;914^8^0;298^5^0;99^3^0
10.2307/2399247|*Edible Grain|D002523|2919|MH|RtM via: Cereals|TI|MM|481^5^0
10.2307/2399247|*Plant Structures|D018514|2352|MH|RtM via: Grains|TI|MM|481^5^0
10.2307/2399247|*Acclimatization|D000064|1770|MH|RtM via: Acclimatization|TI|MM|661^10^0
10.2307/2399247|*Adaptation, Physiological|D000222|1536|MH|RtM via: Adaptation|TI|MM|661^10^0
10.2307/2399247|*Habitats|D017753|1500|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM;RC|737^8^0
10.2307/2399247|*Chromosome|D002875|840|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|550^10^0
10.2307/2399945|*Epidermal Cells|D000078404|2799|MH|RtM via: Epidermal cells|TI|MM|629^11^0
10.2307/2399945|*Epidermis|D004817|921|MH|RtM via: Epidermis;RtM via: Epidermal|TI|MM|575^9^0;629^11^0
10.2307/2399945|*Malpighiales|D000076622|624|MH|RtM via: Discocarpus;RtM via: Amanoa;RtM via: Lachnostylis|TI|MM|466^11^0;45^11^0;719^6^0;695^12^0
10.2307/2399945|*Names|D009275|99|MH|RtM via: Name;RtM via: Established Drug Name|TI|MM|189^5^0;265^13^0
10.2307/2399062|*Microscopy, Electron, Scanning|D008855|754|MH|Forced Leaf Node Lookup:scanning electron microscope|TI|MM;RC|100^28^0
10.2307/2399062|*Turbinates|D014420|601|MH|RtM via: Nasal turbinate bone structure;Forced Leaf Node Lookup:turbinates|TI|MM|217^9^0
10.2307/2399062|*Seeds|D012639|1452|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|750^4^0;358^4^0;28^5^0
10.2307/2399062|*Iridaceae|D027621|1434|MH|RtM via: Geissorhiza;RtM via: Hesperantha|TI|MM|202^11^0;817^11^0;627^11^0;59^11^0
10.2307/2399062|*Epidermal Cells|D000078404|561|MH|RtM via: Epidermal cells;Forced Non-Leaf Node Lookup:epidermal cells|TI|MM;RC|957^15^0;538^15^0;297^15^0
10.2307/2399952|*Asteridae|D019684|68841|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Piperales;RtM via: Subclass Asteridae;RtM via: Subclass Dilleniidae;RtM via: Magnoliopsida;RtM via: Subclass Magnoliidae;RtM via: Angiosperm;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM;RC|822^9^0;1315^9^0;1337^22^0;1826^11^0;1364^11^0;1269^7^0;1096^11^0;490^11^0;431^10^0;111^11^0;852^20^0;583^10^0;1348^11^0
10.2307/2399952|*Phylogeny|D010802|43377|MH|RtM via: Phylogeny;RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic;Forced Leaf Node Lookup:phylogeny|TI|MM;RC|442^9^0;2013^12^0;1903^16^0
10.2307/2399952|*DNA, Ribosomal|D004275|33594|MH|RtM via: DNA, Ribosomal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ribosomal dna|TI|MM;RC|1763^4^0;1600^4^0;1424^4^0;367^4^0;140^13^0;155^4^0
10.2307/2399952|*Nymphaeaceae|D030702|17721|MH|RtM via: Nymphaeaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nymphaeaceae|TI|MM|650^12^0
10.2307/2399952|*Genes, Chloroplast|D061125|17556|MH|RtM via: Genes, Chloroplast;Forced Leaf Node Lookup:chloroplast gene|TI|MM|314^16^0
10.2307/2399952|*Acorus|D029023|15741|MH|RtM via: Acorus;Forced Leaf Node Lookup:acorus;checkForceMH Boosted|TI|MM|914^6^0
10.2307/2399952|*Schisandraceae|D029633|12699|MH|RtM via: Schisandraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:schisandraceae|TI|MM|540^11^0;557^14^0
10.2307/2399952|*Base Pairing|D020029|8595|MH|RtM via: Base Pairing;Forced Leaf Node Lookup:base pairings|TI|MM|2199^12^0;2153^12^0
10.2307/2399952|*Prevalence|D015995|8175|MH|RtM via: Statistical Prevalence;Forced Leaf Node Lookup:prevalences|TI|MM|1548^10^0
10.2307/2399952|*Evolution, Molecular|D019143|25794|MH|RtM via: Evolution, Molecular;Forced Non-Leaf Node Lookup:molecular evolution|TI|MM;RC|1482^19^0
10.2307/2399952|*Austrobaileyales|D000076667|2889|MH|RtM via: Austrobaileyaceae|TI|MM|521^17^0
10.2307/2399952|*Seeds|D012639|2577|MH|RtM via: Amborellaceae;RtM via: Ceratophyllum|TI|MM|506^13^0;1000^13^0
10.2307/2399952|*Pollen|D011058|2358|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|1057^6^0;1182^6^0
42703723|Animals|D000818|61623|CT|Threatened Species;CT Treecode Lookup: B01.050.050 (Threatened Species)||MM;RC
42703723|*Threatened Species|D056727|60623|ET|Entry Term Replacement for "Endangered Species";RtM via: Threatened Species;checkForceMH Boosted|TI|MM;RC|134^10^1;151^7^1
42703723|Puerto Rico|D011647|4625|MH|RtM via: Puerto Rico;Forced Leaf Node Lookup:puerto rico|TI|MM|743^11^0
42703723|*Goals|D006040|4622|MH|Forced Leaf Node Lookup:goal|TI|MM|431^4^0
42703723|New York|D009518|4622|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|1004^8^0
42703723|*Natural Resources|D000067936|20592|MH|RtM via: Natural Resources;Forced Non-Leaf Node Lookup:natural resources|TI|MM|655^17^0
42703723|*Plants|D010944|12612|MH|RtM via: Plants|TI|MM;RC|1185^6^0;1078^5^0;864^4^0;921^6^0;268^5^0;62^5^0;145^5^0
42703723|*Seeds|D012639|858|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|721^10^0
10.2307/2395205|*Onagraceae|D029594|14226|MH|RtM via: Fuchsia;RtM via: Hauya;RtM via: Ludwigia;RtM via: Onagraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:onagraceae|TI|MM|667^7^0;1741^5^0;676^5^0;687^8^0;1814^10^0;1639^10^0;1206^10^0;47^10^0
10.2307/2395205|*Phloem|D052585|12099|MH|RtM via: Phloem;Forced Leaf Node Lookup:phloems|TI|MM;RC|1871^6^0;1529^6^0;1070^6^0;845^6^0;622^6^0;640^6^0;1004^6^0;1891^6^0
10.2307/2395205|*Wood|D014934|6621|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM;RC|1693^4^0;1720^5^0;1441^4^0;947^4^0;344^4^0
10.2307/2395205|*Myrtaceae|D027822|6573|MH|RtM via: Myrtaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myrtaceae|TI|MM|1364^9^0
10.2307/2395205|*Combretaceae|D029764|6168|MH|RtM via: Combretaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:combretaceae|TI|MM|1294^12^0
10.2307/2395205|*Lythraceae|D029561|5247|MH|RtM via: Lythraceae;RtM via: Punicaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lythraceae|TI|MM|1233^10^0;1261^10^0
10.2307/2395205|*Gelatin|D005780|3285|MH|RtM via: gelatin;checkForceMH Boosted|TI|MM;RC|271^10^0
10.2307/2395205|*Starch|D013213|3069|MH|RtM via: starch;checkForceMH Boosted;Forced Non-Leaf Node Lookup:starch|TI|MM|1142^6^0;520^6^0
10.2307/2395205|*Longevity|D008136|2850|MH|RtM via: Longevity;Forced Leaf Node Lookup:longevity|TI|MM|478^9^0
10.2307/2395205|*Water|D014867|2781|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|355^5^0
10.2307/2395205|*Respect|D000078682|2409|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|748^8^0
10.2307/2395205|*Myrtales|D000077148|10182|MH|RtM via: Crypteroniaceae;RtM via: Oliniaceae;RtM via: Penaeaceae|TI|MM|1273^15^0;1387^10^0;1375^10^0
10.2307/2395205|*Physical Phenomena|D055585|1173|MH|RtM via: Affinity|TI|MM|1405^10^0
10.2307/2395205|*Reproduction|D012098|672|MH|RtM via: flowering|TI|MM|1103^9^0
10.2307/2395205|*Computer Simulation|D003198|462|MH|RtM via: Computer simulation|TI|MM|492^10^0
10.2307/2395205|*Habit|D006184|93|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|1805^5^0
42703709|Animals|D000818|43807|CT|Chiroptera;CT Treecode Lookup: B01.050.150.900.649.313.937 (Chiroptera);Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
42703709|Humans|D006801|1000|CT|Forced Humans:D Sister||MM
42703709|*Apocynaceae|D029062|42807|MH|RtM via: Apocynaceae;RtM via: Asclepiadeae;RtM via: Asclepiadoideae;RtM via: Metastelmatinae;RtM via: Orthosia <angiosperm>;RtM via: Orthosiinae;RtM via: Jobinia;RtM via: Ditassa thymifolia;RtM via: Scyphostelma;RtM via: Monsanima;checkForceMH Boosted;Forced Non-Leaf Node Lookup:apocynaceae|TI|MM;RC|47^11^0;77^12^0;60^15^0;1372^15^0;1173^8^0;320^8^0;34^11^0;755^7^0;610^7^0;415^7^0;301^7^0;1329^18^0;1250^19^0;1412^12^0;341^12^0;134^9^0
42703709|*Cynanchum|D031105|15822|MH|RtM via: Cynanchum;Forced Leaf Node Lookup:cynanchums;checkForceMH Boosted|TI|MM;RC|1475^9^0;536^9^0
42703709|Taiwan|D013624|2217|MH|RtM via: Taiwan;Forced Leaf Node Lookup:formosa|TI|MM|2552^7^0;800^7^0
42703709|*Sister|D035781|309|ET|Entry Term Replacement for "Siblings";RtM via: Sister|TI|MM|269^6^0
42703709|*Names|D009275|60|MH|RtM via: Name;RtM via: Person Name|TI|MM|2692^5^0;2500^5^0;663^4^0
42703709|*Chiroptera|D002685|57|MH|RtM via: Brachyphylla|TI|MM|2619^12^0;1579^12^0
42703709|*Gastropoda|D049851|54|MH|RtM via: Latipes;RtM via: Velutina|TI|MM|837^7^0;2422^8^0
42703709|SPEG protein, human|C100675|1000|NM|Forced SCR Human Protein Found: speg|TI|MM|882^4^0
42703709|*Muscle Proteins|D009124|1000|MH|Forced HM Human Protein SCR Found|TI|MM
42703709|*Protein-Serine-Threonine Kinases|D017346|1000|MH|Forced HM Human Protein SCR Found|TI|MM
10.2307/2399668|Female|D005260|16463|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Placentation;CT Treecode Lookup: G08.686.784.769.491 (Placentation)||MM;RC
10.2307/2399668|Humans|D006801|1000|CT|Forced Humans:D Bisexual||MM
10.2307/2399668|Pregnancy|D011247|1000|CT|Forced Treecode Turn Back On: G08.686.784.769.491 (Placentation)||MM
10.2307/2399668|*Araceae|D029064|15463|MH|RtM via: Araceae;RtM via: Aroideae;RtM via: Calloideae;RtM via: Philodendroideae;RtM via: Pistia stratiotes;RtM via: Lasioideae;RtM via: Thomsonieae;RtM via: Pothoideae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pistia stratiotes|TI|MM;RC|541^7^0;32^7^0;1361^8^0;1259^10^0;1419^16^0;1487^17^0;1567^10^0;1523^11^0;1202^10^0
10.2307/2399668|*Ovule|D056771|3970|MH|RtM via: Plant Ovule;Forced Leaf Node Lookup:ovules|TI|MM|771^6^0
10.2307/2399668|*Ovary|D010053|2755|MH|RtM via: Both ovaries;RtM via: Ovary;Forced Leaf Node Lookup:ovaries|TI|MM|710^7^0
10.2307/2399668|*Starch|D013213|2167|MH|RtM via: starch;checkForceMH Boosted;Forced Non-Leaf Node Lookup:starch|TI|MM|936^6^0
10.2307/2399668|*Placentation|D010929|1834|MH|RtM via: Placentation;Forced Leaf Node Lookup:placentation|TI|MM|729^12^0
10.2307/2399668|*Solubility|D012995|1714|MH|Forced Leaf Node Lookup:dissolution|TI|MM|1240^11^0
10.2307/2399668|*Pollen Grains|D011058|5166|ET|Entry Term Replacement for "Pollen";RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM;RC|914^13^0
10.2307/2399668|*Bisexual|D000072339|2871|ET|Entry Term Replacement for "Sexual and Gender Minorities";RtM via: Bisexuals;Forced Non-Leaf Node Lookup:bisexuals|TI|MM|668^8^0
10.2307/2399668|*Bisexuality|D001727|2700|MH|RtM via: Bisexuality|TI|MM|668^8^0
10.2307/2399668|*Biological Phenomena|D001686|2358|MH|RtM via: Tissue Growth|TI|MM|582^6^0
10.2307/2399668|*Plant Leaves|D018515|600|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|612^4^0
10.2307/2399668|*Habit|D006184|312|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|589^5^0
10.2307/2399668|*Chromosome|D002875|288|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosome number;RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|840^17^0
10.2307/2666195|*Meristem|D018519|41020|MH|RtM via: Meristem;Forced Leaf Node Lookup:meristems|TI|MM;RC|1217^8^0;1175^12^0;999^8^0
10.2307/2666195|*Angiosperms|D019684|33355|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM;RC|314^10^0;138^11^0
10.2307/2666195|*Winteraceae|D032423|32827|MH|RtM via: Bubbia;RtM via: Exospermum;RtM via: Takhtajania;RtM via: Takhtajania perrieri;RtM via: Tasmannia;RtM via: Winteraceae;RtM via: Zygogynum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:winteraceae|TI|MM;RC|1792^6^0;1428^6^0;1750^10^0;1416^10^0;1455^11^0;1849^20^0;557^20^0;1680^9^0;1341^9^0;648^11^0;416^11^0;43^11^0;1736^9^0;1405^9^0
10.2307/2666195|*Drimys|D032424|19760|MH|RtM via: Drimys;Forced Leaf Node Lookup:drimys;checkForceMH Boosted|TI|MM|1694^6^0;1355^6^0
10.2307/2666195|*Pseudowintera|D032425|15524|MH|RtM via: Pseudowintera;Forced Leaf Node Lookup:pseudowinteras;checkForceMH Boosted|TI|MM|1436^13^0
10.2307/2666195|*Microscopy, Electron, Scanning|D008855|11596|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM;RC|448^28^0
10.2307/2666195|Madagascar|D008270|6136|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM|665^10^0
10.2307/2666195|*Flowers|D035264|30966|MH|RtM via: Flowers;RtM via: Plant Calyx;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|1122^6^0;372^7^0;32^7^0;1152^5^0
10.2307/2666195|*Biological Phenomena|D001686|3006|MH|RtM via: Tissue Growth|TI|MM|1138^6^0
10.2307/2666195|*Physiological Phenomena|D010829|2259|MH|RtM via: Reflecting|TI|MM|1870^8^0
10.2307/2992027|United States|D014481|16312|CT|Forced Leaf Node Lookup:american|TI|MM|567^8^0
10.2307/2992027|*Asteraceae|D019659|15312|MH|RtM via: Asteraceae;RtM via: Astereae;RtM via: Heteropappus;RtM via: Kalimeris;RtM via: Boltonia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:asteraceae|TI|MM;RC|49^10^0;61^8^0;417^12^0;782^9^0;634^9^0;38^9^0;582^8^0
10.2307/2992027|*Diploidy|D004171|11982|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|714^7^0
10.2307/2992027|*Polyploid|D011123|9039|ET|Entry Term Replacement for "Polyploidy";RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploids|TI|MM;RC|684^9^0
10.2307/2992027|*Aster Plant|D031173|5595|MH|RtM via: Aster Plant|TI|MM;RC|407^5^0
10.2307/2992027|*Ploidy|D011003|2469|ET|Entry Term Replacement for "Ploidies";RtM via: Ploidies|TI|MM|728^5^0
10.2307/2992027|*Habitats|D017753|762|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|359^8^0
10.2307/2992027|East Asia|D005202|285|ET|Entry Term Replacement for "Far East";RtM via: Far East|TI|MM|315^9^0
10.2307/2399795|United States|D014481|3565|CT|RtM via: United States;Forced Non-Leaf Node Lookup:united states|TI|MM|242^13^0
