42606754|Humans|D006801|3619|CT|Community Involvement;CT Treecode Lookup: N02.421.143 (Community Involvement)||MM;RC
42608677|*Fire|D005390|858|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|563^4^0
42608677|*Interpersonal Relations|D007398|681|MH|RtM via: Rapport|TI|MM|2648^7^0
42608677|*Peer Review|D010380|456|MH|RtM via: Peer Review|TI|MM|1196^14^0
42608677|*Certification|D002568|360|MH|RtM via: Certification;Forced Non-Leaf Node Lookup:certifications|TI|MM|2154^13^0;757^13^0
42608537|*Cupressus|D029781|2025|MH|RtM via: Cypress;RtM via: Cupressus;Forced Leaf Node Lookup:cupressus;Forced Leaf Node Lookup:cypress;checkForceMH Boosted|TI|MM|52^7^0;1015^9^0;75^9^0;1802^9^0
42608537|variacin|C099477|1440|NM|RtM via: variacin;Forced SCR Leaf Node Lookup:variacin|TI|MM|2747^8^0
42608537|relacin|C580565|1110|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|2604^7^0
42608537|solan|C010511|1089|NM|RtM via: solan;Forced SCR Leaf Node Lookup:solan|TI|MM|2756^5^0
42608537|*Forestry|D016468|1060|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|42^8^0
42608537|*Wood|D014934|733|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|408^4^0
42608537|Kenya|D007630|523|MH|RtM via: Kenya;Forced Leaf Node Lookup:kenya|TI|MM|1855^5^0;924^5^0;130^5^0
42608537|*Group Processes|D006126|1500|MH|RtM via: Authority|TI|MM|699^11^0
42608537|*Bacteriocins|D001430|1439|HM|RtM via: variacin|TI|MM|2747^8^0
42608537|*Dipeptides|D004151|1109|HM|RtM via: relacin|TI|MM|2604^7^0
42608537|*Toluidines|D014052|1088|HM|RtM via: solan|TI|MM|2756^5^0
42608537|*Deoxyguanosine|D003849|619|HM|RtM via: relacin|TI|MM|2604^7^0
42608537|*Commerce|D003132|621|MH|RtM via: Commerce;Forced Non-Leaf Node Lookup:commerce|TI|MM|1070^8^0;29^8^0
42608537|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2341^3^0
42606388|Nigeria|D009549|489|MH|Forced Leaf Node Lookup:nigerian|TI|MM|48^8^0
42606388|*Forest|D065928|7977|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|278^6^0
42606388|Forestry|D016468|950|MH|||RC
42606388|*Industry|D007221|786|MH|RtM via: Industry|TI|MM|64^8^0
42608570|Philippines|D010679|285|MH|RtM via: Philippines;Forced Leaf Node Lookup:philippines|TI|MM|1604^11^0;1373^11^0;453^11^0
42608570|*Competitive Bidding|D003164|417|MH|RtM via: Competitive Bidding|TI|MM|325^11^1;344^7^1
42608570|*Mycobacterium avium Complex|D015269|402|MH|RtM via: Mycobacterium avium Complex|TI|MM|1540^4^0
42608570|*Industry|D007221|372|MH|RtM via: Industry|TI|MM|2454^10^0;516^10^0
42608570|*Social Behavior|D012919|273|MH|RtM via: Responsibility|TI|MM|280^14^0
42608570|*Forest|D065928|105|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|527^6^0;487^6^0;299^6^0;157^6^0
42605280|Animals|D000818|14326|CT|Isoptera;CT Treecode Lookup: B01.050.500.131 (Isoptera)||MM;RC
42605280|*Trees|D014197|6061|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|679^5^0
42605280|*Araucaria|D000080057|5768|MH|RtM via: Araucaria;checkForceMH Boosted;Forced Non-Leaf Node Lookup:araucaria|TI|MM|193^9^0
42605280|*Fungicides, Industrial|D005659|3832|MH|RtM via: Industrial fungicide;Forced Leaf Node Lookup:fungicides;checkForceMH Boosted|TI|MM;RC|422^9^0
42605280|*Eucalyptus|D005052|3601|MH|RtM via: Eucalyptus deglupta;Forced Leaf Node Lookup:eucalyptus;checkForceMH Boosted|TI|MM|137^19^0
42605280|*Mycorrhizae|D038821|3550|MH|RtM via: Mycorrhizae;Forced Leaf Node Lookup:mycorrhizae;checkForceMH Boosted|TI|MM|547^11^0
42605280|*Isoptera|D020049|2872|MH|RtM via: Isoptera;Forced Leaf Node Lookup:termites;checkForceMH Boosted|TI|MM|358^7^0
42605280|tetrachloroisophthalonitrile|C005806|2522|NM|RtM via: Daconil;Forced SCR Leaf Node Lookup:daconil|TI|MM|432^7^0
42605280|Malaysia|D008296|1169|MH|RtM via: Malaysia;Forced Leaf Node Lookup:malaysia|TI|MM|165^8^0
42605280|*Araucariaceae|D000080056|13326|MH|RtM via: Agathis dammara;RtM via: Agathis <Coniferales>|TI|MM|100^15^0;578^7^0
42605280|*Nitriles|D009570|2521|HM|RtM via: Daconil|TI|MM|432^7^0
42605280|*Seed|D012639|630|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM;RC|272^4^0
42605280|*Biological Phenomena|D001686|231|MH|RtM via: Pathology processes|TI|MM|49^9^0
42607811|*Forestry|D016468|2964|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|888^8^0;176^8^0;46^8^0;96^8^0;268^8^0;374^8^0
42607811|relacin|C580565|1180|NM|Forced SCR Leaf Node Lookup:relacin|TI|MM|2302^7^0
42607811|*Dipeptides|D004151|1179|HM|RtM via: relacin|TI|MM|2302^7^0
42607811|India|D007194|951|MH|RtM via: India;Forced Non-Leaf Node Lookup:india|TI|MM|2470^5^0;188^5^0
42607811|*Policy|D057766|858|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|1072^6^0;725^6^0;562^6^0;494^6^0;338^6^0;615^6^0;1140^6^0
42607811|*Deoxyguanosine|D003849|648|HM|RtM via: relacin|TI|MM|2302^7^0
42607811|*Forests|D065928|603|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1133^6^0;854^7^0;555^6^0;487^6^0;608^6^0
42607811|*Agriculture|D000383|288|MH|RtM via: Agriculture;Forced Non-Leaf Node Lookup:agriculture|TI|MM|2157^11^0;1612^11^0;1240^11^0;901^11^0;280^11^0;59^11^0;383^11^0;1491^11^0
42607811|*Attention|D001288|36|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|1904^9^0;632^9^0
42607811|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|3069^3^0
42605439|Humans|D006801|1306|CT|African Americans;CT Treecode Lookup: M01.686 (African Americans)||MM;RC
42605439|Animals|D000818|1306|CT|Comb and Wattles;CT Treecode Lookup: A13.242 (Comb and Wattles)||MM;RC
42605439|Kenya|D007630|81|MH|RtM via: Kenya;Forced Leaf Node Lookup:kenya|TI|MM|81^5^0
42605439|*African Americans|D001741|78|MH|Forced Leaf Node Lookup:blacks|TI|MM|180^5^0
42605439|*Comb and Wattles|D003129|78|MH|Forced Leaf Node Lookup:wattles|TI|MM|186^6^0
42605439|Trees|D014197|290|MH|||RC
42605439|*Research|D012106|126|MH|RtM via: Study|TI|MM|196^7^0
42605439|*Abstracting and Indexing|D000043|60|MH|RtM via: Index|TI|MM|484^5^0;233^5^0
42605439|*Body Weights and Measures|D001837|57|MH|RtM via: Height / growth measure|TI|MM|163^13^0
42608943|Humans|D006801|1000|CT|Forced Humans:D Researchers||MM
42608943|*Dipterocarpaceae|D053958|2943|MH|RtM via: Shorea;RtM via: Dipterocarpaceae;Forced Leaf Node Lookup:dipterocarpaceae;Forced Leaf Node Lookup:shoreas;checkForceMH Boosted|TI|MM|2683^6^0;1804^6^0;803^6^0;1649^16^0
42608943|*Trees|D014197|1528|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|598^4^0;174^4^0;100^4^0;353^4^0
42608943|Malaysia|D008296|722|MH|RtM via: Malaysia;Forced Leaf Node Lookup:malaysia|TI|MM|2493^8^0;2008^8^0;1919^8^0;625^8^0;201^8^0;116^8^0
42608943|*Health Services|D006296|1605|MH|RtM via: Test Method|TI|MM|78^6^0
42608943|*Researchers|D012108|1035|ET|Entry Term Replacement for "Research Personnel";RtM via: Research Personnel|TI|MM|474^11^0
42608943|*Research Design|D012107|672|MH|RtM via: Test Method|TI|MM|78^6^0
42608943|*Durable Medical Equipment|D004389|549|MH|RtM via: Oxygen supplies regulator|TI|MM|318^8^0
42608943|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2095^3^0
42608427|*Farms|D000072480|2132|MH|RtM via: Farming environment;Forced Leaf Node Lookup:farm|TI|MM|756^7^0;879^7^0;161^7^0;759^4^0
42608427|*Research Design|D012107|1991|MH|RtM via: Research Strategy;Forced Leaf Node Lookup:research strategies|TI|MM|257^19^0
42608427|Victoria|D014739|1553|MH|RtM via: Victoria Austrailia;Forced Leaf Node Lookup:victoria|TI|MM|3420^8^0;2369^8^0;2091^8^0;1192^8^0;904^8^0;67^8^0
42608427|Zimbabwe|D015030|1142|MH|RtM via: Zimbabwe;Forced Leaf Node Lookup:zimbabwe|TI|MM|3437^8^0;2394^8^0;2106^8^0;1219^8^0;917^8^0;95^8^0
42608427|VMBP protocol|C036046|2446|NM|RtM via: VMBP protocol|TI|MM|2585^4^0
42608427|*Cisplatin|D002945|2445|HM|RtM via: VMBP protocol;RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2585^4^0;1838^4^0
42608427|*Vincristine|D014750|2310|HM|RtM via: VMBP protocol|TI|MM|2585^4^0
42608427|*Antineoplastic Combined Chemotherapy Protocols|D000971|474|HM|RtM via: VMBP protocol|TI|MM|2585^4^0
42608427|*Bleomycin|D001761|633|HM|RtM via: VMBP protocol|TI|MM|2585^4^0
42608427|*Methotrexate|D008727|1389|HM|RtM via: VMBP protocol|TI|MM|2585^4^0
42608427|*Government|D006076|2169|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|1042^10^0
42608427|*Policy|D057766|1809|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|430^6^0
42608427|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2979^3^0
42607756|*Altitude|D000531|1731|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|648^8^0
42607756|*Conifer|D064028|1248|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM|25^7^0
42607756|*Rainforest|D065947|936|MH|RtM via: Tropical Rainforest;Forced Leaf Node Lookup:rain forests|TI|MM|70^21^0;79^12^0
42607756|*Probability|D011336|1011|MH|RtM via: Probability|TI|MM|1918^8^0
42607756|*Reproduction|D012098|795|MH|RtM via: Reproduction|TI|MM|1021^11^0;339^11^0
42607756|*Knowledge|D019359|480|MH|RtM via: Knowledge|TI|MM|237^9^0
42607756|*Seed|D012639|372|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|314^4^0
42608091|Humans|D006801|1000|CT|Forced Humans:D Farmers||MM
42608091|*Vegetables|D014675|33519|MH|RtM via: Cassava (food);RtM via: Vegetables;Forced Leaf Node Lookup:vegetables;checkForceMH Boosted|TI|MM|1307^7^0;1316^10^0
42608091|*Fruit|D005638|17451|MH|RtM via: Fruit;RtM via: Prunes;Forced Leaf Node Lookup:fruits|TI|MM|3380^6^0;1331^6^0;1832^6^0;1027^7^0
42608091|*Trees|D014197|14949|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1780^5^0;1581^5^0;711^5^0;363^5^0;246^4^0;52^5^0;1617^5^0;1822^5^0
42608091|*Manihot|D002365|11409|MH|RtM via: Brazilian Arrowroot;RtM via: Manihot;RtM via: Manihot esculenta;Forced Leaf Node Lookup:cassavas;checkForceMH Boosted|TI|MM|1307^7^0;5223^4^0
42608091|*Musa|D028521|10875|MH|RtM via: Banana;Forced Leaf Node Lookup:bananas;checkForceMH Boosted|TI|MM|1046^6^0
42608091|*Seedlings|D036226|10731|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|733^9^0
42608091|Uganda|D014454|8430|MH|RtM via: Uganda;Forced Leaf Node Lookup:ugandan;Geo Lookup:entebbe|TI;AB|MM|4027^6^0;21^7^0
42608091|*Farmers|D000067565|7791|MH|RtM via: Farmers;Forced Leaf Node Lookup:farmers|TI|MM|1011^7^0;674^7^0
42608091|*Farms|D000072480|7593|MH|RtM via: Farming environment;Forced Leaf Node Lookup:farms|TI|MM|1502^5^0;578^5^0;1596^5^0
42608091|*Leguminosae|D007887|6270|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:leguminosae|TI|MM|5527^11^0
42608091|*Sunlight|D013472|5280|MH|RtM via: Sunlight;Forced Leaf Node Lookup:sunlight|TI|MM|1935^8^0
42608091|*Crops, Agricultural|D018556|7566|MH|RtM via: Agricultural Crops|TI|MM|1296^5^0
42608091|*Social Behavior|D012919|5268|MH|RtM via: conformity|TI|MM;RC|2650^7^0;646^9^0
42608091|*Plant Weeds|D057685|3849|MH|RtM via: Plant Weeds|TI|MM|896^5^0
42608091|*Plant Leaves|D018515|1419|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1053^6^0
42603277|*Trees|D014197|27674|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|695^4^0
42603277|*Health Expenditures|D005102|2185|MH|RtM via: Expenditures;Forced Leaf Node Lookup:expenditures|TI|MM|338^11^0
42603277|Indonesia|D007214|2143|MH|RtM via: West Irian;Forced Leaf Node Lookup:west irian|TI|MM|133^10^0
42603277|*Forest|D065928|20178|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|412^6^0;260^6^0;97^6^0;355^6^0;458^6^0;547^6^0
42603277|Forestry|D016468|2174|MH|||RC
42608280|Humans|D006801|28016689|CT|Forced Humans: people|TI|MM;RC
42608280|Animals|D000818|28016689|CT|Endangered Species;CT Treecode Lookup: B01.050.050 (Endangered Species)|TI|MM
42608280|*Endangered Species|D056727|2246829|MH|RtM via: Threatened Species;Forced Leaf Node Lookup:threatened species;checkForceMH Boosted|TI|MM|512^18^0
42608280|*Extinction, Biological|D053476|1125786|MH|RtM via: Extinction, Species;Forced Leaf Node Lookup:species extinctions|TI|MM|468^19^0
42608280|*Climate Change|D057231|1124310|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|649^14^0
42608280|*Prognosis|D011379|1123974|MH|RtM via: Forecast of outcome;RtM via: Prognosis:Find:Pt:^Patient:Nom;RtM via: prognostic;Forced Lookup:prognostic|TI|MM|46^9^0;1239^10^0
42608280|*Adaptation, Physiological|D000222|16686|MH|RtM via: Adaptation|TI|MM|2071^10^0;814^5^0
42608280|*Forests|D065928|1980|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|82^7^0
42608280|*Biodiversity|D044822|1524|MH|RtM via: Biodiversity;Forced Non-Leaf Node Lookup:biodiversity|TI|MM|335^12^0
42608280|*Societies|D012952|1167|MH|RtM via: Societies|TI|MM|1095^9^0
42608280|*Marketing|D040541|603|MH|RtM via: Marketing;Forced Non-Leaf Node Lookup:marketing|TI|MM|2307^9^0;1009^9^0
42608280|Biology|D001695|1000|MH|Forced Non-Leaf Node Lookup:biology||MM|610^7^0
42608323|Animals|D000818|6824|CT|Insect;CT Treecode Lookup: B01.050.500.131 (Insect)|TI|MM
42608323|*Trees|D014197|5824|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|1036^4^0;242^4^0;125^4^0
42608323|*Ecosystem|D017753|3695|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|762^10^0
42608323|*Cost-Benefit Analysis|D003362|1610|MH|Forced Leaf Node Lookup:costs and benefits|TI|MM|2055^18^0
42608323|*Fire|D005390|3456|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|1883^4^0
42608323|*Forest|D065928|3057|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1860^6^0
42608323|*Maintenance|D008283|2634|MH|RtM via: Maintenance|TI|MM|1194^11^0
42608323|*Health Services|D006296|2418|MH|RtM via: Infertility study|TI|MM|1559^9^0
42608323|*Insurance|D007341|1581|MH|RtM via: Insurance;Forced Non-Leaf Node Lookup:insurance|TI|MM|908^9^0
42608323|*Insect|D007313|1176|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM|1889^7^0;890^6^0
42608323|*Fertility|D005298|768|MH|RtM via: Fertility;Forced Non-Leaf Node Lookup:fertility|TI|MM|1559^9^0
42604635|Humans|D006801|22775482|CT|Forced Humans: people|TI|MM;RC
42604635|*Forestry|D016468|914133|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|653^8^0
42604635|*Motivation|D009042|13644|MH|RtM via: Motivation|TI|MM|1434^6^0;420^6^0
42604635|*Organization|D009938|2262|ET|Entry Term Replacement for "Organizations";RtM via: Organization administrative structures|TI|MM|431^12^0
42604635|*Imagination|D007092|2028|MH|RtM via: Imagination;Forced Non-Leaf Node Lookup:imaginations|TI|MM|788^11^0;1911^11^0
42604635|*Societies|D012952|1761|MH|RtM via: Societies|TI|MM|80^7^0
42604635|*Freedom|D005610|1707|MH|RtM via: Freedom;Forced Non-Leaf Node Lookup:freedoms|TI|MM|252^7^0
42604635|*Social Control|D012926|1644|ET|Entry Term Replacement for "Social Control, Formal";RtM via: Social Control;Forced Non-Leaf Node Lookup:social controls|TI|MM|365^14^0
42604635|*Rewards|D012201|939|ET|Entry Term Replacement for "Reward";RtM via: Rewards;Forced Non-Leaf Node Lookup:rewards|TI|MM|871^7^0
42604635|*Forest|D065928|465|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|819^6^0;21^6^0;100^6^0
42604635|*Prescriptions|D055656|381|MH|RtM via: Prescription procedure;Forced Non-Leaf Node Lookup:prescriptions|TI|MM|1216^13^0
42604712|*Investment|D007449|2574|ET|Entry Term Replacement for "Investments";RtM via: Investments|TI|MM;RC|88^10^0
42604712|*Costs and Cost Analysis|D003365|2025|MH|RtM via: cost estimation|TI|MM;RC|191^9^1;208^5^1
42604712|*Health Services|D006296|579|MH|RtM via: Test Method|TI|MM|371^6^0;144^6^0
42604712|*Forests|D065928|321|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|418^7^0
42608589|*Forestry|D016468|2682|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|571^8^0;58^8^0
42608589|*Forest|D065928|972|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|371^6^0
42608589|*Organizations|D009938|576|MH|RtM via: Agencies|TI|MM|416^8^0;190^8^0
42608589|*Climate Change|D057231|489|MH|RtM via: Climate Change|TI|MM|585^8^1;604^7^1
42608589|United Kingdom|D006113|1000|MH|Forced Non-Leaf Node Lookup:united kingdom||MM|229^14^0
42608426|Queensland|D011793|1343|MH|RtM via: Queensland;Forced Leaf Node Lookup:queensland|TI|MM|1959^10^0;1173^10^0;388^10^0
42608426|Northern Territory|D015876|1184|MH|RtM via: Northern Territory;Forced Leaf Node Lookup:northern territory|TI|MM|506^18^0;140^18^0
42608426|*Forestry|D016468|1127|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|376^8^0
42608426|*Pinus|D028223|818|MH|RtM via: Pinus caribaea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|1609^14^0;804^14^0;45^14^0;61^14^0
42608426|*Golf|D006055|500|MH|RtM via: Golf;Forced Leaf Node Lookup:golf|TI|MM|1654^4^0;850^4^0;108^4^0
42608426|Honduras|D006721|461|MH|RtM via: Honduras;Forced Leaf Node Lookup:honduras|TI|MM|36^8^0
42608426|*Islands|D062312|909|MH|RtM via: Islands|TI|MM|869^6^0;126^6^0
42608426|*Biological Phenomena|D001686|579|MH|RtM via: Tissue Growth|TI|MM|196^6^0
42608426|*Mycobacterium avium Complex|D015269|576|MH|RtM via: Mycobacterium avium Complex|TI|MM|957^4^0
42608426|*Phenotypes|D010641|450|ET|Entry Term Replacement for "Phenotype";RtM via: Phenotype;Forced Non-Leaf Node Lookup:phenotypes|TI|MM|613^10^0
42608426|Caribbean Region|D017691|1000|MH|Forced Non-Leaf Node Lookup:caribbean||MM|45^9^0
42603129|Humans|D006801|1921|CT|African Continental Ancestry Group;CT Treecode Lookup: M01.686 (African Continental Ancestry Group);Continental Population Groups;CT Treecode Lookup: M01.686 (Continental Population Groups)||MM;RC
42603129|South Australia|D013021|90|MH|Forced Leaf Node Lookup:south australian|TI|MM;RC|121^16^0;280^16^0
42603129|Australia|D001315|0|MH|Geo Lookup:australian|TI;AB|MM;RC
42603129|*African Continental Ancestry Group|D044383|921|MH|RtM via: South African|TI|MM;RC|262^13^0;195^13^0;21^13^0
42603129|*Continental Population Groups|D044469|363|MH|RtM via: Australian|TI|MM|286^10^0;127^10^0
42603129|*Fruit|D005638|18|MH|RtM via: Prunes|TI|MM|48^7^0
42608287|*Forestry|D016468|312|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|306^8^0
42608287|*Rotation|D012399|231|MH|RtM via: Musculoskeletal rotation;Forced Leaf Node Lookup:rotation|TI|MM|842^8^0;315^8^0
42608287|*Dietary Fiber|D004043|603|MH|RtM via: Dietary Fiber|TI|MM|134^5^0
42608287|*Laxatives|D054368|387|MH|RtM via: fiber|TI|MM|668^6^0;622^6^0;134^5^0
42608287|*Uncertainty|D035501|321|MH|RtM via: Uncertainty|TI|MM|21^13^0
42608287|*Dose Fractionation, Radiation|D019583|231|MH|RtM via: Dose Fractionation|TI|MM|441^13^0
42605378|*Trees|D014197|12695|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|359^5^0
42605378|Forestry|D016468|3363|MH|||RC
42605378|Conservation of Natural Resources|D003247|745|MH|Forced Non-Leaf Node Lookup:land management||MM;RC|259^15^0
42605378|*Helicopter|D000401|219|ET|Entry Term Replacement for "Aircraft";RtM via: Helicopter;Forced Non-Leaf Node Lookup:helicopters|TI|MM;RC|21^10^0
42603583|*Forestry|D016468|40647|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM;RC|160^8^0
42603583|United Kingdom|D006113|3117|MH|RtM via: Great Britain;Forced Lookup:britain|TI|MM|589^15^0;45^7^0
42603583|*Forests|D065928|18360|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM;RC|678^6^0;393^6^0;55^7^0;195^8^0
42603583|Conservation of Natural Resources|D003247|2217|MH|||RC
42603583|*Industry|D007221|1533|MH|RtM via: Industry|TI|MM|689^10^0;577^8^0;439^10^0;229^10^0
42608907|*Trees|D014197|3873|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|569^4^0
42608907|Brazil|D001938|1299|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM|2835^6^0;98^6^0
42608907|*Lighting|D008029|1296|MH|Forced Leaf Node Lookup:illumination|TI|MM|403^12^0;1676^12^0
42608907|CHOP protocol|C034587|7534|NM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine|TI|MM|3318^5^0;3166^4^0
42608907|VAP-cyclo protocol|C036337|7534|NM|RtM via: CHOP regimen|TI|MM|3318^5^0;3166^4^0
42608907|*Vincristine|D014750|7533|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine;RtM via: CHOP regimen|TI|MM|3318^5^0;3166^4^0
42608907|*Cyclophosphamide|D003520|6399|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine;RtM via: CHOP regimen;RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|3318^5^0;3166^4^0;1669^4^0
42608907|*Antineoplastic Combined Chemotherapy Protocols|D000971|819|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine;RtM via: CHOP regimen|TI|MM|3318^5^0;3166^4^0
42608907|*Doxorubicin|D004317|2175|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine;RtM via: CHOP regimen;RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|3318^5^0;3166^4^0;1669^4^0
42608907|*Prednisone|D011241|1776|HM|RtM via: CHOP protocol-cyclophosphamide/doxorubicin/prednisone/vincristine|TI|MM|3318^5^0;3166^4^0
42608907|*Prednisolone|D011239|816|HM|RtM via: CHOP regimen|TI|MM|3318^5^0;3166^4^0
42608907|*Forest|D065928|1557|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|999^6^0;816^6^0;158^6^0;242^6^0;1039^6^0
42608796|*Trees|D014197|2496|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|440^5^0
42608796|variacin|C099477|1876|NM|RtM via: variacin;Forced SCR Leaf Node Lookup:variacin|TI|MM|3069^8^0
42608796|Uganda|D014454|1209|MH|RtM via: Uganda;Forced Leaf Node Lookup:ugandan|TI|MM|2793^6^0;78^7^0
42608796|*Seasons|D012621|573|MH|Forced Leaf Node Lookup:seasonal|TI|MM|315^8^0;572^8^0;736^8^0
42608796|*Biological Phenomena|D001686|2370|MH|RtM via: Tissue Growth|TI|MM|1070^6^0;847^6^0;278^6^0
42608796|*Bacteriocins|D001430|1875|HM|RtM via: variacin|TI|MM|3069^8^0
42608796|*Physiological Phenomena|D010829|1860|MH|RtM via: Reflecting|TI|MM|728^7^0
42608796|*Forest|D065928|1620|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|786^6^0;86^6^0
42609984|Humans|D006801|14363476|CT|Forced Humans: men|TI|MM;RC
42609984|Male|D008297|14363476|CT|CT Text Lookup: men|TI|MM;RC|1930^3^0
42609984|United Kingdom|D006113|1150508|MH|Forced Lookup:britain;Forced Leaf Node Lookup:the uk|TI|MM|432^7^0;469^7^0;649^7^0;737^6^0
42609984|*Forestry|D016468|577561|MH|RtM via: Forestry;Forced Leaf Node Lookup:forestry|TI|MM|1135^8^0
42609984|*Wood|D014934|575812|MH|RtM via: Wood material;Forced Leaf Node Lookup:wood|TI|MM|842^4^0;624^4^0;412^4^0;575^4^0
42609984|Cre recombinase|C045073|575255|NM|Forced SCR Leaf Node Lookup:cre|TI|MM|1849^3^0
42609984|*Developing Countries|D003906|575254|MH|Forced Leaf Node Lookup:developing nations|TI|MM|535^18^0
42609984|*European Union|D005062|575254|MH|Forced Leaf Node Lookup:eec|TI|MM|337^3^0
42609984|*Cisplatin|D002945|1467|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2145^4^0;1558^4^0
42609984|*Policy|D057766|1077|MH|RtM via: Policy;Forced Non-Leaf Node Lookup:policy|TI|MM|1144^6^0
42609984|*Investment|D007449|1059|ET|Entry Term Replacement for "Investments";RtM via: Investments|TI|MM|793^10^0
42609984|*Industry|D007221|1020|MH|RtM via: Industry|TI|MM|751^8^0;111^10^0
