42901758|Animals|D000818|6458|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)|TI|MM
42901160|*Anisotropy|D016880|747|MH|RtM via: Anisotropy;Forced Leaf Node Lookup:anisotropies;Forced Leaf Node Lookup:anisotropy|TI|MM|1194^10^0;2564^11^0
42901160|*Spatial Autocorrelation|D062206|627|ET|Entry Term Replacement for "Spatial Analysis";RtM via: Spatial Autocorrelation;Forced Non-Leaf Node Lookup:spatial autocorrelations|TI|MM|1145^23^0;1014^23^0;782^23^0;661^23^0;574^23^0;340^23^0;46^23^0
42901160|*Cyclophosphamide|D003520|483|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2466^4^0;2145^4^0;1970^4^0
42901160|*Cisplatin|D002945|402|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2466^4^0;2145^4^0;1970^4^0
42901160|*Doxorubicin|D004317|351|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|2466^4^0;2145^4^0;1970^4^0
42900934|Male|D008297|5527|CT|Forced Lookup:male;CT Text Lookup: male;CT Text Lookup: males;Forced Non-Leaf Node Lookup:males|TI|MM;RC|171^4^0;827^4^0;1274^5^0
42900934|Female|D005260|5527|CT|Forced Lookup:female;CT Text Lookup: female;CT Text Lookup: females;CT Text Lookup: oviposition;Forced Non-Leaf Node Lookup:females|TI|MM;RC|211^6^0;491^6^0;1284^6^0;862^11^0
42900934|Animals|D000818|5527|CT|Heteroptera;CT Treecode Lookup: B01.050.500.131 (Heteroptera);Copulations;CT Treecode Lookup: F01.145.113.252 (Copulations)|TI|MM
42900934|*Sex Characteristics|D012727|3802|MH|RtM via: Sex Characteristics;RtM via: sexual dimorphism (cellular);Forced Leaf Node Lookup:dimorphism|TI|MM|564^6^1;576^10^1;274^6^1;286^10^1;86^6^1;98^10^1;511^10^0
42900934|*Oviposition|D010058|2356|MH|RtM via: Oviposition;Forced Leaf Node Lookup:ovipositions|TI|MM|862^11^0
42900934|*Marriage|D008393|2131|MH|RtM via: Polygyny;Forced Leaf Node Lookup:polygyny|TI|MM|809^8^0;976^8^0
42900934|*Territoriality|D013731|2023|MH|RtM via: Territoriality;Forced Leaf Node Lookup:territoriality|TI|MM|832^14^0
42900934|*Water|D014867|1174|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|1171^5^0;700^5^0;24^5^0
42900934|*Phylogeny|D010802|1171|MH|RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic|TI|MM|324^12^0
42900934|*Reproduction|D012098|4527|MH|RtM via: conjugation with cellular fusion;RtM via: mating;RtM via: parasexual conjugation with cellular fusion|TI|MM|1230^6^0;1022^6^0;739^6^0
42900934|*Heteroptera|D020062|2067|MH|RtM via: Gerridae;RtM via: Aquarius Genus;RtM via: Gerris;RtM via: Limnoporus|TI|MM|1341^8^0;40^8^0;1452^8^0;124^8^0;1462^6^0;134^6^0;1472^10^0;146^10^0
42900934|*Copulations|D003307|1551|ET|Entry Term Replacement for "Copulation";RtM via: Copulation|TI|MM|925^10^0
42900934|*Body Size|D049628|1152|MH|RtM via: Body Size;Forced Non-Leaf Node Lookup:body sizes|TI|MM|230^9^0
42900934|*Ponte|D011149|15|ET|Entry Term Replacement for "Pons";RtM via: Pontine structure;Forced Non-Leaf Node Lookup:pontes|TI|MM|2330^5^0
42902008|Humans|D006801|36605197|CT|Forced Humans: men|TI|MM;RC
42902008|Male|D008297|36605197|CT|CT Text Lookup: men|TI|MM;RC|3147^3^0
42902008|Animals|D000818|36605197|CT|Beaver;CT Treecode Lookup: B01.050.150.900.649.313.992 (Beaver)||MM
42902008|*Wetlands|D053833|5868597|MH|RtM via: Marshes;RtM via: Wetlands;Forced Leaf Node Lookup:wetlands;Forced Leaf Node Lookup:marshes|TI|MM|1947^7^0;1909^5^0;1672^7^0;1513^7^0;1113^7^0;903^7^0;726^7^0;680^5^0;534^5^0;393^7^0;1445^7^0;58^8^0;1574^7^0;1623^7^0
42902008|*Carex Plant|D031255|2940879|MH|RtM via: Carex saxatilis;RtM via: Carex aquatilis;RtM via: Carex utriculata;Forced Leaf Node Lookup:carex;checkForceMH Boosted|TI|MM|3258^15^0;869^15^0;3437^15^0;1004^15^0;3454^16^0;1021^16^0
42902008|*Eleocharis|D031256|2934189|MH|RtM via: Eleocharis palustris;Forced Leaf Node Lookup:eleocharis;checkForceMH Boosted|TI|MM|3215^20^0;824^20^0
42902008|*Equisetum|D020829|2933604|MH|RtM via: Equisetum fluviatile;Forced Leaf Node Lookup:equisetums;checkForceMH Boosted|TI|MM|3474^20^0;1043^20^0
42902008|*Ecosystem|D017753|1468842|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM|2197^10^0
42902008|*Floods|D055868|1468443|MH|RtM via: Floods;Forced Leaf Node Lookup:floods|TI|MM|701^8^0;603^8^0;110^8^0;750^5^0;928^5^0;1147^5^0
42902008|Alberta|D000416|1467684|MH|RtM via: Alberta province;Forced Leaf Node Lookup:alberta|TI|MM|2768^7^0;449^7^0
42902008|*Parks, Recreational|D000068316|1467684|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|434^13^0
42902008|*Rivers|D045483|1467573|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|597^5^0;418^5^0
42902008|*Beaver|D012377|1467117|ET|Entry Term Replacement for "Rodentia";RtM via: Castor;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beavers|TI|MM|4122^6^0;3323^6^0;2655^6^0;1496^6^0;886^6^0;342^6^0
42902008|*Railroads|D011890|1467054|MH|RtM via: Railroads;Forced Leaf Node Lookup:railroads|TI|MM|1555^8^0
42902008|*Water|D014867|1467024|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|2145^5^0;1861^5^0;1715^5^0;1735^5^0;2061^5^0;2166^5^0
42902008|*Seasons|D012621|1466505|MH|Forced Leaf Node Lookup:seasonal|TI|MM|101^8^0;162^8^0
42902008|*Adaptation, Physiological|D000222|24183|MH|RtM via: Adaptation|TI|MM|90^7^0
42902008|*Bryophyta|D044002|2142|MH|RtM via: Mosses|TI|MM|3991^10^0;1418^9^0;1269^4^0
42902456|*Population Density|D011156|1679|MH|RtM via: Population Density;Forced Leaf Node Lookup:population densities|TI|MM|669^20^0
42902456|*Physical Phenomena|D055585|1767|MH|RtM via: Saturated|TI|MM|1035^9^0
42902456|*Theoretical Models|D008962|759|ET|Entry Term Replacement for "Models, Theoretical";RtM via: Theoretical model;Forced Non-Leaf Node Lookup:theoretical models|TI|MM;RC|573^18^0
42902456|*Dissent and Disputes|D034462|528|MH|RtM via: Disputes|TI|MM|460^5^0
42902456|*Mycobacterium avium Complex|D015269|510|MH|RtM via: Mycobacterium avium Complex|TI|MM|3914^4^0;3186^4^0
42902456|*Ecological Communities|D058448|237|ET|Entry Term Replacement for "Biota";RtM via: Ecological Community;Forced Non-Leaf Node Lookup:ecological communities|TI|MM|101^22^0
42900652|*Pollination|D054817|3490|MH|RtM via: Pollination;Forced Leaf Node Lookup:pollination|TI|MM|1525^10^0;979^10^0;701^10^0;609^10^0;401^10^0;338^11^0;128^11^0;360^11^0;442^11^0
42900652|*Inflorescence|D056626|2039|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|2671^14^0;2400^14^0;1895^14^0;953^13^0;667^13^0;620^14^0;300^14^0;412^14^0;498^14^0;2534^14^0;712^13^0;823^13^0;861^13^0;990^13^0;2370^13^0
42900652|*Fruit|D005638|1781|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|3273^5^0;3073^6^0;2469^5^0;2292^6^0;1593^6^0;1320^5^0;1180^5^0;739^5^0;562^5^0;42^5^0;782^5^0;2509^5^0
42900652|*Sorbus|D031994|1766|MH|RtM via: Sorbus aucuparia;Forced Leaf Node Lookup:sorbus;checkForceMH Boosted|TI|MM|1637^16^0;87^16^0
42900652|*Trees|D014197|1731|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1420^5^0;1240^5^0;1035^5^0;295^4^0;181^5^0;258^5^0;1268^5^0
42900652|Cre recombinase|C045073|476|NM|Forced SCR Leaf Node Lookup:cre|TI|MM|2230^3^0
42900652|Sweden|D013548|475|MH|RtM via: Sweden;Forced Leaf Node Lookup:sweden|TI|MM|163^6^0
42900652|*Flower|D035264|1233|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM|1326^6^0;1097^6^0;745^6^0;568^6^0;1363^6^0
42900652|*Pollen|D011058|930|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|3527^6^0;2999^6^0;1564^6^0;1486^6^0;1165^6^0;552^6^0;21^6^0
42900652|*Seeds|D012639|690|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|1353^5^0;1190^4^0;1087^5^0;772^5^0;585^4^0;52^4^0
42900652|*Chronic Disease|D002908|444|MH|RtM via: Recurrent Disease, Distant Site|TI|MM|807^7^0;455^7^0
42901587|Female|D005260|11044|CT|Forced Lookup:female;Parturition;CT Treecode Lookup: G08.686.784.769.490 (Parturition);Mothers;CT Treecode Lookup: F01.829.263.500.320.200 (Mothers);Mothers;CT Treecode Lookup: I01.880.853.150.500.340.270 (Mothers);Mothers;CT Treecode Lookup: M01.620.630 (Mothers);Delivery, Obstetric;CT Treecode Lookup: E04.520 (Delivery, Obstetric);CT Text Lookup: female;CT Text Lookup: females;CT Text Lookup: her;Forced Non-Leaf Node Lookup:females|TI|MM;RC|319^6^0;586^6^0;762^6^0;1188^6^0;1233^6^0;1429^6^0;340^3^0
42901587|Animals|D000818|11044|CT|Lizards;CT Treecode Lookup: B01.050.150.900.833 (Lizards)|TI|MM
42901587|Humans|D006801|1000|CT|Forced Humans:D Mothers||MM
42901587|Pregnancy|D011247|1000|CT|Forced Treecode Turn Back On: G08.686.784.769.490 (Parturition)||MM
42901587|*Mothers|D009035|5012|MH|RtM via: Mother (person);Forced Leaf Node Lookup:mothers|TI|MM|1014^7^0;1074^7^0;1130^7^0;394^6^0
42901587|*Corticosterone|D003345|3032|MH|RtM via: Corticosterone;Forced Leaf Node Lookup:corticosterone;checkForceMH Boosted|TI|MM|3101^14^0;2484^14^0;2118^14^0;1242^14^0;1051^14^0;714^14^0;492^14^0;814^14^0;3221^14^0
42901587|*Maternal Inheritance|D000072741|2413|MH|RtM via: Maternal Inheritance;Forced Leaf Node Lookup:maternal effects|TI|MM|1349^16^0
42901587|*Laboratories|D007753|2131|MH|RtM via: Laboratory;Forced Leaf Node Lookup:laboratory|TI|MM|671^10^0
42901587|*Parturition|D036801|10044|MH|RtM via: Birth;RtM via: Childbirth;Forced Non-Leaf Node Lookup:parturitions|TI|MM|688^11^0
42901587|*Delivery, Obstetric|D036861|3885|MH|RtM via: Obstetric Delivery|TI|MM|688^11^0
42901587|*Lizards|D008116|1158|MH|RtM via: Zootoca vivipara|TI|MM|184^16^0
42901587|*Phenotype|D010641|315|MH|RtM via: Trait;RtM via: Phenotype;Forced Non-Leaf Node Lookup:phenotypes|TI|MM|1619^6^0;90^6^0;2193^9^0;1922^9^0;1338^9^0;559^9^0
42901587|France|D005602|3|MH|RtM via: France|TI|MM|2316^6^0
42902075|*Abies|D028202|5076|MH|RtM via: Abies sachalinensis;Forced Leaf Node Lookup:abies;checkForceMH Boosted|TI|MM|998^19^0;50^19^0;1351^5^0
42902075|*Picea|D028222|3381|MH|RtM via: Picea jezoensis;Forced Leaf Node Lookup:piceas;checkForceMH Boosted|TI|MM|1377^15^0;74^15^0
42902075|*Seedlings|D036226|2694|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|680^9^0;597^9^0;387^9^0
42902075|*Conifers|D064028|2232|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted|TI|MM|524^10^0
42902075|*Survival Rate|D015996|1971|MH|RtM via: Survival Rate;Forced Leaf Node Lookup:survival rates|TI|MM|845^13^0
42902075|*Germination|D018525|1830|MH|RtM via: Germination;Forced Leaf Node Lookup:germinations|TI|MM|2177^11^0;1610^11^0;1522^11^0;770^11^0;669^10^0;586^10^0;261^11^0;200^11^0
42902075|*Photons|D017785|963|MH|RtM via: Photons;Forced Leaf Node Lookup:photons|TI|MM|2361^7^0;939^6^0
42902075|Japan|D007564|723|MH|RtM via: Japan;Forced Leaf Node Lookup:japan|TI|MM|254^5^0
42902075|*Cycadopsida|D032462|1257|MH|RtM via: Division Coniferophyta (organism)|TI|MM|524^10^0
42902075|*Photosynthesis|D010788|1068|MH|RtM via: Photosynthesis|TI|MM|924^14^0
42902075|*Bryophyta|D044002|927|MH|RtM via: Mosses|TI|MM|642^4^0;335^4^0
42902075|*Forest|D065928|645|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|535^6^0
42902075|*Plant Leaves|D018515|474|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|1031^4^0;1054^4^0;1080^4^0;1103^4^0
42902075|*Hardness|D006244|60|MH|RtM via: Hardness;Forced Non-Leaf Node Lookup:hardness|TI|MM|325^8^0
42901762|*Panicum|D008897|4386|MH|RtM via: Panicum virgatum;Forced Leaf Node Lookup:panicum virgatum;Forced Leaf Node Lookup:switchgrass;checkForceMH Boosted|TI|MM|1904^16^0;370^16^0;357^11^0;650^11^0
42901762|*Grassland|D065948|2478|MH|Forced Leaf Node Lookup:grasslands;Forced Leaf Node Lookup:prairies|TI|MM|108^10^0;1554^8^0;1848^8^0;3172^8^0;317^7^0;1438^7^0
42901762|*Poa|D031785|2685|MH|RtM via: Poa plant|TI|MM|1432^13^0;317^13^0
42901762|*Plant Leaves|D018515|942|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|61^6^0
42901762|*Seed|D012639|855|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds|TI|MM|848^6^0
42901762|*Health Status|D006304|762|MH|RtM via: Unaffected|TI|MM|1251^10^0
42901762|Regeneration|D012038|1000|MH|Forced Non-Leaf Node Lookup:regenerations||MM|1412^12^0
42902560|Humans|D006801|1000|CT|Forced Humans:D Physicians||MM
42902560|*Population Density|D011156|1460|MH|RtM via: Population Density;Forced Leaf Node Lookup:population density|TI|MM|158^18^0
42902560|*Bayes Theorem|D001499|614|MH|Forced Lookup:bayesian|TI|MM|898^8^0
42902560|*Organizations|D009938|1698|MH|RtM via: Utilities (organization)|TI|MM|623^7^0
42902560|*Physicians|D010820|1434|MH|RtM via: Scientist|TI|MM;RC|348^10^0
42902560|*Physical Phenomena|D055585|1143|MH|RtM via: Energy Absorption;RtM via: Material Absorption|TI|MM|728^8^0
42902560|*Abstracting and Indexing|D000043|618|MH|RtM via: Index|TI|MM|959^5^0;669^5^0
[594]: *** ERROR *** ERROR *** ERROR ***
42901338|Animals|D000818|8359|CT|Ranidae;CT Treecode Lookup: B01.050.150.900.090 (Ranidae);Anura;CT Treecode Lookup: B01.050.150.900.090 (Anura);Mink;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mink)|TI|MM
42901338|*Wetlands|D053833|3483|MH|RtM via: Wetlands;Forced Leaf Node Lookup:wetlands|TI|MM|1117^8^0;444^7^0;356^8^0
42901338|*Climate Change|D057231|3426|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|279^14^0
42901338|*Mink|D008907|2343|MH|RtM via: Mink;Forced Leaf Node Lookup:mink;checkForceMH Boosted|TI|MM|598^4^0
42901338|Ontario|D009864|1683|MH|RtM via: Ontario;Forced Leaf Node Lookup:ontario|TI|MM|857^7^0;348^7^0;1563^7^0;2226^7^0
42901338|*Logistic Models|D016015|1062|MH|Forced Leaf Node Lookup:logistic regressions|TI|MM|516^19^0
42901338|*Ranidae|D011898|7359|MH|RtM via: Lithobates septentrionalis;RtM via: Pickerel frog;RtM via: Rana palustris;RtM via: Rana sylvatica;Forced Non-Leaf Node Lookup:rana|TI|MM|1845^20^0;609^20^0;716^13^0;1999^14^0;731^14^0;1894^14^0;650^14^0;639^9^0
42901338|*Anura|D001001|5007|MH|RtM via: Anura;RtM via: Salientia;Forced Non-Leaf Node Lookup:anuran|TI|MM|603^4^0;66^6^0;313^6^0
42901338|*Forest|D065928|2169|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|1078^6^0;800^6^0;502^6^0
42901338|*Habitat|D017753|1581|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat;Forced Non-Leaf Node Lookup:habitats|TI|MM|217^7^0;1400^8^0
42901825|Humans|D006801|7771|CT|Continental Population Groups;CT Treecode Lookup: M01.686 (Continental Population Groups)||MM;RC
42901825|Adult|D000328|7771|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|274^5^0;425^5^0
42901825|*Wildfires|D000075923|6771|MH|RtM via: Wildfires;Forced Leaf Node Lookup:forest fires;Forced Leaf Node Lookup:wildfires|TI|MM|1230^12^0;510^9^0
42901825|*Trees|D014197|5049|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1080^4^0;440^5^0;280^5^0
42901825|Spain|D013030|3699|MH|RtM via: Spain;Forced Leaf Node Lookup:catalonia;Forced Leaf Node Lookup:spain|TI|MM|544^5^0;523^9^0;947^9^0
42901825|*Seedlings|D036226|3636|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|733^8^0;613^9^0;479^9^0
42901825|*Pinus|D028223|3444|MH|RtM via: Pinus pinea;RtM via: Pinus <genus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|1454^11^0;57^11^0;1392^4^0
42901825|*Seed Dispersal|D058614|2439|MH|RtM via: Seed Dispersal;Forced Leaf Node Lookup:seed dispersals|TI|MM|672^14^0
42901825|*Fire|D005390|2904|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|1032^4^0;642^4^0;334^4^0
42901825|*Forests|D065928|2544|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forested areas|TI|MM|1165^7^0;72^14^0
42901825|*Burns|D002056|660|MH|RtM via: Burn injury|TI|MM|1220^6^0;885^6^0;800^6^0;500^6^0;97^6^0
42901825|*Continental Population Groups|D044469|633|MH|RtM via: Mediterranean|TI|MM|1272^13^0
42902078|Male|D008297|4374|CT|Forced Lookup:male;CT Text Lookup: male;CT Text Lookup: males;Forced Non-Leaf Node Lookup:males|TI|MM;RC|662^4^0;1062^4^0;1286^4^0;1544^4^0;515^5^0
42902078|Animals|D000818|4374|CT|Spiders;CT Treecode Lookup: B01.050.500.131 (Spiders);Arthropod;CT Treecode Lookup: B01.050.500.131 (Arthropod);Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates)|TI|MM
42902078|*Spiders|D013112|3374|MH|RtM via: Spiders;RtM via: Schizocosa ocreata;RtM via: Family Lycosidae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:spiders|TI|MM|866^7^0;679^7^0;2273^18^0;409^18^0;454^11^0;459^6^0
42902078|*Arthropod|D001181|2885|ET|Entry Term Replacement for "Arthropods";RtM via: Arthropods;checkForceMH Boosted;Forced Non-Leaf Node Lookup:arthropods|TI|MM|1447^9^0
42902078|*Ecosystem|D017753|1814|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM|1366^9^0;342^9^0
42902078|*Dihydroergotamine|D004087|1456|MH|Forced Leaf Node Lookup:agit;checkForceMH Boosted|TI|MM|3918^4^0
42902078|*Tornadoes|D055869|917|MH|RtM via: Tornadoes;Forced Leaf Node Lookup:tornados|TI|MM|382^7^0
42902078|*Invertebrates|D007448|2385|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM|1714^13^0
42902078|*Forest|D065928|1470|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|922^6^0;438^6^0
42902078|*Seasons|D012621|687|MH|RtM via: spring (season)|TI|MM|772^6^0
42902078|*Body Size|D049628|639|MH|RtM via: Body Size;Forced Non-Leaf Node Lookup:body sizes|TI|MM|961^9^0
42902078|Femur|D005269|1000|MH|Forced Non-Leaf Node Lookup:femur||MM|1648^5^0
42900958|*Trees|D014197|2814|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM|1103^4^0;530^4^0;303^4^0;586^4^0
42900958|*Farms|D000072480|2496|MH|RtM via: Farming environment;Forced Leaf Node Lookup:farmlands|TI|MM|246^8^0
42900958|Ontario|D009864|1401|MH|RtM via: Ontario;Forced Leaf Node Lookup:ontario|TI|MM|266^7^0;1628^7^0
42900958|*Wind|D014919|1308|MH|RtM via: Environmental Wind;Forced Leaf Node Lookup:wind|TI|MM|916^4^0
42900958|*Introduced Species|D058865|1242|MH|Forced Leaf Node Lookup:non-native species;checkForceMH Boosted|TI|MM|617^18^0
42900958|*Grasses|D006109|1014|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM|796^7^0
42900958|*Fruit|D005638|780|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|808^5^0
42900958|gramine|C007884|622|NM|Forced SCR Leaf Node Lookup:gramine|TI|MM|2412^7^0
42900958|*Woodland|D065928|1845|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:woodlands|TI|MM|1233^6^0;870^6^0;695^6^0;709^8^0;482^6^0;452^6^0;69^6^0;230^6^0;755^6^0
42900958|*Agriculture|D000383|1116|MH|RtM via: Agriculture|TI|MM|105^12^0
42900958|*Mycobacterium avium Complex|D015269|531|MH|RtM via: Mycobacterium avium Complex|TI|MM|2363^4^0;1781^4^0
42900772|Animals|D000818|8033|CT|Zooplankton;CT Treecode Lookup: B05.080.500.980 (Zooplankton)|TI|MM
42900772|*Phosphorus|D010758|7033|MH|RtM via: phosphorus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phosphorus|TI|MM|790^10^0
42900772|*Nitrogen|D009584|6136|MH|RtM via: nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM|776^8^0
42900772|*Zooplankton|D015048|5849|MH|RtM via: Zooplankton;Forced Leaf Node Lookup:zooplankton;checkForceMH Boosted|TI|MM|1520^11^0;1404^11^0;882^11^0;536^11^0;438^11^0;57^11^0;139^11^0;607^11^0
42900772|*Biomass|D018533|4997|MH|RtM via: Biomass;Forced Leaf Node Lookup:biomasses|TI|MM|917^7^0;3032^8^0
42900772|*Carbon|D002244|4987|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM|768^6^0
42900772|*Lakes|D060106|4802|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lakes|TI|MM|2799^5^0;1059^4^0;974^4^0;860^4^0;719^5^0;677^5^0
42900772|*Phytoplankton|D010839|4336|MH|RtM via: Phytoplankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:phytoplankton|TI|MM|2237^13^0;228^13^0
42900772|*Water|D014867|2080|MH|RtM via: water;checkForceMH Boosted;Forced Non-Leaf Node Lookup:water|TI|MM|1779^5^0;473^5^0
42900772|*Particulate Matter|D052638|1984|MH|RtM via: Particulate Matter;checkForceMH Boosted;Forced Non-Leaf Node Lookup:particulate matter|TI|MM|1085^18^0;814^18^0;634^18^0
42900772|Canada|D002170|2328|MH|RtM via: Canada;Forced Non-Leaf Node Lookup:canada|TI|MM;RC|2812^6^0;731^6^0
42900772|*Survey|D011795|1674|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM;RC|582^6^0
42900772|*Suspension|D013535|1371|ET|Entry Term Replacement for "Suspensions";RtM via: Suspensions|TI|MM|2936^10^0;2713^10^0
42900772|*Biological Phenomena|D001686|1155|MH|RtM via: Tissue Growth|TI|MM|242^6^0
42900772|*Nutrients|D000078622|804|MH|RtM via: Nutrients;Forced Non-Leaf Node Lookup:nutrients|TI|MM|1905^8^0;304^9^0;102^9^0
42900921|Humans|D006801|4192|CT|Lookup: Aged Rule||MM;RC
42900921|Adult|D000328|4192|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|348^5^0
42900921|*Fagus|D029964|3192|MH|RtM via: Beech;RtM via: Fagus crenata;Forced Leaf Node Lookup:beechs;Forced Leaf Node Lookup:fagus;checkForceMH Boosted|TI|MM|67^5^0;573^13^0;74^13^0
42900921|*Snow|D012914|1369|MH|RtM via: Snow (substance);RtM via: snow - weather;Forced Leaf Node Lookup:snow|TI|MM|269^4^0
42900921|*Temperature|D013696|862|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|195^11^0
42900921|Japan|D007564|352|MH|Forced Leaf Node Lookup:japanese|TI|MM|58^8^0
42900921|*Reproduction|D012098|1140|MH|RtM via: Reproduction|TI|MM|445^12^0
42900921|*Plant Leaves|D018515|369|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaf|TI|MM|354^4^0
42900921|*Seed|D012639|333|ET|Entry Term Replacement for "Seeds";RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seed|TI|MM|109^4^0;45^4^0
42900921|*Galactosemias|D005693|126|MH|RtM via: UDPglucose 4-epimerase deficiency disease|TI|MM|856^4^0
42901308|Male|D008297|9814|CT|CT Text Lookup: both sexes|TI|MM;RC|536^10^0;569^5^0;593^5^0;943^5^0
42901308|Humans|D006801|9814|CT|Forced Leaf Node Lookup:humans|TI|MM;RC|379^6^0;1065^5^0
42901308|Female|D005260|9814|CT|Forced Lookup:female;CT Text Lookup: both sexes;CT Text Lookup: female;CT Text Lookup: females;Forced Non-Leaf Node Lookup:females|TI|MM;RC|410^6^0;652^6^0;729^6^0;984^6^0;536^10^0
42901308|Adult|D000328|9814|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|324^5^0
42901308|*Tooth Attrition|D019217|8814|MH|RtM via: Tooth Attrition|TI|MM|813^10^0;488^10^0
42901308|*Sex|D012723|4092|MH|RtM via: sex|TI|MM|2265^5^0;1766^5^0;931^5^0;541^5^0
42901308|*Tooth Wear|D057085|2586|MH|RtM via: Tooth Wear;Forced Non-Leaf Node Lookup:tooth wears|TI|MM|813^10^0;488^10^0
42901308|*Sexual Behavior|D012725|1998|MH|RtM via: Sex Behavior|TI|MM|2265^5^0;1766^5^0;931^5^0;541^5^0
42901308|*Reproduction|D012098|1680|MH|RtM via: Reproduction;Forced Non-Leaf Node Lookup:reproduction|TI|MM|2052^12^0;777^12^0
42900911|Animals|D000818|7977|CT|Anomura;CT Treecode Lookup: B01.050.500.131 (Anomura);Gastropod;CT Treecode Lookup: B01.050.500.644 (Gastropod);Larvae;CT Treecode Lookup: B05.500 (Larvae);Larvae;CT Treecode Lookup: G07.345.500.550.500 (Larvae);Polychaeta;CT Treecode Lookup: B01.050.500.091 (Polychaeta)||MM
42900911|Adult|D000328|7977|CT|Forced Leaf Node Lookup:adults;CT Text Lookup: adult|TI|MM;RC|450^6^0;533^6^0
42900911|*Anomura|D033381|6977|MH|RtM via: Discorsopagurus schmitti;RtM via: Anomura;RtM via: Pagurus;Forced Leaf Node Lookup:hermit crabs;checkForceMH Boosted|TI|MM|118^24^0;106^11^0
