10.2307/1216548|Animals|C0003062|1825|CT|Mustelidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mustelidae)||MM;RC
10.2307/25065374|*Specialization|C0037776|80|MH|RtM via: Hospital specialist;Forced Leaf Node Lookup:specialists|TI|MM|84^11^0
10.2307/25065374|*Names|C0027365|207|MH|RtM via: Name;RtM via: Person Name|TI|MM|245^5^0;140^5^0
10.2307/25065375|Humans|C0086418|16249|CT|Continental Population Groups;CT Treecode Lookup: M01.686 (Continental Population Groups)||MM;RC
10.2307/25065375|*Euphorbia|C0949864|15249|MH|RtM via: Euphorbia <genus>;RtM via: Euphorbia lambii;RtM via: Euphorbia <subgenus>;Forced Leaf Node Lookup:euphorbias;checkForceMH Boosted|TI|MM;RC|123^9^0;322^16^0;164^9^0
10.2307/25065375|*Names|C0027365|438|MH|RtM via: Name;RtM via: Person Name|TI|MM|63^5^0
10.2307/25065375|*Inclusion Bodies|C0007637|288|MH|RtM via: Inclusion Bodies|TI|MM|309^9^0
10.2307/25065375|*Continental Population Groups|C1257911|27|MH|RtM via: Mediterranean|TI|MM|89^13^0
10.2307/25065376|*Cupressaceae|C0950020|1230|MH|RtM via: Metasequoia glyptostroboides|TI|MM;RC|103^28^0
10.2307/25065376|Organ Size|C1450569|19|MH|||RC
10.2307/25065377|*Cuscuta|C0996947|2180|MH|RtM via: Cuscuta europaea;Forced Leaf Node Lookup:cuscutas;checkForceMH Boosted|TI|MM;RC|65^16^0
10.2307/25065377|*Publication|C0034036|15411|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM;RC|365^11^0
10.2307/25065377|*Publishing|C0034037|6363|MH|RtM via: Publishing|TI|MM;RC|365^11^0
10.2307/25065377|*Name|C0027365|2598|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|206^4^0
10.2307/25065377|*NG-Nitroarginine Methyl Ester|C0083536|24|MH|RtM via: NG-Nitroarginine Methyl Ester|TI|MM|60^4^1;97^1^1
10.2307/25065378|Animals|C0003062|1366|CT|Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates)||MM;RC
10.2307/25065378|*Invertebrates|C0021948|366|MH|RtM via: Fallax|TI|MM|253^6^0
10.2307/25065378|*Asteraceae|C0446228|99|MH|RtM via: Rhodanthemum;RtM via: Rhodanthemum gayanum|TI|MM|98^12^0;225^20^0
10.2307/25065378|*Names|C0027365|18|MH|RtM via: Name;RtM via: Person Name|TI|MM|70^5^0
10.2307/25065379|*Paecilomyces|C0030182|25043|MH|RtM via: Paecilomyces;RtM via: Paecilomyces farinosus;Forced Leaf Node Lookup:paecilomyces;checkForceMH Boosted|TI|MM;RC|485^12^0;297^15^0
10.2307/25065379|*Authorship|C0004351|7522|MH|RtM via: Authorship;Forced Leaf Node Lookup:authorships|TI|MM|107^10^0
10.2307/25065379|*Byssochlamys|C1080701|19080|MH|RtM via: Byssochlamy|TI|MM|485^12^0
10.2307/25065379|*Name|C0027365|6390|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Generic Name;RtM via: Person Name|TI|MM|430^4^0;212^12^0;73^12^0
10.2307/25065379|*Hypocreales|C0020606|3789|MH|RtM via: Isaria|TI|MM;RC|612^6^0;435^6^0;171^6^0;86^6^0
10.2307/25065379|*Publications|C0034036|2814|MH|RtM via: Scientific Publication|TI|MM|202^9^0
10.2307/25065380|Sweden|C0038995|179|MH|RtM via: Sweden;Forced Leaf Node Lookup:sweden|TI|MM|101^6^0
10.2307/25065380|*Asteraceae|C0446228|1767|MH|RtM via: Hieracium|TI|MM;RC|68^9^0
10.2307/25065380|*Names|C0027365|192|MH|RtM via: Name;RtM via: Person Name|TI|MM|47^5^0
10.2307/25065382|*Orobanche|C1006412|23402|MH|RtM via: Orobanche;Forced Leaf Node Lookup:orobanches;checkForceMH Boosted|TI|MM;RC|343^9^0;50^9^0
10.2307/25065382|*Name|C0027365|108|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|338^4^0;224^4^0;170^4^0
10.2307/25065382|Phylogeny|C0031797|83|MH|||RC
10.2307/25065385|Humans|C0086418|3628|CT|Continental Population Groups;CT Treecode Lookup: M01.686 (Continental Population Groups)||MM;RC
10.2307/25065385|*Acacia|C0000869|2628|MH|RtM via: Acacia;Forced Leaf Node Lookup:acacias;checkForceMH Boosted|TI|MM|148^6^0;60^6^0
10.2307/25065385|Australia|C0004340|249|MH|Forced Leaf Node Lookup:australian;Geo Lookup:australians|TI;AB|MM|172^10^0;655^10^0
10.2307/25065385|*Cost of Illness|C0162698|249|MH|Forced Leaf Node Lookup:economic burden|TI|MM|683^15^0
10.2307/25065385|*Developing Countries|C0011750|249|MH|Forced Leaf Node Lookup:developing countries|TI|MM|709^20^0
10.2307/25065385|Conservation of Natural Resources|C0009799|819|MH|||RC
10.2307/25065385|*Dissent and Disputes|C1136019|615|MH|RtM via: Disputes|TI|MM|524^9^0
10.2307/25065385|*Continental Population Groups|C1257911|201|MH|RtM via: Australian|TI|MM|655^10^0;172^10^0
10.2307/25065402|Humans|C0086418|1393|CT|Chinese;CT Treecode Lookup: M01.686 (Chinese)||MM;RC
10.2307/25065402|China|C0008115|393|MH|RtM via: China;Forced Non-Leaf Node Lookup:china|TI|MM;RC|206^5^0;132^5^0
10.2307/25065402|Drugs, Chinese Herbal|C0013229|48|MH|||RC
10.2307/25065402|*Skin Diseases|C0037274|39|MH|RtM via: Equine laminitis|TI|MM|96^7^0
10.2307/25065402|*Chinese|C0152035|30|ET|Entry Term Replacement for "Asian Continental Ancestry Group";RtM via: Chinese People|TI|MM;RC|69^7^0
10.2307/25065418|Animals|C0003062|157997|CT|Heteroptera;CT Treecode Lookup: B01.050.500.131 (Heteroptera)||MM;RC
10.2307/25065418|*Lichen|C0023657|156997|ET|Entry Term Replacement for "Lichens";RtM via: Lichen - organism;checkForceMH Boosted|TI|MM;RC|67^10^0
10.2307/25065418|*rDNA|C0012933|68146|ET|Entry Term Replacement for "DNA, Ribosomal";RtM via: DNA, Ribosomal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rdna|TI|MM;RC|415^4^0;288^4^0;222^4^0
10.2307/25065418|*Phylogeny|C0031797|38080|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|33^12^0
10.2307/25065418|*Tubulin|C0041348|31670|MH|RtM via: beta-Tubulin;RtM via: Tubulin Beta Chain, human;Forced Leaf Node Lookup:beta-tubulin;checkForceMH Boosted|TI|MM;RC|387^12^0;143^12^0;466^12^0
10.2307/25065418|glyceraldehyde 3-phosphate dehydrogenase (304-313)|C0119659|27351|NM|Forced SCR Leaf Node Lookup:glyceraldehyde 3-phosphate dehydrogenase|TI|MM|165^40^0
10.2307/25065418|*Ascomycete|C0003965|85290|ET|Entry Term Replacement for "Ascomycota";RtM via: Ascomycota (fungus);RtM via: Lepraria jackii;RtM via: Leproloma;RtM via: Leproloma membranaceum;RtM via: Stereocaulon;RtM via: Cladoniaceae;RtM via: Stereocaulaceae;RtM via: Pilophorus ascomycete fungus;RtM via: Stereocaulon tornense;RtM via: Class Ascomycetes (fungus);Forced Non-Leaf Node Lookup:ascomycetes|TI|MM;RC|78^10^0;1019^15^0;921^9^0;1039^22^0;785^6^0;805^12^0;653^12^0;549^6^0;560^12^0;1324^12^0;1139^12^0;1341^15^0;96^15^0;1113^10^0;599^21^0;893^8^0;539^8^0
10.2307/25065418|*Glyceraldehyde-3-Phosphate Dehydrogenases|C0017857|27350|HM|RtM via: Glyceraldehyde-3-phosphate dehydrogenase|TI|MM|401^5^0;165^40^0
10.2307/25065418|*Biological Phenomena|C0005520|1305|MH|RtM via: Tissue Growth|TI|MM|702^6^0
10.2307/25065418|*Heteroptera|C0544262|1272|MH|RtM via: Pilophorus plant bug|TI|MM|1113^10^0
10.2307/25065419|Female|C0086287|6617|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary)|TI|MM
10.2307/25065419|*Rhamnaceae|C0446234|5617|MH|RtM via: Rhamnaceae;RtM via: Blackallia;RtM via: Pomaderris;RtM via: Siegfriedia;RtM via: Spyridium;RtM via: Stenanthemum;RtM via: Trymalium;RtM via: Pomaderreae;RtM via: Cryptandra;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rhamnaceae|TI|MM|201^10^0;52^10^0;963^10^0;926^10^0;681^10^0;978^11^0;665^11^0;938^9^0;1257^12^0;1073^12^0;560^12^0;952^9^0;855^11^0;391^11^0;338^11^0;39^11^0;1311^10^0;914^10^0
10.2307/25065419|New Zealand|C0027978|4306|MH|RtM via: New Zealand;Forced Leaf Node Lookup:new zealand|TI|MM|154^11^0
10.2307/25065419|*Trichomes|C3658255|2497|MH|RtM via: Trichomes;Forced Leaf Node Lookup:indumentums|TI|MM|1221^10^0
10.2307/25065419|*Phylogeny|C0031797|2186|MH|Forced Lookup:phylogenetic|TI|MM;RC|228^12^0
10.2307/25065419|*Consensus|C0376298|1429|MH|RtM via: Consensus;Forced Leaf Node Lookup:consensus|TI|MM|449^9^0
10.2307/25065419|*Ovary|C0029939|1111|MH|RtM via: Ovary;RtM via: Both ovaries;Forced Leaf Node Lookup:ovary|TI|MM|1194^5^0
10.2307/25065419|Australia|C0004340|3417|MH|RtM via: Australia;Forced Non-Leaf Node Lookup:australia|TI|MM|140^9^0
10.2307/25065419|Evolution, Molecular|C0282688|918|MH|||RC
10.2307/25065419|*Research Design|C0035171|165|MH|RtM via: Phylogenetic Analysis|TI|MM|228^21^0
10.2307/25065420|*DNA, Ribosomal|C0012933|41206|MH|RtM via: DNA, Ribosomal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ribosomal dna|TI|MM;RC|131^13^0
10.2307/25065420|*Leuzea|C1191436|30641|MH|RtM via: Leuzea;Forced Leaf Node Lookup:rhaponticums;checkForceMH Boosted|TI|MM|440^11^0
10.2307/25065420|*Asteraceae|C0446228|44664|MH|RtM via: Carduinae;RtM via: Centaureinae;RtM via: Klasea;RtM via: Serratula;RtM via: Rhaponticum Ludw.|TI|MM;RC|538^9^0;562^12^0;346^12^0;687^6^0;595^6^0;368^6^0;197^6^0;82^6^0;279^9^0;268^9^0;68^9^0;440^11^0
10.2307/25065420|*Ribosomes|C0035553|18750|MH|RtM via: Ribosomes|TI|MM;RC|131^9^0
10.2307/25065420|*Cell Nucleus|C0007610|5472|MH|RtM via: Nuclear (nucleus)|TI|MM;RC|123^7^0
10.2307/25065421|*Lamiaceae|C0524904|261002|MH|RtM via: Lamiaceae;RtM via: Nepetoideae;RtM via: Micronema <angiosperm>;RtM via: Clinopodium;RtM via: Mentheae;RtM via: Thymbra;checkForceMH Boosted;Forced Non-Leaf Node Lookup:micromerias|TI|MM;RC|48^9^0;373^11^0;59^11^0;1538^10^0;1263^10^0;818^10^0;726^10^0;29^10^0;615^11^0;253^8^0;1078^7^0
10.2307/25065421|*Origanum|C1008032|155998|MH|RtM via: Origanum (plant);Forced Leaf Node Lookup:origanum;checkForceMH Boosted|TI|MM|1105^8^0
10.2307/25065421|*Satureja|C1015032|154603|MH|RtM via: Satureja;Forced Leaf Node Lookup:saturejas;checkForceMH Boosted|TI|MM|553^8^0
10.2307/25065421|*Monarda|C1008031|142426|MH|RtM via: Monarda;Forced Leaf Node Lookup:monardas;checkForceMH Boosted|TI|MM|696^7^0
10.2307/25065421|*Phylogeny|C0031797|52229|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|1288^12^0;180^12^0
10.2307/25065421|*Introns|C0021920|51695|MH|RtM via: Introns;Forced Leaf Node Lookup:introns|TI|MM;RC|309^6^0
10.2307/25065421|Spain|C0037747|32546|MH|RtM via: Canary Islands;Forced Leaf Node Lookup:canary islands|TI|MM;RC|932^14^0
10.2307/25065421|*Thymus Plant|C1015036|103035|MH|RtM via: Thymus <angiosperm>|TI|MM|1090^6^0
10.2307/25065421|Mediterranean Region|C0282645|7320|MH|RtM via: Mediterranean Region;Forced Non-Leaf Node Lookup:mediterranean region|TI|MM|102^20^0
10.2307/25065421|Africa|C0001737|849|MH|RtM via: Africa|TI|MM|902^6^0
10.2307/25065421|Asia|C0003980|849|MH|RtM via: Asia|TI|MM|1013^4^0
10.2307/25065422|*Mosses|C0282635|50068|ET|Entry Term Replacement for "Bryophyta";RtM via: Mosses;checkForceMH Boosted;Forced Non-Leaf Node Lookup:mosses|TI|MM;RC|230^4^0;182^6^0
10.2307/25065422|*Bryopsida|C0996526|50919|MH|RtM via: Hypnaceae;RtM via: Leskeaceae;RtM via: Pylaisiaceae|TI|MM;RC|383^9^0;368^10^0;266^12^0
10.2307/25065422|*Chloroplast|C0008266|23724|ET|Entry Term Replacement for "Chloroplasts";RtM via: Chloroplasts;Forced Non-Leaf Node Lookup:chloroplasts|TI|MM;RC|58^11^0
10.2307/25065422|*Cell Nucleus|C0007610|6651|MH|RtM via: Nuclear (nucleus)|TI|MM;RC|84^7^0
10.2307/25065423|*Electrons|C0013852|2647|MH|RtM via: Electrons;Forced Leaf Node Lookup:electrons|TI|MM|38^8^0
10.2307/25065423|*Hepatophyta|C0996514|20679|MH|RtM via: Jungermanniaceae;RtM via: Leiomylia;RtM via: Mylia;RtM via: Mylia anomala;RtM via: Mylia taylorii;RtM via: Myliaceae;RtM via: Myliineae|TI|MM;RC|947^16^0;981^9^0;809^5^0;618^5^0;913^13^0;118^14^0;855^9^0;1306^9^0
10.2307/25065423|*Marital Status|C0024819|4656|MH|RtM via: Legally Separated|TI|MM|289^9^0
10.2307/25065423|*Microscopy|C0026018|2508|MH|RtM via: micrography|TI|MM;RC|47^11^0
10.2307/25065423|*Plant Leaves|C0242724|2334|MH|RtM via: Plant Leaves|TI|MM;RC|584^4^0
10.2307/25065423|*Cell Wall|C0007623|1167|MH|RtM via: Cell Wall;Forced Non-Leaf Node Lookup:cell walls|TI|MM|91^9^0
10.2307/25065424|Humans|C0086418|1000|CT|Forced Humans: Sister||MM
10.2307/25065424|*Portulacaceae|C0949969|29359|MH|RtM via: Portulacaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:portulacaceae|TI|MM|117^13^0
10.2307/25065424|*Mirabilis|C0330338|3902|MH|Forced Leaf Node Lookup:mirabilis;checkForceMH Boosted|TI|MM|45^9^0;497^9^0
10.2307/25065424|*Amaranthaceae|C0949809|17247|MH|RtM via: Amaranthaceae;Forced Non-Leaf Node Lookup:amaranthaceae|TI|MM|184^13^0
10.2307/25065424|*Sister|C0337514|1218|ET|Entry Term Replacement for "Siblings";RtM via: Sister|TI|MM|237^6^0
10.2307/25065427|Humans|C0086418|1000|CT|Forced Humans: Sister||MM
10.2307/25065427|*Stemonaceae|C1014798|157930|MH|RtM via: Stemona;RtM via: Stichoneuron;RtM via: Stemonaceae;RtM via: Croomia;RtM via: Pentastemona;Forced Leaf Node Lookup:stichoneurons;Forced Leaf Node Lookup:stemonaceae;Forced Leaf Node Lookup:croomias;Forced Leaf Node Lookup:stemonas;checkForceMH Boosted|TI|MM;RC|624^7^0;636^12^0;1120^11^0;354^11^0;91^11^0;827^7^0;615^7^0;903^12^0;716^12^0
10.2307/25065427|*Nectars|C2717960|31931|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM;RC|730^9^0;193^9^0
10.2307/25065427|*Phylogeny|C0031797|24314|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|1078^12^0;394^12^0
10.2307/25065427|*rDNA|C0012933|19148|ET|Entry Term Replacement for "DNA, Ribosomal";RtM via: DNA, Ribosomal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rdna|TI|MM|522^4^0
10.2307/25065427|*Plastid|C0206524|46110|ET|Entry Term Replacement for "Plastids";RtM via: Plastids;Forced Non-Leaf Node Lookup:plastids|TI|MM;RC|487^7^0
10.2307/25065427|*Anatomy, Comparative|C0002811|5508|MH|RtM via: Anatomy, Comparative|TI|MM|308^11^1;327^7^1
10.2307/25065427|*Cell Nucleus|C0007610|5154|MH|RtM via: Nuclear (nucleus)|TI|MM;RC|510^7^0
10.2307/25065427|*Sister|C0337514|3501|ET|Entry Term Replacement for "Siblings";RtM via: Sister|TI|MM|1104^6^0
10.2307/25065429|*Phylogeography|C2936603|111369|MH|RtM via: Phylogeography;Forced Leaf Node Lookup:phylogeography|TI|MM;RC|1388^15^0;952^15^0;112^14^0
10.2307/25065429|*Refugium|C4042836|49341|MH|RtM via: Refugium;Forced Leaf Node Lookup:refugia|TI|MM|1001^7^0;713^7^0
10.2307/25065429|Austria|C0004348|28566|MH|RtM via: Austria;Forced Leaf Node Lookup:austria|TI|MM;RC|401^7^0
10.2307/25065429|*Amplified Fragment Length Polymorphism Analysis|C1955927|27385|MH|Forced Lookup:amplified fragment length polymorphism;Forced Lookup:aflp|TI|MM;RC|35^38^0;75^4^0;802^4^0
10.2307/25065429|*Bupleurum|C0950082|27081|MH|RtM via: Bupleurum stellatum;Forced Leaf Node Lookup:bupleurums;checkForceMH Boosted|TI|MM|156^19^0
10.2307/25065429|*Apiaceae|C0524878|19794|MH|RtM via: Apiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:apiaceae|TI|MM|177^8^0
10.2307/25065429|*Emigration and Immigration|C0013976|17568|MH|RtM via: Immigration;Forced Leaf Node Lookup:immigrations|TI|MM|1321^11^0
10.2307/25065429|calcium magnesium carbonate|C2604770|12526|NM|Forced SCR Leaf Node Lookup:dolomite|TI|MM|365^8^0;525^8^0;1124^8^0
10.2307/25065429|*Goals|C0018017|12525|MH|Forced Leaf Node Lookup:goal|TI|MM|418^4^0
10.2307/25065429|*Genetic Drift|C0917892|26799|MH|RtM via: Genetic Drift|TI|MM|1600^18^0
10.2307/25065429|*Polymorphism, Genetic|C0032529|25272|MH|RtM via: Genetic Polymorphism|TI|MM;RC|802^4^0;61^12^0
10.2307/25065429|Italy|C0022277|18711|MH|RtM via: Italy;Forced Non-Leaf Node Lookup:italy|TI|MM;RC|376^5^0
10.2307/25065429|Corsica|C0454831|17469|ET|Entry Term Replacement for "France";RtM via: Corsica|TI|MM;RC|1336^7^0;1111^7^0;512^7^0;227^7^0
10.2307/25065429|*Phenotypes|C0031437|4743|ET|Entry Term Replacement for "Phenotype";RtM via: Phenotype;Forced Non-Leaf Node Lookup:phenotypes|TI|MM|818^10^0
10.2307/25065430|*Fossils|C0016614|93818|MH|RtM via: Fossils;Forced Leaf Node Lookup:fossils|TI|MM;RC|1179^6^0;642^6^0;213^6^0;35^10^0;286^6^0;364^6^0
10.2307/25065430|*Conifer|C0682475|64529|ET|Entry Term Replacement for "Tracheophyta";RtM via: Tracheophyta;checkForceMH Boosted;Forced Non-Leaf Node Lookup:conifers|TI|MM;RC|1243^8^0;1091^8^0;922^8^0;815^8^0;685^8^0;68^7^0;1186^8^0
10.2307/25065430|Kansas|C0022497|8315|MH|RtM via: Kansas (geographic location);Forced Leaf Node Lookup:kansas|TI|MM|129^6^0
10.2307/25065430|*Biological Evolution|C0015219|26253|MH|RtM via: Biological Evolution|TI|MM;RC|1295^12^0
10.2307/25065430|*Ecology|C0013546|9012|MH|RtM via: Ecology|TI|MM|1308^7^0
10.2307/25065430|*Cycadopsida|C0598230|7377|MH|RtM via: Division Coniferophyta (organism)|TI|MM|1243^8^0;1091^8^0;922^8^0;815^8^0;685^8^0
10.2307/25065430|*Seeds|C0036563|5148|MH|RtM via: Division Coniferophyta (organism);Forced Non-Leaf Node Lookup:seed|TI|MM;RC|1243^8^0;1091^8^0;922^8^0;815^8^0;685^8^0;326^4^0
10.2307/25065431|*Biological Phenomena|C0005520|1398|MH|RtM via: Tissue Growth|TI|MM|143^7^0
10.2307/25065431|*Orientation, Spatial|C1704322|639|MH|RtM via: Orientation (spatial)|TI|MM|959^8^0
10.2307/25065431|*Abstracting and Indexing|C0000858|537|MH|RtM via: Abstracting|TI|MM|1118^8^0
10.2307/25065431|*Data Collection|C0010995|111|MH|RtM via: Analytical Procedure Range|TI|MM|1031^5^0
10.2307/25065432|*DNA Fingerprinting|C0079247|285908|MH|RtM via: DNA Fingerprints;Forced Leaf Node Lookup:dna fingerprints|TI|MM;RC|746^16^0
10.2307/25065432|*DNA, Complementary|C0006556|130825|MH|RtM via: DNA, Complementary;Forced Leaf Node Lookup:cdna;checkForceMH Boosted|TI|MM;RC|802^4^0
10.2307/25065432|*Phylogeny|C0031797|31161|MH|Forced Lookup:phylogenetic|TI|MM;RC|100^12^0
10.2307/25065432|*DNA Primers|C0206416|206409|MH|RtM via: Oligonucleotide Primers|TI|MM;RC|574^7^0;253^7^0
10.2307/25065432|*Databases, Nucleic Acid|C0950134|131970|MH|RtM via: DNA Sequence Databases;RtM via: Nucleic Acid Sequence Databases;RtM via: RNA Sequence Databases|TI|MM|606^18^0
10.2307/25065432|*PCR|C0032520|43461|ET|Entry Term Replacement for "Polymerase Chain Reaction";RtM via: Polymerase Chain Reaction;Forced Non-Leaf Node Lookup:pcr|TI|MM;RC|218^3^0
10.2307/25065432|*DNA|C0012854|35679|MH|RtM via: DNA;Forced Non-Leaf Node Lookup:dna|TI|MM;RC|654^3^0
10.2307/25065432|*Genetics, Population|C0017404|11229|MH|RtM via: Genetics, Population;Forced Non-Leaf Node Lookup:population genetics|TI|MM|118^19^0
10.2307/25065432|Cloning, Molecular|C0009017|1905|MH|Forced Non-Leaf Node Lookup:cloning||MM;RC|807^7^0
10.2307/25065433|*Hemerocallis|C1001008|151254|MH|RtM via: Hemerocallis;Forced Leaf Node Lookup:hemerocallis;Forced Leaf Node Lookup:daylily;checkForceMH Boosted|TI|MM;RC|49^7^0;58^12^0
10.2307/25065433|*Color|C0009393|21480|MH|RtM via: Color;Forced Leaf Node Lookup:colours;Forced Leaf Node Lookup:colors|TI|MM;RC|568^6^0;584^3^0;660^5^0;395^6^0;354^3^0;420^5^0;250^5^0;233^5^0;188^6^0;40^5^0
10.2307/25065433|District of Columbia|C0012764|6111|MH|Forced Leaf Node Lookup:washington, d.c.|TI|MM|118^16^0
10.2307/25065433|*Flower|C0330090|5661|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|33^6^0
10.2307/25065433|Color Perception|C0009395|553|MH|||RC
10.2307/25065433|*Documentation|C0920316|393|MH|RtM via: Documentation;Forced Non-Leaf Node Lookup:documentations|TI|MM|617^13^0
10.2307/25065433|*Book|C0006002|195|ET|Entry Term Replacement for "Books";RtM via: Books;Forced Non-Leaf Node Lookup:book|TI|MM|584^3^0;354^3^0;225^4^0
10.2307/25065433|Washington|C0043038|12|MH|RtM via: Washington state|TI|MM|118^10^0
10.2307/25065434|*Primula|C0330455|13719|MH|RtM via: Primula;Forced Leaf Node Lookup:primulas;checkForceMH Boosted|TI|MM;RC|72^7^0
10.2307/25065434|GZMB protein, human|C1567160|16609|NM|RtM via: GZMB protein, human|TI|MM|1125^4^0;80^4^0
10.2307/25065434|*Granzymes|C1333877|16608|HM|RtM via: GZMB protein, human|TI|MM|1125^4^0;80^4^0
10.2307/25065434|*Ciliata|C0008781|6522|ET|Entry Term Replacement for "Ciliophora";RtM via: Ciliata;RtM via: Ciliophora|TI|MM|271^7^0
10.2307/25065434|*Publications|C0034036|2184|MH|RtM via: literature survey|TI|MM|1310^18^0
10.2307/25065434|Surveys and Questionnaires|C4042892|1000|MH|Forced Non-Leaf Node Lookup:surveys||MM|1321^7^0
10.2307/25065435|*Cryptocarya|C1001152|3382|MH|RtM via: Cryptocarya;Forced Leaf Node Lookup:cryptocaryas;checkForceMH Boosted|TI|MM|91^11^0
10.2307/25065435|*Names|C0027365|105|MH|RtM via: Established Drug Name;RtM via: Publication Name|TI|MM|249^14^0;189^9^1;207^5^1
10.2307/25065435|Bacteria|C0004611|3|MH|||RC
10.2307/25065435|Brazil|C0006137|0|MH|RtM via: brazilian|TI|MM|70^9^0
10.2307/25065436|*Urticaceae|C0330545|3655|MH|RtM via: Urticaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:urticaceae|TI|MM|145^10^0
10.2307/25065436|*Plant|C0032098|921|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|109^5^0
10.2307/25065436|*Names|C0027365|228|MH|RtM via: Name;RtM via: Person Name|TI|MM|217^5^0;115^5^0
10.2307/25065437|Humans|C0086418|25116|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups);Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
10.2307/25065437|*Gnaphalium|C1021514|24116|MH|RtM via: Gnaphalium;Forced Leaf Node Lookup:gnaphaliums;checkForceMH Boosted|TI|MM;RC|375^10^0;238^10^0;103^10^0
10.2307/25065437|*Asteraceae|C0446228|4182|MH|RtM via: Gamochaeta serpyllifolia|TI|MM|288^24^0;200^24^0;29^10^0
10.2307/25065437|*Name|C0027365|918|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|328^4^0;79^4^0
10.2307/25065437|*Ethnic Groups|C0015031|324|MH|RtM via: Chosen Chinese|TI|MM|364^6^0
10.2307/25065437|*Hispanic Americans|C0019576|273|MH|RtM via: South American|TI|MM|88^14^0
10.2307/25065438|*Agave|C0331584|845|MH|RtM via: Agave;Forced Leaf Node Lookup:agaves;checkForceMH Boosted|TI|MM|49^5^0
10.2307/25065438|*Uncertainty|C0087130|484|MH|RtM via: Uncertainty;Forced Leaf Node Lookup:uncertainty|TI|MM|100^11^0
10.2307/25065438|*Confusion|C0009676|3324|MH|RtM via: Confusion;RtM via: Clouded consciousness|TI|MM|372^8^0;280^9^0
10.2307/25065438|*Name|C0027365|726|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|556^4^0;244^4^0;44^4^0
10.2307/25065439|*Rhododendron|C0330429|50921|MH|RtM via: Rhododendron;RtM via: Rhododendron huadingense;Forced Leaf Node Lookup:rhododendrons;checkForceMH Boosted|TI|MM;RC|59^12^0;116^24^0
10.2307/25065439|*Ericaceae|C0446235|24220|MH|RtM via: Ericaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ericaceae|TI|MM|90^9^0
10.2307/25065439|*Reproduction|C0035150|303|MH|RtM via: flowering|TI|MM;RC|331^9^0
10.2307/25065439|*Name|C0027365|69|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name;RtM via: Publication Name|TI|MM|298^4^0;226^14^0
10.2307/25065440|Humans|C0086418|2173|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
10.2307/25065440|China|C0008115|107|MH|RtM via: China;Forced Leaf Node Lookup:guangdong province|TI|MM;RC|125^5^0;105^18^0
10.2307/25065440|*Name|C0027365|1173|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|210^4^0
10.2307/25065440|*Ethnic Groups|C0015031|174|MH|RtM via: Li Chinese|TI|MM|87^2^0
10.2307/25065440|*Ions|C0022023|150|MH|RtM via: lithium cation|TI|MM|87^2^0
10.2307/25065440|*Publications|C0034036|129|MH|RtM via: Scientific Publication|TI|MM|147^9^0
10.2307/25065441|*Paeonia|C0949957|10545|MH|RtM via: Paeonia rockii;Forced Leaf Node Lookup:paeonias;checkForceMH Boosted|TI|MM;RC|309^14^0;30^14^0;149^7^0
10.2307/25065441|*Name|C0027365|1476|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Publication Name;RtM via: Person Name|TI|MM|615^4^0;279^4^0;242^14^0
10.2307/25065441|*Preservation, Biological|C0033085|531|MH|RtM via: Biologic Preservation|TI|MM|655^9^0
